ECG,EDA,RR
29606,48534,16985
29920,48484,16997
30176,48517,16866
30266,48470,17034
30144,48540,17076
29920,48543,17060
29704,48556,17002
29568,48486,16898
29608,48567,17172
29704,48537,17136
29820,48463,17069
30088,48532,16983
30276,48535,17162
30292,48480,17155
30108,48552,16995
29844,48561,17129
29600,48563,17121
29492,48528,16903
29516,48567,17176
29548,48563,17072
29688,48535,16924
29940,48546,17167
30113,48556,17060
30156,48484,16834
30024,48582,17079
29772,48570,16985
29533,48581,16816
29408,48556,17036
29412,48581,16929
29484,48564,16806
29684,48568,17034
29980,48517,16919
30200,48549,16701
30200,48579,16873
30036,48510,16882
29796,48605,16638
29664,48607,16916
29656,48588,16832
29732,48596,16647
29873,48544,16783
30074,48566,16763
30380,48588,16549
30606,48551,16791
30645,48583,16673
30496,48605,16484
30305,48563,16737
30189,48557,16646
30180,48613,16545
30244,48601,16369
30374,48609,16591
30636,48530,16551
30956,48607,16362
31264,48607,16577
31356,48613,16493
31268,48613,16282
31110,48622,16429
30940,48574,16463
30924,48605,16426
31072,48624,16332
31264,48612,16157
31548,48607,16444
31928,48612,16324
32220,48615,16292
32328,48620,16277
32208,48621,16262
32020,48644,16069
31904,48583,16227
31884,48646,16224
31940,48639,16018
32132,48631,16174
32392,48643,16240
32688,48580,16187
32956,48583,16141
33060,48588,15985
32966,48617,15884
32833,48647,16172
32708,48671,16080
32660,48647,16085
32721,48647,16031
32825,48647,15973
32974,48589,15835
33264,48628,16038
33440,48636,16023
33472,48647,16002
33328,48647,15940
33132,48672,15794
32953,48673,15765
32900,48679,15802
32912,48669,15962
33024,48679,15996
33188,48593,15918
33486,48589,15892
33736,48600,15878
33756,48669,15686
33565,48690,15867
33320,48684,15913
33092,48704,15895
32960,48692,15820
32942,48679,15628
33033,48692,15861
33202,48679,15771
33492,48676,15735
33680,48677,15544
33660,48684,15776
33476,48696,15726
33300,48711,15717
33156,48709,15654
33012,48703,15490
33013,48711,15438
33108,48709,15661
33256,48695,15641
33520,48692,15617
33720,48692,15554
33780,48687,15465
33664,48712,15543
33408,48727,15543
33196,48669,15450
33108,48741,15525
33128,48727,15547
33164,48717,15505
33276,48713,15347
33540,48711,15588
33732,48711,15481
33712,48727,15294
33558,48664,15588
33380,48724,15516
33200,48719,15508
33080,48733,15321
33108,48720,15310
33180,48749,15596
33304,48743,15522
33552,48737,15513
33772,48733,15390
33804,48743,15309
33640,48719,15544
33412,48773,15484
33225,48757,15365
33132,48764,15305
33188,48693,15544
33268,48767,15546
33392,48757,15358
33652,48759,15527
33884,48775,15517
33916,48759,15377
33692,48772,15481
33460,48775,15486
33252,48740,15461
33184,48796,15292
33244,48775,15557
33356,48775,15481
33462,48764,15294
33696,48772,15465
33833,48772,15473
33804,48775,15284
33689,48735,15481
33516,48784,15500
33312,48812,15471
33172,48797,15483
33216,48741,15471
33348,48812,15490
33540,48805,15266
33844,48797,15558
34032,48751,15493
34044,48808,15494
33849,48807,15473
33548,48808,15332
33265,48828,15485
33233,48821,15586
33332,48791,15513
33472,48816,15498
33630,48812,15319
33896,48811,15324
34080,48799,15525
34136,48812,15528
33976,48822,15521
33644,48841,15295
33401,48828,15617
33268,48833,15504
33332,48839,15437
33472,48839,15337
33616,48807,15549
33872,48837,15518
34148,48831,15503
34152,48832,15366
33940,48812,15630
33670,48857,15566
33476,48855,15484
33376,48857,15382
33384,48861,15698
33476,48848,15634
33600,48839,15621
33864,48850,15507
34080,48788,15443
34116,48859,15640
33964,48863,15701
33722,48871,15679
33512,48833,15493
33444,48885,15798
33488,48869,15724
33565,48868,15582
33685,48857,15803
33840,48857,15829
33959,48868,15676
33964,48805,15692
33756,48865,15949
33520,48895,15911
33345,48892,15903
33246,48901,15937
33279,48902,15970
33432,48886,15847
33636,48831,16028
33960,48887,16052
34213,48876,16045
34216,48890,15901
34084,48884,16186
33848,48898,16181
33588,48903,16061
33436,48864,16092
33464,48927,16365
33528,48896,16335
33736,48903,16329
34023,48859,16169
34237,48903,16398
34232,48903,16442
34104,48903,16441
33831,48932,16325
33552,48935,16512
33364,48920,16545
33372,48925,16360
33464,48924,16609
33697,48895,16634
33960,48916,16597
34056,48888,16473
34044,48935,16731
33881,48935,16773
33584,48951,16591
33310,48956,16880
33104,48948,16812
33125,48934,16848
33216,48871,16718
33320,48943,16967
33597,48935,16978
33772,48887,16991
33808,48943,16996
33716,48943,16858
33516,48888,17149
33308,48933,17124
33244,48967,17026
33249,48962,17316
33300,48962,17258
33392,48943,17095
33596,48941,17433
33784,48889,17428
33868,48947,17281
33780,48916,17504
33584,48980,17524
33412,48973,17542
33324,48973,17448
33304,48975,17674
33272,48963,17712
33304,48956,17724
33588,48925,17814
33804,48965,17838
33784,48973,17637
33588,48972,17866
33352,48934,17765
33092,48988,17965
32876,48933,17815
32797,48964,18043
32800,48980,18078
32876,48970,17950
33072,48967,18263
33196,48980,18272
33148,48971,18191
33002,48978,18098
32780,49004,18404
32464,49005,18422
32160,49011,18237
31696,48985,18501
31096,49004,18343
30644,49007,18589
31068,48985,18605
32100,48988,18716
33351,48999,18722
34597,49013,18584
35992,49004,18810
37900,48969,18779
40193,49008,18933
43068,48996,18901
46616,48980,19031
50836,48937,19044
54184,48943,18961
55272,48937,19156
53516,48952,19161
48976,48981,19195
45176,48994,19244
43112,49006,19327
41256,49008,19320
39376,48997,19382
37732,49008,19479
36296,49000,19452
35372,48950,19365
34693,49010,19705
34064,49021,19674
33344,48965,19552
32504,49028,19773
31649,49031,19786
30988,49044,19918
30576,49028,19960
30432,49031,19799
30385,49031,20066
30528,48989,20094
30616,49013,19943
30616,49026,20231
30460,49031,20236
30156,49042,20262
29942,49042,20245
29832,48983,20455
29828,49029,20464
29953,49022,20480
30036,49031,20401
30208,49021,20675
30400,48996,20624
30461,49028,20481
30380,49031,20845
30256,49004,20780
30036,49031,20652
29820,49044,20946
29732,48999,20991
29772,49049,20889
29951,49020,21223
30292,49030,21265
30616,49031,21254
30732,49024,21471
30632,49044,21533
30420,49053,21505
30252,49059,21794
30168,49031,21791
30197,49052,21703
30336,49031,21993
30564,49031,22070
30896,49030,21950
31100,49030,22339
31096,49036,22338
30916,49051,22359
30680,49053,22515
30464,49057,22561
30264,48997,22662
30228,49055,22573
30340,49045,22901
30564,48969,22865
30840,49008,22931
31033,49001,22973
31084,49040,23045
30941,49052,23100
30632,49057,23112
30437,48988,23145
30376,49071,23271
30420,49055,23297
30504,49041,23335
30666,49049,23326
30952,48964,23378
31178,49031,23473
31222,49041,23525
31077,49045,23551
30900,49061,23585
30701,49007,23501
30564,48981,23620
30565,49060,23522
30696,49044,23869
30952,49045,23842
31304,49031,23868
31541,48968,23924
31617,49045,23904
31512,49045,23872
31420,49052,24053
31329,49065,24101
31240,49068,24167
31328,49062,24206
31460,49048,24263
31588,49050,24318
31884,49039,24223
32192,48964,24208
32316,49045,24476
32212,49052,24516
31992,49063,24568
31784,49061,24416
31672,48992,24649
31760,49063,24697
31904,49053,24573
32130,49036,24839
32380,48991,24829
32616,49031,24877
32718,49045,24927
32668,49029,24964
32536,49054,24988
32380,49063,25016
32316,49053,25089
32352,49031,25145
32516,49036,25094
32720,49044,25168
33012,48981,25375
33216,49024,25346
33308,48996,25232
33216,49028,25538
33020,49055,25464
32868,49055,25545
32780,49039,25467
32861,49025,25728
33022,49044,25704
33101,49031,25568
33309,48996,25869
33524,49029,25879
33593,48967,25849
33504,49031,25976
33270,49048,26051
32948,48999,25993
32748,49031,26221
32672,49044,26238
32776,49005,26166
32940,49011,26454
33240,49017,26423
33508,49016,26470
33532,49023,26543
33336,49031,26472
33089,49031,26703
32852,49031,26744
32693,49026,26699
32685,49031,26950
32741,48978,26930
32788,49008,26860
32992,49010,27159
33288,49007,27121
33460,49012,27064
33320,48975,27289
33052,49016,27300
32800,48983,27252
32663,49017,27524
32624,49019,27500
32568,49016,27405
32652,48999,27708
32878,48920,27681
33056,48986,27621
33152,48990,27711
33046,48941,27913
32832,49023,27925
32696,49017,27852
32596,49013,28135
32525,48996,28135
32534,48966,28007
32592,48993,28276
32820,48981,28313
32988,48991,28376
33045,48984,28448
32941,48999,28335
32728,49007,28613
32532,48993,28589
32349,48988,28845
32240,48903,28791
32320,48989,28679
32468,48983,28943
32700,48973,28905
32989,48967,29133
33008,48925,29137
32804,48972,29131
32644,48927,29409
32472,48975,29359
32404,48976,29333
32405,48975,29645
32424,48967,29577
32440,48926,29608
32572,48940,29761
32820,48877,29818
32904,48955,29740
32750,48957,30034
32484,48970,30065
32264,48972,29968
32140,48932,30245
32192,48956,30210
32357,48889,30311
32552,48935,30422
32797,48932,30464
33012,48881,30488
33008,48935,30636
32921,48940,30670
32728,48953,30919
32456,48940,30841
32296,48940,30924
32288,48879,30854
32365,48937,31184
32502,48913,31169
32772,48859,31071
32992,48917,31329
33020,48903,31364
32828,48916,31294
32522,48939,31552
32296,48931,31585
32236,48861,31574
32264,48929,31660
32300,48903,31887
32356,48867,31828
32576,48896,31869
32808,48892,31938
32928,48903,32105
32880,48903,32145
32644,48896,32197
