ECG,EDA,RR
32560,12707,43399
32546,12704,43367
32544,12707,43536
32440,12691,43527
32228,12689,43487
32108,12638,43284
32040,12673,43548
32044,12677,43484
32232,12721,43596
32584,12760,43677
32812,12713,43733
32744,12711,43600
32544,12709,43469
32280,12695,43757
31960,12688,43783
31836,12646,43604
31911,12660,43839
32064,12673,43847
32380,12707,43783
32724,12743,43949
32788,12763,43791
32708,12772,43930
32716,12782,43576
32574,12678,43992
32324,12655,44039
32312,12658,43996
32396,12689,43932
32484,12693,44026
32744,12754,43977
32965,12727,44020
32892,12740,44189
32828,12757,44016
32696,12727,44156
32492,12705,43837
32284,12703,44085
32236,12718,44191
32324,12674,44287
32245,12684,44183
32169,12716,44308
32517,12741,44350
32576,12755,44324
32592,12765,44113
32620,12767,44324
32640,12794,44328
32544,12681,44455
32516,12679,44444
32557,12693,44121
32480,12706,44394
32544,12742,44504
32800,12773,44228
32872,12789,44580
32736,12774,44564
32710,12771,44564
32720,12761,44389
32588,12735,44620
32424,12726,44513
32469,12736,44623
32608,12756,44448
32924,12797,44708
33228,12806,44588
33276,12820,44709
33116,12761,44712
33092,12749,44596
32964,12750,44631
32872,12711,44772
32836,12708,44786
32768,12734,44747
32693,12769,44397
32702,12752,44655
32772,12769,44733
32876,12793,44844
32956,12799,44727
32929,12773,44679
32780,12751,44836
32584,12726,44836
32428,12728,44673
32508,12751,44728
32772,12759,44743
33192,12757,44641
33578,12772,44679
33732,12812,44795
33736,12793,44663
33588,12772,44628
33504,12766,44732
33320,12722,44605
33245,12711,44708
33416,12748,44572
33565,12737,44566
33748,12787,44661
34048,12828,44513
34234,12788,44452
34356,12776,44559
34228,12771,44455
33924,12760,44429
33624,12752,44432
33568,12732,44281
33569,12757,44365
33812,12741,44396
34020,12764,44308
34276,12816,44084
34152,12817,44244
33980,12844,44221
33744,12775,44023
33410,12757,44212
33176,12751,44000
32992,12741,44140
32976,12743,44076
33068,12777,43981
33136,12834,44052
33260,12793,43990
33140,12814,43876
32992,12810,44009
32797,12817,43745
32557,12796,43986
32288,12789,43943
32220,12737,43816
32232,12741,43889
32440,12764,43861
32580,12800,43909
32748,12813,43877
32844,12830,43444
32869,12831,43705
32692,12831,43758
32400,12808,43447
32164,12784,43824
32264,12771,43753
32316,12774,43676
32416,12784,43773
32696,12815,43575
32836,12826,43748
32640,12845,43692
32372,12853,43603
32216,12885,43703
32056,12770,43588
31876,12756,43669
31844,12775,43453
31900,12754,43238
31948,12769,43554
32030,12807,43580
32328,12828,43496
32464,12835,43476
32364,12820,43525
32352,12810,43445
32217,12797,43385
31992,12769,43446
31940,12767,43383
31956,12773,43404
31980,12782,42999
32173,12825,43333
32310,12857,43309
32225,12860,43190
31968,12854,43240
31968,12856,43076
32080,12785,43108
32240,12764,43156
32644,12756,42949
33376,12765,43015
34172,12798,43039
35198,12816,43007
36780,12845,42947
38368,12872,42938
39796,12875,42724
40830,12812,42916
41500,12780,42561
41960,12798,42759
42724,12777,42809
43468,12788,42639
43924,12817,42661
43472,12808,42727
