ECG,EDA,RR
32684,20553,36425
32614,20559,36205
32588,20557,36238
32632,20564,36332
32796,20581,36096
33092,20605,36135
33284,20619,36214
33324,20622,35988
33249,20618,36009
33216,20607,36020
33096,20599,35940
33004,20593,35906
33054,20594,35740
33160,20612,35711
33332,20624,35801
33524,20659,35711
33800,20675,35766
33860,20677,35500
33872,20668,35568
33852,20651,35638
33780,20626,35229
33700,20626,35320
33740,20620,35356
33844,20628,35335
33976,20646,35166
34216,20677,35180
34448,20714,35189
34512,20723,35143
34508,20693,35180
34512,20681,34948
34436,20661,35009
34328,20670,34841
34292,20658,34943
34318,20669,34775
34384,20695,34821
34576,20737,34647
34800,20744,34773
34844,20753,34510
34868,20733,34644
34880,20717,34496
34704,20701,34484
34448,20709,34257
34335,20698,34351
34248,20713,34460
34224,20729,34296
34328,20783,34106
34416,20783,34249
34404,20785,34325
34313,20779,34069
34152,20765,34137
33956,20743,34044
33756,20749,34105
33697,20751,33779
33685,20757,33980
33728,20772,33961
33740,20820,33775
33774,20826,33835
33696,20829,33863
33540,20820,33676
33380,20823,33741
33141,20795,33594
32856,20791,33618
32756,20792,33636
32644,20813,33639
32632,20812,33375
32692,20845,33488
32761,20890,33551
32676,20890,33220
32557,20876,33376
32416,20861,33387
32126,20836,33213
31856,20825,33312
31757,20843,33237
31708,20844,33237
31684,20869,32993
31776,20893,33181
31900,20924,33063
32024,20917,33142
31968,20905,32983
31776,20916,33048
31448,20880,33047
31117,20869,32928
31018,20870,33055
31016,20900,32827
31040,20916,32903
31260,20940,32985
31476,20952,32729
31520,20964,32841
31509,20951,32711
31444,20944,32788
31308,20929,32551
31168,20923,32681
31160,20927,32783
31253,20934,32557
31360,20954,32653
31520,20975,32516
31680,20996,32645
31785,20996,32356
31820,21017,32487
31800,20987,32412
31624,20959,32501
31500,20951,32425
31480,20957,32480
31528,20977,32251
31600,20999,32419
31780,21016,32460
31972,21036,32285
32044,21059,32377
32141,21045,32391
32186,21032,32213
31976,21010,32315
31724,21004,32287
31696,21009,32133
31756,21008,32255
31800,21030,32132
32008,21069,32256
32168,21090,32145
32196,21084,31940
32164,21092,32135
32120,21084,32113
31980,21058,32001
31816,21044,32092
31780,21045,31893
31868,21056,32020
31956,21073,31904
32128,21103,31916
32292,21123,31933
32308,21120,31845
32272,21119,31772
32269,21103,31871
32210,21095,31837
32108,21073,31903
32045,21093,31677
31968,21098,31793
31980,21106,31772
32076,21159,31711
32237,21165,31772
32300,21179,31734
32216,21157,31544
32148,21165,31468
32036,21128,31647
31916,21134,31501
31908,21121,31612
31964,21132,31441
32034,21153,31550
32133,21197,31415
32340,21208,31452
32472,21213,31486
32464,21200,31436
32380,21189,31500
32096,21175,31416
31924,21165,31477
31932,21169,31254
31928,21179,31369
31876,21202,31280
32056,21220,31380
32252,21237,31237
32292,21241,31301
32340,21252,31174
32288,21229,31320
32124,21205,31058
32016,21199,31224
31944,21196,31156
32028,21225,31253
32092,21237,31041
32236,21268,31136
32376,21277,31133
32396,21279,31067
32376,21273,30967
32300,21275,31060
32268,21247,31087
32044,21238,30916
32004,21244,30864
32000,21246,30929
31960,21268,31044
32112,21294,30916
32292,21321,30808
32385,21324,30989
32352,21318,30983
32248,21303,30868
32124,21273,30791
31984,21285,30963
31952,21287,30928
32020,21297,30788
32088,21311,30936
32260,21337,30860
32460,21356,30786
32477,21351,30924
32452,21347,30965
32424,21343,30788
32266,21325,30892
32033,21302,30727
32040,21319,30880
32184,21331,30940
32246,21345,30746
32422,21370,30879
32604,21403,30768
32608,21401,30745
32480,21394,30870
32376,21376,30860
32288,21349,30792
32244,21336,30885
32284,21354,30764
32408,21361,30919
32421,21374,30711
32516,21404,30888
32800,21413,30780
33064,21422,30912
33148,21429,30704
33152,21415,30884
33072,21392,30938
32885,21381,30916
32845,21377,30796
32936,21394,30863
33110,21406,30740
33256,21431,30839
33544,21452,30943
33656,21479,30745
33636,21463,30876
33616,21445,30911
33552,21421,30761
33420,21415,30947
33472,21409,30908
33604,21430,30983
33764,21445,30797
33952,21468,30996
34097,21482,31015
34040,21501,30895
33880,21487,31052
33720,21476,30965
33460,21455,31104
33196,21437,30961
33113,21458,31125
33116,21455,31014
33076,21475,31045
33036,21507,31168
33072,21532,31051
33048,21542,31185
32918,21528,31103
32608,21519,31222
32276,21495,31278
31968,21479,31304
31876,21480,31314
31860,21476,31239
31956,21502,31429
32132,21549,31271
32352,21557,31429
32393,21564,31524
32292,21556,31339
32200,21534,31461
32052,21511,31412
31916,21500,31535
31860,21503,31607
31904,21529,31637
31945,21535,31573
32032,21561,31633
32208,21579,31727
32277,21578,31743
32208,21572,31661
32152,21557,31833
31988,21548,31751
31776,21534,31886
31772,21532,31750
31832,21537,31928
31804,21556,31948
31946,21584,32054
32188,21621,32132
32228,21601,32135
32092,21599,32195
32076,21582,32087
32062,21563,32156
31896,21550,32229
31856,21551,32349
31844,21567,32445
31864,21583,32215
32076,21620,32326
32176,21627,32512
32116,21629,32394
31984,21617,32601
31724,21612,32632
31396,21600,32701
31152,21584,32580
31156,21587,32769
31476,21591,32792
31989,21605,32856
32660,21635,32901
33452,21657,32864
34240,21658,33071
35104,21661,32932
36392,21648,33077
37976,21615,33220
39668,21589,33039
41200,21588,33268
42548,21593,33389
43624,21626,33158
44484,21637,33412
45284,21654,33568
45748,21660,33392
45468,21713,33597
43824,21678,33610
41492,21650,33733
38924,21612,33538
36569,21626,33822
34744,21631,33856
33368,21663,34004
32752,21685,33741
32617,21701,34014
32528,21695,34144
32360,21704,34045
32240,21682,34216
32036,21663,34248
31752,21642,34324
31573,21648,34258
31472,21671,34448
31448,21671,34380
31468,21698,34460
31604,21719,34624
31588,21725,34580
31474,21708,34769
31318,21708,34823
31156,21684,34833
31052,21665,34996
31024,21668,35012
31020,21674,34959
31168,21701,35185
31325,21728,35071
31456,21749,35047
31484,21740,35359
31488,21729,35364
31464,21734,35460
31341,21692,35318
31336,21682,35608
31392,21680,35626
31412,21684,35687
31424,21717,35528
31484,21739,35828
31657,21756,35991
31756,21746,35685
31684,21741,35887
31700,21733,35977
31608,21716,36103
31460,21713,36242
31472,21705,35975
31648,21719,36175
31680,21733,36359
31840,21763,36132
32108,21768,36415
32148,21771,36533
32132,21767,36256
32120,21750,36478
32052,21725,36636
31928,21721,36724
31948,21714,36736
32053,21730,36857
32100,21746,36909
32220,21771,36983
32444,21776,36965
32580,21784,37116
32637,21782,37053
32592,21776,37215
32512,21751,37284
32292,21740,37258
32241,21728,37525
32365,21735,37471
32520,21775,37504
32672,21791,37588
32892,21797,37676
33013,21806,37629
33052,21797,37767
33076,21786,37751
32980,21761,37789
32896,21741,37917
32936,21745,37924
33032,21756,37947
33340,21788,38064
33472,21804,38063
33604,21815,38271
33720,21820,38114
33728,21810,38270
33716,21797,38211
33700,21785,38476
33614,21767,38103
33640,21767,38396
33708,21777,38432
33818,21793,38549
33965,21813,38607
34256,21831,38645
34388,21825,38694
34432,21811,38653
34396,21820,38889
34317,21788,38663
34248,21775,38895
34244,21775,38869
34320,21778,38953
34432,21812,39133
34537,21820,38890
34624,21840,39143
34716,21857,39284
34743,21842,39140
34716,21836,39280
34540,21796,39282
34396,21784,39388
34236,21794,39097
34108,21803,39482
34184,21817,39444
34228,21832,39567
34404,21873,39471
34432,21861,39787
34356,21847,39814
34269,21836,39744
34084,21828,39704
33800,21816,39884
33557,21810,39885
33448,21815,39870
33408,21828,39973
33445,21862,40030
33588,21879,40199
33528,21868,40060
33408,21865,40165
33220,21840,40084
32929,21820,40189
32664,21809,40177
32484,21810,40007
32388,21814,40484
32309,21840,40225
32284,21860,40368
