ECG,EDA,RR
32800,26880,47972
32916,26894,48112
33076,26912,48058
33296,26941,48169
33480,26961,48119
33564,26965,48244
33540,26959,48144
33461,26948,48253
33383,26932,48236
33204,26928,48303
33340,26936,48175
33488,26949,48331
33424,26971,48350
33580,27000,48349
33808,27010,48367
33984,27015,48481
33870,27016,48509
33940,27004,48161
33884,26988,48468
33712,26989,48164
33732,26989,48516
33821,27005,48496
33968,27028,48519
34213,27055,48548
34454,27073,48510
34552,27079,48458
34554,27068,48399
34560,27057,48566
34462,27044,48519
34349,27039,48405
34384,27053,48528
34520,27069,48441
34654,27080,48556
34848,27109,48512
35052,27132,48505
35184,27132,48524
35184,27126,48556
34996,27118,48564
34824,27101,48308
34812,27102,48500
34840,27108,48542
34888,27123,48388
34953,27145,48480
35060,27176,48509
35092,27195,48516
35176,27195,48551
35248,27188,48188
35200,27191,48428
34976,27165,48379
34736,27161,48428
34696,27172,48308
34776,27184,48431
34816,27213,48461
34856,27237,48522
34916,27255,48489
34868,27264,48519
34740,27269,48468
34628,27245,48526
34360,27233,48508
34180,27236,48196
34124,27236,48497
34180,27258,48302
34044,27276,48429
33900,27305,48417
33925,27331,48530
33937,27332,48533
33752,27332,48564
33540,27324,48554
33260,27308,48574
33048,27308,48578
32852,27317,48220
32848,27325,48551
32772,27349,48472
32749,27373,48573
32820,27398,48509
32704,27399,48552
32528,27399,48512
32368,27388,48551
32110,27370,48529
31917,27377,48520
31876,27383,48624
31744,27399,48421
31658,27425,48593
31884,27445,48380
31926,27460,48581
31853,27466,48621
31717,27468,48615
31644,27458,48604
31482,27451,48604
31300,27444,48612
31296,27452,48578
31280,27465,48616
31269,27492,48295
31436,27516,48612
31652,27537,48596
31690,27533,48575
31613,27537,48389
31584,27529,48496
31328,27510,48485
31068,27510,48607
31100,27514,48540
31260,27528,48570
31440,27551,48507
31536,27583,48588
31576,27593,48569
31532,27607,48560
31596,27596,48500
31673,27584,48420
31532,27576,48556
31293,27575,48544
31276,27583,48557
31312,27592,48540
31452,27620,48216
31728,27644,48460
31888,27655,48492
31928,27666,48524
31952,27663,48528
31870,27652,48166
31684,27636,48409
31540,27636,48327
31504,27643,48421
31576,27655,48412
31629,27679,48460
31804,27708,48380
31872,27730,48105
31860,27733,48337
31820,27720,48382
31716,27727,48398
31670,27703,48384
31608,27701,48367
31648,27706,48268
31692,27727,48189
31768,27743,48324
31889,27769,48254
31960,27788,48279
31936,27796,48262
31804,27797,48277
31724,27788,48236
31656,27770,48020
31612,27768,48153
31608,27775,48196
31780,27786,48201
31852,27804,48148
31872,27833,48165
31968,27852,48124
31985,27856,48124
31920,27854,48031
31788,27847,48070
31708,27835,48076
31624,27833,48071
31592,27841,48052
31620,27855,48023
31576,27868,48007
31596,27906,47823
31805,27924,47948
31868,27925,47943
31772,27926,47924
31716,27919,47893
31652,27900,47558
31593,27890,47791
31452,27903,47693
31456,27911,47751
31636,27932,47485
31792,27968,47728
31900,27989,47487
31781,27990,47685
31796,27989,47420
31732,27980,47677
31696,27966,47552
31541,27958,47680
31320,27971,47612
31438,27980,47652
31497,27997,47591
31696,28028,47589
31928,28045,47532
32076,28055,47558
31997,28039,47460
31864,28035,47455
31760,28021,47375
31540,28023,47464
31528,28029,47468
31628,28037,47461
31740,28060,47431
31757,28086,47132
31889,28105,47424
31920,28108,47100
31792,28106,47359
31732,28108,47389
31528,28080,47384
31556,28081,47373
31588,28081,47349
31620,28107,47276
31664,28116,47068
31804,28149,47287
31932,28166,47191
32092,28176,47220
31928,28177,46985
31868,28167,47296
31724,28149,47300
31572,28144,47201
31648,28155,47225
31614,28167,47032
31764,28188,47221
32112,28213,47268
32412,28236,47201
32352,28236,47237
32304,28236,47236
32260,28229,47233
32224,28219,47124
32200,28215,47169
32284,28204,47127
32344,28231,47209
32208,28253,47159
32434,28285,47196
32640,28294,47111
32685,28303,47151
32700,28296,47176
32784,28284,46887
32793,28268,47167
32728,28268,47104
32756,28271,46899
32832,28280,47132
32908,28308,46855
33114,28328,47111
33349,28351,46855
33505,28358,47133
33428,28357,47164
33430,28341,46852
33312,28324,47141
33084,28320,47156
32985,28330,47111
32988,28342,47150
32888,28366,47104
32940,28391,47048
33000,28414,46852
33008,28415,47129
32948,28410,46831
32732,28405,47137
32441,28385,47140
32189,28385,47116
32105,28391,47141
31956,28397,47066
31816,28423,47081
31840,28452,47111
31940,28471,47095
31933,28478,47045
31856,28469,46855
31776,28464,47104
31638,28447,47109
31534,28441,47092
31444,28449,47084
31492,28461,46940
31584,28476,47012
31748,28509,46940
31864,28522,47011
31866,28524,47059
31796,28525,46900
31732,28519,47032
31625,28497,47012
31448,28489,46908
31404,28501,46926
31396,28509,46774
31464,28525,46948
31540,28559,46873
31680,28573,46885
31796,28580,46769
31744,28580,46853
31649,28569,46934
31608,28549,46832
31521,28532,46876
31432,28548,46769
31420,28559,46792
31508,28575,46564
31708,28609,46825
31884,28625,46828
31884,28621,46802
31704,28628,46772
31464,28615,46751
31188,28607,46672
30892,28597,46438
30780,28598,46687
30688,28609,46388
30856,28625,46572
31233,28655,46325
31748,28671,46599
32220,28674,46596
32652,28660,46557
33226,28644,46567
33769,28637,46428
34672,28619,46486
36036,28616,46421
37828,28616,46397
39408,28644,46310
40752,28655,46421
41704,28673,46384
42376,28664,46420
43004,28661,46374
43456,28673,46364
43376,28639,46228
41980,28633,46380
39909,28653,46324
37888,28658,46109
36068,28693,46336
34336,28732,46373
33024,28756,46252
32140,28747,46325
31716,28751,46215
31565,28740,46264
31478,28717,46064
31416,28716,46284
31428,28716,46087
31448,28727,46279
31456,28740,46325
31462,28771,46329
31436,28795,46068
31364,28790,46343
31248,28785,46388
31096,28774,46319
30952,28760,46412
30780,28749,46246
30774,28751,46344
30786,28768,46245
30816,28788,46367
30904,28813,46484
31140,28827,46496
31148,28828,46532
31012,28817,46480
31008,28812,46497
30960,28790,46324
30832,28783,46588
30869,28789,46612
30964,28802,46632
31072,28807,46656
31156,28848,46636
31296,28859,46647
31296,28857,46532
31261,28844,46660
31312,28844,46670
31224,28823,46680
31112,28815,46567
31092,28816,46588
31164,28837,46642
31248,28847,46644
31480,28877,46660
31804,28883,46604
31824,28893,46625
31701,28885,46599
31632,28879,46647
31532,28857,46613
31384,28836,46644
31404,28845,46639
31472,28863,46437
31608,28878,46641
31892,28895,46647
32036,28904,46677
32072,28922,46694
32060,28913,46662
32057,28900,46689
31952,28880,46672
31840,28868,46671
31876,28868,46522
31969,28884,46644
32024,28894,46672
32252,28917,46518
32436,28941,46545
32484,28944,46631
32496,28935,46532
32509,28921,46527
32381,28903,46564
32327,28893,46248
32464,28896,46471
32600,28900,46438
32678,28921,46300
32776,28951,46284
32944,28967,46343
33025,28965,46273
33054,28956,46212
33168,28953,46233
33124,28924,46125
33068,28913,46113
33088,28913,46151
33116,28929,45975
33224,28951,46022
33412,28968,46044
33664,28985,45853
33812,28986,45938
33848,28983,45896
33865,28973,45679
33692,28950,45748
33640,28941,45524
33768,28948,45767
33984,28953,45703
34048,28965,45575
34180,28988,45612
34260,29009,45525
34252,29008,45575
34196,29006,45381
34124,28989,45396
34072,28965,45173
33908,28961,45348
33860,28959,45097
33880,28971,45316
33888,28986,45293
33936,29012,44988
34012,29026,45185
34073,29028,45116
34004,29020,44977
33846,29011,44983
33637,28999,44780
33440,28980,44956
33324,28985,44668
33292,28997,44900
33344,29009,44804
33385,29036,44717
33440,29053,44506
33396,29050,44656
33296,29041,44678
33132,29033,44629
32906,29001,44607
32684,29000,44528
32540,29000,44512
32488,29009,44399
32457,29028,44327
32430,29053,44167
32424,29066,44210
32396,29068,44008
32204,29066,44244
32144,29058,44228
32024,29030,44143
31780,29017,44129
31653,29020,44039
31536,29029,44032
31504,29047,43936
31572,29066,43974
31656,29090,43876
31728,29089,43884
31676,29077,43722
31525,29072,43655
31305,29059,43527
31109,29036,43564
31004,29040,43360
31128,29049,43527
31177,29061,43307
31245,29089,43527
31408,29093,43354
31385,29101,43423
31309,29089,43391
31272,29082,43174
31228,29063,43256
31200,29053,43033
31150,29055,43112
31188,29055,42841
31316,29079,43084
31432,29101,43077
31481,29110,42879
31560,29112,42823
31604,29110,42733
31644,29092,42724
31528,29073,42660
31296,29063,42765
31276,29063,42732
31384,29074,42653
31521,29082,42468
31711,29110,42412
31958,29119,42192
31864,29127,42455
31856,29116,42413
31829,29102,42431
31701,29084,42308
31580,29060,41948
31648,29069,42253
31720,29083,42190
31832,29092,42108
31956,29119,41965
32076,29127,41862
32088,29132,41829
32000,29122,41756
31924,29119,41828
31908,29097,41468
31828,29079,41806
31784,29089,41665
31892,29090,41455
31992,29103,41463
32052,29132,41460
32188,29143,41407
32196,29141,41349
32212,29142,41269
32224,29127,41172
32017,29100,40996
31748,29096,41156
31812,29105,40997
32000,29096,40885
32120,29127,40798
32180,29142,40687
32397,29158,40905
32384,29161,40752
32284,29156,40697
32192,29145,40605
32100,29122,40300
32036,29110,40436
32136,29109,40272
32252,29124,40420
32208,29134,40389
32237,29160,40261
32360,29168,40231
32476,29171,39942
32380,29175,40199
32260,29161,40108
32192,29139,40138
32032,29133,40014
31982,29120,39853
32108,29132,39964
32177,29144,39580
32248,29177,39769
32380,29188,39467
32392,29188,39726
32366,29185,39392
32392,29169,39591
32372,29153,39265
32220,29129,39524
32148,29140,39164
32197,29143,39269
32216,29162,39060
32304,29185,39360
32444,29205,39228
32502,29204,39158
32456,29191,39132
32384,29189,39138
32308,29157,39039
32108,29151,38983
32132,29154,38897
32196,29161,38788
32208,29177,38820
32272,29204,38832
32420,29213,38783
32464,29216,38743
32436,29218,38694
32348,29204,38724
32300,29173,38649
32136,29156,38647
32142,29161,38573
32216,29179,38493
32249,29188,38367
32380,29215,38355
32504,29231,38324
32556,29224,38307
32466,29225,38175
32412,29213,38396
32360,29186,38324
32211,29179,38236
32200,29183,38165
32264,29180,37999
32368,29199,38252
32528,29223,37964
32708,29231,38144
32752,29246,38164
32768,29230,38064
32728,29223,38081
32668,29199,37860
32592,29181,38125
32690,29186,38068
32869,29189,37918
32896,29212,38015
33013,29237,37952
33156,29253,37980
33192,29248,37973
33180,29245,37949
33148,29225,37912
33096,29215,37895
33064,29204,37679
33140,29200,37949
33268,29200,37820
33416,29224,37629
33692,29255,37904
33896,29260,37844
33980,29266,37807
33976,29263,37796
33932,29245,37709
33776,29223,37736
33584,29215,37665
33452,29225,37732
33424,29225,37633
33440,29240,37695
33452,29264,37560
33338,29281,37553
33260,29287,37537
33220,29279,37592
33108,29257,37511
32928,29245,37511
32730,29231,37383
32600,29224,37582
32501,29241,37590
32368,29252,37625
32340,29279,37559
32372,29300,37606
32342,29295,37545
32256,29297,37576
32177,29284,37512
32065,29252,37407
31860,29244,37465
31824,29247,37343
31820,29248,37359
31884,29267,37233
32108,29292,37492
32332,29306,37447
32373,29304,37444
32281,29296,37420
32165,29285,37279
32028,29275,37436
31864,29256,37374
31784,29259,37281
31782,29265,37351
31848,29279,37284
31888,29311,37233
32008,29319,37127
32044,29324,37327
32024,29319,37317
31940,29300,37319
31885,29285,37302
31761,29271,37293
31749,29271,37289
31749,29279,37161
31864,29291,37164
31976,29317,37263
32128,29333,37244
32142,29325,37214
32140,29327,37100
32120,29308,37117
31896,29293,37103
31588,29283,37143
31409,29276,37060
31268,29287,37166
31189,29307,37180
31406,29332,37175
31776,29341,37229
32072,29344,37186
32324,29332,37231
32630,29321,37183
33048,29290,37088
33608,29276,36956
34516,29276,37084
35840,29279,36944
37644,29284,37168
39525,29293,36951
41156,29306,37159
42525,29296,36953
43508,29305,37081
44088,29284,37020
44312,29261,37048
44204,29246,37033
43552,29253,37140
42088,29257,37140
40264,29280,37156
37928,29314,37056
35984,29334,37060
34392,29349,37132
33176,29343,37166
32492,29340,36916
32222,29314,37020
31968,29300,36990
31820,29290,37069
31860,29304,36973
31856,29317,37085
31856,29337,37058
31905,29348,37043
31792,29359,37049
31616,29356,37021
31420,29336,36919
31168,29319,36764
30980,29309,36999
30989,29304,36729
31033,29311,36804
31117,29313,36879
31164,29348,36649
31224,29364,36799
31212,29365,36853
31124,29359,36565
31130,29343,36671
