ECG,EDA,RR
34196,21328,31612
34036,21310,31814
33828,21302,31612
33506,21261,31841
33268,21279,31644
33212,21276,31716
33184,21284,31809
33229,21301,31858
33348,21332,31920
33340,21323,31681
33197,21325,31878
33044,21308,31781
32788,21288,31908
32352,21266,31750
32032,21275,31823
31980,21265,31796
31992,21288,31876
32049,21292,31855
32236,21312,31962
32348,21319,31957
32320,21309,31974
32236,21310,32012
32144,21277,31783
31917,21266,31918
31786,21263,31820
31770,21250,32069
31860,21272,32028
31937,21293,32007
32148,21309,31861
32260,21320,32113
32200,21311,31879
32104,21309,32047
32012,21272,31884
31796,21249,32151
31712,21239,32108
31700,21244,32175
31856,21255,32120
31992,21289,32183
32140,21305,32151
32208,21304,32190
32124,21303,32164
32028,21293,32204
31941,21268,32176
31760,21252,32182
31636,21240,32001
31648,21254,32108
31764,21262,32195
31912,21276,32205
32128,21302,32180
32224,21316,32224
32116,21302,32148
31857,21287,32249
31652,21269,32317
31364,21241,32293
31164,21240,32287
31184,21249,32294
31432,21252,32367
31944,21273,32108
32584,21292,32221
33256,21305,32185
33962,21291,32241
34644,21274,32333
35560,21268,32390
36756,21227,32375
38320,21253,32428
40104,21229,32404
41644,21231,32386
42864,21287,32420
43924,21285,32500
44776,21285,32434
45212,21312,32455
45300,21270,32260
44300,21252,32377
42104,21224,32268
39792,21229,32377
37288,21220,32469
35264,21248,32519
33796,21262,32584
33020,21295,32350
32736,21284,32431
32608,21297,32422
32469,21271,32535
32288,21265,32504
31997,21231,32569
31772,21236,32658
31690,21231,32428
31632,21236,32665
31581,21274,32631
31718,21293,32689
31756,21303,32468
31660,21287,32694
31544,21271,32672
31414,21245,32756
31168,21221,32519
31044,21221,32807
31044,21223,32749
31086,21240,32844
31172,21255,32774
31416,21284,32864
31544,21283,32591
31532,21285,32735
31516,21262,32620
31388,21255,32924
31172,21221,32853
31196,21209,32756
31308,21231,32868
31388,21231,32773
31461,21244,32858
31680,21285,32687
31784,21276,32930
31742,21276,32877
31700,21262,32774
31640,21247,32775
31496,21215,32861
31452,21231,32689
31593,21216,32892
31732,21214,32647
31848,21251,32805
32085,21268,32863
32184,21278,32943
32186,21270,32641
32124,21266,32893
32064,21232,32641
31889,21207,32916
31788,21206,32864
31872,21213,32953
31944,21228,32897
32088,21234,32841
32359,21271,32878
32556,21269,32844
32592,21261,32916
