ECG,EDA,RR
30668,31930,31903
30613,31943,31832
30560,31973,31796
30554,31972,31751
30588,31961,31776
30648,31913,31744
30732,31879,31708
30801,31879,31800
30873,31893,31795
30876,31908,31761
30868,31943,31747
30820,31980,31724
30784,31991,31633
30768,31991,31568
30784,31983,31642
30828,31941,31637
30916,31908,31585
30962,31893,31561
30952,31913,31591
30984,31924,31536
31020,31961,31560
30968,32004,31436
30924,32015,31445
30912,32007,31508
30884,31997,31459
30952,31965,31465
31036,31927,31392
31096,31921,31455
31089,31924,31356
31076,31943,31415
31044,31991,31300
30944,32037,31287
30908,32036,31357
30856,32035,31332
30884,32022,31301
30924,31972,31260
31040,31956,31239
31137,31951,31205
31184,31967,31188
31176,31975,31181
31170,32017,31160
31072,32058,31125
31025,32061,31108
31012,32062,31087
30980,32058,31093
30980,32013,31060
31032,31989,31017
31033,31973,31022
31064,31991,31015
31052,31993,30936
31044,32048,30881
30956,32086,30884
30864,32073,30885
30868,32091,30936
30876,32088,30924
30912,32044,30916
30988,32007,30904
31060,32003,30864
31076,32019,30849
31044,32023,30847
30996,32059,30857
30913,32113,30844
30796,32124,30833
30780,32119,30829
30772,32113,30844
30832,32085,30861
30904,32047,30852
30978,32037,30855
31000,32052,30832
31020,32044,30852
31056,32100,30816
30984,32140,30804
30908,32135,30764
30896,32149,30746
30932,32141,30784
30976,32109,30860
31056,32073,30853
31168,32063,30853
31240,32079,30846
31253,32085,30805
31296,32135,30804
31264,32172,30796
31264,32162,30818
31310,32173,30775
31356,32169,30745
31444,32133,30756
31572,32101,30753
31697,32091,30683
31800,32085,30664
31910,32111,30632
31980,32159,30633
31964,32196,30612
32024,32211,30564
32128,32207,30564
32232,32193,30565
32332,32165,30604
32532,32130,30604
32735,32116,30588
32812,32125,30566
32920,32135,30524
33001,32186,30549
33040,32223,30524
33040,32212,30511
33080,32231,30516
33164,32222,30503
33268,32183,30446
33385,32135,30391
33560,32149,30367
33632,32149,30396
33664,32151,30469
33652,32207,30429
33586,32239,30448
33552,32251,30388
33572,32250,30382
33616,32247,30381
33648,32204,30312
33768,32169,30308
33832,32169,30332
33912,32167,30361
33916,32193,30373
33885,32238,30397
33800,32279,30383
33656,32285,30373
33626,32279,30367
33616,32279,30388
33610,32231,30382
33668,32201,30388
33709,32197,30390
33704,32207,30332
33704,32217,30288
33680,32263,30286
33568,32299,30292
33477,32311,30339
33428,32293,30372
33422,32303,30372
33454,32256,30374
33494,32231,30361
33528,32229,30353
33564,32231,30371
33572,32243,30375
33545,32295,30369
33432,32332,30378
33336,32340,30415
33312,32327,30357
33300,32325,30388
33334,32283,30409
33412,32246,30405
33492,32239,30401
33548,32263,30393
33540,32278,30440
33536,32310,30431
33377,32364,30422
33304,32372,30429
33280,32365,30411
33288,32354,30420
33280,32324,30418
33380,32287,30310
33448,32283,30327
33464,32295,30364
33472,32295,30353
33420,32340,30343
33360,32382,30340
33316,32391,30333
33306,32388,30334
33356,32382,30253
33416,32341,30221
33504,32300,30275
33580,32303,30301
33624,32300,30304
33660,32324,30276
33616,32369,30280
33518,32407,30226
33472,32421,30183
33472,32409,30268
33432,32407,30277
33428,32364,30249
33484,32328,30266
33556,32329,30225
33581,32327,30200
33596,32351,30164
33564,32389,30215
33449,32429,30264
33360,32430,30271
33332,32434,30263
33360,32425,30257
33372,32391,30182
33420,32359,30168
33480,32342,30180
33476,32357,30246
33496,32371,30231
33432,32414,30223
33348,32453,30231
33284,32455,30236
33288,32453,30161
33272,32454,30169
33264,32415,30237
33309,32375,30214
33364,32375,30212
33334,32391,30236
33304,32391,30238
33264,32434,30255
33168,32487,30261
33084,32471,30264
33080,32473,30273
33068,32469,30284
33076,32434,30312
33156,32397,30317
33244,32389,30377
33264,32407,30389
33204,32405,30361
33128,32454,30332
33048,32500,30341
33002,32509,30439
32972,32496,30469
32962,32498,30428
32980,32455,30493
33008,32420,30580
33045,32420,30598
33064,32431,30616
33092,32431,30655
33096,32487,30661
32980,32519,30680
32924,32535,30709
32916,32519,30739
32868,32506,30775
32916,32476,30807
33020,32442,30815
33072,32442,30788
33098,32448,30772
33117,32455,30787
33062,32493,30820
32928,32551,30821
32836,32549,30851
32768,32535,30847
32772,32542,30871
32808,32500,30878
32896,32469,30913
32950,32461,30945
32976,32471,30996
32988,32480,31042
32966,32526,31037
32836,32557,31060
32756,32564,31094
32736,32559,31001
32770,32567,31012
32804,32519,31135
32900,32468,31143
32957,32477,31144
32992,32485,31174
33028,32495,31207
33048,32551,31098
33012,32588,31208
32968,32591,31228
32965,32580,31271
32981,32579,31236
32988,32541,31191
33068,32501,31207
33157,32487,31231
33197,32511,31356
33176,32519,31393
33125,32552,31375
33017,32605,31412
33028,32611,31442
33038,32597,31367
33055,32592,31411
33077,32551,31377
33156,32515,31389
33212,32518,31416
33236,32527,31415
33260,32541,31469
33232,32583,31500
33100,32615,31512
32972,32623,31511
32896,32622,31615
32872,32604,31596
32918,32553,31639
33008,32537,31570
33100,32533,31580
33160,32549,31653
33172,32556,31660
33120,32604,31656
33029,32638,31679
32997,32636,31701
32984,32631,31719
32964,32629,31727
32996,32580,31632
