ECG,EDA,RR
32888,33281,35372
32864,33248,35365
32876,33262,35321
32864,33212,35305
32908,33197,35335
32960,33203,35344
32976,33207,35356
32957,33216,35201
32900,33251,35207
32832,33295,35250
32776,33287,35332
32796,33287,35369
32840,33273,35325
32840,33231,35309
32928,33204,35328
32969,33204,35281
32968,33217,35357
32976,33207,35358
32984,33279,35364
32969,33311,35351
32964,33308,35376
32988,33287,35261
32960,33287,35375
32913,33244,35393
32968,33223,35303
33034,33223,35359
33044,33231,35377
32980,33249,35383
32944,33298,35383
32888,33322,35246
32832,33316,35245
32853,33319,35240
32892,33308,35263
32916,33255,35357
32988,33238,35417
32984,33243,35389
32976,33251,35389
32962,33247,35316
32876,33312,35350
32828,33335,35383
32758,33338,35389
32748,33330,35389
32748,33327,35396
32784,33277,35258
32848,33253,35258
32890,33255,35311
32908,33265,35427
32936,33271,35386
32889,33338,35316
32865,33356,35341
32885,33343,35340
32928,33349,35329
33000,33343,35376
33080,33301,35390
33180,33271,35260
33224,33279,35237
33236,33287,35335
33221,33298,35412
33184,33348,35328
33160,33383,35409
33152,33375,35404
33144,33371,35276
33128,33342,35279
33096,33309,35364
33156,33302,35399
33188,33285,35406
33200,33307,35412
33216,33333,35422
33216,33381,35427
33182,33405,35420
33125,33391,35378
33108,33380,35389
33084,33380,35382
33044,33329,35401
33007,33316,35260
33064,33316,35285
33092,33327,35426
33092,33338,35327
33048,33395,35332
32992,33415,35353
32956,33415,35335
32956,33415,35343
32929,33383,35357
32928,33359,35320
32993,33343,35384
33030,33345,35404
33040,33350,35261
33004,33375,35316
32961,33412,35427
32916,33446,35321
32864,33451,35380
32808,33437,35401
32776,33423,35269
32796,33383,35252
32852,33341,35404
32856,33373,35322
32865,33379,35335
32848,33393,35351
32816,33445,35352
32736,33458,35354
32646,33479,35320
32560,33471,35316
32428,33461,35335
32344,33415,35350
32216,33399,35359
32048,33407,35365
31790,33388,35381
31389,33435,35236
30920,33484,35262
30432,33513,35261
30140,33521,35292
30125,33519,35377
30232,33509,35377
30364,33460,35389
30684,33445,35385
31364,33444,35382
32424,33433,35319
33549,33470,35292
35168,33511,35301
37260,33529,35335
39696,33511,35348
42016,33503,35232
44196,33484,35220
45536,33455,35303
45548,33433,35355
44704,33444,35344
43616,33460,35340
42188,33484,35280
40033,33532,35316
38372,33573,35311
37472,33573,35296
36824,33567,35248
36228,33551,35208
35716,33519,35236
35128,33499,35256
34512,33511,35273
33908,33519,35335
33353,33543,35361
32808,33589,35308
32212,33622,35301
31684,33612,35291
31225,33612,35325
30884,33609,35180
30666,33572,35165
30568,33517,35257
30456,33559,35294
30392,33564,35190
30340,33572,35185
30280,33631,35198
30260,33653,35217
30208,33647,35207
30198,33654,35221
30212,33609,35077
30204,33602,35049
30272,33581,35084
30340,33587,35204
30392,33597,35124
30436,33607,35165
30424,33655,35197
30360,33654,35052
30352,33678,35127
30340,33671,35102
30390,33641,35145
30420,33623,35193
30502,33607,35144
30582,33604,35164
30608,33616,35133
30632,33631,35138
30652,33687,35148
30632,33716,35069
30628,33708,35109
30681,33709,35118
30652,33695,35143
30712,33653,35004
30824,33615,35007
30881,33637,35002
30948,33647,34999
30972,33671,35028
30968,33711,35118
30912,33743,35076
30906,33740,35121
30917,33743,35026
30908,33732,35124
30912,33687,35169
31009,33663,35175
31060,33671,35095
31068,33687,35108
31072,33700,35015
31068,33753,35074
31040,33767,35135
31012,33776,35109
30976,33775,35151
30944,33759,35141
31012,33721,35137
31109,33685,35141
31148,33709,35057
31172,33724,35044
31180,33732,35100
31173,33782,35111
31136,33815,35108
31097,33823,34968
31044,33799,35010
31080,33780,35055
31108,33753,35076
31136,33740,35108
31148,33748,35108
31132,33748,35129
31109,33778,34985
31048,33823,35097
30964,33847,35136
30916,33850,35068
30916,33847,35141
30904,33813,35012
30892,33791,35113
30957,33767,35105
30996,33781,35151
31028,33783,35038
31042,33799,35093
31020,33863,35165
30964,33871,35175
30945,33888,35068
30988,33868,35052
30984,33863,35056
31012,33821,35071
31078,33799,35112
31169,33811,35198
31180,33821,35227
31216,33837,35137
31236,33876,35180
31216,33916,35199
31212,33911,35205
31186,33908,35055
31214,33903,35149
31308,33839,35152
31380,33837,35144
31464,33838,35177
31544,33848,35176
31584,33855,35039
31604,33926,35065
31620,33949,35168
31652,33948,35157
31680,33927,35133
31733,33927,35111
31840,33887,35005
31952,33850,34973
32056,33845,35096
32180,33881,35053
32286,33892,34944
32356,33950,35087
32369,33973,35052
32421,33964,34929
32513,33965,35007
32624,33951,34972
32765,33910,35013
32924,33895,34913
33044,33897,34873
33180,33903,34988
33272,33908,34941
33312,33965,35017
33328,33994,34865
33372,33996,34880
33468,33986,35007
33508,33977,34927
33601,33932,34988
33716,33893,34855
33764,33924,34845
33792,33932,34983
33824,33944,34903
33816,34001,34972
33764,34027,34812
33728,34005,34969
33752,34023,34977
33740,34007,34889
33764,33964,34960
33864,33927,34823
33924,33949,34812
33934,33959,34951
33900,33977,34977
33853,34014,34981
33768,34046,34896
33720,34041,34967
33712,34049,34845
33720,34037,34823
33752,33993,34908
33780,33975,34980
33792,33980,34924
33790,33986,34981
33798,33996,34853
33756,34055,34855
33684,34055,34843
33649,34087,34960
33616,34071,34959
33580,34067,34973
33601,34020,35008
33605,33979,34895
33640,34005,34895
33604,34019,34892
33568,34034,34933
33513,34086,35040
33416,34109,34983
33360,34105,35024
33340,34095,34939
33292,34093,34951
33264,34035,35013
33316,34025,35055
33327,34031,35066
33316,34042,34959
33312,34052,35097
33230,34095,35063
33181,34129,35116
33159,34121,34996
33136,34127,35024
33096,34112,35095
33084,34050,35005
33140,34052,35140
33188,34055,35061
33212,34071,35007
33196,34088,35109
33141,34132,35118
33068,34157,35009
33020,34136,35132
33000,34155,35134
33016,34137,35006
33080,34088,35157
33156,34081,35092
33222,34090,35055
33262,34092,35127
33301,34094,35135
33280,34165,35185
33261,34183,35055
33260,34183,35087
33260,34172,35223
33272,34165,35215
33308,34121,35079
33388,34103,35205
33428,34099,35227
33416,34118,35133
33412,34121,35244
33381,34180,35252
33269,34204,35140
33192,34207,35204
33188,34209,35289
