ECG,EDA,RR
30256,17629,31604
30400,17683,31356
30420,17657,31552
30432,17735,31596
30396,17687,31629
30292,17698,31729
30273,17776,31459
30238,17700,31656
30256,17693,31479
30380,17745,31712
30524,17669,31645
30529,17723,31765
30540,17669,31804
30608,17756,31681
30556,17693,31789
30478,17703,31910
30432,17733,31604
30352,17716,31933
30386,17699,31630
30408,17756,31878
30484,17681,31623
30584,17674,31781
30600,17772,31661
30592,17701,31769
30600,17708,31887
30512,17783,31916
30460,17734,32031
30432,17731,31719
30473,17811,31831
30596,17739,31749
30672,17705,32028
30684,17702,32017
30656,17691,32141
30632,17765,31831
30556,17766,32196
30498,17741,31885
30464,17735,32028
30529,17778,32081
30556,17729,32210
30632,17799,32338
30685,17725,32036
30708,17714,32263
30668,17705,32228
30576,17735,32364
30532,17733,32487
30489,17777,32301
30436,17758,32359
30488,17836,32454
30512,17767,32526
30617,17735,32569
30672,17710,32631
30712,17768,32772
30730,17729,32696
30764,17726,32775
30692,17822,32526
30516,17815,32924
30385,17769,32842
30372,17752,32813
30364,17794,32796
30457,17740,32921
30597,17799,32991
30656,17732,32988
30666,17724,32960
30680,17767,33055
30632,17751,33168
30532,17766,33085
30508,17772,33140
30548,17761,32863
30612,17853,33181
30710,17764,32987
30860,17731,33152
30956,17789,33264
31040,17749,33213
31072,17737,33248
31040,17820,33237
30992,17786,33351
31028,17770,33055
31084,17852,33398
31180,17790,33334
31351,17765,33420
31546,17744,33336
31637,17749,33287
31688,17749,33377
31764,17732,33409
31824,17806,33488
31904,17798,33444
31980,17780,33601
32060,17825,33501
32176,17776,33657
32361,17745,33320
32620,17774,33524
32793,17761,33476
32897,17739,33668
33020,17798,33575
33044,17780,33670
33076,17870,33823
33108,17796,33492
33216,17887,33656
33261,17789,33716
33420,17767,33775
33668,17751,33775
33776,17818,33853
33828,17759,34000
33881,17830,33873
33848,17791,33974
33780,17778,34070
33737,17833,34004
33866,17797,34140
33908,17776,34071
33981,17865,34197
34076,17751,34093
34148,17756,34217
34196,17737,34156
34200,17853,34287
34132,17811,34212
34076,17797,34237
33976,17783,34269
33944,17849,34389
33976,17789,34311
34045,17771,34263
34096,17730,34322
34112,17799,34373
34048,17771,34406
34020,17879,34449
33966,17781,34369
33840,17786,34478
33745,17799,34503
33716,17780,34433
33697,17853,34499
33772,17773,34631
33905,17860,34581
33920,17759,34671
33888,17753,34600
33820,17847,34764
33700,17791,34684
33552,17793,34625
33480,17804,34614
33480,17786,34692
33541,17799,34793
33604,17862,34772
33680,17772,34896
33704,17879,34795
33712,17773,34935
33672,17869,34685
33560,17799,34768
33480,17800,34751
33396,17823,34823
33416,17793,34908
33472,17847,34886
33514,17786,35005
33620,17865,34630
33636,17781,34969
33660,17769,34763
33594,17814,34951
