ECG,EDA,RR
33089,15871,29575
33128,15958,29665
33068,15860,29439
33020,15904,29565
32948,16016,29639
32828,15908,29484
32768,15925,29601
32729,15916,29485
32749,15907,29701
32800,15931,29496
32813,15991,29412
32832,15854,29639
32852,15879,29506
32856,15893,29608
32804,15960,29452
32784,15973,29652
32816,15912,29533
32840,15929,29688
32864,15906,29549
32956,15907,29477
33013,15923,29657
33080,15981,29690
33140,16005,29690
33121,15892,29692
33040,15928,29575
32952,15931,29691
32933,15940,29761
33024,16012,29785
33080,16031,29784
33192,15889,29676
33264,15885,29529
33300,15925,29741
33269,15978,29738
33236,15893,29632
33156,15923,29748
33072,15948,29855
33064,15969,29737
33116,16054,29661
33156,15904,29564
33272,15911,29783
33336,15913,29791
33264,15938,29748
33188,15985,29893
33120,15903,29782
33057,15950,29636
32992,15986,29821
33012,16009,29795
33024,16029,29917
33050,15922,29871
33104,15900,29789
33144,15910,29684
33177,15912,29896
33125,15951,29791
33056,16002,30003
32960,16063,30000
32904,15943,29820
32941,15963,29921
32936,15969,29920
32977,16020,29861
33020,15916,29975
33052,15929,29853
33021,15927,29777
32980,16037,29948
32960,15941,30060
32840,15967,29868
32778,16053,30001
32784,15954,29942
32776,15983,30084
32732,15965,30045
32673,16020,29893
32585,15923,29809
32428,15921,30029
32184,15945,30020
31864,15968,29919
31470,16017,29932
30882,16081,30052
30276,15975,30021
29836,15989,30165
29692,16006,29860
29712,16039,30076
29820,16039,30045
29940,16055,30010
30516,15954,30000
31700,15977,30077
33096,16028,30055
34776,16037,30001
37180,16078,30180
40144,16135,30052
43080,15993,29880
45748,16033,30078
47772,16131,30112
48296,15928,30170
47238,15968,30012
45580,16020,30116
44028,16088,30087
41932,16179,30028
39732,16079,30146
38636,16020,30200
38364,16029,30045
38020,16015,29975
37500,16104,30153
36776,15970,30183
35852,16021,30187
34936,16064,30001
34040,16141,30228
33230,16038,30196
32548,16048,30325
31960,16049,30130
31434,16087,30028
31016,16011,30213
30696,16025,30237
30462,16036,30050
30296,16115,30185
30152,16036,30264
29996,16060,30057
29888,16097,30174
29856,16165,30141
29832,16070,30183
29900,16065,30052
29967,16033,30117
30028,16033,30044
30053,16039,30052
30056,16033,30087
30072,16058,30073
30032,16096,29972
30017,16164,29877
30040,16079,29951
30088,16109,29933
30128,16058,30036
30173,16070,30047
30224,16151,30026
30269,16058,29900
30268,16068,29985
30273,16168,30029
30262,16105,30125
30216,16119,29852
30232,16201,30012
30280,16105,30039
30322,16128,30072
30380,16063,30045
30469,16070,30015
30496,16081,30120
30464,16176,30036
30409,16080,30130
30357,16125,29937
30336,16143,30128
30348,16229,30226
30380,16114,30053
30404,16123,30156
30436,16099,30115
30464,16151,30214
30476,16091,30094
30448,16097,29960
30428,16121,30103
30368,16153,30133
30316,16209,30238
30280,16135,30037
30276,16147,30149
30316,16135,30087
30388,16175,30112
30373,16103,29925
30396,16127,30124
30397,16128,30007
30368,16194,30128
30316,16149,30087
30240,16162,29900
30252,16175,30089
30276,16237,30188
30288,16151,29973
30320,16149,30132
30368,16161,30045
30364,16216,30223
30317,16139,30114
30276,16153,30111
30188,16179,30014
30188,16193,30185
30188,16210,30206
30186,16202,30212
30196,16189,30235
30282,16165,30245
30312,16164,30261
30341,16163,30276
30384,16182,30292
30332,16188,30261
30200,16261,30344
30124,16311,30364
30120,16209,30237
30148,16211,30352
30144,16229,30319
30218,16281,30374
30317,16281,30276
30316,16173,30180
30324,16204,30393
30304,16223,30279
30220,16268,30399
30212,16337,30213
30228,16228,30396
30264,16236,30380
30300,16237,30333
30400,16220,30340
30524,16234,30156
30568,16316,30353
