ECG,EDA,RR
33010,25357,31273
33052,25351,31343
33024,25363,31405
32916,25406,31268
32796,25431,31365
32706,25435,31175
32720,25425,31148
32756,25415,31140
32840,25375,31270
32880,25345,31239
32876,25343,31198
32984,25343,31153
33028,25351,31190
33040,25402,31234
32980,25436,31227
32932,25424,31068
32865,25416,31166
32828,25421,31143
32868,25367,31135
32924,25349,31208
32972,25333,31094
33008,25348,31212
32964,25348,31061
32821,25402,31052
32793,25431,31060
32696,25423,31152
32740,25407,31248
32764,25401,31146
32776,25362,31157
32848,25335,31239
32832,25335,31090
32804,25341,31105
32792,25349,31116
32796,25395,31236
32660,25419,31327
32573,25416,31272
32624,25415,31217
32684,25409,31334
32700,25351,31356
32772,25321,31372
32785,25325,31389
32796,25333,31373
32814,25340,31391
32736,25388,31364
32688,25412,31495
32600,25410,31474
32567,25402,31393
32600,25405,31389
32620,25345,31404
32732,25321,31427
32752,25327,31458
32825,25330,31481
32812,25335,31510
32800,25380,31565
32660,25412,31759
32520,25405,31709
32500,25405,31676
32525,25398,31790
32552,25345,31826
32677,25317,31744
32749,25311,31741
32780,25324,31836
32772,25325,31957
32740,25373,31985
32684,25409,32012
32616,25403,32061
32617,25397,31981
32672,25385,32100
32745,25331,32156
32716,25316,32194
32736,25303,32245
32718,25313,32276
32780,25331,32134
32726,25359,32177
32624,25400,32229
32553,25391,32341
32552,25389,32407
32588,25383,32489
32632,25333,32578
32816,25296,32488
32964,25300,32623
32993,25309,32652
32932,25319,32711
32880,25357,32582
32740,25393,32656
32636,25389,32839
32604,25376,32925
32584,25372,32911
32632,25332,32860
32788,25302,33012
32828,25285,32874
32804,25296,32925
32772,25311,33004
32738,25351,33149
32592,25387,33273
32572,25383,33201
32602,25372,33252
32600,25371,33333
32652,25319,33204
32708,25289,33380
32756,25294,33485
32749,25296,33469
32716,25309,33524
32640,25343,33593
32576,25383,33636
32525,25379,33688
32544,25369,33710
32512,25367,33573
32608,25322,33629
32732,25287,33700
32844,25279,33794
32840,25295,33887
32780,25298,33998
32816,25340,33941
32780,25379,34028
32760,25372,34065
32749,25364,34117
32848,25351,34028
32924,25315,34108
33097,25279,34191
33188,25283,34343
33212,25284,34210
33216,25295,34285
33136,25336,34367
32976,25365,34401
32918,25365,34444
32912,25356,34500
32948,25348,34559
33072,25307,34577
33092,25273,34404
33153,25273,34575
33116,25278,34772
33124,25287,34695
33045,25334,34741
32864,25357,34720
32828,25358,34790
32828,25351,34870
32836,25343,34934
32865,25297,34839
32893,25276,35058
32925,25270,34952
32932,25278,34959
32916,25284,35033
32848,25324,35117
32728,25356,35170
32684,25351,35207
32704,25351,35028
32660,25338,35137
32684,25303,35327
32784,25265,35300
32865,25268,35279
32908,25279,35417
32832,25272,35217
32792,25319,35325
32708,25351,35503
32644,25351,35556
32628,25343,35556
32652,25339,35396
32692,25300,35508
32776,25269,35608
32796,25261,35710
32793,25278,35620
32785,25279,35698
32696,25315,35780
32524,25345,35796
32356,25345,35689
32224,25341,35719
32064,25335,35780
31944,25301,35870
31766,25254,35975
31390,25259,36028
30920,25275,35994
30608,25283,35964
30564,25319,36012
30592,25357,36096
30652,25351,35877
30814,25350,36065
31280,25343,36160
32236,25307,36188
33302,25271,36207
34585,25271,36240
36384,25264,36177
38532,25275,36396
40740,25329,36284
42924,25357,36289
44376,25383,36327
44716,25346,36353
44200,25351,36518
43256,25330,36437
42076,25271,36407
40209,25289,36444
38452,25299,36508
37444,25303,36568
36860,25319,36609
36262,25363,36418
35628,25365,36455
34925,25366,36565
34288,25351,36712
33744,25306,36749
33301,25279,36685
32876,25278,36783
32461,25273,36804
31996,25284,36933
31468,25324,36789
31040,25359,36901
30740,25361,36924
30608,25357,36743
30476,25348,36736
30388,25313,36888
30424,25271,36973
30476,25271,37036
30452,25275,37077
30436,25281,36988
30432,25320,37061
30396,25359,37100
30332,25356,37117
30340,25349,36905
30368,25342,37063
30416,25300,37188
30528,25266,37284
30608,25266,37110
30645,25269,37180
30648,25277,37263
30616,25313,37268
30552,25355,37196
30524,25345,37356
30536,25343,37413
30592,25332,37327
30728,25300,37356
30876,25262,37150
30940,25253,37300
31024,25265,37326
31028,25271,37344
31012,25307,37457
30972,25351,37596
30936,25348,37499
30916,25338,37551
30928,25331,37415
30984,25292,37580
31110,25255,37695
31238,25252,37727
31240,25271,37691
31256,25268,37660
31220,25310,37575
31092,25349,37663
31057,25349,37704
31076,25338,37712
31096,25325,37718
31124,25298,37511
31220,25263,37648
31332,25254,37852
31368,25263,37860
31384,25264,37699
31348,25304,37692
31224,25341,37796
31112,25349,37525
31060,25335,37597
31056,25325,37698
31136,25288,37743
31215,25256,37885
31272,25253,37821
31336,25263,37830
31369,25268,37831
31321,25300,37852
31204,25347,37908
31140,25344,37663
31152,25335,37836
31180,25327,37892
31229,25293,37866
31328,25255,37959
31396,25253,38004
31408,25255,38055
31410,25268,38064
31372,25300,37991
31276,25337,37964
31204,25346,38030
31136,25331,38076
31128,25327,38075
31168,25289,38108
31272,25248,38181
31296,25248,38097
31290,25261,38141
31316,25264,38055
31280,25297,38236
31180,25332,38264
31108,25343,38268
31116,25328,38061
31145,25327,38180
31201,25282,37908
31285,25248,38191
31366,25247,38164
31428,25261,38137
31452,25263,38180
31457,25296,38052
31396,25335,38224
31332,25335,38181
31368,25332,38151
31368,25325,38057
31404,25285,38023
31516,25257,38132
31560,25252,37888
31556,25260,38025
31556,25252,38188
31564,25292,38055
31492,25332,38055
31457,25329,38095
31509,25327,37983
31553,25323,38164
31596,25286,37969
31740,25244,38061
31804,25244,37776
31856,25247,37879
31936,25255,38023
31976,25286,37935
31980,25325,38023
32010,25339,37942
32137,25323,38056
32224,25319,38080
32368,25272,37921
32553,25247,37988
32725,25235,37853
32796,25253,37969
32808,25255,37975
32796,25285,37892
32796,25321,38022
32780,25327,38036
32804,25318,37860
32880,25311,37846
32988,25269,37836
33175,25244,37934
33288,25234,37931
33408,25247,37700
33456,25255,37655
33478,25285,37731
33502,25316,37826
33432,25324,37871
33420,25319,37956
33484,25311,38007
33550,25281,37964
33632,25244,37789
33692,25238,37876
33708,25231,37793
33720,25244,37796
33696,25279,37795
33648,25323,37798
33561,25318,37863
33464,25312,37868
33420,25305,37956
33408,25271,37740
33534,25238,37830
33672,25220,37835
33741,25230,37830
33732,25241,37545
33700,25275,37538
33612,25319,37535
33537,25318,37621
33509,25307,37711
33516,25292,37705
33516,25270,37692
33568,25232,37617
33564,25223,37639
33604,25231,37680
33656,25231,37767
33668,25263,37828
33560,25304,37773
33484,25312,37748
33412,25308,37726
33410,25303,37696
33479,25258,37752
33552,25224,37734
33608,25220,37709
33584,25231,37621
33556,25236,37537
33508,25263,37510
33444,25301,37525
33380,25309,37405
33368,25298,37436
33316,25289,37445
33294,25257,37450
33412,25223,37423
33444,25220,37369
33480,25215,37204
33512,25222,37165
33524,25255,37246
33436,25297,37343
33373,25303,37373
33344,25291,37236
33288,25285,37240
33316,25253,37255
33358,25217,37220
33441,25212,36952
33432,25209,37092
33398,25215,37132
33388,25246,37252
33336,25293,37080
33272,25299,37132
33272,25285,37021
33324,25285,37028
33360,25245,36980
33460,25214,36961
33556,25203,37085
33596,25208,37017
33590,25212,36998
33536,25255,37014
33376,25289,36988
33320,25292,36972
33316,25280,36724
33337,25280,36885
33376,25239,36836
33456,25201,36900
33576,25204,36917
33594,25206,36912
33616,25207,36858
33592,25237,36871
33508,25285,36597
33432,25289,36740
33428,25278,36909
33441,25275,36871
33436,25242,36759
33484,25203,36703
33536,25183,36735
33532,25205,36756
33508,25204,36492
33484,25238,36609
33392,25283,36644
33312,25280,36738
33310,25269,36769
33332,25267,36675
33344,25233,36532
33446,25199,36629
33512,25181,36629
33504,25195,36591
33492,25201,36374
33492,25229,36472
33384,25272,36509
33280,25279,36516
33236,25266,36517
33244,25260,36585
33292,25231,36598
33348,25197,36495
33381,25189,36393
33420,25197,36391
33416,25195,36348
33412,25228,36474
33326,25265,36484
33220,25277,36423
33212,25266,36332
33225,25257,36389
33264,25223,36359
33388,25188,36193
33440,25181,36309
33405,25189,36329
33396,25193,36301
33344,25222,36211
33242,25256,36279
33168,25272,36261
33152,25269,36124
33194,25259,36194
33188,25223,36215
33276,25188,36242
33376,25179,36197
33444,25183,36087
33437,25197,36164
33432,25222,35975
33360,25261,36111
33196,25275,36200
33180,25255,36049
33136,25255,36111
33040,25218,35897
33104,25183,35975
33128,25181,36145
33224,25183,36059
33216,25191,36072
33188,25215,36015
33180,25253,35949
33168,25270,35986
33136,25255,35972
33172,25252,35846
33156,25223,35820
33236,25177,35919
33352,25179,35945
33348,25181,35965
33314,25182,35839
33200,25220,35841
33061,25257,35789
32852,25268,35893
32788,25250,35873
32800,25246,35704
32896,25216,35650
32990,25181,35640
33124,25173,35719
33076,25183,35708
33181,25182,35436
33096,25214,35586
32996,25263,35677
32908,25262,35497
32820,25255,35536
32805,25247,35539
32808,25221,35412
32782,25179,35474
32952,25166,35462
32908,25168,35311
32964,25179,35463
33089,25200,35255
33116,25244,35325
32940,25256,35168
32896,25253,35269
32928,25242,35290
32921,25220,35153
33100,25180,35132
33156,25172,34993
33066,25165,34942
32950,25172,35071
33064,25201,35049
33004,25245,34980
32832,25259,34911
32836,25248,34747
32832,25239,34811
32756,25220,34757
32793,25171,34593
33104,25158,34708
33248,25165,34605
33181,25172,34494
33112,25207,34509
33069,25243,34479
32936,25252,34415
32608,25248,34247
32644,25239,34341
32688,25206,34205
32496,25175,34229
32528,25158,33964
32652,25160,33991
32780,25174,33937
32824,25195,34045
32821,25236,33845
32736,25253,33876
32788,25247,33847
32928,25236,33789
33020,25215,33732
33060,25167,33497
33056,25146,33611
33060,25159,33557
33084,25158,33495
32834,25188,33245
32840,25229,33356
32900,25237,33197
32944,25228,33215
32992,25229,33144
32782,25204,32919
32756,25156,33009
32904,25151,32878
32704,25159,32775
32878,25162,32711
33104,25191,32625
32988,25239,32343
33024,25246,32372
32944,25223,32328
32692,25223,32073
32544,25201,32036
32764,25157,31943
32696,25150,31835
32776,25161,31541
32829,25169,31540
32880,25181,31469
32944,25218,31284
32876,25239,31106
32672,25233,30948
32672,25221,30911
32926,25202,30613
33090,25158,30486
33156,25143,30497
33069,25148,30353
33040,25151,30120
33088,25174,30031
33056,25217,29903
32840,25231,29776
32708,25220,29652
32724,25220,29348
32700,25196,29223
32804,25153,29169
32956,25132,29082
33016,25139,28831
33056,25150,28779
32980,25177,28551
32848,25217,28393
32824,25220,28269
32756,25221,28149
32744,25220,28024
32796,25183,27809
32836,25145,27595
32852,25134,27534
32880,25139,27481
32824,25159,27337
32740,25175,27161
32600,25218,27047
32560,25223,26946
32572,25215,26847
32640,25213,26753
32696,25188,26521
32716,25141,26413
32736,25125,26292
32722,25138,26169
32717,25140,26093
32796,25167,26032
32724,25207,25968
32624,25216,25879
32673,25215,25753
32592,25212,25645
32504,25189,25694
32801,25130,25582
32868,25121,25460
32852,25131,25332
32814,25141,25377
32912,25171,25284
32812,25210,25253
32884,25221,25132
32984,25205,25016
33049,25199,24904
32992,25171,24910
33104,25133,24905
33148,25116,24793
33232,25124,24748
33193,25129,24641
32988,25156,24500
32756,25192,24493
32729,25204,24434
32812,25200,24383
33144,25197,24316
33244,25172,24199
33286,25133,24153
33300,25117,24031
33280,25119,23919
33084,25127,23944
33064,25149,23852
32960,25196,23783
32912,25209,23618
32916,25203,23580
32886,25184,23537
32928,25162,23474
32917,25122,23320
32940,25113,23308
32968,25120,23257
32872,25126,23163
32877,25151,23067
32868,25186,23009
32790,25199,22914
32836,25189,22832
32904,25181,22821
32848,25159,22729
32868,25127,22676
32952,25109,22582
32972,25119,22523
33108,25123,22482
33088,25135,22417
33052,25183,22340
32945,25190,22257
32877,25190,22253
32852,25182,22182
32876,25148,22114
32812,25117,22045
32560,25103,22007
32424,25111,21980
32345,25108,21924
32084,25133,21852
31772,25185,21828
31328,25191,21775
30948,25188,21716
30596,25177,21704
30592,25159,21652
30660,25115,21607
30980,25103,21566
31224,25109,21509
31540,25117,21489
32088,25140,21470
33072,25189,21417
33976,25203,21380
35360,25186,21348
37332,25169,21316
39364,25160,21285
41436,25109,21264
43340,25115,21238
43976,25124,21205
43556,25156,21187
42780,25140,21158
41404,25184,21124
39456,25207,21113
37636,25207,21086
36420,25199,21070
35828,25159,21044
35732,25117,21041
35692,25095,21007
35292,25111,21008
34857,25119,20989
34372,25128,20976
33793,25179,20956
33320,25191,20939
32948,25185,20932
32500,25174,20924
32160,25152,20914
31797,25107,20901
31454,25095,20891
31304,25097,20887
31156,25111,20875
30804,25127,20859
30904,25174,20849
30916,25186,20834
30676,25181,20822
30629,25169,20819
30640,25149,20773
30696,25100,20816
30680,25087,20815
30848,25092,20807
30952,25103,20791
30980,25124,20786
31000,25161,20798
31017,25172,20799
30934,25166,20790
30920,25164,20804
30924,25137,20805
30932,25093,20809
30912,25084,20834
30896,25085,20855
30805,25091,20870
30916,25110,20875
30960,25158,20899
30752,25171,20932
30985,25161,20939
31036,25154,20964
30960,25135,20980
31076,25085,20997
31144,25069,21029
31192,25075,21047
31200,25087,21081
31310,25113,21100
31312,25151,21122
31232,25162,21156
31244,25157,21168
31221,25145,21181
31116,25129,21209
31116,25087,21241
31370,25065,21246
31420,25074,21255
31272,25079,21263
31148,25095,21281
31192,25138,21292
31204,25156,21321
31311,25154,21335
31214,25140,21358
31176,25117,21373
31492,25079,21388
31492,25057,21410
31546,25069,21408
31568,25078,21421
31500,25092,21438
31436,25142,21464
31425,25156,21495
31404,25156,21535
31264,25137,21554
31264,25119,21566
31224,25076,21589
31297,25059,21612
31329,25061,21605
31282,25066,21629
31332,25092,21628
31420,25132,21651
31352,25159,21680
31220,25150,21684
31168,25135,21695
31276,25119,21728
31261,25075,21756
31328,25054,21756
31340,25054,21757
31208,25071,21773
31188,25087,21814
31120,25135,21823
31308,25149,21845
31316,25143,21866
31256,25135,21888
30990,25113,21876
31036,25068,21929
31376,25055,21944
31537,25060,21968
31644,25065,21970
31544,25076,21980
31460,25135,21978
31392,25143,22015
31424,25137,22046
31388,25129,22064
31280,25092,22072
31340,25061,22062
31328,25053,22065
31404,25057,22069
31460,25061,22071
31494,25072,22070
31432,25125,22071
31396,25142,22076
31508,25141,22023
31584,25127,22052
31601,25106,22066
31552,25060,22052
31712,25052,22038
31868,25053,21990
31924,25063,22034
31929,25079,22017
31926,25119,21977
31772,25135,22012
31672,25135,21993
31866,25119,21971
32128,25107,21953
32016,25065,21941
32160,25042,21929
32346,25045,21984
32464,25053,21958
32556,25073,21938
32684,25119,21930
32710,25135,21961
32628,25125,21926
32701,25117,21956
32882,25101,21959
33045,25060,21966
33112,25039,21968
33202,25041,21940
33157,25048,21984
33224,25071,21989
33216,25111,21984
33302,25132,21973
33320,25119,21969
33412,25108,22006
33336,25095,22043
33365,25061,22037
33377,25027,22048
33552,25037,22068
33556,25037,22077
33480,25057,22082
33452,25102,22073
33408,25131,22070
33256,25118,22124
33341,25105,22126
33352,25089,22146
33421,25052,22115
33288,25023,22178
33246,25024,22182
33276,25034,22206
33376,25061,22170
33389,25104,22231
33321,25113,22246
33300,25113,22244
33312,25106,22260
33312,25092,22238
33440,25043,22263
33456,25015,22326
33420,25029,22349
33212,25037,22367
33364,25047,22386
33348,25090,22409
33160,25114,22400
33204,25106,22411
33117,25092,22489
33069,25087,22510
33244,25035,22513
33302,25019,22556
33248,25028,22565
33252,25033,22580
33284,25041,22569
33185,25085,22562
33048,25111,22602
33032,25102,22666
33076,25093,22677
33212,25072,22700
33313,25033,22673
33333,25012,22724
33231,25018,22748
33196,25025,22761
33164,25044,22714
33132,25081,22804
33008,25095,22808
32970,25095,22820
33056,25085,22854
33268,25076,22821
33425,25025,22868
33452,25015,22845
33420,25019,22892
33336,25031,22950
33300,25032,22961
33182,25079,22993
33148,25109,23013
33132,25095,22980
33092,25082,23057
33044,25071,23047
33132,25030,23041
33228,25005,23111
33324,25012,23118
33293,25025,23081
33342,25028,23185
33360,25079,23212
33340,25095,23230
33248,25090,23165
33172,25084,23277
33132,25071,23282
33156,25027,23288
33296,25002,23258
33316,24996,23320
33440,25008,23407
33318,25030,23399
33212,25071,23433
33153,25095,23364
32976,25085,23435
33021,25079,23509
33140,25057,23554
33196,25012,23546
33108,24996,23549
33368,24999,23522
33384,25013,23558
33194,25026,23676
33196,25071,23670
33092,25087,23716
33182,25082,23657
33241,25079,23689
33230,25061,23788
33354,25007,23800
33384,24991,23836
33360,24997,23779
33424,25007,23834
33440,25016,23907
33384,25063,23911
33280,25087,23951
33240,25070,23984
33268,25067,23913
33196,25059,23972
33248,25004,24077
33304,24990,24064
33330,24985,24123
33248,24992,24144
33340,25004,24109
33176,25060,24116
33164,25079,24229
32996,25068,24245
33042,25069,24294
33104,25044,24275
33288,24999,24255
33352,24980,24279
33280,24989,24414
33196,24995,24445
33168,25007,24454
33148,25054,24510
32984,25068,24463
32968,25068,24485
32912,25055,24583
33104,25053,24588
33177,25004,24656
33189,24978,24604
33118,24973,24616
33116,24989,24737
33061,24999,24778
33016,25038,24811
32969,25068,24743
32964,25069,24767
32944,25044,24905
32980,25043,24896
33058,24988,24883
33104,24971,24884
32962,24976,25033
32944,24988,25049
33012,24996,25044
33064,25037,25111
32944,25058,25068
32936,25053,25034
32964,25047,25093
32903,25034,25234
32948,24989,25243
33068,24972,25301
33108,24965,25250
33158,24972,25267
33156,24991,25362
33032,25036,25431
32876,25058,25321
32768,25055,25506
32712,25047,25490
32900,25031,25544
32930,24986,25499
33016,24965,25565
32996,24972,25660
32880,24978,25655
33004,24984,25595
32836,25027,25704
32847,25057,25717
32848,25054,25757
32744,25045,25813
32716,25029,25889
32921,24987,25804
33068,24963,25898
33084,24964,25928
32992,24978,26003
32972,24982,25935
32936,25026,25925
32844,25055,26055
32796,25039,26076
32736,25028,26139
32732,25023,26041
32865,24974,26157
33028,24961,26161
33180,24959,26215
33112,24967,26088
33044,24979,26265
33004,25021,26244
32888,25038,26317
32876,25031,26212
32868,25031,26268
32928,25014,26325
33096,24979,26390
33048,24951,26343
33135,24944,26329
33252,24967,26425
33260,24980,26414
33036,25026,26362
32873,25031,26443
32880,25027,26485
32832,25021,26566
32780,25010,26426
32878,24962,26617
32936,24941,26551
32928,24948,26511
32868,24953,26631
32852,24967,26703
32816,25014,26652
32744,25036,26726
32789,25031,26758
32792,25011,26658
32782,25007,26640
32936,24961,26773
32956,24938,26836
32940,24941,26871
32961,24949,26884
33072,24965,26874
32960,25017,26885
32860,25039,26956
32804,25025,26934
32797,25013,26838
32788,25006,26980
32820,24965,27049
32896,24930,27015
32960,24932,27078
32972,24943,27005
32932,24963,26961
32888,25011,27108
32781,25029,27184
32729,25023,27132
32720,25015,27175
32692,24996,27207
32693,24959,27239
32721,24933,27284
32889,24938,27178
32932,24941,27153
32896,24953,27204
32844,25007,27325
32732,25024,27359
32761,25021,27338
32736,25007,27424
32684,24996,27444
32820,24953,27446
32960,24928,27493
32953,24932,27421
32864,24935,27397
32889,24945,27445
32824,24999,27552
32672,25023,27503
32584,25008,27556
32647,25001,27606
32637,24991,27625
32656,24943,27638
32704,24918,27551
32770,24928,27551
32764,24932,27531
32746,24951,27613
32668,24999,27728
32516,25012,27716
32361,25006,27684
32452,24996,27751
32556,24978,27793
32877,24933,27714
33181,24924,27695
33196,24925,27686
33144,24935,27709
32988,24943,27724
32892,24986,27721
32813,25009,27809
32752,24997,27819
32820,24996,27848
32832,24987,27940
32926,24943,27941
33108,24910,27900
33124,24919,27945
33084,24933,27993
33066,24941,27871
32976,24986,27905
32824,25005,28018
32740,24999,27998
32784,24997,28061
32688,24970,28045
32944,24927,27972
33060,24911,28038
33121,24914,28105
33120,24922,28036
33116,24941,28119
33068,24982,28145
32848,24999,28160
32725,24992,28084
32696,24988,28063
