ECG,EDA,RR
32745,29116,30378
32717,29064,30338
32694,29028,30461
32684,28992,30457
32644,28987,30436
32716,28999,30500
32820,29044,30521
32868,29088,30497
32880,29128,30593
32836,29135,30612
32764,29116,30575
32578,29070,30639
32396,29023,30641
32288,28990,30711
32269,28980,30717
32385,28999,30663
32528,29036,30743
32665,29084,30800
32733,29113,30845
32700,29121,30759
32716,29104,30872
32756,29062,30825
32800,29012,30940
32792,28973,30964
32776,28969,30919
32640,28988,31006
32672,29034,31007
32732,29076,31052
32692,29116,31087
32672,29124,31048
32676,29092,31111
32644,29060,31196
32676,29012,31231
32704,28982,31134
32704,28964,31287
32756,28988,31302
32796,29025,31266
32822,29070,31281
32808,29103,31398
32844,29117,31418
32828,29096,31335
32748,29052,31484
32672,29008,31495
32580,28966,31410
32500,28961,31569
32544,28979,31535
32664,29023,31620
32752,29063,31653
32824,29101,31623
32852,29110,31684
32852,29095,31636
32872,29046,31742
32880,29012,31686
32772,28956,31807
32740,28950,31741
32797,28973,31873
32868,29015,31821
32929,29060,31935
32960,29092,31893
32972,29103,32039
32916,29082,32044
32904,29037,31991
32876,28996,32097
32808,28964,32044
32792,28946,32183
32748,28964,32117
32660,29005,32239
32632,29061,32303
32692,29084,32295
32733,29100,32349
32780,29083,32263
32812,29033,32399
32697,28990,32385
32636,28956,32467
32592,28946,32516
32624,28960,32479
32704,29000,32573
32736,29055,32612
32756,29084,32556
32744,29095,32687
32692,29070,32763
32648,29037,32677
32546,28976,32791
32513,28944,32789
32548,28933,32911
32606,28951,32951
32680,28995,32967
32780,29045,32996
32760,29076,32961
32692,29084,33116
32652,29068,33146
32568,29029,33185
32508,28978,33088
32472,28944,33211
32480,28925,33159
32500,28955,33299
32536,28988,33389
32604,29040,33423
32544,29074,33457
32476,29088,33389
32460,29063,33525
32461,29023,33572
32464,28978,33502
32488,28944,33652
32533,28926,33655
32572,28951,33641
32704,28984,33638
32774,29030,33812
32792,29073,33791
32756,29072,33890
32704,29055,33772
32648,29021,33962
32560,28972,33937
32516,28933,34029
32532,28912,33948
32648,28935,33977
32916,28980,34085
33414,29029,34164
33924,29063,34081
34376,29079,34208
34772,29053,34203
35136,29013,34230
35480,28961,34356
35692,28919,34407
35540,28916,34351
