ECG,EDA,RR
31708,35764,41797
31740,35733,41708
31800,35687,41863
31905,35652,41796
32000,35645,41703
32100,35660,41719
32220,35711,41623
32244,35761,41926
32092,35798,41927
32012,35820,41841
31872,35805,41911
31744,35765,42037
31640,35727,42041
31696,35686,42069
31928,35684,41849
32317,35705,41799
32580,35750,42023
32764,35800,41772
32876,35836,41884
32952,35860,42055
32930,35847,42077
32840,35808,41828
32685,35765,41823
32608,35727,42095
32664,35719,42045
32724,35740,42036
32840,35785,42047
32992,35840,42012
33112,35886,42045
33128,35897,42017
33069,35881,42159
33020,35847,41960
32896,35800,41831
32752,35764,42079
32724,35762,41991
32704,35782,42023
32676,35823,42095
32656,35879,41927
32604,35918,42017
32520,35937,42007
32504,35924,41941
32524,35877,42041
32550,35840,41991
32641,35805,41797
32708,35792,41703
32773,35820,41793
32760,35860,41703
32796,35912,41695
32820,35956,41940
32749,35972,41828
32717,35951,41964
32692,35924,41912
32613,35871,41663
32612,35840,41920
32729,35839,41888
32876,35854,41863
33020,35885,41973
33064,35945,41877
33092,35984,41735
33108,36002,41903
33048,35992,41869
32932,35950,41829
32732,35909,41789
32680,35876,41928
32644,35865,41953
32664,35880,41892
32836,35928,41721
33072,35987,41647
33340,36033,41876
33472,36044,41829
33488,36028,41919
33460,35984,41790
33436,35955,41861
33432,35912,41804
33433,35910,41743
33444,35933,41885
33532,35981,41863
33558,36025,41645
33464,36064,41585
33440,36080,41809
33453,36072,41759
33452,36034,41735
33428,35999,41702
33432,35956,41575
33440,35948,41748
33484,35975,41749
33716,36015,41735
34056,36060,41671
34604,36108,41479
35225,36125,41687
35812,36117,41589
36416,36076,41716
37104,36029,41567
37768,35992,41453
38228,35982,41640
38420,36004,41596
38644,36040,41673
38756,36103,41607
38856,36149,41471
39024,36164,41630
39150,36156,41591
39096,36124,41671
38480,36076,41557
37164,36051,41409
35220,36032,41636
32904,36057,41554
30662,36090,41710
28713,36146,41392
27008,36188,41597
26188,36191,41551
26241,36199,41477
27096,36151,41656
28412,36100,41516
29468,36072,41415
30312,36049,41357
31020,36078,41302
31719,36118,41341
32437,36168,41276
32997,36212,41303
33392,36230,41249
33616,36212,41420
33716,36172,41388
33644,36134,41401
33548,36092,41223
33524,36081,41138
33516,36095,41393
33516,36145,41322
33620,36197,41398
33708,36228,41236
33784,36252,41124
33850,36241,41345
33828,36204,41447
33813,36160,41223
33832,36112,41376
33836,36112,41391
