ECG,EDA,RR
32912,31833,33212
32704,31831,33261
32672,31852,33250
32692,31900,33271
32744,31940,33151
32768,31980,33249
32792,31982,33225
32736,31967,33274
32717,31930,33180
32688,31879,33219
32660,31836,33157
32716,31823,33270
32712,31862,33267
32728,31897,33158
32728,31953,33257
32744,31985,33229
32756,31985,33268
32748,31968,33135
32673,31932,33221
32600,31893,33268
32564,31846,33127
32612,31841,33271
32688,31871,33239
32824,31905,33135
32884,31963,33270
32884,31996,33229
32840,32005,33191
32840,31976,33145
32752,31946,33212
32712,31895,33279
32604,31861,33147
32564,31863,33287
32560,31885,33264
32604,31897,33143
32672,31974,33237
32720,32007,33186
32761,32000,33268
32736,31997,33257
32668,31942,33141
32564,31908,33287
32476,31879,33276
32492,31855,33220
32480,31888,33262
32620,31940,33188
32736,31981,33223
32812,32018,33172
32876,32020,33260
32892,32004,33233
32860,31961,33276
32796,31916,33207
32708,31884,33277
32636,31879,33229
32649,31890,33263
32884,31940,33118
33304,31989,33231
33756,32029,33265
34240,32025,33116
34592,32023,33215
34988,31975,33261
35472,31928,33172
35864,31897,33214
35952,31872,33255
35832,31909,33132
35680,31957,33183
35312,32007,33207
35108,32044,33240
34856,32045,33125
34624,32022,33253
34206,31995,33213
33288,31932,33133
31844,31919,33273
30064,31908,33269
28260,31932,33135
26773,31958,33328
25668,32025,33214
24956,32052,33308
24904,32054,33319
25565,32034,33222
26840,31998,33287
28220,31940,33181
29376,31905,33159
30340,31905,33265
31136,31927,33244
31824,31968,33297
32280,32005,33172
32616,32053,33265
32800,32054,33257
32832,32041,33204
32828,31995,33146
32868,31958,33287
32825,31908,33242
32832,31903,33272
32880,31928,33221
32933,31977,33189
32996,32027,33287
33094,32063,33267
33084,32071,33309
33100,32039,33213
33128,32007,33231
33076,31970,33272
33096,31924,33327
33124,31918,33183
33088,31949,33287
33168,31980,33302
33216,32033,33333
33280,32071,33173
33308,32066,33314
33308,32055,33263
33288,32013,33197
33272,31968,33255
33212,31932,33207
33156,31919,33254
33180,31944,33090
33192,31980,33181
33224,32037,33212
33308,32076,33096
33356,32081,33116
33352,32067,33159
33369,32015,33100
33340,31968,33094
33276,31935,32983
33280,31930,33084
33188,31944,33031
33212,31999,33065
33296,32032,32935
33352,32076,33012
33368,32087,32977
33364,32057,33011
33268,32020,32847
33328,31965,32994
33378,31941,32973
33352,31936,32937
33304,31957,32913
33360,31994,32867
33410,32052,32925
33344,32080,32925
33388,32088,32820
33429,32066,32908
33444,32024,32836
33476,31973,32901
33496,31938,32900
33460,31940,32938
33473,31948,32819
33500,32005,32951
33572,32046,32903
33636,32078,32870
33664,32095,32813
33692,32069,32967
33700,32024,32931
33694,31980,32879
33660,31953,32879
33632,31936,32925
33632,31965,32969
33640,32004,32849
33700,32060,32921
33696,32086,32979
33716,32100,32839
33732,32068,32934
33692,32036,32927
33685,31977,32879
33669,31943,32893
33624,31945,32923
33608,31965,32866
33584,32004,32961
33516,32057,32937
33524,32093,32839
33492,32093,32901
33466,32073,32871
33389,32036,32932
33225,31988,32903
33116,31950,32836
33056,31951,32932
33040,31956,32929
33096,32013,32848
33136,32049,32876
33064,32088,32917
32868,32109,32793
32921,32084,32879
32892,32035,32876
32764,31996,32919
32636,31956,32807
32608,31951,32885
32568,31972,32913
32540,32013,32775
32492,32064,32917
32524,32100,32868
32520,32096,32839
32494,32089,32775
32464,32036,32903
32432,31996,32870
32416,31961,32851
32372,31956,32805
32328,31977,32884
32380,32015,32937
32360,32070,32873
