ECG,EDA,RR
32752,32047,26793
32764,32052,26810
32728,32063,26805
32778,32036,26792
32748,32023,26808
32752,32036,26802
32756,32048,26818
32780,32063,26816
32804,32069,26810
32788,32091,26820
32724,32091,26806
32688,32076,26831
32652,32094,26824
32653,32081,26817
32676,32082,26832
32640,32088,26830
32623,32080,26845
32644,32116,26838
32656,32109,26830
32680,32127,26840
32684,32120,26852
32668,32129,26847
32688,32118,26839
32680,32118,26860
32668,32116,26857
32701,32113,26861
32704,32117,26852
32685,32135,26880
32692,32144,26871
32696,32156,26876
32712,32160,26877
32764,32169,26869
32788,32145,26895
32796,32156,26892
32824,32148,26880
32884,32144,26897
32968,32151,26896
33068,32164,26901
33273,32180,26898
33488,32193,26889
33693,32199,26905
33960,32199,26908
34276,32191,26894
34644,32188,26911
35069,32166,26915
35456,32175,26911
35900,32173,26905
36453,32180,26924
36832,32199,26925
36953,32206,26908
36840,32214,26929
36512,32216,26925
35744,32223,26931
34652,32228,26927
33528,32233,26908
32232,32235,26936
30740,32246,26942
29568,32273,26958
28944,32284,26947
28577,32297,26964
28097,32294,26960
27712,32302,26960
27813,32310,26964
28173,32292,26972
28736,32297,26981
29408,32284,26988
29980,32297,26988
30380,32299,26998
30725,32313,27010
31056,32316,27012
31464,32327,27012
31864,32311,27023
32176,32317,27031
32400,32308,27041
32572,32294,27037
32762,32302,27064
32896,32300,27073
32980,32308,27066
33052,32324,27085
33097,32341,27097
33116,32343,27106
33166,32357,27104
33196,32349,27132
33209,32343,27142
33228,32347,27156
33244,32340,27166
33280,32349,27189
33252,32365,27188
33284,32367,27195
33280,32391,27221
33292,32391,27222
33288,32391,27237
33276,32381,27259
33272,32386,27261
33270,32377,27260
33292,32357,27286
33308,32381,27289
33348,32391,27297
33348,32396,27303
33340,32433,27317
33332,32423,27333
33276,32429,27342
33248,32430,27343
33244,32421,27364
33232,32408,27361
33262,32412,27383
33246,32431,27392
33248,32439,27408
33244,32437,27404
33264,32457,27430
33248,32469,27436
33242,32460,27459
33300,32466,27461
33312,32466,27481
33336,32455,27493
33344,32459,27502
33381,32452,27524
33396,32469,27532
33424,32487,27559
33456,32492,27564
33472,32511,27597
33488,32511,27596
33508,32500,27633
33534,32485,27645
33544,32486,27645
33536,32490,27682
33532,32493,27692
33564,32509,27689
33568,32519,27719
33560,32519,27720
33528,32545,27754
33538,32542,27764
33556,32535,27759
33568,32529,27772
33604,32508,27800
33580,32527,27813
33608,32541,27828
33636,32542,27807
33661,32559,27839
33720,32574,27852
33776,32577,27833
33828,32575,27856
33880,32565,27854
33929,32559,27877
33968,32557,27879
33977,32550,27868
33988,32564,27893
34023,32562,27878
34044,32588,27903
34072,32606,27893
34064,32600,27920
34088,32596,27909
34160,32607,27936
34214,32596,27927
34237,32585,27956
34196,32588,27941
34192,32603,27976
34224,32607,27965
34276,32615,27988
34324,32631,27983
34320,32636,28033
34298,32637,28033
34288,32636,28015
34277,32633,28068
34270,32622,28031
34264,32615,28100
34240,32632,28078
34272,32639,28126
34260,32641,28144
34200,32671,28143
34176,32668,28175
34152,32669,28185
34124,32669,28218
34090,32647,28232
34034,32655,28214
33948,32647,28264
33880,32655,28255
33796,32666,28302
33710,32688,28316
33616,32693,28348
33538,32709,28368
33488,32708,28365
33444,32694,28412
33336,32693,28418
33286,32688,28460
33176,32684,28451
33096,32693,28489
33024,32695,28525
32976,32705,28520
32916,32727,28574
32820,32733,28567
32736,32730,28613
32692,32732,28626
32624,32731,28687
32520,32717,28710
32421,32717,28694
32372,32729,28765
32320,32732,28733
32276,32732,28820
32232,32759,28839
32176,32756,28859
32104,32760,28896
32000,32763,28869
31932,32749,28940
31924,32744,28958
31909,32756,29008
31952,32751,29036
31989,32757,29036
31952,32763,29081
31948,32793,29127
31940,32791,29095
31901,32789,29167
31876,32775,29159
31872,32761,29220
31876,32775,29227
31892,32775,29278
31884,32775,29292
31908,32783,29319
31879,32801,29368
31876,32817,29394
31872,32826,29404
31853,32816,29446
31848,32822,29434
31808,32806,29501
31772,32804,29477
31768,32812,29551
31776,32808,29529
31780,32829,29607
31776,32827,29583
31780,32837,29668
31788,32837,29670
31808,32846,29732
31836,32845,29760
31841,32829,29774
31856,32815,29809
31876,32837,29854
31924,32845,29865
31964,32837,29896
31920,32859,29959
31944,32866,29927
31968,32885,30028
31968,32871,30025
32020,32856,30119
32036,32845,30156
32044,32858,30152
32028,32857,30215
32024,32858,30233
32048,32864,30284
32064,32877,30341
32117,32897,30304
32109,32893,30402
32096,32895,30372
32104,32890,30478
32082,32881,30450
32088,32879,30566
32076,32874,30609
32072,32873,30572
32092,32884,30661
32120,32903,30641
32112,32919,30727
32116,32924,30683
32132,32916,30805
32128,32916,30788
32148,32915,30887
32149,32900,30868
32192,32901,30965
32216,32903,30948
32188,32921,31028
32152,32959,31045
32144,32932,31096
32146,32941,31038
32172,32943,31133
32180,32930,31085
32192,32927,31201
32166,32916,31144
32143,32908,31268
32172,32927,31215
32176,32942,31340
32200,32948,31321
32228,32944,31409
32244,32943,31450
32240,32951,31383
32272,32933,31492
32312,32949,31490
32320,32933,31584
32324,32943,31612
32305,32943,31629
32360,32940,31693
32400,32961,31661
32404,32963,31735
32396,32958,31700
32380,32975,31799
32416,32964,31785
32448,32967,31885
32476,32954,31905
32484,32948,31879
32504,32956,31988
32496,32965,31913
32504,32984,32036
32520,32987,32008
32500,32994,32100
32496,33001,32087
32456,32991,32181
32460,32983,32129
32440,32964,32263
32428,32957,32237
32404,32965,32325
32392,32991,32364
32420,32996,32297
32404,33004,32399
32420,33007,32378
32444,33005,32460
32430,33004,32412
32452,33003,32549
32468,32984,32595
32433,32994,32533
32428,32989,32624
32444,33001,32621
32480,32999,32709
32468,33023,32704
32489,33024,32769
32480,33029,32688
32432,33020,32796
32373,33012,32772
32332,33000,32900
32368,33004,32900
32412,33005,32879
32440,33006,32965
32472,33019,32996
32556,33041,32924
32553,33031,33031
32540,33031,32980
32525,33031,33097
32512,33031,33052
32484,33023,33128
32532,33023,33169
32544,33020,33130
32568,33026,33223
32596,33030,33215
32612,33057,33337
32628,33058,33362
32614,33068,33388
32624,33061,33415
32616,33045,33388
32630,33037,33448
32615,33040,33376
32560,33036,33495
32520,33043,33436
32528,33047,33586
32544,33075,33521
32526,33082,33644
32516,33073,33671
32540,33062,33684
32500,33052,33590
32493,33061,33724
32524,33052,33644
32581,33049,33756
32644,33063,33722
32684,33083,33869
32673,33085,33902
32644,33091,33911
32644,33090,33933
32632,33085,33885
32645,33081,33976
32668,33063,33923
32660,33068,34031
32684,33076,34065
32681,33092,33965
32700,33087,34088
32708,33105,34080
32744,33111,34205
32760,33096,34220
32753,33077,34164
32720,33094,34260
32702,33077,34193
32700,33077,34364
32728,33077,34364
32668,33076,34284
32644,33109,34388
32653,33110,34431
32620,33127,34372
32620,33109,34556
32620,33096,34565
32608,33109,34476
32592,33094,34629
32636,33093,34657
32644,33100,34559
32644,33101,34735
32644,33119,34740
32624,33119,34676
32612,33133,34823
32612,33124,34852
32612,33116,34758
32584,33101,34901
32576,33106,34917
32608,33100,34999
32604,33102,34988
32568,33106,34998
32549,33109,35109
32564,33131,35101
32560,33127,35136
32628,33133,35188
32636,33132,35097
32606,33113,35284
32576,33119,35294
32584,33108,35230
32612,33108,35335
32629,33102,35365
32608,33124,35456
32648,33141,35345
32678,33140,35446
32704,33146,35412
32688,33124,35620
32636,33137,35630
32676,33117,35591
32677,33116,35652
32656,33113,35741
32696,33125,35700
32732,33128,35746
32754,33149,35844
32762,33143,35727
32749,33165,35841
32744,33143,35809
32692,33136,36012
32676,33121,35989
32652,33133,35897
32632,33135,36103
32664,33133,36069
32696,33148,36014
32680,33149,36087
32704,33169,36136
32744,33156,36124
32740,33150,36304
32748,33140,36319
32760,33136,36224
32756,33132,36359
32800,33125,36280
32864,33140,36397
32879,33132,36485
32872,33170,36474
32873,33147,36492
32896,33159,36428
32924,33167,36622
32980,33148,36600
33024,33143,36519
33060,33132,36716
33100,33141,36711
33093,33146,36612
33140,33157,36756
33116,33161,36647
33096,33177,36869
33096,33170,36860
33080,33167,36844
33064,33157,36871
33044,33137,36852
33013,33150,36961
33008,33157,36915
33000,33159,36949
32994,33164,36905
32984,33183,37104
32916,33183,37092
32840,33195,36985
32772,33191,37070
32720,33175,37020
32656,33156,37237
32584,33175,37233
32520,33167,37255
32558,33175,37284
32544,33183,37177
32520,33195,37340
32513,33196,37194
32564,33209,37436
