ECG,EDA,RR
34248,30359,35895
34280,30348,36092
34296,30338,36005
34296,30333,35873
34321,30335,35964
34340,30343,35860
34376,30350,35893
34356,30363,35970
34332,30356,35974
34332,30353,35901
34332,30343,35799
34276,30343,35916
34220,30327,35799
34156,30332,35832
34092,30335,35759
34088,30329,35836
34056,30343,35880
33988,30351,35841
33932,30356,35792
33872,30349,35630
33776,30349,35718
33684,30343,35733
33584,30337,35759
33540,30325,35658
33488,30324,35710
33376,30338,35700
33348,30343,35688
33264,30352,35680
33152,30356,35663
33024,30351,35650
32912,30335,35617
32824,30325,35645
32752,30313,35605
32713,30318,35600
32652,30319,35569
32584,30327,35490
32556,30343,35391
32532,30342,35521
32412,30355,35420
32348,30338,35332
32321,30337,35469
32200,30325,35461
32141,30325,35449
32128,30324,35392
32124,30326,35249
32096,30332,35330
32072,30349,35236
32072,30350,35326
32024,30349,35196
31984,30343,35301
31988,30332,35233
32008,30324,35286
31964,30319,35289
31928,30319,35255
31952,30311,35134
31980,30333,35076
31984,30336,35180
31988,30342,35212
32036,30347,35004
32088,30351,35061
32008,30335,35013
31969,30324,35104
31920,30314,35119
31953,30313,34919
32016,30308,35063
32036,30321,34972
32064,30332,34895
32033,30338,35007
32065,30343,35037
32028,30327,34988
32044,30327,34985
32028,30317,34797
31988,30300,34935
31972,30308,34783
31982,30310,34847
31992,30320,34822
32024,30319,34884
32028,30329,34899
31997,30323,34880
32028,30328,34903
32036,30320,34708
32020,30319,34841
32032,30309,34878
32084,30309,34686
32076,30306,34761
32094,30304,34765
32124,30321,34842
32164,30324,34799
32245,30324,34814
32124,30322,34729
32124,30309,34732
32151,30316,34707
32156,30297,34833
32180,30305,34737
32208,30303,34685
32257,30308,34828
32276,30320,34804
32340,30308,34687
32360,30324,34816
32412,30317,34852
32445,30308,34832
32408,30292,34862
32384,30291,34678
32400,30290,34761
32408,30285,34685
32392,30295,34749
32406,30308,34684
32489,30309,34750
32484,30309,34687
32416,30305,34793
32460,30296,34695
32480,30295,34790
32476,30284,34708
32380,30284,34765
32384,30279,34716
32405,30279,34823
32416,30300,34765
32372,30309,34875
32416,30304,34807
32452,30311,34884
32484,30292,34769
32432,30287,34895
32424,30284,34813
32436,30272,34910
32448,30278,34920
32503,30282,34941
32544,30289,34944
32576,30301,34951
32512,30307,34969
32464,30294,34799
32404,30298,34880
32432,30276,34823
32420,30276,34937
32428,30265,34844
32432,30268,34904
32468,30279,34855
32480,30282,34916
32513,30296,34847
32445,30293,34973
32488,30292,34868
32480,30278,35026
32512,30272,35020
32510,30271,35045
32512,30263,34987
32468,30257,34849
32496,30264,35042
32536,30284,35007
32524,30291,34921
32588,30288,34938
32516,30282,34832
32464,30281,34893
32476,30276,34985
32512,30256,35005
32552,30258,34973
32560,30253,34906
32596,30268,34948
32569,30278,34939
32572,30292,34932
32656,30289,34896
32672,30284,34903
32624,30272,34796
32564,30275,34874
32540,30256,34735
32600,30248,34892
32628,30253,34875
32636,30268,34877
32700,30276,34857
32764,30276,34863
32760,30290,34836
32726,30284,34692
32708,30276,34789
32732,30271,34820
32716,30255,34815
32706,30260,34812
32756,30252,34773
32772,30263,34807
32784,30272,34812
32772,30288,34648
32762,30289,34744
32756,30287,34636
32776,30273,34774
32700,30271,34788
32688,30273,34615
32648,30252,34692
32692,30259,34589
32704,30261,34645
32792,30264,34583
32820,30287,34625
32812,30290,34573
32832,30284,34652
32804,30276,34617
32796,30274,34695
32764,30266,34607
32804,30253,34537
32828,30255,34639
32788,30260,34605
32830,30264,34663
32864,30284,34686
32845,30286,34498
32800,30285,34586
32728,30283,34512
32796,30265,34620
32772,30256,34637
32736,30262,34532
32800,30261,34537
32796,30259,34618
32821,30262,34631
32812,30273,34468
32800,30276,34525
32752,30284,34436
32712,30272,34514
32724,30268,34439
32708,30261,34567
32698,30245,34495
32728,30243,34423
32697,30255,34589
32708,30269,34564
32740,30278,34439
32781,30278,34472
32760,30284,34414
32736,30278,34566
32732,30264,34540
32756,30261,34406
32756,30253,34508
32732,30249,34406
32756,30258,34540
32788,30270,34541
32820,30279,34545
32860,30277,34541
32902,30260,34439
32908,30270,34485
32840,30263,34382
32800,30251,34452
32848,30248,34368
32910,30247,34488
32944,30253,34484
32952,30263,34512
33016,30260,34495
33017,30273,34330
32988,30265,34484
32992,30268,34386
33032,30256,34476
33056,30248,34479
33096,30243,34295
33120,30241,34373
33104,30249,34292
33108,30255,34370
33104,30269,34415
33048,30273,34420
33024,30271,34284
32933,30266,34369
32886,30255,34229
32908,30244,34311
32884,30237,34388
32860,30245,34381
32772,30257,34220
32764,30261,34378
32692,30264,34349
32656,30274,34336
32604,30274,34311
32632,30260,34257
32616,30253,34298
32628,30244,34164
32641,30245,34276
32664,30248,34305
32640,30252,34295
32728,30254,34294
32756,30276,34208
32688,30271,34265
32618,30264,34156
32584,30268,34173
32542,30248,34104
32540,30245,34212
32548,30233,34135
32540,30237,34201
32588,30247,34072
32624,30257,34177
32631,30264,34035
32616,30264,34110
32556,30269,34025
32556,30252,34075
32576,30247,33988
32541,30235,34052
32548,30228,33983
32616,30237,34089
32640,30244,33977
32624,30246,33999
32680,30262,33984
32648,30268,33903
32616,30252,33991
32624,30256,33895
32696,30247,33927
32676,30244,33847
32656,30239,33889
32804,30233,33815
33056,30231,33864
33308,30248,33779
33492,30260,33828
33724,30257,33740
34056,30257,33799
34484,30247,33705
34950,30233,33749
35372,30215,33657
35800,30213,33720
36320,30215,33636
36820,30212,33767
37000,30215,33767
36948,30234,33728
36692,30249,33700
36156,30249,33700
35008,30244,33598
33748,30252,33636
32405,30247,33503
30792,30241,33597
29352,30269,33481
28532,30279,33567
28153,30279,33589
27684,30281,33433
27208,30311,33575
27198,30292,33556
27564,30291,33401
28132,30281,33556
28940,30264,33527
29653,30263,33526
30101,30255,33508
30448,30245,33461
30854,30260,33457
31341,30265,33381
31764,30268,33478
32117,30272,33431
32366,30252,33444
32516,30240,33321
32640,30236,33423
32748,30231,33286
32792,30228,33380
32830,30233,33301
32924,30245,33388
32984,30252,33319
32980,30262,33357
33008,30254,33306
33068,30244,33460
33076,30238,33445
33093,30222,33368
33084,30229,33415
33132,30230,33299
33128,30229,33448
33206,30247,33400
33256,30263,33317
33276,30257,33413
33272,30255,33425
33292,30252,33327
33285,30252,33384
33280,30233,33250
33284,30229,33326
33248,30243,33247
33268,30244,33392
33284,30241,33351
33309,30255,33207
33312,30263,33322
33336,30250,33332
33332,30247,33181
33340,30237,33230
33317,30229,33150
33276,30231,33209
33304,30230,33124
33333,30233,33254
33384,30240,33253
33396,30250,33076
33392,30248,33200
33384,30253,33073
