ECG,EDA,RR
33556,33730,33331
33465,33739,33354
33388,33737,33409
33276,33748,33405
33182,33736,33354
33100,33722,33421
33028,33723,33359
32980,33709,33492
32921,33708,33404
32824,33720,33533
32712,33724,33565
32680,33731,33580
32609,33735,33596
32553,33727,33490
32492,33732,33581
32464,33716,33623
32428,33705,33566
32388,33703,33671
32364,33703,33598
32296,33703,33711
32304,33719,33575
32336,33748,33749
32308,33731,33729
32300,33733,33625
32244,33726,33798
32228,33708,33761
32212,33707,33676
32225,33692,33815
32201,33701,33797
32200,33709,33874
32172,33716,33881
32160,33719,33895
32157,33727,33905
32156,33724,33949
32144,33718,33961
32108,33709,33878
32156,33705,33992
32188,33705,33870
32172,33692,33975
32176,33695,33912
32188,33701,34050
32218,33717,34029
32224,33722,34100
32200,33717,33974
32176,33717,34089
32156,33705,34007
32150,33701,34132
32132,33703,34037
32112,33685,34190
32148,33693,34231
32208,33701,34120
32240,33713,34215
32184,33726,34183
32156,33715,34306
32128,33724,34340
32128,33706,34360
32132,33703,34279
32188,33697,34371
32232,33692,34368
32241,33705,34434
32272,33703,34360
32276,33719,34480
32278,33713,34420
32236,33705,34512
32216,33716,34454
32184,33719,34615
32228,33709,34658
32292,33687,34692
32320,33685,34693
32321,33688,34747
32340,33709,34732
32332,33707,34788
32324,33713,34777
32344,33716,34839
32348,33716,34840
32336,33682,34885
32312,33695,34815
32300,33681,34938
32332,33695,34852
32373,33687,34999
32424,33703,35055
32400,33716,35077
32380,33717,35079
32412,33708,34993
32476,33710,35079
32420,33687,35037
32384,33671,35116
32400,33687,35079
32392,33679,35260
32436,33695,35273
32424,33697,35198
32421,33697,35296
32420,33719,35205
32448,33706,35292
32448,33697,35245
32412,33700,35380
32388,33681,35391
32412,33683,35457
32434,33669,35492
32430,33671,35530
32440,33689,35556
32432,33694,35437
32432,33711,35588
32401,33692,35613
32390,33700,35501
32364,33685,35586
32364,33668,35557
32364,33671,35644
32416,33664,35591
32456,33681,35722
32508,33692,35813
32516,33687,35835
32472,33695,35870
32456,33703,35725
32468,33676,35919
32432,33671,35774
32420,33663,35874
32452,33663,35830
32480,33646,35961
32480,33669,35879
32532,33679,35993
32572,33688,35933
32608,33695,36093
32612,33689,36121
32612,33671,36000
32576,33663,36085
32596,33644,36037
32596,33652,36168
32594,33663,36198
32605,33652,36271
32632,33671,36308
32612,33679,36149
32604,33671,36292
32632,33668,36364
32644,33652,36359
32638,33666,36409
32628,33653,36344
32640,33653,36297
32642,33647,36469
32645,33653,36457
32624,33663,36397
32644,33671,36388
32652,33684,36540
32660,33671,36600
32640,33671,36612
32624,33669,36573
32612,33643,36591
32608,33633,36519
32624,33637,36696
32644,33638,36629
32676,33636,36664
32732,33639,36601
32693,33662,36780
32704,33671,36816
32732,33663,36676
32688,33644,36829
32692,33637,36901
32672,33636,36734
32680,33639,36909
32712,33644,36951
32764,33652,36822
32768,33667,36988
32728,33671,37044
32728,33660,36865
32720,33646,36972
32692,33659,36980
32656,33632,37097
32704,33639,37121
32728,33635,37141
32738,33647,37194
32749,33652,37176
32772,33669,37214
32776,33663,37221
32689,33663,37104
32676,33653,37261
32680,33644,37295
32672,33641,37127
32648,33623,37262
32648,33639,37340
32652,33660,37324
32704,33647,37383
32672,33660,37402
32664,33671,37312
32668,33669,37444
32625,33661,37319
32612,33650,37456
32668,33637,37320
32740,33624,37551
32800,33636,37541
32852,33616,37428
32840,33644,37487
32765,33655,37430
32736,33638,37567
32716,33657,37652
32700,33649,37597
32736,33647,37669
32720,33639,37684
32708,33631,37578
32732,33628,37660
32728,33633,37773
32676,33645,37789
32684,33652,37725
32720,33652,37828
32732,33647,37672
32736,33650,37895
32784,33630,37865
32798,33625,37726
32816,33620,37925
32820,33620,37895
32844,33625,37796
32917,33633,38021
32948,33645,38028
32948,33655,38062
32932,33652,38023
32936,33636,37892
32920,33641,38116
32932,33622,38081
32948,33622,38041
32960,33617,38116
32966,33612,38035
33012,33628,38116
33032,33637,38224
33012,33641,38234
32976,33639,38192
32994,33630,38132
33012,33623,38184
32980,33625,38125
33048,33623,38222
33052,33623,38193
32977,33624,38271
32908,33629,38233
32844,33639,38396
32692,33645,38421
32604,33636,38356
32584,33633,38346
32564,33631,38407
32580,33612,38461
32544,33605,38304
32544,33603,38544
32588,33617,38542
32584,33620,38572
32548,33630,38556
32517,33630,38448
32502,33628,38509
32508,33627,38457
32512,33605,38593
32556,33606,38476
32596,33602,38592
32620,33601,38557
32652,33584,38740
32660,33605,38737
32680,33629,38757
32676,33627,38812
32644,33631,38592
32572,33610,38726
32472,33600,38676
32468,33596,38828
32500,33592,38903
32533,33576,38673
32588,33599,38791
32632,33607,38777
32692,33613,38932
32673,33620,38996
32652,33611,38777
32672,33609,38975
32628,33593,38860
32646,33590,38916
32609,33582,38982
32604,33585,39047
32592,33589,38993
32612,33575,39060
32664,33607,38976
32684,33610,39109
32704,33604,39132
32740,33598,39174
32767,33595,39196
32808,33584,39207
32924,33583,39148
33052,33575,39288
33216,33582,39071
33400,33599,39296
33608,33601,39089
33896,33596,39264
34213,33599,39191
34568,33580,39269
34916,33581,39223
35316,33562,39353
35728,33565,39431
36069,33542,39236
36356,33555,39396
36452,33567,39449
36352,33564,39479
35964,33584,39500
35188,33598,39349
34172,33593,39484
32864,33590,39583
31376,33593,39512
30184,33596,39356
29488,33598,39468
29132,33593,39476
28784,33591,39508
28532,33627,39604
28742,33633,39462
29310,33601,39673
29984,33620,39716
30596,33613,39569
31008,33588,39606
31212,33591,39634
31272,33580,39757
31284,33583,39713
31316,33605,39791
31492,33615,39576
31740,33610,39801
32012,33609,39890
32244,33599,39676
32444,33596,39876
32620,33583,39885
32780,33587,39896
32888,33564,39705
32956,33572,39844
32996,33590,39821
33000,33590,39972
32977,33594,40000
33004,33607,40020
33028,33587,40097
33000,33585,40055
33032,33572,40024
33072,33569,40080
33145,33569,40150
33204,33572,40077
33172,33589,40108
33168,33594,39936
33188,33605,40153
33204,33605,39953
33192,33589,40116
