ECG,EDA,RR
33860,35353,34074
33912,35344,34005
33945,35367,34045
33972,35371,34023
33949,35358,33950
33960,35335,33972
33993,35328,33820
33996,35320,33917
34024,35335,33877
34076,35334,33741
34132,35356,33828
34165,35364,33810
34172,35367,33658
34124,35351,33727
34096,35325,33719
34112,35335,33540
34156,35335,33625
34208,35335,33508
34245,35335,33561
34220,35348,33440
34208,35349,33508
34220,35356,33413
34204,35364,33447
34164,35329,33303
34124,35335,33375
34100,35321,33281
34104,35316,33308
34120,35324,33180
34104,35327,33249
34080,35313,33193
34048,35335,33124
34028,35356,33180
33972,35364,33076
33976,35348,33080
33936,35335,32956
33796,35332,33027
33692,35322,32901
33560,35319,32949
33492,35324,32845
33456,35335,32893
33388,35335,32775
33312,35351,32828
33213,35348,32733
33148,35345,32775
33085,35304,32665
33012,35295,32725
32942,35303,32636
32844,35303,32687
32760,35327,32663
32717,35324,32636
32644,35332,32608
32580,35332,32501
32536,35313,32544
32472,35332,32535
32420,35324,32480
32388,35305,32487
32313,35300,32433
32236,35305,32340
32156,35295,32379
32096,35302,32276
32080,35317,32324
32048,35327,32228
32060,35324,32287
32076,35306,32190
32028,35285,32236
32025,35305,32119
32024,35294,32183
31992,35297,32082
32052,35303,32142
32104,35301,32144
32081,35311,32096
32024,35315,32086
32004,35311,32025
31944,35297,32044
31872,35297,31973
31804,35287,31997
31796,35277,31961
31860,35269,31967
31876,35284,31943
31912,35287,31866
31960,35326,31889
31986,35308,31816
31992,35316,31832
32016,35305,31744
32008,35303,31788
31984,35292,31713
31996,35263,31768
32056,35271,31716
32125,35268,31631
32132,35279,31685
32152,35284,31672
32124,35309,31644
32060,35293,31604
32056,35287,31527
32112,35284,31570
32108,35277,31547
32140,35271,31460
32164,35268,31517
32192,35282,31457
32248,35280,31431
32252,35284,31447
32260,35284,31344
32244,35301,31396
32220,35293,31333
32208,35284,31377
32240,35269,31327
32252,35265,31358
32272,35259,31288
32312,35260,31304
32320,35268,31301
32320,35276,31286
32300,35284,31264
32284,35287,31231
32336,35285,31233
32304,35271,31157
32252,35264,31194
32263,35256,31201
32262,35244,31145
32332,35240,31143
32336,35253,31090
32361,35269,31127
32388,35271,31039
32380,35276,31080
32372,35260,31060
32360,35261,30991
32324,35258,31014
32326,35252,30956
32320,35236,30992
32325,35238,30956
32328,35254,30909
32364,35261,30900
32380,35265,30900
32344,35276,30820
32316,35272,30861
32262,35244,30825
32273,35237,30845
32308,35228,30812
32336,35236,30782
32328,35207,30785
32364,35236,30713
32424,35224,30743
32444,35237,30686
32440,35231,30716
32404,35231,30682
32404,35240,30668
32376,35237,30669
32396,35224,30605
32384,35231,30652
32380,35220,30608
32378,35239,30613
32416,35251,30548
32476,35251,30591
32476,35251,30528
32484,35241,30570
32484,35241,30532
32496,35228,30558
32476,35208,30549
32436,35212,30511
32452,35207,30509
32448,35223,30456
32473,35225,30503
32433,35229,30499
32392,35244,30444
32420,35221,30471
32424,35208,30420
32416,35198,30460
32428,35188,30411
32416,35193,30454
32428,35196,30412
32460,35197,30442
32440,35207,30432
32460,35217,30380
32480,35206,30423
32412,35220,30424
32360,35204,30398
32352,35197,30409
32404,35188,30372
32424,35183,30398
32436,35188,30356
32380,35195,30399
32392,35207,30359
32424,35204,30380
32428,35207,30352
32432,35198,30404
32448,35181,30381
32429,35180,30343
32440,35175,30388
32460,35175,30384
32448,35173,30388
32484,35175,30337
32520,35181,30381
32524,35175,30389
32520,35189,30390
32564,35172,30374
32577,35173,30345
32584,35153,30379
32612,35143,30359
32672,35152,30373
32692,35164,30320
32744,35169,30356
32748,35168,30351
32764,35182,30372
32756,35196,30367
32760,35177,30364
32756,35165,30365
32764,35159,30302
32742,35149,30336
32772,35143,30302
32812,35144,30329
32804,35140,30327
32784,35165,30319
32724,35172,30317
32724,35172,30308
32698,35160,30255
32656,35159,30289
32636,35159,30236
32644,35135,30276
32636,35116,30228
32608,35140,30253
32565,35145,30255
32536,35154,30253
32524,35152,30236
32472,35158,30199
32468,35136,30212
32445,35150,30180
32436,35129,30206
32461,35116,30172
32536,35114,30180
32572,35112,30170
32608,35130,30173
32617,35124,30137
32612,35132,30149
32580,35141,30096
32576,35155,30120
32528,35116,30086
32480,35113,30101
32472,35110,30053
32468,35109,30076
32496,35115,30031
32541,35097,30059
32609,35117,30052
32612,35137,30005
32628,35119,30028
32644,35133,29976
32584,35116,29988
32548,35111,29975
32532,35101,29977
32568,35092,29959
32592,35092,29925
32596,35103,29921
32645,35116,29877
32660,35118,29900
32636,35125,29860
32640,35122,29860
32676,35098,29820
32704,35097,29828
32684,35095,29791
32716,35097,29801
32797,35079,29756
32928,35092,29771
33060,35103,29751
33216,35108,29741
33405,35103,29716
33628,35094,29703
33948,35100,29677
34368,35079,29652
34860,35073,29640
35304,35057,29623
35836,35055,29604
36484,35060,29565
37076,35062,29572
37444,35071,29542
37568,35076,29545
37568,35071,29516
