ECG,EDA,RR
32392,37488,29045
32388,37511,29094
32392,37511,29036
32368,37505,29029
32380,37500,29095
32416,37479,29040
32473,37468,29035
32476,37472,29081
32456,37477,29015
32440,37487,29045
32448,37493,29068
32461,37501,29005
32436,37469,29033
32400,37497,29039
32308,37477,29029
32308,37479,29021
32316,37469,29022
32369,37471,29041
32380,37481,29001
32400,37489,28996
32412,37460,29034
32416,37503,28998
32452,37492,29031
32477,37495,28983
32436,37493,28975
32444,37469,29018
32412,37461,28956
32444,37460,28949
32464,37457,28969
32464,37471,28959
32476,37479,28937
32468,37479,28969
32476,37479,28908
32476,37476,28916
32464,37460,28967
32480,37453,28908
32484,37452,28891
32508,37461,28935
32496,37463,28868
32500,37476,28877
32532,37468,28853
32513,37479,28879
32484,37477,28918
32476,37432,28845
32500,37452,28856
32468,37430,28885
32492,37438,28836
32536,37433,28845
32548,37452,28822
32552,37456,28839
32540,37469,28884
32576,37468,28828
32548,37461,28824
32564,37452,28888
32596,37423,28836
32682,37404,28885
32668,37420,28817
32624,37433,28850
32596,37437,28842
32560,37443,28853
32564,37452,28845
32588,37454,28893
32520,37422,28834
32576,37442,28852
32596,37417,28897
32628,37420,28871
32688,37405,28922
32672,37404,28868
32684,37423,28858
32668,37433,28888
32682,37432,28873
32692,37438,28935
32712,37432,28894
32780,37425,28945
32680,37412,28905
32648,37411,28948
32617,37396,28885
32592,37383,28900
32572,37399,28886
32572,37415,28900
32609,37413,28962
32660,37415,28897
32628,37415,28909
32623,37404,28898
32596,37383,28921
32597,37399,28910
32622,37359,28921
32628,37374,28967
32664,37399,28940
32688,37401,28988
32708,37409,28951
32684,37404,28991
32652,37409,28934
32638,37407,28982
32636,37399,28946
32632,37397,28993
32660,37367,28928
32668,37366,28935
32684,37376,28927
32732,37383,28932
32772,37396,28989
32764,37406,28927
32780,37392,28911
32783,37383,28920
32780,37380,28887
32756,37360,28905
32788,37366,28876
32781,37357,28831
32770,37364,28793
32776,37373,28804
32805,37376,28734
32788,37381,28720
32772,37383,28733
32780,37383,28648
32768,37372,28617
32736,37365,28622
32720,37349,28584
32726,37351,28513
32708,37356,28489
32721,37356,28423
32752,37373,28401
32804,37383,28343
32796,37365,28317
32804,37364,28353
32784,37348,28242
32796,37327,28236
32832,37344,28175
32860,37348,28172
32897,37351,28188
32924,37356,28112
32960,37353,28063
32976,37364,28017
32988,37369,28010
32985,37364,28053
33012,37345,27956
33025,37337,27928
33068,37340,27954
33052,37324,27891
33049,37336,27844
33056,37350,27869
33057,37358,27830
33088,37370,27766
33082,37367,27730
33064,37327,27748
32992,37317,27685
32965,37340,27666
32956,37328,27637
32928,37342,27558
32900,37326,27551
32880,37341,27594
32868,37344,27468
32744,37351,27444
32652,37367,27432
32608,37349,27391
32620,37351,27397
32608,37332,27327
32633,37327,27285
32684,37328,27316
32704,37341,27292
32680,37357,27169
32728,37351,27170
32760,37357,27188
32776,37365,27161
32684,37351,27062
32644,37310,27064
32636,37332,27010
32616,37324,27068
32616,37327,26981
32648,37335,26951
32684,37344,27044
32700,37351,26960
32680,37351,26973
32652,37357,26904
32668,37347,26910
32612,37336,26897
32572,37329,26925
32592,37312,26999
32644,37317,26893
32684,37327,26896
32724,37332,26932
32712,37370,26926
32680,37356,26957
32678,37349,26934
32660,37346,26948
32632,37333,26940
32676,37324,26972
32682,37316,26955
32696,37323,26968
32740,37324,26926
32764,37348,26940
32812,37345,26921
32888,37346,26940
32976,37345,27036
33116,37336,26925
33282,37337,26916
33508,37308,26964
33806,37311,26900
34220,37304,26880
34732,37315,26877
35156,37325,26922
35592,37321,26853
36140,37319,26828
36728,37303,26860
37077,37305,26877
37176,37303,26785
37060,37291,26764
36704,37291,26847
35860,37296,26743
34812,37319,26737
33712,37324,26827
32264,37329,26716
30674,37343,26784
29448,37351,26684
28767,37343,26757
28296,37332,26655
27602,37328,26710
27108,37339,26647
27097,37335,26657
27584,37332,26622
28200,37342,26713
29004,37332,26660
29636,37330,26719
30172,37332,26649
30680,37321,26680
31144,37300,26629
31637,37288,26680
32048,37285,26637
32416,37283,26658
32600,37290,26706
32700,37302,26705
32800,37302,26812
32856,37313,26719
32920,37303,26770
32912,37301,26759
32924,37285,26867
32940,37281,26802
32980,37268,26895
33068,37276,26817
33100,37289,26860
33172,37307,26843
33140,37303,26869
33153,37305,26983
33180,37300,26932
33204,37301,26959
33224,37280,26972
33225,37271,26960
33216,37276,27032
33216,37279,26954
33224,37281,26961
33264,37292,27068
33300,37300,27001
33304,37308,26997
33300,37297,27020
33284,37291,27028
33273,37289,27087
33276,37286,27059
33276,37277,27132
33286,37270,27039
33300,37287,27132
33308,37292,27045
33336,37308,27063
33373,37317,27052
33392,37293,27098
33344,37284,27180
33348,37295,27069
33344,37285,27108
33384,37279,27156
33373,37284,27088
33390,37277,27110
33460,37281,27181
33440,37305,27170
33476,37310,27082
33464,37313,27096
33452,37308,27108
33445,37303,27088
33456,37285,27151
33556,37271,27092
33592,37276,27093
33568,37286,27055
33588,37295,27070
33612,37311,27161
33636,37306,27079
33608,37319,27115
33640,37305,27044
33640,37293,27093
33674,37279,27092
33696,37271,27109
33724,37287,27084
33829,37285,27103
33888,37300,27066
33868,37312,27070
33864,37316,27070
33841,37284,27108
33834,37309,27084
33844,37309,27092
33872,37273,27180
33901,37263,27143
33940,37285,27226
33976,37292,27140
34028,37295,27213
34084,37294,27164
34156,37304,27180
34160,37306,27178
34208,37299,27212
34208,37294,27265
34224,37287,27272
34260,37288,27365
34300,37276,27285
34304,37291,27317
34292,37296,27357
34304,37310,27397
34308,37316,27369
34348,37326,27412
34344,37295,27496
34328,37279,27449
34324,37289,27523
34334,37281,27490
34276,37288,27513
34272,37301,27499
34256,37301,27540
34264,37313,27521
34244,37318,27572
34224,37314,27550
34180,37309,27569
34140,37303,27648
34136,37289,27620
34112,37284,27708
34072,37292,27653
34032,37297,27749
34012,37292,27685
33924,37309,27736
33825,37301,27709
33764,37301,27756
33660,37302,27711
33568,37292,27735
33496,37277,27756
33432,37284,27760
33376,37284,27756
33284,37295,27773
33244,37305,27832
33172,37307,27814
33064,37312,27881
32992,37308,27824
32892,37281,27824
32792,37300,27856
32696,37292,27847
32592,37275,27919
32536,37255,27884
32493,37299,27953
32416,37311,27886
32373,37319,27888
32312,37308,27965
32264,37308,27895
32184,37307,27919
32112,37303,27949
32064,37290,27936
32049,37284,27973
32028,37255,27911
32008,37292,27913
32000,37295,28007
31972,37301,27932
31920,37318,27928
31900,37319,27997
31900,37311,27944
31920,37309,27919
31928,37268,27928
31924,37276,27919
31928,37281,27945
31913,37282,27939
31892,37297,27974
31820,37285,27943
31804,37322,28006
31864,37321,27946
31876,37324,28007
31860,37319,27943
31876,37285,27988
31901,37276,27953
31908,37285,28004
31949,37308,27928
31952,37301,27972
31936,37318,27947
31952,37320,28009
31960,37308,27961
31961,37293,28018
31992,37276,27938
31972,37288,27948
31968,37291,27973
32008,37296,27981
32033,37311,28055
32048,37306,27984
32030,37309,27999
32056,37340,27994
32056,37341,28029
32056,37333,28065
32056,37323,28063
32072,37308,28069
32084,37316,28135
32096,37297,28111
32121,37303,28152
32160,37334,28120
32216,37351,28167
32192,37349,28144
32208,37341,28164
32224,37345,28204
32221,37308,28207
32220,37329,28218
32212,37327,28245
32229,37326,28256
32277,37337,28300
32268,37340,28373
32301,37349,28351
32320,37359,28410
32316,37373,28376
32324,37348,28376
32324,37314,28460
32316,37334,28441
32369,37343,28480
32372,37340,28462
32409,37346,28500
32448,37361,28525
32404,37364,28565
32353,37377,28557
32388,37373,28609
32384,37372,28578
32372,37356,28599
32344,37352,28643
32369,37337,28639
32368,37351,28657
32384,37341,28733
32413,37339,28688
32428,37377,28724
32453,37382,28762
32460,37383,28806
32480,37375,28778
32460,37359,28784
32440,37366,28831
32456,37357,28831
32456,37367,28879
32464,37365,28846
32492,37357,28876
32520,37397,28948
32487,37377,28927
32476,37375,28952
32448,37383,28964
32454,37375,28967
32440,37375,29028
32424,37369,29007
32432,37380,29028
32460,37407,29060
32493,37383,29055
32488,37399,29087
32480,37402,29071
32520,37401,29098
32476,37396,29114
32444,37382,29143
32424,37348,29124
32428,37383,29132
32492,37379,29186
32482,37383,29160
32492,37396,29181
32484,37398,29199
32480,37393,29209
32492,37390,29255
32484,37383,29208
32500,37361,29248
32512,37351,29265
32537,37349,29310
32560,37381,29265
32577,37383,29294
32636,37383,29327
32628,37405,29276
32588,37410,29336
32516,37383,29380
32500,37407,29365
32493,37401,29401
32472,37396,29410
32476,37383,29381
32508,37383,29406
32536,37383,29432
32596,37413,29414
32636,37429,29429
32676,37431,29429
32653,37421,29469
32588,37408,29430
32544,37407,29444
32528,37404,29452
32560,37383,29439
32588,37383,29453
32584,37397,29463
32644,37415,29429
32628,37428,29440
32564,37439,29468
32512,37428,29444
32512,37421,29442
32497,37412,29460
32528,37411,29408
32530,37399,29423
32600,37411,29441
32628,37383,29408
32669,37412,29386
32689,37428,29390
32652,37428,29423
32620,37433,29401
32572,37421,29429
32608,37413,29377
32592,37407,29388
32612,37398,29401
32632,37405,29385
32616,37418,29385
32584,37421,29419
32601,37432,29388
32612,37442,29397
32620,37417,29397
32673,37429,29434
32688,37413,29396
32700,37408,29414
32716,37404,29446
32728,37412,29395
32697,37422,29434
32752,37421,29474
32740,37436,29428
32700,37444,29447
