ECG,EDA,RR
32564,34167,38614
32560,34175,38611
32580,34183,38460
32624,34193,38600
32612,34196,38604
32646,34199,38380
32636,34191,38559
32684,34180,38392
32656,34172,38509
32648,34161,38510
32680,34177,38503
32656,34172,38512
32672,34181,38492
32696,34183,38489
32676,34197,38276
32656,34207,38365
32660,34183,38298
32648,34176,38407
32712,34180,38455
32714,34188,38212
32736,34173,38295
32748,34173,38277
32721,34168,38348
32744,34183,38356
32728,34209,38343
32732,34207,38279
32732,34198,38338
32708,34183,38239
32748,34183,38172
32780,34173,38288
32772,34161,38330
32780,34164,38098
32760,34183,38241
32808,34183,38068
32808,34190,38161
32840,34190,38055
32848,34193,38116
32804,34183,38020
32760,34173,38108
32792,34162,37989
32777,34183,38185
32736,34168,38137
32736,34182,38092
32748,34183,38103
32732,34201,38117
32724,34183,38076
32752,34183,37991
32757,34183,37884
32765,34161,38012
32780,34154,38013
32756,34149,37796
32780,34151,37880
32813,34167,37814
32893,34183,37895
32888,34196,37748
32901,34197,37849
32929,34197,37700
32956,34175,37807
32936,34167,37651
32933,34159,37756
32956,34166,37693
32972,34169,37573
32988,34177,37759
32992,34181,37671
32992,34191,37544
32984,34184,37575
33008,34180,37465
33052,34180,37647
33084,34175,37423
33040,34167,37593
33008,34162,37548
33028,34164,37405
33044,34175,37471
33012,34169,37340
33008,34183,37416
32972,34189,37297
32912,34182,37332
32829,34175,37247
32734,34165,37292
32676,34142,37198
32624,34165,37365
32592,34156,37332
32560,34175,37141
32544,34183,37300
32544,34183,37122
32584,34183,37280
32580,34183,37229
32540,34171,37216
32564,34156,37173
32637,34162,37029
32652,34164,37111
32644,34161,36957
32648,34170,37057
32664,34183,37028
32653,34191,37044
32620,34197,36909
32593,34175,36965
32550,34182,36870
32581,34159,37006
32576,34137,36897
32552,34141,36820
32584,34151,36967
32612,34162,36927
32601,34175,36861
32644,34183,36871
32628,34188,36853
32633,34207,36823
32612,34189,36838
32604,34164,36804
32580,34151,36663
32588,34156,36767
32576,34159,36700
32620,34167,36669
32664,34164,36560
32644,34196,36701
32648,34195,36676
32644,34175,36516
32652,34179,36612
32648,34173,36636
32692,34159,36622
32752,34151,36589
32864,34151,36540
33016,34173,36529
33236,34161,36401
33436,34172,36445
33652,34196,36359
33992,34183,36464
34396,34177,36456
34788,34165,36308
35208,34144,36397
35700,34142,36359
36272,34145,36388
36748,34159,36241
37032,34164,36292
37040,34177,36213
36908,34173,36340
36333,34176,36350
35300,34180,36175
34052,34183,36255
32653,34183,36135
31048,34191,36192
29804,34205,36097
29132,34225,36153
28740,34236,36127
28164,34244,36200
27768,34252,36190
27944,34247,36022
28472,34235,36113
29020,34223,36036
29696,34225,36057
30220,34205,35964
30512,34207,36128
30720,34212,36054
30888,34196,35929
31220,34236,36076
31597,34228,36007
31844,34220,35900
32100,34221,36020
32308,34214,35996
32472,34204,35940
32636,34205,35925
32724,34197,35812
32814,34212,35972
32880,34217,35951
32932,34208,35847
32944,34231,35909
32940,34243,35775
32952,34228,35882
32980,34215,35901
33018,34209,35804
33084,34199,35860
33125,34208,35728
33117,34221,35839
33120,34236,35866
33136,34236,35713
33172,34239,35829
33201,34241,35812
33212,34242,35677
33200,34220,35782
33164,34221,35664
33184,34223,35796
33220,34221,35784
33208,34229,35775
33240,34252,35616
33280,34249,35749
33288,34247,35728
33220,34263,35740
33236,34254,35581
33224,34252,35672
33220,34238,35557
33216,34239,35688
33148,34233,35545
33132,34247,35640
33176,34264,35517
33204,34270,35575
33237,34295,35556
33332,34260,35653
33380,34263,35665
33404,34245,35511
33392,34242,35669
33402,34224,35660
33404,34241,35660
33404,34252,35530
33404,34268,35681
33413,34269,35692
33412,34284,35692
33408,34285,35681
33476,34276,35628
33421,34265,35616
33456,34254,35718
33448,34246,35675
33416,34257,35552
33420,34242,35644
33468,34273,35556
33476,34287,35631
33472,34287,35591
33508,34289,35628
33572,34279,35580
33584,34277,35685
33588,34255,35684
33652,34271,35553
33711,34273,35631
33744,34278,35559
33800,34292,35700
33824,34311,35697
33856,34293,35664
33908,34294,35692
33884,34292,35632
33812,34280,35664
33840,34279,35556
33872,34284,35708
33944,34286,35689
34000,34300,35679
34036,34300,35691
34048,34311,35636
34072,34323,35660
34104,34311,35665
34117,34305,35551
34108,34309,35591
34104,34308,35508
34088,34280,35648
34134,34303,35660
34172,34308,35638
34188,34311,35624
34200,34332,35597
34148,34340,35509
34188,34345,35528
34172,34338,35412
34156,34329,35497
34132,34324,35457
34092,34311,35463
34052,34335,35362
34072,34321,35453
34020,34345,35436
34020,34356,35408
34004,34357,35349
33932,34367,35348
33849,34356,35207
33772,34349,35269
33720,34343,35173
33688,34343,35223
33624,34348,35141
33576,34359,35202
33516,34357,35089
33484,34372,35181
33388,34399,35064
33301,34401,35199
33232,34388,35172
33112,34381,35142
32981,34368,35005
32904,34364,35044
32864,34368,34940
32792,34375,34988
32692,34409,34908
32640,34416,34951
32576,34424,34852
32492,34427,34924
32413,34421,34820
32368,34404,34862
32284,34400,34741
32228,34396,34823
32260,34397,34733
32245,34429,34799
32178,34439,34762
32173,34448,34644
32092,34463,34644
32040,34453,34596
32013,34447,34646
31964,34439,34606
31956,34420,34596
31972,34425,34559
31961,34429,34524
31948,34439,34508
31952,34455,34341
31940,34463,34413
31944,34473,34348
31972,34471,34382
31978,34457,34362
31918,34461,34238
31896,34460,34276
31888,34459,34177
31876,34452,34263
31865,34471,34080
31860,34479,34175
31856,34507,34124
31908,34501,34039
31944,34504,34108
31964,34497,34104
31968,34493,33943
31932,34476,34054
31961,34456,34045
32008,34488,33903
32056,34495,33972
32056,34516,33940
32036,34521,33966
32038,34517,33927
32064,34511,33796
32052,34501,33876
32024,34513,33754
32036,34502,33879
32040,34509,33875
32070,34516,33727
32074,34523,33799
32088,34521,33701
32120,34540,33792
32128,34547,33758
32120,34554,33787
32116,34551,33734
32112,34547,33669
32104,34535,33709
32136,34532,33734
32148,34529,33670
32156,34536,33570
32160,34556,33671
32212,34567,33606
32248,34559,33637
32228,34567,33540
32253,34567,33647
32248,34567,33641
32260,34557,33572
32256,34564,33633
32284,34564,33624
32336,34567,33609
32388,34593,33594
32366,34593,33449
32364,34601,33524
32360,34604,33469
32376,34597,33552
32357,34567,33495
32344,34576,33399
32388,34575,33499
32416,34583,33372
32436,34581,33463
32448,34613,33417
32436,34589,33470
32448,34616,33452
32449,34627,33448
32474,34636,33425
32460,34616,33430
32449,34613,33340
32432,34605,33407
32404,34609,33327
32364,34620,33353
32390,34632,33263
32404,34645,33340
32376,34646,33301
32370,34673,33338
32424,34645,33269
32448,34645,33366
32464,34637,33364
32404,34632,33332
32384,34624,33359
32400,34652,33223
32392,34661,33314
32392,34679,33344
32368,34671,33220
32360,34677,33307
32356,34676,33220
32344,34665,33324
32352,34646,33345
32388,34660,33220
32420,34676,33344
32468,34677,33329
32454,34695,33191
32480,34700,33334
32484,34709,33296
32516,34711,33243
32496,34710,33292
32488,34701,33203
32476,34704,33285
32484,34695,33321
32432,34692,33216
32432,34719,33303
32500,34735,33304
32492,34727,33217
32496,34735,33326
32520,34740,33330
32500,34740,33325
32468,34741,33301
32472,34735,33191
32438,34737,33297
32408,34726,33229
32487,34733,33317
32504,34748,33335
32508,34759,33244
32460,34770,33301
32472,34769,33252
32472,34759,33296
32468,34759,33303
32476,34759,33335
32508,34756,33204
32496,34764,33331
32532,34764,33311
32544,34786,33200
32562,34802,33341
32572,34816,33245
32592,34799,33301
32570,34797,33294
32557,34796,33329
32554,34781,33180
32576,34788,33308
32596,34788,33283
32568,34790,33231
32588,34810,33268
32576,34823,33246
32588,34823,33293
32584,34833,33279
32596,34823,33279
32576,34817,33220
32628,34791,33228
32660,34784,33263
32672,34793,33149
32641,34809,33208
32620,34809,33241
32628,34844,33191
32600,34851,33198
32584,34849,33124
32620,34848,33227
32636,34845,33200
32636,34832,33100
32584,34836,33183
32592,34820,33079
32644,34836,33177
32684,34855,33068
32738,34872,33167
32740,34877,33106
32704,34883,33196
32700,34868,33159
32628,34871,33196
32608,34860,33077
32652,34845,33193
32641,34853,33183
32648,34861,33103
32640,34879,33183
32668,34892,33173
32712,34899,33099
32724,34893,33185
32728,34865,33168
32724,34887,33135
32708,34877,33193
32720,34871,33185
32704,34874,33106
32737,34869,33183
32764,34885,33206
32792,34901,33124
32744,34905,33185
32664,34909,33086
32644,34895,33169
32644,34881,33085
32664,34868,33190
32672,34894,33142
32644,34895,33145
32676,34906,33204
32671,34916,33124
32696,34928,33188
32772,34929,33098
32768,34932,33196
32728,34934,33096
32733,34916,33207
32693,34908,33145
32716,34908,33228
32714,34924,33208
32716,34925,33157
32756,34938,33192
32744,34946,33092
32740,34961,33192
32726,34949,33160
32764,34951,33209
32788,34916,33220
32792,34927,33140
32800,34933,33208
32812,34933,33168
32784,34936,33159
32812,34951,33223
32812,34973,33212
32844,34967,33241
32804,34972,33170
32804,34965,33229
32792,34967,33137
32764,34948,33253
32796,34940,33263
32828,34951,33241
32864,34951,33196
32884,34965,33253
32908,34996,33245
32960,34997,33237
32992,34984,33274
32976,34984,33262
32972,34980,33262
32988,34977,33172
32992,34972,33260
32992,34977,33231
33036,34980,33280
33056,34983,33234
33088,34999,33287
33116,35021,33308
33121,35021,33228
33120,35005,33280
33108,35004,33188
33100,34996,33284
33052,34996,33244
33072,34989,33325
33112,35009,33248
33124,35021,33311
33128,35034,33252
32992,35023,33273
32893,35024,33325
32776,35023,33233
32724,35033,33343
32688,35022,33333
32665,35020,33340
32680,35034,33261
32628,35032,33340
32624,35053,33233
32637,35053,33337
32676,35053,33247
32664,35068,33336
32704,35060,33317
32704,35055,33367
32636,35047,33373
32620,35032,33385
32652,35031,33356
32688,35047,33283
32692,35060,33365
32704,35055,33263
32704,35079,33358
32688,35078,33262
32704,35068,33353
32700,35075,33307
32665,35055,33397
32680,35052,33380
32662,35055,33391
32673,35065,33327
32734,35079,33392
32748,35092,33358
32760,35100,33384
32800,35077,33341
32816,35095,33390
32797,35079,33390
32736,35079,33277
32760,35068,33380
32757,35076,33388
32784,35093,33300
32841,35094,33356
32825,35111,33284
32804,35109,33392
32828,35111,33388
32840,35105,33308
32848,35100,33377
32892,35089,33316
32953,35079,33380
33012,35087,33383
33136,35100,33342
33352,35108,33377
33544,35118,33287
33784,35116,33341
34064,35122,33277
34424,35109,33334
34848,35078,33237
35236,35079,33327
35692,35087,33255
36256,35079,33348
36792,35093,33285
37044,35103,33341
37024,35113,33336
36808,35115,33348
36284,35127,33262
35284,35129,33313
34160,35116,33353
32964,35117,33287
31400,35120,33336
29972,35114,33285
29148,35144,33300
28684,35150,33229
28256,35168,33305
27618,35184,33252
27416,35175,33316
27644,35173,33332
28141,35160,33327
28888,35153,33252
29596,35127,33281
30080,35151,33302
30493,35148,33199
30900,35164,33276
31304,35175,33182
31740,35166,33287
32052,35166,33233
32272,35157,33308
32492,35140,33268
32632,35132,33296
32724,35134,33236
32824,35138,33332
32940,35150,33223
32993,35158,33332
33012,35183,33348
33016,35170,33335
33040,35168,33352
33032,35164,33240
33053,35148,33336
33108,35133,33276
33148,35159,33367
33158,35165,33295
33148,35166,33381
33204,35173,33405
33252,35186,33397
33284,35199,33396
33324,35188,33378
33325,35181,33385
33356,35154,33277
33304,35173,33376
33320,35167,33321
33380,35167,33397
33324,35175,33327
33352,35183,33378
33372,35197,33279
33357,35182,33390
33352,35197,33407
33340,35175,33274
33316,35181,33388
33324,35186,33406
33308,35181,33372
33336,35168,33380
33382,35181,33400
33389,35193,33280
33376,35207,33365
33373,35212,33310
33376,35223,33404
33364,35215,33394
33320,35207,33360
33296,35206,33380
33325,35205,33314
33364,35196,33404
33380,35202,33415
33388,35210,33334
33428,35220,33400
33456,35212,33408
33500,35222,33400
33516,35222,33335
33468,35207,33383
33456,35205,33327
33472,35188,33399
33508,35202,33410
33532,35207,33328
33576,35207,33356
33640,35220,33387
33644,35237,33256
33676,35239,33361
33680,35220,33372
33664,35217,33381
33704,35223,33344
33748,35221,33354
33780,35207,33307
33820,35207,33329
33832,35221,33280
33860,35215,33324
33856,35240,33287
33860,35241,33304
33920,35239,33220
33920,35221,33271
33976,35213,33247
34016,35198,33228
34056,35221,33158
34088,35233,33181
34100,35241,33060
34135,35235,33140
34128,35244,33076
34124,35250,33106
34144,35253,32988
34124,35241,33076
34124,35236,32989
34148,35218,33040
34189,35226,32933
34204,35222,33009
34188,35247,32930
34204,35263,32980
34232,35270,32908
34244,35253,32932
34225,35247,32860
34209,35239,32904
34220,35223,32884
34181,35225,32793
34205,35222,32820
34156,35236,32729
34116,35239,32772
34140,35252,32680
34140,35258,32741
34068,35269,32716
34036,35247,32593
33940,35214,32679
33876,35239,32661
33820,35224,32615
33776,35229,32586
33700,35225,32528
33648,35241,32569
33556,35245,32488
33440,35249,32528
33372,35255,32510
33276,35258,32404
33164,35236,32436
33120,35224,32335
33052,35231,32380
32964,35237,32273
32876,35240,32337
32828,35243,32251
32756,35255,32293
32688,35245,32233
32600,35254,32273
32468,35252,32240
32364,35242,32114
32281,35236,32188
32216,35233,32176
32152,35231,32065
32112,35236,32101
32112,35252,32097
32068,35271,31984
32036,35270,32015
31988,35276,31941
31976,35258,31977
31937,35253,31941
31900,35244,31869
31888,35240,31914
31900,35244,31863
31860,35239,31800
31884,35244,31831
31870,35260,31783
31848,35252,31690
31868,35268,31750
31836,35265,31720
31848,35257,31686
31860,35241,31660
31853,35236,31584
31832,35253,31599
31816,35253,31564
31848,35245,31559
31864,35261,31478
31854,35260,31513
31840,35265,31487
31880,35263,31471
31864,35250,31433
31860,35233,31401
31864,35244,31308
31900,35244,31350
31908,35257,31357
31973,35254,31252
31976,35263,31303
31980,35264,31293
32000,35271,31188
32028,35265,31239
32048,35260,31193
32028,35260,31176
32036,35239,31192
32005,35239,31177
32020,35247,31092
32032,35257,31143
32036,35266,31119
32029,35270,31116
32068,35274,31078
32092,35276,31085
32056,35284,31048
32008,35249,31044
32032,35244,30964
32076,35246,31005
32128,35257,30956
32124,35263,30988
32144,35281,30901
32188,35279,30957
32216,35277,30948
32208,35265,30940
32180,35257,30877
32136,35239,30903
32156,35229,30862
32168,35252,30865
32164,35257,30855
32160,35263,30776
32148,35271,30813
32184,35269,30764
32229,35280,30789
32204,35281,30766
32213,35273,30684
32162,35256,30727
32228,35236,30711
32240,35254,30685
32288,35263,30654
32344,35260,30618
32432,35264,30639
32392,35269,30605
32276,35284,30551
32268,35280,30593
32276,35268,30559
32320,35245,30540
32288,35245,30531
32332,35247,30464
32344,35233,30484
32320,35244,30426
32356,35285,30460
32365,35277,30453
32368,35282,30401
32416,35272,30412
32360,35264,30388
32332,35263,30404
32348,35212,30355
32340,35232,30380
32370,35236,30343
32364,35222,30306
32448,35269,30323
32496,35277,30298
32408,35257,30243
32404,35257,30263
32396,35253,30199
32368,35237,30224
32360,35236,30189
32412,35231,30191
32476,35240,30172
32456,35252,30120
32460,35255,30111
32516,35252,30052
32476,35239,30064
32384,35265,30047
32372,35246,30010
32360,35244,29988
32388,35236,29950
32444,35233,29936
32544,35244,29894
32508,35243,29881
32456,35255,29828
32484,35256,29831
32476,35255,29816
32452,35247,29792
32452,35242,29760
32440,35229,29748
32400,35222,29710
32412,35198,29688
32452,35234,29660
32480,35241,29620
32481,35254,29626
32512,35248,29596
32520,35245,29553
32532,35248,29551
32560,35244,29527
32576,35231,29487
32552,35231,29472
32596,35207,29437
32576,35221,29417
32608,35223,29386
32605,35220,29370
32548,35250,29348
32520,35249,29312
32520,35242,29296
32520,35232,29246
32524,35232,29232
32497,35207,29180
32504,35218,29166
32528,35197,29138
32536,35235,29111
32556,35239,29052
