ECG,EDA,RR
32832,24759,28768
32808,24746,28631
32732,24748,28675
32760,24748,28609
32744,24756,28740
32744,24761,28757
32736,24764,28647
32724,24774,28728
32681,24773,28624
32656,24768,28679
32624,24765,28572
32576,24746,28604
32598,24746,28522
32588,24743,28636
32558,24748,28576
32544,24753,28652
32472,24767,28641
32452,24771,28636
32432,24768,28615
32448,24766,28605
32444,24758,28613
32476,24751,28484
32484,24736,28498
32572,24740,28423
32600,24745,28558
32636,24759,28508
32668,24756,28396
32636,24775,28468
32632,24765,28379
32588,24764,28477
32576,24759,28355
32584,24751,28478
32580,24741,28473
32588,24740,28311
32609,24741,28446
32636,24749,28389
32630,24754,28466
32592,24765,28423
32584,24769,28457
32601,24759,28287
32616,24753,28431
32600,24743,28361
32620,24736,28427
32648,24733,28322
32716,24741,28423
32741,24750,28419
32728,24757,28444
32720,24766,28372
32712,24764,28290
32732,24764,28354
32780,24748,28333
32796,24741,28445
32796,24740,28396
32804,24738,28466
32900,24737,28456
33048,24748,28472
33240,24759,28472
33448,24764,28407
33668,24764,28453
33940,24760,28405
34333,24748,28474
34768,24748,28356
35209,24732,28452
35692,24735,28412
36276,24732,28471
36908,24744,28448
37312,24743,28477
37432,24752,28470
37408,24753,28365
37061,24750,28440
36196,24750,28366
34992,24744,28457
33620,24745,28455
31904,24750,28453
30296,24763,28340
29296,24775,28375
28692,24787,28272
28088,24804,28421
27444,24812,28372
27336,24806,28303
27724,24799,28370
28288,24780,28308
29028,24774,28403
29752,24765,28246
30233,24767,28397
30544,24778,28399
30784,24784,28210
31148,24783,28374
31604,24788,28311
31940,24780,28360
32261,24765,28260
32496,24767,28348
32656,24754,28327
32772,24757,28349
32876,24756,28335
32984,24767,28232
33056,24772,28261
33086,24785,28178
33088,24779,28346
33136,24776,28263
33160,24783,28180
33228,24762,28333
33246,24761,28344
33288,24757,28340
33344,24767,28340
33352,24775,28340
33340,24776,28340
33344,24793,28360
33336,24792,28378
33372,24786,28269
33393,24780,28294
33381,24773,28230
33380,24767,28364
33406,24764,28321
33392,24767,28206
33372,24775,28359
33371,24781,28376
33392,24792,28225
33428,24797,28367
33440,24793,28378
33472,24786,28222
33496,24773,28292
33516,24768,28250
33504,24769,28292
33452,24773,28236
33460,24784,28356
33468,24793,28254
33510,24792,28336
33496,24804,28336
33463,24800,28295
33520,24789,28391
33540,24795,28267
33516,24779,28310
33484,24777,28238
33497,24783,28402
33548,24790,28423
33584,24807,28420
33632,24811,28343
33680,24813,28253
33708,24805,28372
33712,24806,28352
33764,24798,28437
33828,24781,28410
33856,24783,28418
33860,24794,28294
33913,24804,28430
33964,24813,28444
33956,24823,28341
33960,24825,28402
33980,24823,28460
33972,24815,28448
34000,24804,28413
34008,24796,28318
34028,24804,28356
34080,24813,28252
34137,24820,28356
34136,24826,28265
34192,24839,28368
34225,24850,28324
34244,24839,28388
34296,24838,28387
34324,24821,28229
34308,24821,28316
34342,24815,28236
34424,24826,28341
34468,24839,28325
34496,24844,28177
34488,24854,28295
34504,24863,28196
34508,24853,28224
34496,24852,28167
34485,24847,28193
34470,24839,28186
34440,24845,28112
34445,24845,28212
34468,24858,28229
34460,24869,28136
34440,24880,28224
34428,24879,28204
34384,24879,28196
34292,24877,28096
34268,24861,28166
34276,24868,28061
34236,24861,28155
34212,24868,28149
34152,24883,28132
34104,24899,28039
34068,24901,28135
33996,24911,28106
33904,24908,28089
33846,24893,27976
33756,24891,28006
33684,24899,27924
33600,24898,27981
33493,24900,27894
33432,24910,27958
33340,24921,27892
33216,24929,27975
33136,24932,27881
33022,24933,27917
32956,24923,27859
32844,24916,27969
32760,24917,27974
32672,24915,27956
32588,24925,27886
32508,24941,27796
32440,24950,27861
32372,24956,27807
32292,24967,27928
32236,24967,27919
32160,24960,27846
32064,24953,27881
31997,24949,27729
31964,24949,27848
31924,24955,27746
31896,24964,27818
31852,24980,27700
31824,24994,27860
31800,24989,27752
31804,24998,27863
31748,24982,27815
31736,24982,27863
31772,24966,27865
31799,24978,27772
31816,24983,27820
31828,24996,27720
31800,25007,27810
31784,25011,27759
31828,25020,27820
31836,25012,27774
31820,25012,27807
31848,25008,27788
31892,25004,27662
31908,25004,27781
31944,25010,27774
31928,25018,27701
31968,25033,27760
31952,25039,27749
31918,25045,27748
31946,25041,27634
31956,25036,27679
31941,25033,27710
31990,25024,27709
32036,25032,27532
32058,25042,27602
32096,25047,27495
32120,25062,27648
32120,25069,27638
32129,25071,27483
32100,25076,27628
32080,25066,27613
32116,25066,27536
32132,25059,27537
32156,25060,27493
32172,25069,27610
32192,25076,27612
32190,25095,27600
32196,25105,27521
32216,25104,27580
32212,25105,27433
32256,25098,27527
32272,25095,27441
32284,25089,27564
32296,25093,27460
32329,25100,27604
32336,25111,27602
32344,25132,27613
32348,25132,27548
32380,25134,27484
32388,25141,27602
32416,25135,27490
32453,25130,27630
32444,25126,27637
32432,25132,27536
32428,25135,27628
32456,25155,27553
32456,25161,27674
32456,25169,27689
32476,25180,27577
32452,25178,27655
32448,25173,27548
32452,25167,27681
32432,25162,27593
32420,25166,27655
32428,25177,27698
32432,25185,27727
32452,25198,27585
32448,25211,27750
32472,25215,27704
32480,25212,27620
32456,25211,27720
32429,25205,27655
32448,25199,27709
32456,25197,27730
32480,25215,27682
32506,25223,27700
32509,25241,27813
32512,25244,27749
32520,25257,27758
32484,25261,27712
32492,25252,27849
32480,25247,27820
32408,25247,27740
32444,25253,27797
32440,25256,27864
32440,25273,27732
32461,25279,27900
32424,25298,27836
32396,25295,27756
32408,25297,27926
32384,25293,27885
32356,25285,27822
32352,25290,27869
32384,25292,27904
32384,25299,27893
32372,25309,27933
32428,25325,27866
32416,25337,27961
32428,25337,27836
32448,25332,27936
32462,25337,27836
32460,25333,27966
32485,25325,27905
32484,25332,28020
32528,25332,27940
32524,25351,27977
32528,25361,27908
32540,25383,28007
32528,25384,27922
32486,25381,28033
32548,25373,27919
32608,25367,28044
32616,25365,27951
32644,25372,28108
32688,25380,28073
32748,25393,28004
32728,25409,28044
32720,25414,27988
32720,25416,28073
32768,25423,27973
32828,25412,28121
32828,25409,28068
32836,25408,28149
32820,25410,28183
32820,25414,28179
32768,25429,28180
32734,25444,28185
32688,25460,28128
32688,25460,28160
32685,25468,28052
32656,25463,28193
32572,25452,28092
32544,25447,28199
32500,25449,28217
32472,25458,28128
32476,25469,28205
32501,25479,28140
32512,25493,28196
32472,25505,28126
32456,25498,28242
32420,25500,28164
32432,25492,28086
32392,25485,28253
32340,25494,28182
32340,25492,28076
32384,25511,28252
32392,25517,28246
32428,25531,28140
32520,25536,28250
32560,25532,28130
32524,25524,28182
32516,25524,28095
32496,25521,28244
32476,25519,28119
32488,25530,28252
32508,25542,28258
32536,25559,28188
32544,25566,28269
32521,25567,28186
32545,25565,28208
32556,25564,28127
32532,25559,28242
32528,25554,28122
32576,25559,28212
32572,25563,28176
32564,25575,28295
32568,25591,28167
32544,25604,28265
32545,25607,28141
32528,25606,28242
32556,25603,28212
32612,25593,28287
32612,25592,28216
32569,25593,28316
32545,25596,28231
32632,25617,28300
32680,25625,28209
32756,25635,28348
32768,25637,28283
32880,25639,28384
33072,25640,28265
33292,25628,28409
33477,25628,28312
33710,25624,28441
34080,25640,28311
34504,25639,28436
34976,25653,28308
35396,25660,28463
35940,25656,28505
36524,25653,28410
36996,25647,28441
37204,25653,28364
37180,25647,28508
36926,25648,28399
36192,25655,28544
35096,25678,28518
33760,25701,28581
32160,25716,28577
30384,25728,28612
29144,25737,28544
28492,25735,28483
27968,25730,28597
27292,25743,28468
27061,25746,28610
27408,25743,28566
27992,25754,28647
28693,25757,28548
29444,25767,28679
30008,25764,28613
30396,25757,28609
30648,25754,28713
30984,25749,28719
31404,25738,28590
31764,25738,28670
32052,25740,28592
32288,25754,28672
32504,25767,28605
32650,25774,28754
32732,25786,28702
32832,25777,28790
32896,25777,28792
32942,25767,28663
32948,25767,28810
32952,25760,28741
32994,25771,28840
33024,25781,28884
33060,25796,28747
33088,25811,28872
33088,25808,28793
33132,25809,28889
33153,25805,28792
33132,25803,28920
33100,25793,28839
33100,25799,28931
33132,25807,28916
33160,25823,29033
33248,25833,28927
33216,25836,29052
33232,25853,28929
33272,25851,29101
33268,25841,29068
33232,25841,29124
33212,25831,29173
33228,25833,29040
33236,25845,29161
33252,25848,29183
33308,25863,29150
33296,25869,29241
33304,25879,29241
33332,25879,29221
33357,25868,29311
33340,25863,29201
33357,25860,29337
33384,25861,29252
33404,25863,29436
33392,25885,29470
33364,25892,29490
33348,25899,29527
33328,25908,29446
33312,25908,29520
33345,25905,29436
33420,25884,29639
33464,25893,29501
33489,25887,29635
33492,25901,29583
33544,25909,29740
33616,25921,29797
33660,25932,29823
33680,25929,29737
33728,25935,29824
33744,25929,29748
33776,25923,29917
33812,25914,29792
33860,25914,29965
33904,25933,29951
33940,25934,30024
34008,25945,29905
34052,25953,30053
34056,25959,30012
34068,25954,30152
34118,25953,30161
34148,25946,30053
34121,25940,30180
34148,25941,30114
34180,25948,30264
34228,25952,30300
34244,25968,30164
34284,25981,30271
34316,25981,30350
34344,25982,30215
34337,25975,30335
34320,25969,30340
34336,25964,30436
34340,25961,30468
34356,25971,30309
34364,25981,30500
34408,25985,30470
34428,26007,30552
34416,26005,30404
34392,25996,30596
34388,26005,30517
34388,25985,30634
34394,25984,30519
34420,25989,30642
34432,25995,30677
34412,26003,30580
34397,26014,30764
34360,26023,30684
34312,26035,30800
34280,26033,30680
34232,26021,30831
34184,26013,30861
34140,26008,30761
34068,26015,30934
33992,26017,30925
33912,26031,30830
33860,26041,30967
33768,26049,31036
33688,26055,30911
33568,26065,31045
33421,26052,31072
33320,26037,31150
33237,26044,31080
33128,26037,31074
33072,26047,31089
33020,26052,31184
32928,26061,31254
32852,26073,31162
32800,26078,31301
32724,26081,31373
32648,26082,31268
32548,26065,31326
32460,26063,31345
32432,26063,31343
32412,26071,31433
32348,26084,31404
32357,26093,31543
32288,26100,31608
32176,26108,31646
32148,26105,31697
32132,26097,31716
32120,26087,31772
32116,26087,31623
32100,26093,31780
32152,26092,31870
32140,26104,31879
32108,26113,31924
32136,26119,31773
32157,26120,31956
32156,26119,31941
32100,26119,31964
32080,26107,31904
32064,26109,32065
32064,26109,32089
32068,26112,32164
32084,26119,32172
32116,26132,32068
