ECG,EDA,RR
34336,40892,34936
34152,40956,34894
33933,40944,34872
33764,41046,34836
33648,41063,34804
33736,41055,34755
33964,41042,34757
34236,40996,34721
34512,40924,34689
34696,40942,34625
34669,40957,34616
34484,40960,34567
34188,41015,34575
33992,41053,34551
33856,41013,34516
33868,41062,34472
34104,41036,34469
34384,40996,34445
34633,40992,34415
34832,40964,34378
34768,40940,34364
34560,40983,34348
34288,41023,34295
34024,41048,34303
33744,41063,34256
33706,41076,34247
33829,41020,34220
34016,41025,34201
34180,40988,34168
34303,40976,34149
34172,40967,34110
33882,40936,34108
33544,41023,34094
33232,41041,34065
32996,41095,34040
32988,41076,34015
33156,41008,34004
33360,41028,33972
33530,40993,33964
33632,40983,33940
33588,40984,33932
33344,40956,33901
33016,41020,33892
32736,41056,33877
32520,41088,33860
32594,41017,33834
32698,41063,33816
33024,41025,33806
33332,40997,33791
33524,40960,33766
33472,40980,33765
33260,41004,33767
33028,41025,33734
32800,41040,33742
32620,41095,33705
32722,41090,33697
32952,41012,33697
33184,41039,33681
33400,40997,33676
33592,40967,33655
33544,40992,33652
33444,41020,33628
33197,40985,33629
32948,41070,33616
32780,41087,33605
32884,41092,33592
33153,41068,33568
33364,41031,33568
33672,40952,33549
33868,40922,33542
33876,40992,33561
33720,41012,33543
33476,41044,33540
33244,41074,33521
33104,41080,33524
33164,41095,33522
33384,41076,33517
33632,41057,33500
33888,41020,33513
34080,40944,33484
34080,40996,33489
33852,41012,33476
33584,41048,33487
33396,41085,33457
33248,41041,33457
33310,41060,33476
33552,41076,33444
33849,41041,33445
34104,41004,33430
34268,40999,33421
34196,40997,33408
34041,40996,33406
33836,41054,33366
33592,41076,33399
33404,41044,33396
33420,41105,33389
33608,41025,33408
33884,41044,33375
34088,41025,33372
34270,40952,33362
34224,40967,33359
33992,41028,33354
33736,41054,33372
33560,41092,33365
33412,41117,33328
33468,41041,33347
33708,41016,33358
33964,41062,33324
34208,41024,33326
34360,41005,33342
34300,41005,33309
34060,41031,33308
33812,41052,33294
33584,41066,33309
33376,41053,33272
33440,41045,33287
33664,41020,33295
