ECG,EDA,RR
32748,41058,33216
32948,41014,33220
32840,41036,33244
32664,41087,33280
32436,41108,33312
32205,41153,33356
32164,41132,33389
32308,41117,33364
32580,41135,33412
32852,41108,33432
33120,41061,33486
33294,41037,33493
33192,41056,33499
32980,41082,33527
32736,41117,33551
32496,41108,33591
32441,41173,33601
32632,41164,33609
32921,41124,33635
33192,41095,33653
33456,41065,33679
33564,41053,33697
33420,41065,33692
33180,41068,33727
32888,41125,33741
32638,41167,33772
32512,41182,33799
32621,41159,33788
32848,41130,33823
33084,41069,33842
33368,41069,33868
33404,41068,33872
33240,41077,33902
32996,41095,33926
32712,41124,33942
32389,41157,33949
32248,41186,33953
32328,41173,33989
32544,41079,34017
32773,41109,34035
32959,41087,34037
32996,41071,34052
32780,41079,34072
32416,41071,34092
32172,41124,34118
31828,41163,34119
31700,41188,34110
31708,41180,34150
31720,41156,34168
32116,41064,34183
32304,41100,34196
32384,41092,34209
32236,41052,34221
31968,41108,34232
31668,41151,34249
31376,41180,34272
31248,41133,34287
31268,41204,34311
31530,41167,34316
31780,41112,34324
31996,41080,34351
32060,41084,34377
31924,41085,34385
31672,41050,34407
31500,41156,34420
31246,41193,34416
31116,41212,34439
31220,41180,34461
31472,41155,34468
31708,41081,34493
31952,41037,34472
32148,41031,34517
32036,41047,34528
31772,41135,34555
31492,41158,34553
31228,41212,34551
31150,41220,34582
31232,41216,34619
31541,41156,34608
31856,41148,34620
32140,41055,34644
32276,41068,34661
32132,41121,34684
31920,41148,34692
31613,41172,34708
31372,41205,34717
31250,41236,34756
31396,41164,34773
31678,41179,34804
31980,41173,34800
32244,41124,34839
32352,41094,34856
32280,41113,34881
32012,41151,34862
31762,41137,34916
31496,41237,34916
31313,41223,34948
31444,41223,34967
31749,41189,34951
32040,41183,34972
32249,41105,35014
32345,41138,35035
32232,41142,35053
31993,41153,35039
31720,41191,35086
31360,41237,35101
31325,41247,35132
31528,41184,35116
31844,41236,35160
32104,41176,35176
32345,41151,35212
32477,41133,35188
32314,41159,35233
32056,41188,35252
31728,41215,35289
31456,41264,35245
31388,41252,35250
31544,41252,35330
31852,41232,35341
32133,41159,35353
32416,41180,35340
32552,41153,35375
32389,41159,35398
32200,41197,35409
31972,41167,35373
31704,41223,35424
31596,41260,35444
31772,41244,35430
31988,41257,35448
32216,41216,35481
32460,41162,35508
32628,41151,35478
32544,41176,35476
32320,41190,35543
32084,41244,35556
31812,41293,35558
31732,41255,35568
