ECG,EDA,RR
31532,53590,30271
31380,53684,30273
31220,53663,30372
31048,53767,30220
30924,53758,30152
31186,53649,30244
31158,53636,30283
31104,53695,30294
31176,53556,30305
31272,53660,30297
31244,53661,30394
31344,53680,30356
31204,53728,30236
31052,53653,30182
31076,53753,30207
31272,53692,30208
31393,53724,30268
31688,53685,30368
31668,53644,30398
31580,53637,30390
31444,53604,30400
31308,53620,30487
31066,53707,30486
31041,53712,30495
31040,53684,30522
31129,53748,30567
31404,53609,30596
31524,53679,30365
31636,53596,30516
31872,53660,30565
31776,53564,30600
31544,53678,30573
31344,53722,30655
31296,53639,30468
31456,53741,30624
31736,53766,30657
32060,53727,30452
32076,53639,30608
31864,53679,30653
31828,53557,30624
31740,53663,30750
31688,53679,30448
31684,53718,30576
31464,53639,30661
31488,53763,30681
31493,53756,30684
31752,53620,30761
31844,53694,30612
32032,53668,30572
32312,53537,30704
32316,53655,30694
32096,53704,30692
32204,53714,30741
31916,53756,30505
31772,53671,30557
31964,53740,30559
31952,53718,30596
32033,53703,30594
32336,53561,30716
32342,53639,30759
32180,53679,30727
32140,53639,30768
32076,53639,30756
31716,53732,30817
31552,53767,30882
31805,53648,30895
32352,53718,30834
32684,53700,30841
32930,53668,30665
32996,53558,30807
32884,53661,30859
32704,53661,30881
32506,53724,30868
32416,53739,30862
32416,53669,30949
32396,53735,30917
32620,53717,30993
32800,53665,30997
32968,53671,30832
33036,53614,30777
32836,53656,30871
32617,53620,30939
32436,53724,30925
32284,53724,31024
32392,53724,30975
32448,53748,30740
32748,53604,30870
32956,53685,30948
33220,53652,30958
33236,53655,31024
33128,53652,30960
33116,53575,30948
32852,53684,30855
32688,53718,30782
32900,53748,30916
33240,53604,30945
33240,53693,30957
33252,53639,31015
33492,53668,30897
33624,53655,30738
33444,53544,30792
33148,53664,30925
32992,53695,30951
32784,53740,30930
32632,53668,31042
32784,53636,30766
32920,53703,30945
32912,53687,30957
33065,53660,30960
33120,53628,31008
33120,53681,31001
32921,53676,30826
32576,53708,30926
32372,53719,31038
32277,53645,31121
32328,53735,30852
32637,53744,30965
32733,53584,31071
32896,53663,31036
32744,53663,31090
