ECG,EDA,RR
33120,50471,27084
32886,50492,27156
32728,50527,26990
32528,50467,27069
32580,50464,27036
32764,50436,26916
33036,50428,27029
33296,50414,27072
33496,50469,26908
33452,50439,26990
33262,50470,27100
32980,50428,26796
32764,50477,26969
32566,50564,26930
32576,50482,26884
32773,50541,26820
33044,50405,26931
33260,50385,26925
33380,50460,26828
33292,50439,26853
33088,50484,26879
32772,50356,26983
32660,50502,26661
32560,50535,26871
32612,50426,26848
32812,50455,26675
33072,50439,26828
33228,50461,26922
33384,50455,26682
33384,50420,26807
33260,50439,26869
33024,50364,26706
32828,50524,26756
32633,50439,26745
32700,50545,26702
32901,50535,26756
33056,50500,26831
33209,50432,26709
33388,50420,26729
33374,50413,26574
33204,50397,26705
33000,50476,26698
32800,50373,26517
32584,50524,26648
32548,50457,26468
32692,50503,26660
32884,50471,26749
33028,50439,26512
33172,50404,26617
33140,50409,26429
32976,50420,26623
32732,50452,26576
32544,50439,26620
32296,50543,26502
32220,50533,26631
32380,50405,26424
32636,50476,26599
32848,50439,26693
33057,50319,26471
33084,50341,26565
32925,50452,26388
32644,50348,26572
32432,50471,26572
32280,50510,26492
32320,50412,26544
32537,50517,26532
32812,50453,26429
32960,50439,26569
33184,50422,26561
33193,50388,26648
33032,50413,26412
32801,50439,26556
32590,50372,26665
32440,50476,26393
32448,50427,26472
32608,50476,26562
32832,50468,26541
33096,50325,26374
33316,50343,26585
33308,50415,26672
33148,50426,26521
32910,50431,26592
32644,50367,26588
32500,50510,26535
32544,50516,26631
32716,50508,26707
32948,50431,26620
33156,50420,26618
33308,50399,26497
33316,50297,26631
33148,50407,26487
32908,50365,26626
32716,50454,26485
32528,50389,26660
32518,50413,26471
32680,50468,26655
32920,50428,26745
33092,50412,26598
33280,50300,26707
33292,50287,26596
33110,50293,26709
32832,50318,26697
32621,50394,26764
32416,50452,26593
32404,50423,26697
32592,50432,26569
32789,50431,26697
32960,50431,26551
33144,50399,26735
33148,50385,26541
32937,50397,26735
32700,50311,26643
32472,50373,26770
32296,50415,26749
32244,50439,26791
32444,50428,26887
32684,50416,26758
32880,50407,26778
33112,50284,26597
33092,50375,26824
32896,50329,26900
32616,50384,26680
32392,50396,26816
32224,50439,26796
32232,50463,26873
32364,50439,26916
32612,50311,26852
32788,50403,26900
32992,50361,26766
32988,50372,26898
32828,50373,26780
32584,50367,26944
32360,50381,26804
32182,50420,26972
32238,50433,26876
32416,50420,27001
32638,50388,26895
32773,50359,27049
32972,50341,27157
32964,50252,27081
32788,50376,27090
32536,50396,26977
32380,50425,27132
32160,50452,27040
32152,50405,27227
32285,50311,27141
32548,50309,27272
32756,50306,27217
32894,50349,27255
32864,50348,27160
32644,50364,27327
32460,50380,27249
32384,50405,27314
32181,50407,27166
32136,50421,27381
32276,50311,27425
32513,50388,27413
32686,50374,27552
32890,50287,27457
32920,50284,27567
32748,50311,27504
32528,50339,27540
32364,50356,27549
32148,50396,27564
32112,50391,27599
32284,50356,27655
32516,50351,27629
32724,50335,27700
32862,50304,27570
32904,50211,27735
32736,50333,27540
32429,50349,27724
32288,50381,27597
32136,50401,27753
32084,50368,27647
32309,50372,27796
32544,50337,27670
32720,50324,27840
32932,50292,27679
32960,50279,27852
32821,50284,27745
32592,50312,27940
32358,50340,27845
32184,50368,28046
32140,50380,27973
32316,50359,28075
32569,50328,28021
32712,50311,28108
32932,50177,28018
32958,50183,28073
32821,50303,27906
32572,50319,28076
32285,50304,28043
32072,50349,28128
32076,50359,28148
32296,50341,28140
32532,50319,28076
32776,50300,28172
32970,50260,28197
32948,50257,28213
32746,50278,28031
32552,50295,28214
32344,50236,28055
32172,50272,28253
32177,50361,28152
32325,50232,28262
32564,50212,28225
32756,50183,28405
32968,50180,28327
32999,50255,28337
32817,50271,28341
32612,50277,28191
32378,50252,28364
32188,50222,28301
32206,50239,28469
32380,50325,28408
32620,50280,28237
32844,50245,28437
33028,50181,28391
33088,50215,28466
32912,50229,28382
32644,50250,28521
32381,50268,28466
32172,50300,28284
32116,50311,28483
32336,50303,28428
32613,50192,28489
32936,50263,28376
33114,50108,28583
33012,50223,28485
32852,50233,28535
32604,50264,28540
32359,50288,28509
32140,50318,28564
32120,50260,28652
32288,50268,28551
32516,50238,28686
32720,50183,28596
32900,50221,28406
33008,50213,28588
32808,50204,28567
32520,50140,28642
32296,50263,28612
32096,50279,28645
32072,50255,28581
32216,50213,28632
32460,50183,28523
32716,50231,28660
32916,50212,28564
32916,50201,28738
32748,50127,28688
32468,50124,28639
32229,50244,28697
32008,50271,28529
31992,50248,28705
32181,50279,28633
32428,50245,28836
32672,50229,28693
32952,50183,28803
33029,50183,28711
32856,50192,28844
32613,50159,28641
32395,50220,28807
32216,50271,28624
32225,50268,28799
32374,50253,28772
32568,50216,28841
32796,50197,28940
33013,50103,28807
33044,50072,28860
32856,50100,28741
32596,50212,28862
32462,50245,28704
32285,50239,28888
32276,50173,28841
32444,50215,28932
32661,50221,29008
32892,50127,28848
33116,50127,28929
33104,50159,28920
32884,50164,28961
32612,50104,28961
32388,50156,28903
32172,50220,28985
32188,50231,29058
32344,50215,28844
32577,50183,28992
