ECG,EDA,RR
31652,47665,20863
31680,47684,20704
31396,47620,20956
31420,47741,21013
31520,47751,20965
31362,47788,21120
31232,47719,21208
31460,47773,21203
32148,47740,21320
32412,47664,21228
32384,47671,21452
32021,47672,21553
31817,47693,21593
31824,47732,21751
31800,47764,21689
31332,47781,21836
31208,47785,21816
31513,47680,21949
32100,47678,21890
32568,47692,22005
32668,47684,21983
32456,47655,22117
32112,47695,22013
31896,47728,22268
31692,47679,22148
31312,47796,22388
30920,47758,22535
30734,47748,22349
31096,47716,22548
31396,47703,22707
31708,47668,22523
31901,47645,22716
31720,47684,22755
31784,47720,22844
31972,47679,22988
32048,47716,22955
31986,47781,23094
32380,47751,22935
32468,47716,23073
32748,47679,23037
32944,47663,23156
32952,47669,23181
32476,47668,23174
32193,47708,23332
32220,47678,23444
31936,47780,23292
31664,47751,23466
31596,47747,23532
31696,47661,23374
32200,47604,23607
32472,47668,23657
32308,47668,23556
32068,47669,23751
31932,47708,23862
31784,47725,23650
31672,47719,23875
31992,47751,23914
32348,47740,23964
32728,47620,24016
32936,47685,24046
33096,47612,24173
33060,47645,24077
32856,47678,24228
32576,47704,24258
32168,47687,24428
31984,47764,24220
32144,47748,24412
32352,47728,24424
32548,47701,24511
32568,47668,24643
32688,47548,24547
32852,47661,24612
32804,47646,24727
32465,47686,24687
32316,47655,24772
31864,47713,24813
31783,47743,24824
31816,47724,24823
32161,47703,24956
32512,47650,25058
32888,47623,25061
32712,47640,25084
32440,47636,25157
32264,47684,25140
32064,47632,25223
31792,47751,25248
31572,47748,25357
31681,47712,25387
31900,47613,25463
32168,47623,25460
32476,47638,25607
32604,47597,25434
32552,47645,25636
32129,47681,25725
31795,47696,25574
31756,47742,25757
31777,47749,25818
31940,47726,25868
31876,47684,25873
31653,47604,25976
31278,47608,26081
31285,47614,25906
31200,47639,26076
31748,47577,26149
31913,47623,26172
31944,47687,26292
32256,47644,26173
32368,47711,26280
32352,47663,26458
32336,47623,26229
32284,47540,26420
32080,47621,26525
32320,47623,26324
32636,47661,26540
32639,47657,26693
32392,47735,26487
32636,47687,26644
33088,47681,26522
33332,47657,26721
33608,47547,26802
33669,47621,26685
33615,47613,26836
33284,47638,26746
32984,47668,26911
32678,47710,26881
32400,47717,26996
32393,47701,27032
32572,47677,27064
32820,47652,27172
33080,47585,26973
33164,47564,27184
33017,47577,27062
32736,47623,27252
32496,47653,27117
32232,47672,27345
32112,47700,27461
32184,47695,27354
32432,47664,27463
32636,47623,27349
32858,47596,27553
33004,47572,27500
32896,47572,27671
32628,47589,27527
32357,47580,27710
32152,47684,27576
31941,47700,27780
31976,47657,27845
32266,47655,27798
32436,47620,27904
32588,47584,27789
32680,47568,27980
32668,47540,28127
32556,47598,27925
32364,47615,28153
32180,47660,28279
32025,47678,28189
32004,47664,28399
31928,47655,28281
31840,47621,28529
31756,47494,28406
31304,47561,28521
30864,47567,28598
30610,47564,28585
30513,47607,28732
30880,47637,28644
31848,47668,28880
33348,47655,28809
35105,47628,29028
37016,47604,29009
38608,47548,29208
40012,47552,29456
41096,47558,29293
41696,47556,29509
41452,47589,29601
40776,47661,29797
40064,47679,29671
38692,47660,29888
36820,47648,29872
35244,47623,30071
34276,47541,30301
33748,47556,30214
33292,47587,30364
32905,47578,30583
32537,47615,30544
31984,47554,30669
31381,47683,30932
31208,47679,30841
31064,47607,30983
31148,47612,31056
