ECG,EDA,RR
33180,46759,34132
33372,46724,34033
33412,46727,34076
33245,46748,34169
33080,46781,34037
32909,46816,34114
32825,46845,34097
32652,46855,34173
32640,46838,34134
32888,46724,34148
33104,46708,34186
33288,46727,34152
33188,46765,34183
32903,46766,34252
32736,46792,34122
32656,46833,34179
32597,46855,34236
32736,46867,34128
33048,46799,34175
33332,46831,34249
33477,46711,34168
33604,46692,34172
33460,46777,34145
33232,46765,34272
32976,46804,34124
32736,46855,34164
32644,46868,34265
32632,46876,34128
32688,46809,34188
32788,46833,34244
33040,46815,34118
33348,46781,34191
33308,46797,34244
33088,46768,34159
32641,46821,34111
32404,46855,34159
32425,46800,34213
32528,46823,34193
32784,46884,34116
33008,46836,34156
33164,46804,34143
33292,46711,34148
33280,46793,34244
32880,46824,34110
32462,46852,34095
32388,46841,34103
32356,46895,34105
32420,46905,34220
32677,46884,34064
32960,46788,34076
32928,46821,34206
33132,46822,34030
33064,46823,34088
32936,46804,34164
32768,46845,34016
32607,46887,34087
32520,46916,34040
32476,46884,34183
32576,46896,34080
32796,46868,34085
32936,46825,34004
33100,46833,34084
33100,46824,34079
32996,46836,34140
32840,46855,34040
32601,46903,34021
32420,46937,34167
32412,46940,34020
32496,46837,34040
32520,46903,34148
32340,46873,33999
32468,46814,34031
32364,46839,34161
32156,46876,33996
32118,46892,34031
32196,46924,33988
32212,46951,34011
32240,46964,34052
32548,46946,34045
32960,46914,34133
33273,46876,34034
33440,46852,34141
33328,46848,34015
33104,46887,34096
32844,46929,34009
32584,46953,34125
32337,46991,34008
32228,46993,33984
32304,46956,34096
32584,46932,33976
32856,46910,33956
33064,46887,34089
33072,46820,33964
32896,46909,34004
32708,46940,33935
32580,46965,33961
32448,46910,33996
32508,47015,33935
32752,47005,34009
33040,46974,33904
33224,46943,33916
33352,46904,34075
33268,46889,33920
32952,46913,33943
32456,46954,33998
31900,46991,33924
31548,46926,33944
31696,46935,34057
32248,46924,33917
32788,46892,33920
33220,46900,33967
33364,46832,33975
33292,46917,34076
33092,46855,33912
32904,46980,33957
32748,47020,33933
32588,47039,34070
32596,47036,33919
32532,47015,33921
32373,46988,33979
32440,46884,33957
32748,46897,34088
32648,46909,33932
32504,46964,34014
32488,46969,34023
32436,47023,34008
32228,47044,34020
31997,46988,34004
32152,47047,34125
32544,47023,33951
32956,46919,33993
33240,46943,34108
33353,46949,33916
33212,46972,34021
32952,46945,34021
32640,46964,34031
32124,47077,33992
31781,47084,33981
31604,47060,34100
31232,46999,33959
30872,46980,33983
30844,46967,34100
31164,46967,33972
31940,46948,34040
33440,47028,33953
35296,47060,33968
37160,47079,34112
38920,47084,33953
40776,47065,33960
42388,47048,34096
43684,47023,33952
44704,46997,33959
44996,46999,33909
44632,47017,33983
43628,47072,33943
41748,47111,34077
38968,47147,33903
36696,47157,33927
35372,47140,34040
34652,47068,33961
34182,47061,33878
33876,47040,33936
33516,47056,33917
33052,47046,34028
32708,47023,33853
32420,47159,33916
32100,47188,33988
31961,47135,33836
31980,47159,33895
32132,47125,33941
32264,47084,33864
32292,47023,33864
32096,46993,33837
31792,47106,33980
31492,47136,33798
31204,47168,33870
31008,47176,33848
31056,47186,33936
31128,47169,33817
31168,47151,33813
31404,47127,33863
31648,47102,33762
31432,47106,33796
30872,47124,33829
30736,47132,33828
30892,47172,33851
31152,47196,33740
31424,47196,33776
31781,47183,33880
32125,47164,33773
32356,47111,33790
32472,47108,33785
32300,47104,33772
32064,47140,33784
31893,47072,33860
31796,47111,33724
31652,47225,33782
31664,47224,33703
31852,47205,33749
32109,47184,33724
32224,47151,33812
32178,47133,33732
31992,47124,33799
31836,47156,33762
31836,47184,33813
31856,47221,33836
31864,47239,33857
31960,47252,33984
32124,47148,33852
32336,47111,33864
32504,47158,34005
32752,47152,33861
32765,47149,33941
32608,47175,33997
32364,47212,33872
32008,47209,33954
31592,47204,34021
31484,47280,33906
31684,47239,33974
32020,47228,34029
32481,47197,33898
32876,47166,33973
32932,47156,33895
32840,47164,33927
32800,47239,34041
32760,47239,33948
32453,47284,34008
32464,47290,33892
32513,47271,33908
32528,47261,33956
32668,47218,33943
32968,47198,34050
33116,47197,33927
33060,47217,34022
33056,47236,33920
33024,47284,34002
32912,47321,33864
33056,47324,33893
33232,47239,33888
33428,47212,33916
33552,47212,33867
33733,47206,33920
33669,47207,33780
33480,47220,33799
33388,47196,33748
33276,47234,33784
33110,47280,33817
33148,47263,33782
33308,47342,33764
33437,47268,33839
33544,47237,33742
33668,47232,33849
33505,47236,33689
33468,47277,33732
33452,47321,33596
33380,47348,33634
33352,47344,33726
33472,47360,33623
33700,47356,33630
33984,47331,33557
34118,47295,33552
34233,47279,33503
34084,47277,33532
33806,47303,33477
33472,47333,33521
33188,47366,33448
32972,47400,33508
32960,47393,33532
33164,47385,33492
33468,47353,33551
33496,47329,33380
33476,47308,33436
33444,47308,33424
33368,47321,33428
33260,47356,33415
33072,47396,33492
