ECG,EDA,RR
31856,47205,34253
31956,47149,34348
32232,47098,34237
32428,47064,34321
32556,47111,34190
32708,47096,34183
32652,47101,34311
32408,47111,34149
32312,47133,34183
32244,47162,34196
32080,47180,34302
32216,47182,34242
32480,47164,34151
32820,47060,34200
33028,47049,34152
33140,47048,34272
33156,47036,34135
33052,47077,34177
32825,47140,34188
32664,47135,34281
32536,47197,34281
32580,47190,34142
32788,47175,34216
32988,47153,34196
33068,47111,34153
33197,47012,34183
33156,47088,34292
32956,47101,34146
32721,47111,34208
32508,47148,34199
32340,47164,34235
32376,47183,34161
32580,47167,34166
32821,47120,34305
33036,47088,34152
33200,47108,34180
33172,47096,34271
32996,47086,34132
32744,47053,34208
32570,47064,34183
32396,47095,34274
32384,47111,34184
32568,47167,34188
32760,47124,34233
32936,47106,34189
33086,47077,34144
33000,47076,34239
32756,47094,34125
32564,47111,34195
32412,47141,34229
32236,47135,34125
32261,47181,34157
32416,47169,34261
32620,47126,34188
32790,47117,34158
32945,47101,34276
32990,47084,34140
32856,47104,34153
32576,47125,34293
32360,47167,34121
32204,47180,34204
32204,47177,34220
32380,47169,34212
32676,47143,34220
32976,47111,34224
33100,47054,34157
33020,46996,34205
32732,47017,34320
32440,47054,34174
32284,47047,34240
32165,47080,34300
32236,47161,34199
32320,47092,34247
32436,47132,34273
32628,47111,34393
32832,47069,34256
32924,47084,34311
32782,47029,34324
32620,47092,34423
32474,47148,34343
32276,47169,34335
32224,47166,34412
32356,47150,34377
32584,47110,34429
32740,47090,34453
32836,47070,34382
32820,47063,34406
32645,47068,34497
32428,47101,34416
32240,47124,34457
32033,47142,34500
32057,47150,34588
32260,47132,34429
32504,47111,34493
32725,47088,34468
32860,47056,34575
32825,47065,34463
32660,47073,34543
32432,47064,34508
32221,47105,34606
32024,47148,34495
31968,47143,34573
31985,47141,34542
32092,47102,34565
32221,47094,34567
32412,47076,34580
32512,46988,34599
32384,47069,34713
32264,47090,34567
32076,47104,34612
31836,47152,34710
31864,47158,34643
32072,47047,34708
32292,47105,34597
32520,47076,34644
32716,47069,34695
32744,47069,34671
32648,47079,34661
32444,47079,34671
32296,47126,34705
32109,47157,34693
32064,47152,34679
32212,47087,34660
32500,47104,34700
32764,47076,34793
32844,47051,34679
32756,47056,34719
32496,47087,34828
32244,47096,34694
32028,47128,34748
31868,47111,34737
31932,47056,34799
32172,47132,34779
32413,47097,34799
32592,47069,34864
32797,47045,34772
32832,47065,34775
32692,47068,34906
32500,47098,34746
32352,47111,34768
32156,47141,34909
32072,47135,34773
32292,47121,34796
32501,47104,34921
32645,47077,34836
32822,47037,34804
32768,47036,34909
32560,47074,34812
32425,47084,34882
32316,47101,34799
32228,47136,34858
32270,47087,34823
32485,47111,34938
32772,47089,34796
32948,47062,34809
33008,47028,34936
32924,47017,34804
32792,47065,34822
32548,47101,34908
32436,47059,34785
32360,47133,34829
32380,47125,34938
32520,47087,34840
32708,47096,34842
32896,47060,34797
33032,47037,34917
33048,47031,34781
32924,47052,34840
32641,47078,34845
32360,47100,34844
32140,47111,34828
32158,47125,34895
32388,47106,34772
32528,47087,34836
32720,47061,34801
32944,47036,34916
32860,47031,34760
32668,47052,34820
32476,47073,34840
32276,47093,34890
32032,47111,34823
32045,47127,34782
32284,47105,34881
32528,47084,34781
32799,47060,34774
33048,47044,34899
33176,47024,34773
33037,47044,34783
32840,47075,34754
32676,47110,34799
32404,47132,34862
32288,47137,34816
32464,47031,34812
32712,47085,34757
32928,47051,34784
33137,47036,34837
33197,47044,34796
33020,47063,34788
32820,47046,34880
32696,47013,34793
32560,47106,34829
32564,47111,34756
32668,47111,34799
32892,47004,34756
33044,47054,34833
33180,47023,34761
33104,47044,34788
32888,47058,34866
32648,46983,34813
32500,47081,34902
32376,47108,34801
32345,47111,34780
32487,47093,34837
32768,47077,34868
33028,47040,34804
33204,46973,34788
33228,47028,34912
33116,47033,34759
32904,47048,34816
32709,47076,34788
32553,47096,34912
32616,47111,34759
32804,47092,34800
32921,47077,34804
33060,47014,34908
33220,47021,34784
33207,47013,34809
32984,47036,34884
32736,47057,34764
32524,47087,34810
32140,47097,34778
31790,47104,34748
31628,47093,34804
31592,47057,34813
31380,47036,34812
31052,47012,34784
30828,47013,34756
30860,47028,34876
31528,47048,34729
32849,47068,34728
34624,47084,34807
36648,47092,34756
38508,47072,34735
40148,47042,34821
41960,47022,34681
43600,47000,34742
44616,47020,34732
44864,47040,34740
44456,47061,34716
43760,47056,34768
