ECG,EDA,RR
32708,46087,28665
32716,46084,28743
32696,46013,28742
32696,46007,28752
32698,46012,28747
32664,46053,28604
32644,46023,28655
32664,46087,28796
32684,46101,28729
32660,46095,28747
32648,46076,28685
32657,46076,28782
32640,46071,28793
32672,46072,28742
32680,46031,28741
32706,46023,28637
32685,46068,28642
32648,46047,28803
32644,46031,28919
32638,46068,28945
32644,46026,28807
32684,46065,28806
32673,46087,28706
32672,46040,29008
32697,46055,28846
32740,46060,28901
32732,46068,28853
32716,46083,28773
32698,46020,28989
32729,46087,28911
32724,46087,28925
32680,46087,28841
32548,46076,28988
32352,46069,29005
32116,46063,28983
31796,46063,28997
31573,46070,28897
31508,46077,29191
31604,46020,29076
31820,46067,29089
32064,46060,28963
32406,46077,29217
33061,46077,29101
33764,46068,29140
34592,46056,29021
35668,46025,29223
36700,46060,29150
37808,46087,29116
39196,46087,29209
40672,46071,29231
41932,46086,29191
42474,46081,29100
42032,46062,29316
40646,46065,29284
39212,46077,29264
37984,46085,29286
36612,46087,29216
35328,46103,29165
34364,46111,29217
33838,46087,29404
33556,46098,29285
33242,46087,29306
32852,46079,29224
32576,46015,29264
32365,46012,29388
32152,46055,29324
31924,46079,29253
31696,46080,29436
31517,46060,29367
31380,46087,29361
31350,46098,29209
31288,46086,29488
31244,46068,29333
31220,46081,29345
31236,46072,29231
31208,46070,29213
31180,46076,29393
31144,46016,29380
31116,46087,29296
31160,46087,29294
31216,46087,29332
31252,46074,29199
31292,46076,29329
31352,46055,29463
31376,46063,29327
31389,46061,29302
31396,46071,29328
31390,46080,29325
31360,46087,29220
31365,46030,29373
31392,46029,29391
31444,46033,29293
31441,46071,29242
31512,46063,29428
31600,46053,29301
31584,46058,29332
31552,46073,29184
31500,46071,29455
31501,46076,29310
31529,46023,29279
31566,46043,29249
31564,46072,29327
31612,46064,29301
31640,46049,29167
31668,46045,29373
31654,45991,29260
31688,46015,29169
31692,46063,29209
31684,46087,29314
31738,46079,29164
31724,46076,29191
31704,46068,29041
31800,46051,29185
31868,46048,29116
31884,45975,29079
31892,45995,29020
31846,46016,29239
31832,46063,29110
31876,46075,29084
31916,46064,28996
31996,46064,29012
32120,46064,29180
32140,46049,29023
32120,46040,29051
32136,46021,29053
32186,46044,28884
32172,46050,29164
32188,46052,28989
32201,46069,28992
32304,46063,28855
32341,45996,29132
32392,46055,29090
32448,45985,28989
32472,46037,29009
32460,46009,28920
32448,45991,28948
32420,46044,28823
32384,45991,28788
32432,46011,28884
32530,46067,28892
32578,46067,28865
32648,46055,28743
32672,46023,28949
32740,46022,28823
32804,46028,28774
32858,46024,28677
32885,46028,28774
32856,46052,28884
32884,46055,28735
32892,46052,28736
32913,45980,28724
32992,45981,28679
33060,45988,28559
33120,45977,28640
33152,45967,28739
33183,46007,28612
33152,45975,28607
33177,45972,28577
33196,46007,28456
33192,46019,28559
33208,46047,28588
33212,46039,28502
33288,46015,28511
33327,46006,28413
33369,46020,28391
33388,46023,28605
33368,46023,28440
33320,46039,28396
33305,46037,28379
33285,46049,28391
33324,46039,28359
33384,45989,28249
33389,45959,28228
33380,46018,28167
33380,45951,28294
33368,45999,28384
33348,46031,28233
33308,46031,28238
33288,46037,28212
33248,46047,28091
33192,46049,28048
33168,46031,28191
33172,46024,28311
33133,46015,28215
33053,46015,28183
33040,46017,28167
33016,46024,28124
32988,46034,28089
32962,46039,28092
32885,46048,27953
32809,46046,28206
32762,46041,28159
32700,46028,28102
32680,46023,28063
32652,45981,27999
32622,45999,28004
32568,46037,28209
32464,46036,28068
32436,46055,28077
32374,46047,28019
32284,46049,27929
32260,46037,27991
32244,46031,28197
32196,45997,28180
32178,46004,28212
32172,46006,28103
32108,46043,28085
32066,46019,28023
32016,46036,27970
31984,46036,28224
32008,46051,28092
32017,46031,28087
32044,46031,28080
32064,46023,28111
32077,46020,28137
32064,46023,28087
32012,46023,28028
32022,46039,28180
32012,46031,28291
31992,46039,28164
32026,46044,28162
32028,46022,28167
32024,46016,28163
32033,46023,28084
32021,46013,28100
32036,46019,28100
32052,46025,28099
32080,46029,28106
32124,46044,28386
32132,46032,28447
32128,46037,28435
32120,46024,28388
32118,46020,28309
32148,45983,28271
32180,45950,28276
32192,45989,28519
32202,46029,28383
32224,46038,28391
32228,46023,28412
32216,46039,28338
32180,46023,28319
32192,46009,28423
32217,45959,28447
32236,46020,28578
32260,46023,28519
32240,46018,28524
32252,46005,28574
32268,46036,28452
32296,46045,28553
32324,46053,28770
32392,46032,28661
32412,46022,28679
32404,46023,28590
32420,46015,28561
32474,46000,28584
32501,46018,28698
32436,46023,28817
32372,46025,28876
32327,46033,28837
32317,46028,28854
32356,46013,28927
32388,46031,28895
32452,46005,28885
32517,46009,28935
32556,46008,28844
32544,46011,28852
32500,46023,28839
32524,46039,29079
32472,46031,29151
32528,46028,29071
32565,46026,29036
32532,46030,29081
32520,46012,28981
32504,45947,28961
32504,46001,29191
32473,46005,29159
32422,46024,29104
32404,46028,29087
32430,46036,29023
32484,45981,29220
32520,46018,29215
32556,46026,29168
32640,46006,29191
32680,45997,29124
32752,45999,29076
32727,46015,29073
32690,46009,29197
32672,46020,29271
32638,46021,29188
32621,45981,29233
32685,45959,29149
32692,46018,29101
32716,46007,29090
32673,45988,29247
32736,45959,29358
32744,45959,29262
32712,46007,29205
32701,46023,29185
32716,46028,29127
32737,46026,29231
32760,46005,29304
32737,46012,29199
32728,45991,29217
32672,45999,29239
32684,45991,29182
32668,45991,29103
32596,45980,29161
32552,46007,29197
32560,46019,29373
32560,46015,29287
32556,46015,29229
32560,45999,29235
32556,46004,29192
32592,45991,29197
32645,45981,29204
32676,45937,29239
32604,45999,29181
32528,45993,29333
32508,46015,29203
32536,46012,29242
32581,45945,29137
32678,45972,29175
32681,45996,29319
32704,45973,29210
32717,45964,29234
32736,45985,29109
32748,45959,29208
32764,46004,29261
32749,46001,29234
32732,46001,29172
32770,45991,29104
32796,45989,29090
32844,45989,29173
32832,45975,29345
32880,45983,29303
32860,45972,29215
32908,45950,29199
32900,45925,29212
32910,45973,29134
32940,46013,29133
32956,45990,29356
32921,45988,29317
32877,45975,29285
32900,45959,29263
32848,45959,29198
32864,45959,29156
32868,45968,29128
32844,45983,29137
32840,45989,29127
32806,45988,29122
32828,45980,29146
32882,45970,29098
32892,45959,29049
32873,45959,28959
32881,45951,29033
32896,45951,29156
32901,45975,29064
32905,45955,29005
32908,45924,28897
32936,45926,28882
32904,45981,28875
32864,45909,28860
32862,45959,28844
32940,45949,28923
33020,45949,28870
33033,45955,28831
32992,45959,28799
33028,45972,28839
33024,45965,28771
33020,45980,28878
33028,45981,28997
33088,45935,28860
33096,45959,28837
33076,45946,28800
33156,45943,28701
33148,45949,28765
32977,45948,28785
32728,45959,28951
32456,45975,28941
32122,45965,28847
31844,45959,28817
31760,45957,28853
31892,45954,28884
32152,45951,28765
32424,45949,28763
32792,45893,28759
33380,45958,28791
33984,45917,28780
34732,45974,28770
35760,45981,28693
36848,45975,28661
38002,45959,28650
39436,45941,28841
41020,45936,28935
42324,45935,28813
42984,45941,28810
42629,45950,28782
41296,45969,28709
39808,45983,28688
38572,45940,28817
37236,45951,28935
35924,45968,28951
34924,45975,28834
34372,45959,28816
34120,45959,28868
33828,45959,28859
33464,45952,28791
33189,45970,28758
32928,45972,28771
32688,45975,28769
32456,45972,28806
32300,45969,28756
32190,45956,28732
32056,45951,28793
32012,45949,28870
31980,45959,28804
31985,45959,28717
31970,45959,28740
31894,45981,28783
31906,45982,28775
31940,45979,28746
31968,45981,28709
31936,45959,28700
31972,45948,28699
31988,45951,28696
32028,45933,28940
32054,45949,28921
31992,45959,28945
31912,45973,28940
31908,45975,28922
31964,45959,28820
31992,45959,28849
32061,45954,28734
32028,45949,28743
32052,45947,28735
32093,45952,28710
32048,45932,29002
32052,45973,28865
32086,45975,28854
32094,45973,28820
32096,45957,28820
32096,45959,28836
32096,45956,28823
32150,45948,28831
32180,45950,28847
32140,45943,28844
32132,45893,28874
32162,45959,28914
32152,45970,28979
32156,45975,28985
32144,45974,28919
32176,45959,28841
32224,45951,28815
32304,45951,28764
32305,45943,28775
32328,45949,28752
32296,45952,28750
32268,45981,28831
32216,45972,28820
32253,45972,28845
32284,45959,28897
32328,45956,28841
32332,45925,28773
32332,45901,28684
32388,45925,28764
32390,45943,28850
32401,45959,28829
32456,45967,28756
32444,45911,28865
32417,45925,28754
32364,45906,28727
32342,45955,28815
32372,45959,28788
32423,45948,28732
32505,45951,28705
32541,45953,28697
32541,45952,28689
32544,45959,28694
32552,45959,28688
32570,45941,28694
32592,45923,28709
32620,45903,28702
32664,45898,28698
32716,45893,28707
32736,45887,28692
32768,45879,28693
32772,45948,28695
32801,45921,28705
32789,45909,28703
32820,45901,28732
32860,45897,28721
32896,45943,28652
32900,45956,28614
32929,45949,28561
32992,45951,28603
33068,45949,28701
33082,45949,28837
33088,45958,28740
33068,45959,28658
33100,45968,28663
33184,45927,28659
33224,45959,28644
33268,45957,28634
33304,45885,28671
33362,45940,28551
33400,45949,28506
33364,45957,28497
33356,45911,28494
33365,45901,28482
33388,45917,28477
33392,45959,28490
33376,45956,28476
33353,45957,28466
33324,45948,28476
33332,45957,28449
33349,45949,28432
33300,45952,28457
33276,45959,28423
33268,45975,28405
33220,45972,28404
33208,45966,28457
33172,45959,28460
33185,45949,28501
33192,45936,28671
33200,45916,28589
33165,45932,28539
33104,45946,28495
33018,45932,28501
32952,45917,28545
32896,45911,28559
32840,45972,28524
32785,45959,28660
32748,45953,28601
32714,45959,28565
32676,45951,28551
32593,45956,28546
32536,45959,28590
32416,45972,28542
32368,45981,28587
32300,45981,28569
32228,45959,28567
32172,45959,28567
32108,45959,28620
32106,45949,28684
32124,45945,28677
32096,45949,28761
32056,45959,28703
31982,45975,28606
31925,45988,28630
31896,45981,28660
31824,45988,28599
31812,45975,28548
31824,45942,28628
31842,45945,28704
31840,45927,28685
31769,45956,28693
31732,45979,28736
31668,45997,28767
31672,45988,28743
31732,45991,28716
31732,45912,28714
31760,45959,28719
31809,45951,28775
31870,45959,28764
31860,45959,28790
31814,45975,28742
31840,45978,28820
31865,45999,28836
31916,46012,28865
31988,46007,28873
32064,45988,28886
32056,45980,28792
32113,45967,28868
32164,45969,28959
32165,45956,29113
32206,45917,29015
32232,45971,29016
32256,45997,29003
32284,45989,29060
32304,45996,29093
32314,45997,29103
32316,45988,29129
32348,45989,29076
32320,45977,29021
32333,45921,29076
32361,45973,29309
32404,45999,29199
32428,45999,29247
32440,46013,29138
32444,46016,29425
32484,46002,29275
32556,46004,29333
32564,45991,29319
32572,45927,29254
32560,45991,29333
32576,45988,29513
32548,45999,29422
32596,46015,29446
32576,45981,29377
32520,46004,29593
32500,46015,29519
32544,45955,29540
32592,45991,29535
32616,45989,29595
32644,45991,29597
32628,45939,29637
32588,46012,29529
32592,46023,29590
32628,46013,29845
32684,46029,29681
32708,45959,29719
32702,46009,29643
32720,46013,29638
32716,46009,29843
32712,46005,29895
32712,46007,29798
32704,46023,29828
32636,46031,29839
32604,46031,29853
32660,46028,29812
32724,46031,29789
32720,46029,29852
32684,45959,30037
32656,45951,30044
32652,46007,30060
32696,46004,30006
32669,46018,29911
32668,46035,30077
32672,46015,30073
32638,46033,30021
32664,46038,29926
32680,46025,29949
32708,46020,29949
32700,45959,29895
32680,46005,29858
32652,46031,30004
32704,46032,30108
32740,46044,30101
32708,46055,29956
32680,46049,29985
32676,46054,30120
32700,46047,30079
32700,46023,30062
32732,46009,30087
32740,45991,30097
32708,45972,30040
32620,45983,30002
32612,46005,29972
32596,46053,29977
32585,46060,30007
32637,46062,29988
32648,46055,29964
32688,46028,29982
32704,46009,29988
32720,46031,29947
32680,46033,29958
32716,46051,29971
32688,46061,29963
32668,46067,29927
32620,46068,29935
32580,46055,29970
32582,46052,29996
32636,46057,30028
32656,46048,30032
32620,46052,30020
32577,45999,30054
32560,45989,30133
32532,46004,30180
32508,46035,30171
32512,46081,30126
32568,46072,30057
32630,46071,30025
32704,46052,30041
32740,46063,30071
32804,46065,30071
32880,46007,30066
32952,46064,30073
32952,46076,30087
32908,46085,30093
32929,46079,30095
32968,46038,30039
33028,46030,30004
33052,46055,29970
33104,46051,30020
33157,46060,29969
33188,46047,29979
33212,46017,29975
33204,46082,29995
33200,46087,29973
33220,46087,29992
33232,46081,29988
33180,46045,30010
33112,46039,30105
33084,46064,30165
33060,46070,30202
33028,46077,30206
33052,46087,30181
32964,46087,30196
32936,46103,30144
32924,46087,30047
32968,46087,30135
32996,46081,30033
33052,46076,30047
33081,46063,29988
33088,46079,30041
33087,46084,30119
33052,46087,30100
33024,46087,30028
33016,46047,30151
33060,46117,29976
33076,46087,29912
33104,46087,30016
33084,46087,29980
33092,46073,29993
33056,46076,29999
33008,46087,29980
33017,46087,30020
32992,46104,30032
32988,46109,29991
33025,46113,29946
32998,46107,29937
32920,46087,29956
32804,46101,29951
32796,46087,29920
32812,46047,29831
32833,46040,29886
32736,46073,29949
32564,46123,29805
32344,46143,29814
32072,46124,29923
31728,46125,29908
31556,46119,29845
31662,46111,29854
31912,46108,29839
32132,46087,29841
32446,46106,29817
32944,46124,29845
33678,46137,29862
34496,46141,29815
35512,46137,29836
36516,46133,29893
37565,46130,29860
38772,46127,29823
40197,46111,29821
41436,46118,29851
42128,46127,29948
41944,46134,29959
40876,46151,29903
39377,46150,29959
38280,46156,29979
37088,46154,29957
35792,46149,29940
34812,46140,29901
34276,46141,29860
34020,46141,29911
33800,46145,30129
33454,46151,30112
33137,46157,30023
32848,46170,29992
32572,46167,29991
32372,46156,29984
32228,46162,29976
32080,46151,29959
31990,46138,29978
31952,46132,29985
31896,46159,29996
31820,46164,29989
31796,46119,30067
31758,46183,30073
31708,46176,30103
31678,46180,29998
31692,46103,29903
31676,46111,29917
31692,46145,29910
31688,46151,29879
31678,46151,29887
31687,46132,29909
31740,46183,29869
31769,46189,29924
31788,46188,30023
31772,46180,29909
31812,46165,29852
31860,46158,29844
31904,46157,29993
31884,46163,29922
31908,46169,29985
31940,46177,29857
31984,46176,29799
32020,46189,29791
32016,46199,29822
32076,46195,29818
32119,46180,29776
32124,46183,29797
32168,46179,29784
32204,46160,29648
32205,46169,29633
32164,46188,29830
32164,46181,29781
32180,46207,29825
32216,46205,29743
32228,46199,29695
32212,46191,29663
32256,46183,29663
32260,46175,29665
32298,46109,29575
32328,46173,29627
32344,46199,29657
32365,46197,29635
32389,46207,29473
32428,46146,29687
32444,46205,29585
32468,46205,29535
32444,46183,29629
32364,46188,29613
32325,46188,29565
32340,46197,29587
32336,46207,29493
32336,46159,29580
32372,46164,29605
32420,46215,29564
32444,46215,29560
32450,46196,29474
32452,46191,29575
32512,46186,29557
32600,46181,29722
32605,46190,29597
32580,46200,29629
32596,46208,29549
32628,46166,29663
32628,46215,29710
32652,46215,29629
32672,46210,29671
32758,46191,29633
32614,46182,29573
32596,46183,29541
32686,46191,29816
32748,46205,29678
32760,46215,29679
32788,46215,29669
32860,46221,29596
32878,46215,29572
32910,46207,29647
32900,46203,29573
32948,46197,29530
32960,46189,29652
32944,46204,29775
32956,46215,29640
32933,46215,29650
32952,46231,29638
32920,46235,29536
32988,46213,29574
33036,46211,29785
33056,46151,29621
33076,46196,29617
33160,46189,29555
33172,46207,29492
33116,46207,29584
33117,46231,29640
33156,46226,29604
33184,46191,29605
33220,46205,29609
33240,46215,29609
33244,46156,29522
33220,46212,29487
33248,46151,29445
33244,46151,29575
33233,46162,29710
33196,46183,29637
33180,46159,29551
33180,46196,29557
33206,46200,29479
33196,46166,29429
33185,46173,29492
33220,46193,29668
33234,46207,29511
33204,46208,29519
33153,46215,29391
33088,46230,29660
33028,46215,29550
32952,46180,29507
32948,46177,29557
32948,46204,29463
32924,46167,29428
32896,46151,29508
32840,46143,29536
32752,46209,29703
32704,46229,29701
32600,46228,29703
32516,46233,29673
32476,46236,29617
32428,46226,29557
32420,46223,29618
32300,46215,29820
32234,46180,29740
32228,46215,29700
32276,46215,29693
32262,46223,29733
32216,46243,29764
32164,46246,29765
32132,46251,29772
32128,46228,29812
32104,46225,29717
32144,46214,29717
32116,46215,29808
32092,46159,29959
32012,46225,29861
32008,46237,29869
32017,46233,29901
32010,46241,29900
31988,46245,29817
32008,46213,30094
32032,46215,30097
32081,46220,30004
32080,46215,29996
32081,46215,30052
32116,46221,30012
32104,46175,29939
32116,46215,30222
32096,46207,30257
32081,46241,30210
32112,46253,30128
32168,46223,30183
32196,46215,30095
32204,46215,30215
32248,46215,30349
32188,46228,30333
32102,46237,30303
32088,46244,30356
32136,46255,30346
32168,46240,30313
32244,46180,30308
32316,46183,30367
32316,46164,30372
32324,46188,30359
32360,46191,30337
32368,46213,30308
32348,46208,30449
32313,46215,30454
32320,46233,30583
32384,46239,30541
32444,46167,30657
32477,46229,30697
32500,46215,30702
32524,46215,30720
32552,46215,30727
32546,46222,30733
32514,46231,30642
32504,46243,30686
32561,46259,30572
32540,46251,30601
32578,46176,30638
32616,46236,30713
32564,46223,30770
32585,46215,30794
32584,46215,30804
32540,46225,30823
32564,46237,30761
32558,46247,30736
32549,46241,30767
32540,46253,30927
32585,46236,30980
32584,46215,31040
32636,46233,31042
32708,46215,31005
32708,46215,30924
32652,46237,30944
32668,46236,30910
32648,46213,30918
32628,46183,30917
32536,46209,30960
32544,46231,30930
32608,46239,30855
32668,46226,30951
32712,46207,31100
32746,46208,31005
32760,46215,30940
32724,46206,30969
32716,46183,30893
32692,46197,30902
32684,46237,31060
32720,46231,30948
32705,46228,30953
32673,46215,30953
32681,46208,30866
32700,46215,30904
32748,46215,30972
32760,46228,31059
32741,46231,31020
32692,46237,31005
32688,46237,30929
32682,46227,30928
32692,46215,30903
32720,46212,30914
32701,46207,30925
32732,46213,30863
32724,46157,30844
32700,46208,30999
32669,46239,30991
32632,46241,30916
32654,46220,30911
32628,46215,30927
32648,46213,30936
32688,46208,30900
32662,46205,30897
32677,46207,30944
32652,46148,31007
32650,46221,31063
32668,46215,30855
32608,46241,30814
32600,46237,30817
32641,46171,30816
32648,46215,30819
32680,46212,30913
32636,46196,30821
32580,46207,30820
32580,46215,30820
32488,46159,30808
32464,46183,30956
32476,46191,31004
32452,46210,31029
32496,46209,30898
32568,46215,30932
32596,46204,30887
32624,46191,30817
32564,46205,30812
32520,46207,30988
32524,46212,31046
32484,46215,30965
32464,46224,30937
32460,46223,30925
32456,46215,30875
32473,46157,30870
32504,46183,30887
32524,46199,30852
32606,46197,30765
32600,46207,31004
32552,46207,30943
32488,46211,30846
32453,46148,30846
32524,46215,30725
32592,46213,30724
32669,46206,30884
32688,46191,30961
32744,46189,30860
32748,46183,30822
32804,46199,30811
32832,46199,30773
32808,46208,30790
32773,46215,30801
32796,46212,30788
32840,46196,30751
32924,46185,30679
32908,46149,30646
32880,46118,30727
32841,46158,30884
32748,46188,30727
32762,46181,30732
32724,46197,30708
32661,46199,30608
32652,46199,30679
32632,46135,30825
32652,46121,30738
32662,46147,30660
32676,46160,30699
32676,46169,30615
32652,46170,30558
32660,46119,30544
32644,46181,30576
32644,46189,30592
32656,46181,30605
32672,46177,30596
32676,46172,30623
32662,46087,30593
32688,46159,30573
32700,46165,30564
32696,46164,30564
32644,46171,30551
32616,46113,30524
32612,46125,30423
32620,46119,30530
32624,46151,30564
32621,46169,30495
32640,46167,30487
32677,46149,30508
32653,46149,30471
32603,46166,30452
32505,46144,30385
32328,46175,30373
32128,46182,30364
31852,46178,30331
31577,46167,30398
31412,46167,30488
31492,46154,30485
31724,46151,30507
32012,46148,30583
32381,46149,30512
32920,46117,30578
33668,46173,30560
34456,46108,30575
35476,46113,30487
36540,46104,30424
37612,46087,30420
38724,46087,30417
40008,46103,30454
41156,46087,30445
41772,46132,30409
41510,46127,30377
40456,46149,30402
38952,46153,30365
37832,46133,30372
36676,46134,30345
35516,46140,30351
34685,46141,30356
34205,46143,30348
33997,46136,30367
33804,46085,30366
33492,46157,30401
33200,46159,30361
33001,46101,30529
32804,46087,30557
32588,46151,30471
32384,46073,30623
32216,46119,30509
32072,46116,30471
31956,46077,30476
31865,46111,30445
31813,46087,30439
31800,46135,30484
31821,46148,30385
31880,46136,30342
31833,46133,30309
31808,46119,30305
31844,46127,30381
31912,46087,30535
31956,46106,30439
31916,46111,30357
31888,46111,30356
31868,46121,30383
31828,46127,30349
31844,46127,30236
31900,46119,30272
