ECG,EDA,RR
33252,44471,52964
33112,44453,52836
33112,44452,52729
33192,44479,52653
32959,44463,52439
32704,44469,52432
32417,44469,52286
32136,44407,52007
31952,44452,52041
31820,44455,51968
31696,44447,51841
31552,44452,51532
31432,44446,51628
31388,44466,51477
31408,44471,51265
31304,44423,51252
31252,44460,51053
31212,44465,50972
31160,44449,50724
31216,44452,50725
31140,44439,50491
31168,44455,50424
31212,44455,50149
31206,44471,50125
31164,44415,50020
31157,44460,49831
31088,44461,49732
31032,44463,49533
31056,44413,49440
31021,44452,49328
31116,44436,49031
31097,44455,49004
31104,44437,48816
31132,44471,48727
31088,44461,48388
31164,44454,48391
31188,44467,48216
31324,44469,48092
31372,44415,47801
31112,44460,47751
31384,44452,47567
31396,44453,47247
31328,44452,47209
31280,44473,47007
31292,44398,46879
31392,44473,46552
31520,44468,46493
31596,44453,46281
31524,44455,46151
31508,44447,45797
31512,44397,45670
31424,44452,45594
31297,44449,45355
31392,44463,45197
31392,44431,44867
31408,44405,44785
31576,44423,44617
31520,44466,44433
31592,44445,44095
31460,44442,44039
31508,44453,43831
31548,44407,43668
31620,44463,43339
31612,44468,43232
31662,44470,43052
31632,44443,42908
31592,44471,42569
31568,44455,42375
31688,44474,42301
31673,44457,42160
31676,44461,41956
31740,44444,41764
31752,44464,41597
31725,44471,41292
31748,44484,41104
31680,44423,41053
31780,44484,40846
31796,44483,40658
31752,44453,40480
31778,44468,40304
31852,44453,40133
31828,44470,39975
31844,44407,39801
31900,44421,39529
31956,44479,39358
31909,44495,39197
31936,44476,39059
31968,44471,38903
32040,44470,38738
32087,44433,38548
32052,44471,38366
32088,44453,38191
32180,44485,38023
32194,44486,37857
32202,44469,37687
32286,44494,37479
32284,44491,37329
32276,44476,37168
32284,44472,36999
32348,44423,36837
32280,44413,36665
32272,44475,36513
32320,44487,36337
32280,44490,36175
32304,44503,36025
32234,44511,35852
32380,44488,35684
32388,44439,35556
32327,44493,35388
32256,44484,35204
32420,44477,35067
32308,44444,34901
32416,44431,34793
32368,44498,34595
32365,44511,34439
32392,44505,34269
32386,44500,34220
32340,44495,33999
32268,44423,33863
32309,44484,33718
32404,44480,33555
32377,44423,33399
32380,44439,33357
32296,44439,33173
32252,44504,33007
32260,44511,32917
32316,44505,32807
32194,44507,32647
32152,44503,32508
32116,44479,32405
32052,44433,32284
31860,44497,32126
31848,44502,32064
31844,44502,31876
31792,44511,31751
31696,44506,31768
31720,44508,31597
31702,44500,31548
31552,44497,31367
31580,44502,31239
31385,44503,31232
30913,44511,31089
30884,44501,30956
30768,44479,30855
30844,44455,30766
30692,44532,30679
30649,44521,30482
30880,44522,30565
30637,44514,30356
30608,44468,30289
30080,44517,30103
30601,44516,30172
30860,44516,29969
30873,44528,29901
30836,44538,29908
30504,44543,29732
29876,44529,29582
29906,44524,29508
30384,44484,29396
30776,44520,29208
31190,44512,29337
30666,44516,29073
30157,44524,28878
30608,44524,28895
31204,44524,28759
31538,44545,28848
31636,44551,28630
31492,44509,28454
31868,44471,28551
32336,44471,28428
32108,44463,28317
32588,44522,28508
32696,44521,28351
32912,44535,28292
32684,44537,28521
32597,44543,28371
32756,44532,28363
32888,44536,28596
32832,44479,28501
32128,44527,28586
32192,44527,28558
32532,44525,28885
32516,44535,28865
32672,44535,28885
32840,44551,29086
32977,44544,29273
32892,44547,29400
32868,44543,29540
32720,44551,29701
32690,44535,29841
32844,44487,30010
32958,44535,30399
32791,44546,30471
32836,44493,30623
32840,44540,30838
33033,44551,30948
32897,44540,31279
32836,44487,31332
32960,44539,31517
33192,44542,31684
33352,44538,31823
32968,44533,31952
32654,44551,32063
32440,44551,32319
32568,44509,32355
32544,44551,32479
32065,44551,32548
32048,44543,32751
32612,44543,32819
32908,44540,32895
32532,44541,33097
32573,44543,33138
32484,44545,33175
33172,44549,33276
33476,44550,33404
33102,44551,33543
32702,44551,33533
32352,44540,33606
31956,44544,33764
32100,44509,33748
32592,44534,33822
33152,44544,33967
33080,44545,33921
32997,44551,33973
32896,44551,34101
32848,44551,34063
32844,44551,34112
32788,44551,34149
32564,44551,34242
32268,44541,34199
32120,44544,34231
32104,44536,34295
32212,44551,34343
32396,44551,34305
32750,44551,34308
33048,44551,34294
33156,44551,34285
33284,44551,34375
33080,44544,34289
33040,44541,34292
33181,44551,34343
32884,44551,34284
32853,44551,34279
32652,44580,34326
32578,44577,34231
32976,44583,34212
32750,44575,34175
32436,44567,34137
32745,44551,34114
32704,44551,34116
32472,44551,34051
32520,44551,34004
32548,44575,34017
32728,44583,33967
32852,44573,33955
32882,44591,33895
32812,44567,33844
32672,44522,33759
32700,44580,33820
32800,44583,33684
32872,44575,33602
32588,44583,33644
32448,44529,33543
32056,44535,33524
32536,44551,33417
32461,44569,33412
32838,44597,33328
32772,44594,33332
33044,44581,33220
32871,44583,33175
32728,44583,33076
32840,44585,33007
32288,44539,33030
32756,44592,32940
33405,44593,32863
33481,44599,32748
33313,44604,32838
32992,44589,32631
32676,44540,32566
33028,44533,32610
33100,44525,32483
32904,44591,32471
32768,44588,32303
32800,44551,32324
33064,44603,32190
32784,44605,32135
32740,44604,32033
33108,44614,32118
32860,44533,31901
32925,44596,31828
32969,44599,31901
33149,44605,31685
32388,44608,31623
32676,44615,31687
33040,44615,31489
33504,44621,31365
33300,44621,31454
33082,44614,31295
33272,44620,31220
33192,44601,31164
33113,44615,31135
32788,44612,31033
32416,44620,30874
32372,44623,31022
32296,44639,30799
31940,44647,30710
31769,44587,30831
32364,44636,30615
32285,44623,30580
31980,44624,30431
32029,44639,30595
31583,44585,30365
31381,44652,30300
31624,44641,30245
31992,44654,30353
32257,44664,30147
32372,44669,30064
33452,44663,30055
35120,44653,30028
35556,44645,29985
35380,44647,30047
36185,44617,29831
37373,44615,29714
38764,44676,29772
40628,44679,29700
41580,44677,29785
41809,44673,29628
40878,44679,29509
39896,44671,29527
38228,44679,29477
36796,44647,29309
35788,44695,29408
34924,44701,29322
34504,44697,29245
34386,44711,29179
34012,44708,29079
33576,44701,29239
33160,44703,29053
32542,44700,28894
32812,44687,29053
32688,44679,28895
32465,44693,28713
32416,44644,28819
32236,44716,28728
32332,44716,28532
32277,44711,28644
32213,44711,28513
31872,44694,28569
32004,44709,28413
32188,44703,28305
32317,44652,28416
31962,44711,28271
31561,44721,28135
31333,44724,28324
31644,44735,28132
32132,44709,28104
31928,44725,27961
32620,44713,28092
32844,44705,27941
31997,44713,27773
31604,44716,27859
31463,44724,27807
31516,44732,27781
31892,44706,27708
32248,44679,27583
32468,44751,27759
32616,44745,27552
31792,44734,27457
31844,44735,27325
31800,44678,27317
32116,44725,27511
32117,44743,27388
31174,44743,27265
31028,44733,27190
31975,44741,27148
32353,44757,27031
32632,44743,27130
32709,44759,26966
32564,44701,26923
32893,44751,26734
33264,44759,26752
33260,44756,26732
32696,44755,26673
32832,44761,26493
32636,44765,26599
32324,44772,26532
32366,44765,26428
32815,44772,26367
32724,44767,26177
32796,44752,26385
32792,44765,26215
33144,44767,26129
32820,44767,26077
32686,44772,25873
32741,44789,26093
32712,44791,25874
32724,44775,25749
32996,44740,25748
32988,44788,25724
32617,44772,25625
32605,44796,25579
32744,44791,25501
33004,44758,25395
33333,44807,25556
33240,44807,25345
33140,44807,25313
33180,44807,25095
33116,44764,25327
32972,44806,25180
32912,44807,25066
32180,44804,24929
32304,44807,25140
32800,44807,24940
32578,44832,24796
33240,44839,24897
33244,44841,24796
33824,44807,24639
34080,44841,24847
33908,44825,24656
33828,44828,24597
33672,44831,24429
33960,44772,24659
34072,44838,24480
34061,44855,24384
34072,44853,24325
34300,44863,24396
34069,44858,24322
33880,44841,24191
33636,44794,24270
33668,44847,24189
34072,44839,24081
34316,44795,24031
34608,44863,24077
34308,44863,24034
34372,44879,23865
34454,44868,24066
34380,44821,23909
34136,44867,23892
34016,44878,23740
33940,44871,23810
34024,44847,23845
34293,44879,23798
34228,44886,23621
34364,44885,23764
34335,44895,23735
34533,44903,23582
34910,44901,23755
34448,44855,23693
33759,44897,23549
34096,44893,23581
33653,44901,23660
33644,44909,23640
33805,44911,23665
34184,44869,23617
35008,44916,23509
34873,44925,23617
34192,44927,23590
34228,44919,23480
34136,44919,23482
34028,44919,23559
33596,44877,23523
33680,44921,23418
33656,44927,23437
33904,44949,23423
33524,44917,23289
33678,44953,23202
33576,44948,23441
33248,44959,23281
33208,44909,23265
33828,44935,23084
33876,44935,23198
33657,44951,23204
33620,44948,23138
33473,44909,22988
33552,44983,22913
33498,44975,23152
33738,44975,23019
33600,44925,22975
33364,44972,22908
33424,44961,22745
33301,44969,22980
33044,44973,22828
33060,44986,22821
32873,44993,22734
32928,44999,22607
33164,44996,22854
33060,44999,22696
32913,44999,22678
32927,44959,22661
33044,44932,22500
33084,44984,22573
33190,44988,22703
33308,45009,22681
33052,45010,22575
33105,45021,22566
32901,44959,22429
32612,45026,22460
32236,45015,22669
32548,45021,22625
33560,45005,22572
33864,44983,22550
33128,45015,22468
33244,45028,22511
33072,45026,22603
32836,45032,22557
32908,45045,22596
33148,45039,22445
33124,44991,22748
33136,45025,22629
33060,45029,22606
33016,45031,22692
32820,45032,22735
33124,45032,22763
33112,45049,22647
33104,45061,22848
33349,45060,22859
33440,45061,22900
33420,45055,22893
33149,45055,22815
33156,44999,23006
33270,45040,23024
33320,45047,23093
33241,45060,23085
33096,45019,23025
32884,45063,23156
32607,45063,23269
