ECG,EDA,RR
33072,38572,35924
33096,38571,35877
33148,38567,35844
33121,38567,35972
33172,38551,35956
33168,38567,35983
33136,38548,36022
33124,38575,35924
33124,38587,35993
33136,38577,36062
33136,38575,36049
33140,38579,36061
33124,38564,36103
33104,38559,36121
33100,38556,36032
33080,38557,36032
33092,38535,36103
33104,38569,36135
33088,38566,36140
33120,38572,36204
33144,38576,36196
33181,38568,36201
33232,38567,36124
33248,38567,36176
33280,38525,36265
33288,38548,36231
33280,38567,36263
33262,38575,36277
33272,38574,36298
33268,38583,36290
33256,38580,36325
33260,38567,36228
33295,38552,36222
33292,38551,36231
33268,38551,36287
33264,38524,36383
33256,38519,36351
33270,38572,36382
33257,38541,36321
33228,38579,36301
33182,38568,36389
33157,38565,36427
33144,38556,36399
33140,38555,36421
33160,38549,36359
33164,38551,36327
33116,38559,36456
33072,38527,36421
33048,38565,36461
33016,38567,36347
33056,38564,36408
33072,38567,36486
33072,38555,36440
33076,38557,36455
33064,38543,36492
33064,38555,36500
33084,38556,36518
33065,38561,36399
33012,38564,36449
32925,38573,36517
32844,38567,36487
32838,38550,36499
32848,38565,36516
32864,38553,36535
32840,38548,36551
32864,38547,36468
32860,38549,36426
32825,38564,36569
32852,38567,36551
32936,38568,36540
32980,38565,36582
33000,38559,36500
32988,38533,36477
32984,38541,36540
33034,38549,36607
33016,38543,36614
33028,38555,36629
32996,38557,36628
32992,38575,36629
33040,38572,36605
33100,38565,36615
33124,38560,36615
33140,38548,36615
33172,38512,36637
33208,38532,36593
33224,38549,36544
33236,38511,36629
33200,38565,36681
33148,38564,36660
33120,38564,36698
33140,38563,36604
33112,38551,36581
33028,38549,36692
32949,38535,36674
32948,38535,36709
32956,38535,36615
33005,38535,36598
33104,38551,36607
33117,38556,36614
33124,38553,36612
33116,38546,36623
33124,38543,36597
33161,38550,36593
33128,38535,36629
33084,38535,36681
33136,38535,36724
33164,38535,36694
33164,38548,36676
33158,38550,36693
33168,38556,36676
33204,38553,36676
33165,38535,36665
33128,38503,36693
33184,38535,36700
33145,38535,36598
33100,38524,36553
33036,38534,36591
33036,38543,36661
33020,38535,36644
33060,38556,36620
33088,38540,36615
33124,38535,36631
33149,38535,36636
33117,38525,36631
32980,38523,36628
32713,38527,36605
32417,38508,36601
32096,38551,36479
31776,38557,36482
31636,38559,36526
31748,38551,36546
32024,38535,36512
32332,38535,36529
32700,38535,36433
33264,38533,36470
34093,38522,36463
34874,38530,36462
35896,38530,36391
36896,38535,36333
37992,38535,36413
39188,38501,36412
40492,38516,36372
41540,38509,36372
42060,38496,36288
41930,38500,36293
40900,38509,36334
39204,38534,36303
37854,38533,36221
36752,38557,36235
35648,38556,36268
34762,38567,36238
34236,38551,36253
34092,38549,36123
33980,38525,36119
33820,38535,36199
33460,38535,36137
33172,38535,36132
32996,38541,36031
32780,38551,36076
32568,38550,36041
32404,38516,36053
32260,38548,35896
32164,38535,35993
32108,38493,35949
32033,38519,35828
32000,38503,35817
31980,38535,35860
31948,38535,35794
31980,38555,35783
31976,38519,35668
31968,38549,35719
31959,38540,35652
31944,38532,35638
31928,38520,35543
31904,38524,35460
31924,38535,35516
31934,38535,35472
31908,38535,35468
31908,38535,35335
31932,38547,35399
31962,38535,35352
31985,38533,35209
32028,38527,35264
32092,38531,35244
32110,38519,35207
32124,38527,35172
32140,38531,35141
32144,38532,35092
32148,38535,35055
32148,38549,35028
32148,38535,35006
32160,38524,34880
32168,38526,34834
32196,38519,34823
32188,38519,34845
32197,38513,34791
