ECG,EDA,RR
32428,38036,30325
32460,38039,30325
32448,38036,30307
32461,38052,30290
32492,38020,30282
32504,38071,30279
32517,38073,30298
32613,38068,30278
32676,38065,30239
32704,38059,30208
32729,38049,30211
32706,38023,30208
32758,38071,30202
32804,38077,30188
32872,38071,30176
32840,38095,30180
32869,38092,30181
32928,38099,30180
33005,38085,30180
33068,38079,30127
33135,38079,30133
33156,38087,30123
33220,38103,30118
33224,38103,30094
33248,38115,30085
33262,38114,30074
33256,38119,30095
33248,38116,30097
33308,38109,30063
33340,38111,30022
33352,38057,30029
33386,38074,30000
33385,38105,29989
33380,38125,29979
33396,38129,29965
33428,38137,29959
33428,38143,29947
33452,38135,29946
33496,38133,29935
33548,38091,29913
33620,38127,29900
33660,38131,29887
33626,38135,29887
33652,38149,29887
33664,38127,29914
33620,38151,29906
33636,38151,29897
33660,38151,29888
33668,38151,29881
33678,38103,29852
33708,38141,29845
33720,38151,29855
33700,38151,29868
33664,38164,29863
33649,38172,29855
33625,38177,29838
33628,38185,29781
33616,38177,29757
33628,38148,29779
33677,38173,29788
33656,38175,29796
33592,38169,29796
33546,38183,29794
33476,38151,29804
33400,38192,29801
33345,38204,29807
33304,38211,29825
33252,38193,29837
33184,38203,29845
33061,38191,29847
32968,38189,29853
32912,38183,29861
32837,38205,29876
32788,38196,29893
32737,38220,29909
32668,38223,29919
32584,38231,29942
32512,38225,29964
32412,38221,29996
32372,38207,30013
32328,38215,30031
32268,38212,30047
32216,38221,30068
32092,38230,30089
32021,38247,30103
31986,38247,30135
31972,38247,30181
31954,38249,30209
31912,38241,30232
31873,38229,30215
31872,38227,30238
31844,38237,30260
31740,38244,30301
31639,38215,30316
31588,38270,30351
31564,38271,30367
31556,38265,30402
31556,38271,30429
31540,38260,30480
31552,38217,30501
31564,38259,30511
31608,38255,30548
31589,38269,30586
31565,38279,30620
31608,38279,30668
31620,38295,30700
31646,38285,30727
31644,38279,30781
31680,38279,30813
31713,38269,30861
31716,38253,30897
31744,38276,30917
31728,38292,30949
31724,38279,30997
31740,38287,31039
31782,38307,31072
31828,38311,31112
31810,38300,31151
31780,38303,31197
31772,38291,31228
31796,38279,31267
31866,38259,31303
31904,38261,31340
31920,38309,31381
31928,38311,31419
32014,38319,31446
32036,38279,31471
32058,38311,31495
32118,38301,31540
32148,38301,31572
32188,38307,31610
32161,38301,31641
32202,38311,31677
32236,38322,31708
32244,38328,31751
32278,38333,31788
32348,38316,31827
32388,38325,31840
32406,38317,31863
32456,38303,31931
32480,38311,31961
32477,38323,31994
32480,38325,32002
32460,38332,32066
32436,38340,32101
32440,38351,32142
32424,38347,32173
32480,38343,32188
32504,38311,32231
32544,38323,32285
32572,38325,32327
32620,38327,32364
32672,38295,32391
32710,38343,32439
32668,38343,32473
32646,38353,32505
32692,38323,32519
32700,38344,32542
32732,38349,32620
32673,38339,32647
32648,38340,32677
32653,38342,32714
32656,38340,32751
32664,38364,32794
32688,38329,32821
32708,38367,32844
32724,38373,32855
32742,38357,32878
32728,38341,32892
32796,38350,32921
32724,38341,32945
32648,38349,32991
32592,38353,33054
32636,38358,33074
32700,38344,33111
32724,38381,33131
32852,38367,33153
32917,38365,33175
32938,38367,33183
32944,38351,33216
32952,38359,33253
32969,38356,33259
32992,38361,33263
32948,38357,33263
32924,38369,33285
32916,38383,33313
32936,38349,33345
32980,38375,33324
32984,38372,33338
32927,38359,33382
32940,38375,33439
32924,38359,33454
32916,38375,33466
32856,38372,33493
32888,38397,33493
32868,38393,33508
32884,38389,33535
32876,38391,33537
32873,38377,33511
32872,38373,33525
32848,38381,33612
32841,38373,33609
32792,38375,33629
32758,38396,33661
32776,38399,33637
32812,38365,33629
32818,38407,33676
32748,38396,33732
32752,38399,33729
32780,38348,33767
32816,38388,33772
32821,38383,33728
32780,38397,33764
32774,38405,33781
32748,38372,33799
32781,38418,33832
32772,38407,33893
32756,38405,33902
32798,38399,33903
32856,38391,33908
32856,38393,33955
32901,38391,33956
32928,38391,33954
32928,38388,33940
32933,38407,33912
32896,38416,33971
32887,38421,34012
32892,38407,34022
32940,38400,34036
33008,38361,34039
33052,38405,34044
33028,38399,34055
32989,38400,34055
32916,38399,34087
32841,38423,34064
32816,38426,34030
32816,38407,34094
32902,38421,34107
32944,38407,34108
32964,38404,34050
33020,38407,34079
32982,38403,34135
33012,38407,34120
32985,38421,34150
32968,38420,34075
32978,38439,34093
33028,38433,34154
33076,38431,34148
33056,38423,34164
33088,38407,34181
33064,38407,34191
33104,38407,34173
33092,38427,34114
33056,38425,34163
33000,38429,34217
32960,38407,34208
32937,38440,34207
32972,38441,34228
33006,38429,34221
33040,38407,34251
33100,38407,34254
33100,38407,34246
33036,38431,34196
32948,38436,34193
32966,38443,34207
32933,38407,34299
32916,38453,34277
32980,38436,34308
32993,38438,34311
32992,38397,34325
33008,38435,34318
33028,38426,34342
33052,38436,34341
33045,38433,34350
33057,38448,34353
33048,38449,34325
33060,38463,34284
33108,38452,34341
33124,38407,34396
33180,38439,34389
33216,38437,34394
33246,38433,34419
33258,38399,34413
33268,38447,34397
33242,38461,34362
33262,38461,34373
33273,38463,34413
33300,38458,34406
33292,38436,34469
33248,38431,34463
