ECG,EDA,RR
32844,30004,33273
32860,30019,33287
32844,30034,33239
32816,30039,33279
32812,30047,33222
32869,30038,33308
32924,30023,33302
32980,30023,33316
33032,30017,33284
33053,30011,33200
33088,30007,33322
33093,30023,33328
33072,30031,33298
33084,30030,33167
33124,30037,33287
33145,30036,33326
33152,30036,33193
33204,30023,33260
33274,30013,33175
33300,30009,33345
33308,30015,33332
33305,30014,33356
33348,30026,33370
33392,30036,33216
33344,30042,33287
33276,30035,33257
33224,30023,33396
33148,30016,33252
33084,30009,33348
33016,29999,33241
33000,29999,33407
32969,30003,33433
32908,30018,33261
32864,30029,33380
32844,30034,33275
32848,30039,33382
32830,30021,33285
32808,30019,33405
32828,30002,33287
32892,30001,33387
32902,30004,33456
32864,30015,33354
32832,30023,33436
32808,30031,33447
32804,30037,33325
32812,30031,33460
32836,30023,33332
32860,30011,33511
32860,30004,33431
32886,30003,33351
32908,29997,33465
32932,30004,33388
32920,30018,33529
32888,30018,33494
32888,30031,33375
32892,30027,33456
32914,30027,33384
32916,30009,33556
32892,30005,33559
32816,29996,33529
32684,29991,33529
32481,30007,33420
32216,30025,33543
31860,30030,33447
31552,30038,33553
31488,30039,33455
31680,30031,33556
31965,30012,33612
32260,30005,33671
32685,29996,33524
33440,29997,33657
34236,29997,33677
35160,30011,33711
36208,30017,33740
37260,30012,33727
38312,30013,33649
39500,30005,33759
40764,29988,33796
41684,29974,33838
41800,29973,33805
40988,29975,33885
39500,29993,33920
38116,30002,33799
36864,30019,33944
35620,30022,33836
34576,30025,33956
34072,30017,33909
33960,30012,34092
33949,30001,34079
33728,29993,33993
33400,29995,34096
33132,29995,34045
32868,30009,34244
32620,30018,34110
32368,30024,34246
32198,30026,34321
32053,30017,34327
31992,30002,34383
31956,29999,34421
31932,29991,34397
31913,29996,34300
31880,30005,34396
31841,30007,34340
31812,30023,34548
31784,30030,34532
31796,30021,34423
31796,30018,34613
31836,30001,34633
31834,29999,34625
31864,29991,34679
31874,29996,34647
31847,30006,34692
31840,30006,34582
31852,30023,34791
31860,30013,34799
31916,30012,34853
31944,30015,34671
31948,29996,34791
31975,29987,34748
32060,29989,34823
32072,29989,34791
32077,29992,34981
32086,29999,34965
32129,30009,35039
32166,30021,34895
32208,30020,35030
32208,30002,35127
32236,29995,35068
32288,29988,34979
32321,29983,35199
32316,29976,35157
32316,29989,35053
32324,29993,35260
32330,29998,35253
32348,30011,35191
32389,30011,35237
32404,29996,35303
32396,29989,35325
32412,29981,35175
32448,29975,35377
32472,29980,35357
32464,29980,35276
32464,29999,35283
32454,30007,35319
32444,30009,35271
32480,30005,35504
32504,29989,35493
32536,29991,35431
32588,29972,35515
32605,29967,35447
32620,29975,35559
32654,29984,35463
32624,29991,35591
32632,30006,35519
32648,30007,35615
32700,30005,35729
32730,29991,35741
32778,29991,35764
32800,29975,35701
32826,29973,35813
32868,29961,35787
32869,29983,35911
32868,29995,35898
32888,29989,35869
32884,30004,35943
32869,29999,35984
32872,29989,36061
32916,29974,35959
32968,29975,36165
32985,29967,35988
33013,29962,36191
33006,29973,36049
32961,29982,36307
32900,29996,36148
32889,30002,36383
32948,29988,36374
33064,29991,36367
33136,29979,36389
33224,29975,36269
33312,29959,36455
33350,29975,36527
33380,29967,36604
33376,29988,36597
33392,29988,36556
33412,29998,36560
33444,29993,36558
33448,29991,36509
33552,29967,36742
33525,29965,36731
33528,29959,36644
33532,29959,36707
33516,29967,36835
33453,29983,36829
33364,29984,36887
33324,29993,36783
33321,29985,36837
33360,29980,36757
33380,29973,36932
33402,29959,36794
33456,29956,36971
33464,29959,37058
33440,29959,37088
33429,29980,37036
33432,29983,37092
33420,29989,37020
33401,29988,37080
33382,29975,37191
33332,29971,37087
33325,29959,37189
33284,29957,37065
33220,29956,37326
33146,29954,37111
33084,29972,37383
33026,29983,37159
32908,29991,37289
32844,29988,37364
32788,29980,37249
32729,29959,37383
32696,29959,37477
32620,29957,37543
32544,29953,37429
32454,29959,37607
32388,29975,37637
32312,29979,37655
32213,29991,37564
32128,29988,37697
32089,29980,37620
32006,29958,37871
31940,29965,37853
31916,29946,37909
31900,29941,37929
31895,29959,37989
31836,29975,37993
31800,29983,37895
31768,29985,38013
31756,29985,38108
31734,29987,38125
31733,29967,38132
31724,29959,38108
31712,29956,38161
31728,29955,38079
31744,29959,38239
31760,29975,38268
31776,29981,38359
31798,29988,38383
31796,29988,38407
31793,29975,38437
31868,29967,38485
31904,29956,38396
31926,29952,38708
31936,29948,38497
31936,29959,38744
31920,29964,38745
31936,29974,38633
31936,29980,38882
31936,29980,38889
31964,29967,38983
31964,29959,39078
31948,29951,39085
31949,29942,39025
32008,29935,39063
32044,29953,39141
32040,29966,39033
32056,29970,39303
32084,29981,39149
32136,29977,39395
32168,29967,39380
32226,29959,39517
32256,29951,39636
32284,29941,39378
32280,29945,39711
32228,29956,39792
32176,29965,39804
32158,29975,39863
32173,29981,39877
32232,29983,39844
32289,29967,39988
32384,29956,40056
32486,29948,39973
32532,29937,40052
32528,29936,40199
32525,29948,40268
32496,29956,40287
32452,29972,40353
32448,29980,40295
32488,29975,40359
32504,29959,40361
32520,29953,40530
32536,29941,40485
32577,29935,40550
32564,29939,40527
32534,29948,40684
32508,29956,40607
32496,29966,40942
32485,29975,40910
32536,29975,41040
32544,29955,41007
32568,29954,41145
32572,29940,41103
32628,29933,41165
32616,29932,40891
32628,29941,41255
32612,29951,41279
32608,29959,41325
32604,29965,41364
32613,29973,41335
32608,29958,41412
32624,29944,41332
32645,29927,41500
32616,29934,41633
32622,29932,41588
32628,29937,41687
32613,29950,41660
32638,29959,41700
32684,29959,41719
32696,29959,41831
32720,29953,41781
32735,29944,41829
32748,29933,41820
32732,29924,41916
32692,29923,41912
32636,29941,42004
32580,29948,41935
32556,29959,42020
32548,29959,41717
32532,29959,41991
32522,29957,42119
32548,29939,42132
32545,29926,42173
32528,29927,42169
32504,29932,42215
32472,29929,42165
32452,29951,42168
32468,29957,42307
32468,29951,42350
32508,29959,42333
32494,29956,42335
32488,29943,42191
32492,29928,42271
32492,29933,42263
32480,29927,42415
32440,29939,42410
32420,29945,42471
32429,29955,42374
32424,29959,42570
32440,29948,42629
32448,29955,42306
32468,29942,42613
32457,29927,42702
32476,29919,42444
32468,29924,42692
32425,29941,42744
32428,29937,42736
32448,29953,42801
32472,29957,42821
32544,29959,42759
32610,29944,42825
32672,29937,42783
32718,29924,42826
32744,29926,42700
32784,29925,42828
32792,29933,42661
32765,29943,42973
32772,29951,42726
32812,29953,43037
32901,29951,42985
33000,29942,42739
33036,29935,43084
33060,29924,43062
33100,29919,42815
33156,29924,43133
33165,29927,43165
33140,29934,43143
