ECG,EDA,RR
32860,14593,29445
32940,14586,29414
32984,14540,29468
32964,14457,29350
32932,14486,29444
32932,14516,29316
32908,14477,29408
32876,14505,29417
32852,14511,29409
32926,14510,29313
33016,14532,29404
33144,14490,29455
33316,14494,29175
33408,14518,29334
33455,14464,29156
33412,14509,29313
33352,14470,29385
33296,14495,29095
33313,14526,29183
33352,14549,29268
33508,14500,29290
33620,14509,29273
33648,14517,29169
33673,14453,29253
33674,14464,29262
33580,14501,29248
33484,14468,29213
33416,14501,29061
33392,14502,29181
33396,14516,29318
33436,14524,29088
33548,14516,29191
33594,14546,29100
33564,14459,29106
33504,14462,29173
33368,14494,29089
33248,14543,29239
33196,14482,29031
33144,14495,29000
33120,14519,29004
33140,14558,29087
33268,14480,29103
33316,14495,29141
33352,14447,28933
33401,14471,29074
33316,14496,29132
33164,14463,29006
33048,14486,29063
33009,14531,29111
32996,14556,29093
33128,14489,28906
33248,14500,29016
33338,14482,29005
33396,14534,29096
33324,14438,28880
33096,14475,28999
32824,14465,28905
32568,14487,29049
32316,14513,28852
31976,14497,28940
31636,14507,28908
31188,14507,28882
30484,14465,28723
29696,14469,28828
28508,14468,28905
26744,14497,28792
24853,14468,28702
23124,14494,28896
21849,14521,28880
21193,14505,28828
21189,14513,28805
22388,14489,28825
25064,14483,28836
28920,14500,28684
34292,14468,28852
41256,14500,28696
48794,14442,28828
56132,14461,28708
62640,14500,28836
65088,14680,28657
65535,14506,28679
65535,14561,28679
65412,14462,28781
65196,14475,28652
64960,14539,28806
64724,14456,28652
64480,14503,28768
64280,14567,28695
64032,14521,28679
58704,14565,28748
49436,14484,28670
42096,14525,28693
37548,14529,28736
34925,14452,28618
33092,14473,28788
31584,14472,28611
30357,14510,28528
29396,14487,28726
28668,14518,28597
28112,14529,28696
27776,14511,28679
27573,14525,28696
27360,14475,28653
27221,14466,28770
27073,14464,28622
26852,14452,28661
26620,14482,28567
26440,14495,28740
26368,14543,28482
26360,14504,28597
26448,14525,28592
26564,14482,28429
26685,14477,28491
26724,14482,28462
26784,14442,28556
26748,14470,28640
26681,14480,28388
26604,14515,28503
26581,14495,28573
26652,14508,28332
26800,14518,28401
26996,14473,28543
27210,14460,28386
27381,14454,28509
27452,14462,28544
27408,14486,28369
27404,14454,28503
27328,14485,28452
27356,14509,28486
27422,14511,28324
27536,14511,28456
27708,14472,28521
27912,14460,28502
28056,14454,28425
28136,14473,28508
28112,14436,28516
28020,14454,28479
28032,14484,28617
28028,14511,28377
28052,14504,28416
28170,14485,28548
28384,14493,28568
28508,14481,28412
28608,14481,28566
28664,14434,28543
28636,14474,28533
28600,14463,28454
28590,14493,28575
28613,14533,28652
28664,14489,28429
28831,14489,28462
28997,14489,28441
29105,14501,28568
29208,14439,28560
29326,14454,28573
29316,14487,28540
29280,14472,28510
29296,14527,28364
29280,14508,28480
29304,14512,28439
29480,14481,28532
29680,14478,28423
29886,14497,28517
30052,14445,28436
30212,14461,28444
30288,14441,28529
30237,14484,28521
30248,14490,28407
30320,14508,28396
30421,14491,28401
30646,14497,28396
30912,14505,28517
31172,14455,28596
31372,14445,28332
31576,14471,28609
31684,14442,28504
31740,14470,28599
31829,14549,28507
31944,14510,28545
32138,14520,28370
32412,14481,28391
32748,14486,28554
33048,14460,28484
33260,14455,28497
33468,14446,28456
33526,14490,28293
33576,14460,28399
33664,14483,28500
33764,14544,28282
33820,14504,28541
34036,14479,28450
34313,14484,28362
34516,14515,28450
34644,14440,28532
34732,14465,28420
34744,14439,28388
34684,14459,28241
34608,14480,28399
34512,14547,28303
34412,14498,28380
34417,14520,28287
34436,14466,28407
34384,14478,28398
34312,14487,28407
34180,14436,28472
33945,14453,28218
33625,14520,28412
33344,14484,28196
33140,14521,28392
32932,14479,28196
32846,14492,28457
32832,14542,28168
32756,14465,28363
32692,14461,28144
32600,14417,28334
32420,14443,28135
32240,14437,28433
32032,14468,28167
31892,14526,28281
31840,14486,28143
31808,14543,28206
31860,14479,28197
31876,14496,28194
31876,14423,28167
31881,14425,28293
31752,14459,28207
31628,14437,28168
31496,14471,28276
31448,14499,28281
31445,14471,28292
31492,14484,28374
31638,14447,28292
31748,14444,28369
31828,14442,28124
31864,14495,28260
31832,14423,28291
31720,14462,28271
31652,14437,28293
31616,14474,28247
31632,14518,28309
31712,14469,28056
31862,14465,28216
31992,14427,28207
32072,14433,28239
32116,14456,28220
32068,14409,28273
31960,14436,28351
31856,14521,28074
31768,14466,28288
31790,14453,28118
31870,14469,28360
32048,14493,28049
32160,14434,28295
32272,14491,28064
32288,14420,28271
32240,14410,28206
32124,14474,28052
32073,14460,28317
32006,14452,28260
31992,14480,28328
32052,14489,28264
32172,14435,28297
32240,14450,28130
32364,14456,28238
32388,14396,28353
32340,14425,28070
32188,14413,28231
32076,14452,28068
32008,14449,28146
31980,14472,28113
32064,14470,28220
32220,14431,28102
32308,14438,28156
32352,14399,28059
32372,14405,28136
32336,14463,28069
32240,14422,28158
32172,14445,28196
32056,14471,28228
32008,14448,28182
32080,14461,28028
32228,14489,28200
32356,14431,28207
32428,14433,28191
32468,14394,28074
32420,14420,28132
32301,14444,28051
32228,14428,28192
32169,14465,28268
32144,14508,28191
32264,14465,28292
32417,14478,28204
32544,14413,28288
32585,14410,28205
32620,14420,28162
32588,14420,28185
32504,14430,28212
32450,14506,27980
32404,14447,28052
32361,14468,28068
32449,14535,28165
32572,14442,28030
32700,14477,28125
32738,14393,28233
32792,14402,27965
32772,14401,28206
32649,14435,27996
32520,14459,28044
32476,14443,28025
32492,14467,28141
32580,14508,28198
32700,14429,28014
32800,14437,28151
32920,14417,28045
32928,14391,28004
32864,14423,28106
32740,14464,28001
32680,14432,28026
32620,14491,27999
32620,14451,28116
32684,14465,28114
32816,14521,27968
32928,14424,28212
33028,14481,27920
33064,14408,28092
32972,14442,27911
32812,14409,28058
32688,14438,28184
32620,14439,28105
32606,14470,28036
32693,14469,28167
32825,14475,27974
32964,14412,28129
33078,14409,28131
33144,14387,27944
33096,14412,28068
32932,14414,28076
32820,14452,28152
32768,14508,28208
32732,14464,28152
32820,14445,28063
32968,14441,28165
33052,14477,28222
33136,14409,27975
33164,14422,28069
33076,14397,28181
32985,14415,28039
32848,14465,28161
32821,14438,28272
32820,14458,28053
32868,14498,28199
33008,14432,28238
33152,14430,28108
33224,14452,28234
33245,14408,28281
33180,14428,28060
33088,14417,28247
32984,14430,28148
32928,14465,28285
32920,14544,28066
32992,14472,28143
33076,14490,28180
33192,14432,28281
33261,14486,28308
33252,14424,28283
33161,14453,28231
33072,14415,28376
32997,14449,28097
32940,14454,28229
32908,14468,28280
33000,14500,28295
33116,14449,28393
33216,14471,28148
33324,14415,28264
33328,14449,28276
33220,14411,28148
33136,14449,28277
32996,14436,28246
32940,14467,28349
32916,14461,28360
32992,14472,28343
33136,14439,28243
