ECG,EDA,RR
32408,14191,29074
32404,14181,29205
32444,14187,29333
32540,14226,29163
32616,14179,29198
32638,14158,29296
32680,14132,29341
32737,14158,29357
32665,14156,29396
32488,14172,29388
32408,14192,29317
32348,14224,29526
32322,14185,29543
32404,14229,29598
32537,14223,29528
32637,14202,29554
32756,14177,29502
32816,14166,29533
32732,14175,29504
32630,14184,29676
32576,14192,29498
32440,14211,29722
32356,14213,29780
32452,14197,29804
32656,14191,29824
32820,14181,29872
32956,14173,29844
33020,14159,29884
33020,14169,29832
32972,14168,29895
32871,14185,30049
32704,14202,30070
32604,14228,30096
32628,14205,30164
32688,14188,30114
32672,14225,29988
32732,14196,30006
32832,14162,30140
32864,14181,30169
32800,14165,30207
32720,14187,30245
32696,14287,30268
32656,14278,30055
32764,14260,30147
32952,14225,30258
33112,14215,30444
33212,14176,30444
33268,14165,30428
33177,14171,30535
32992,14236,30545
32788,14219,30458
32676,14227,30375
32609,14229,30436
32700,14299,30401
32796,14270,30502
32953,14236,30436
33076,14212,30480
33152,14197,30628
33162,14186,30652
33129,14193,30645
33048,14215,30669
32948,14284,30471
32912,14303,30628
32976,14237,30648
33048,14270,30804
33152,14239,30911
33264,14211,30928
33332,14207,30949
33252,14199,30940
33144,14207,30855
33056,14253,30868
33006,14253,30900
32980,14268,30920
32988,14260,30974
33112,14235,30741
33208,14276,30938
33262,14233,31008
33236,14229,31114
33168,14215,31152
33076,14223,31015
32928,14293,31077
32884,14284,31114
32832,14287,30969
32864,14270,31111
33056,14303,31270
33236,14269,31217
33348,14253,31112
33376,14215,31224
33300,14229,31239
33133,14292,31036
32996,14268,31195
32996,14279,31268
32960,14328,31263
33060,14299,31332
33225,14276,31239
33396,14259,31332
33468,14313,31367
33485,14299,31329
33376,14252,31316
33169,14263,31335
33092,14372,31420
33060,14346,31559
33008,14322,31404
33028,14309,31451
33108,14292,31524
33212,14321,31292
33276,14277,31517
33352,14271,31676
33324,14263,31657
33212,14324,31491
33125,14329,31340
33010,14323,31572
32812,14393,31585
32824,14345,31762
32972,14324,31512
33068,14364,31676
33188,14317,31674
33344,14304,31617
33332,14292,31684
33201,14395,31772
33028,14374,31833
32876,14383,31860
32808,14391,31743
32852,14367,31735
32928,14346,31652
33120,14331,31726
33220,14316,31793
33260,14367,31805
33234,14404,31785
33158,14380,31789
33128,14377,31824
33080,14397,31891
32977,14382,31884
33006,14380,31908
33172,14418,31901
33340,14388,31658
33452,14356,31694
33624,14346,31812
33624,14338,31876
33544,14349,31982
33393,14423,32064
33328,14419,32041
33300,14421,31896
33392,14396,32029
33428,14377,32041
33572,14414,32050
33740,14367,31899
33844,14352,32005
33792,14349,32198
33600,14405,31956
33428,14404,32110
33312,14399,32111
33236,14463,32039
33256,14457,32140
33304,14439,32206
33388,14406,32262
33412,14371,32092
33360,14360,32189
33238,14365,32184
33120,14373,32132
33016,14469,32150
32933,14450,32325
32952,14437,32356
33040,14441,32322
33164,14429,32374
33268,14417,32388
33288,14391,32276
33328,14374,32245
33292,14447,32316
33104,14449,32327
32984,14450,32082
32972,14452,32238
32932,14457,32406
32972,14442,32388
33056,14484,32200
33128,14439,32326
33144,14413,32342
33080,14423,32128
32840,14425,32181
32552,14426,32301
32144,14447,32277
31645,14463,32296
31032,14471,32329
30241,14465,32332
29472,14503,32486
28329,14484,32422
26720,14443,32518
24996,14426,32516
23349,14439,32437
22082,14458,32529
21484,14481,32459
21656,14497,32446
22261,14496,32499
23896,14518,32541
27557,14493,32532
32776,14454,32386
39512,14434,32408
47148,14512,32404
54248,14442,32429
60640,14444,32352
64448,14469,32487
65368,14543,32566
65464,14521,32477
65328,14499,32385
