ECG,EDA,RR
33184,23756,36444
33476,23759,36359
33720,23737,36492
33865,23743,36445
34052,23744,36483
34168,23781,36540
34332,23795,36648
34452,23802,36335
34656,23799,36549
34828,23797,36521
35022,23772,36582
35264,23760,36544
35508,23756,36633
35564,23749,36674
35548,23765,36679
35620,23779,36591
35656,23796,36494
35608,23809,36610
35584,23826,36677
35645,23802,36781
35788,23788,36844
35900,23772,36559
35952,23762,36708
35828,23765,36732
35568,23780,36797
35336,23791,36860
35112,23834,36879
34996,23836,36780
34880,23831,36996
34788,23816,36637
34577,23825,36900
34324,23793,37030
34020,23783,36879
33608,23785,36980
33208,23798,37033
32912,23831,36911
32544,23842,37014
32188,23855,36956
31964,23849,37093
31814,23849,36780
31705,23833,37008
31584,23809,37138
31448,23802,36910
31164,23806,37039
30893,23815,37080
30628,23828,37133
30460,23854,37173
30340,23862,36999
30164,23868,37055
30088,23854,37108
30184,23840,37175
30236,23824,37138
30176,23815,37176
29978,23815,37145
29796,23828,37138
29757,23846,37314
29705,23865,37025
29640,23876,37198
29737,23873,37361
29905,23860,37345
30096,23844,37308
30213,23828,37300
30181,23825,37370
30052,23825,37388
29872,23843,37444
29820,23851,37535
29809,23868,37504
29738,23879,37560
29720,23885,37503
29640,23868,37489
29736,23852,37509
29880,23841,37556
30108,23831,37576
30268,23828,37663
30292,23843,37655
30181,23866,37772
30144,23879,37598
30180,23889,37713
30246,23888,37824
30368,23876,37557
30440,23868,37654
30388,23847,37774
30432,23837,37852
30444,23839,37895
30432,23849,37789
30480,23861,37825
30480,23877,37892
30412,23892,37925
30537,23892,37928
30588,23881,38072
30588,23861,38170
30684,23855,38173
30780,23843,38303
30760,23842,38230
30748,23860,38320
30748,23876,38313
30696,23886,38372
30728,23905,38388
30836,23906,38385
30996,23893,38469
31108,23874,38617
31172,23855,38268
31220,23845,38549
31264,23845,38361
31236,23859,38559
31184,23876,38673
31180,23890,38791
31264,23907,38919
31404,23905,38784
31516,23893,38856
31572,23868,38928
31636,23853,38983
31620,23845,39148
31592,23852,38997
31552,23868,39123
31448,23881,39200
31440,23892,39135
31488,23904,39285
31664,23917,39167
31824,23901,39396
31960,23881,39409
32096,23867,39381
32116,23856,39495
32012,23853,39541
31972,23870,39625
31852,23892,39623
31836,23911,39408
31768,23916,39624
31900,23917,39812
32016,23901,39461
32032,23887,39812
32173,23874,39943
32204,23870,39837
32148,23869,39956
32034,23878,40124
31956,23894,39704
31888,23914,40024
31894,23921,40064
32040,23926,40144
32108,23905,40345
32186,23884,39943
32168,23877,40176
32196,23879,40365
32134,23879,40400
31936,23890,40492
31774,23903,40120
31783,23910,40403
31840,23926,40692
31944,23924,40373
32032,23917,40675
32136,23902,40733
32192,23886,40684
32228,23869,40836
32148,23873,40798
31982,23886,41038
31918,23908,40957
31948,23914,41014
32064,23927,40945
32178,23928,41125
32268,23911,41172
32340,23900,41094
32380,23879,41412
32350,23872,41263
32228,23876,41396
32112,23892,41335
32072,23906,41508
32056,23917,41570
32093,23924,41684
32160,23937,41621
32293,23928,41735
32420,23907,41744
32504,23885,41740
32628,23873,41896
32580,23886,42020
32440,23893,41836
32316,23896,42027
32228,23922,42212
32172,23942,41999
32269,23931,42212
32440,23927,42292
32620,23908,42108
32680,23884,42344
32628,23889,42476
32543,23880,42441
32432,23891,42556
32359,23910,42191
32332,23924,42479
32294,23941,42644
32377,23936,42725
32452,23927,42752
32480,23904,42524
32568,23897,42748
32608,23876,42877
32556,23887,42791
32544,23906,42980
