ECG,EDA,RR
33409,16943,32798
33336,16967,32703
33248,17001,32734
33164,17009,32693
33144,17015,32791
33172,17028,32479
33284,17062,32652
33428,17051,32586
33600,17023,32561
33680,17010,32583
33780,16983,32663
33728,16978,32571
33576,16986,32559
33468,17007,32519
33381,17066,32625
33333,17076,32561
33408,17065,32655
33552,17068,32722
33710,17029,32431
33832,17009,32632
33920,17029,32535
33840,17007,32608
33700,17030,32604
33532,17035,32636
33464,17061,32652
33324,17113,32381
33352,17097,32617
33472,17079,32636
33512,17059,32618
33540,17031,32716
33556,17032,32381
33516,17059,32684
33376,17054,32352
33272,17068,32617
33204,17111,32610
33193,17124,32677
33224,17120,32612
33368,17108,32660
33494,17101,32600
33584,17075,32689
33632,17063,32592
33564,17041,32668
33405,17055,32604
33264,17075,32596
33132,17099,32572
33004,17119,32489
32892,17177,32584
32924,17156,32564
32836,17143,32502
32588,17111,32501
32268,17091,32556
31738,17082,32583
30896,17089,32586
29856,17127,32647
28756,17127,32580
27124,17154,32588
25308,17180,32320
23496,17162,32540
22068,17145,32570
20986,17125,32570
20589,17114,32466
20672,17118,32469
21984,17132,32496
25226,17154,32460
29928,17180,32432
36440,17204,32462
44404,17178,32564
52792,17237,32665
60796,17192,32336
64612,17168,32588
65535,17168,32452
65535,17129,32519
65535,17137,32556
65276,17160,32544
65048,17191,32500
64816,17298,32557
64576,17253,32577
64348,17245,32535
64120,17209,32636
63896,17200,32421
60728,17157,32536
50940,17274,32601
43096,17243,32536
37956,17240,32528
35020,17261,32442
33093,17260,32552
31624,17302,32628
30492,17282,32549
29633,17260,32584
28980,17229,32541
28488,17217,32615
28000,17215,32503
27513,17249,32452
27084,17253,32440
26733,17282,32509
26441,17298,32460
26352,17301,32442
26380,17298,32453
26397,17278,32461
26404,17258,32392
26360,17244,32305
26260,17242,32257
26114,17252,32299
26004,17276,32365
25981,17313,32396
25986,17325,32252
26078,17326,32327
26220,17324,32423
26432,17303,32304
26564,17289,32141
26668,17278,32386
26660,17289,32287
26624,17303,32310
26592,17319,32279
26590,17355,32178
26674,17360,32260
26796,17359,32249
26970,17345,32248
27158,17326,32214
27300,17303,32182
27360,17298,31989
27424,17305,32316
27428,17322,32218
27436,17353,32142
27480,17364,32160
27540,17366,32206
27664,17368,32226
27856,17354,32198
27994,17359,32263
