ECG,EDA,RR
32618,20252,36525
32512,20271,36460
32562,20273,36436
32732,20270,36351
32884,20255,36262
32972,20241,36359
32976,20217,36015
33013,20215,36351
33016,20220,36276
32924,20238,36240
32908,20287,36068
32862,20314,36193
32869,20310,36192
32932,20287,36077
33024,20279,35816
33208,20235,36133
33238,20215,36013
33272,20210,35761
33280,20217,36121
33216,20231,35981
33124,20248,35861
33036,20264,35847
32984,20271,35917
33040,20262,35901
33189,20244,35776
33328,20229,35612
33424,20210,35913
33464,20210,35753
33381,20223,35492
33180,20241,35809
33054,20245,35708
32996,20264,35669
32950,20268,35580
32984,20261,35620
33020,20260,35615
33048,20244,35304
33088,20223,35589
33156,20219,35524
33128,20213,35429
33056,20231,35577
32932,20255,35332
32841,20279,35202
32848,20268,35416
32924,20266,35325
33050,20252,35376
33160,20238,35279
33216,20223,35364
33212,20215,35301
33156,20222,35332
33020,20228,35237
32949,20245,35137
32844,20271,35157
32700,20276,35181
32652,20268,35191
32612,20246,35029
32472,20243,35128
32242,20213,35121
31904,20221,34936
31312,20221,35046
30480,20229,35120
29652,20245,34964
28652,20258,34721
27120,20264,35062
25432,20263,34956
23824,20249,34823
22528,20237,34771
21732,20221,34860
21744,20218,34756
22164,20220,34717
23132,20242,34721
25989,20256,34884
30572,20274,34781
36340,20262,34769
43544,20241,34740
51056,20302,34728
57948,20204,34616
63424,20191,34396
65248,20192,34712
65535,20247,34496
65535,20254,34460
65332,20256,34677
65096,20266,34589
64888,20262,34445
64640,20258,34567
64416,20241,34524
64176,20222,34458
63968,20208,34370
56428,20220,34476
47661,20229,34348
41100,20240,34532
37492,20253,34428
35316,20284,34391
33732,20287,34389
32484,20276,34420
31328,20256,34317
30308,20238,34248
29493,20218,34244
28853,20231,34220
28292,20234,34205
27820,20244,34151
27441,20250,34274
27112,20276,34071
26908,20276,34311
26848,20264,34183
26832,20260,34252
26800,20244,34152
26832,20217,34095
26836,20215,34039
26778,20214,33965
26672,20231,34000
26625,20244,33998
26580,20267,34060
26596,20269,33844
26720,20259,33701
26857,20242,33989
26992,20231,33799
27061,20208,33678
27084,20207,33892
27081,20220,33854
27084,20235,33613
27069,20242,33913
27080,20264,33764
27140,20271,33544
27272,20260,33874
27484,20244,33764
27636,20222,33647
27792,20204,33845
27902,20195,33682
27876,20201,33517
27882,20212,33767
27908,20227,33711
27936,20245,33574
27992,20253,33624
28152,20245,33640
28300,20230,33685
28440,20225,33640
28512,20201,33701
28576,20199,33614
28584,20203,33561
28552,20223,33543
28549,20229,33462
28548,20251,33504
28592,20255,33453
28744,20262,33517
28956,20245,33300
29100,20231,33573
29266,20212,33471
29382,20213,33389
29356,20214,33304
29332,20225,33282
29304,20231,33328
29358,20255,33124
29442,20260,33425
29612,20247,33255
29836,20236,33069
30020,20225,33236
30164,20212,33156
30280,20209,33021
30280,20208,33340
30264,20225,33220
30321,20241,33203
30336,20257,33103
30433,20244,33237
30632,20235,33175
30876,20231,33031
31065,20221,33214
31240,20196,33092
31404,20199,32864
31468,20202,33162
31528,20217,33061
31652,20236,32909
31824,20254,33124
32032,20265,33004
32224,20261,32794
32528,20251,33036
32808,20242,32924
33088,20191,32965
33300,20188,32913
33460,20197,32804
33552,20208,32685
33685,20225,32989
33888,20240,32890
34072,20291,32756
34325,20272,32804
34628,20258,32820
34892,20253,32833
35120,20239,32792
35272,20231,32665
35312,20229,32700
35336,20242,32575
35376,20252,32836
35420,20271,32713
35524,20263,32676
35668,20257,32588
35852,20238,32482
36026,20221,32729
36092,20197,32664
36064,20192,32647
35960,20239,32604
35740,20241,32444
35492,20260,32668
35284,20269,32518
35148,20265,32397
35068,20257,32607
34940,20242,32550
34772,20228,32406
34576,20212,32514
34300,20212,32493
33968,20213,32421
33584,20219,32350
33284,20239,32452
32996,20256,32350
32736,20261,32391
32548,20247,32176
32452,20230,32311
32324,20214,32359
32160,20201,32383
31988,20199,32308
31768,20209,32276
31548,20225,32199
31380,20243,32087
31200,20260,32327
31100,20263,32228
31085,20256,32016
31116,20245,32277
31120,20223,32223
31128,20205,32201
31054,20194,32188
30924,20212,32087
30752,20225,32111
30660,20247,32142
30564,20261,32137
30564,20262,32095
30660,20257,31972
30772,20239,32168
30868,20221,32072
30905,20209,31929
30908,20204,31961
30844,20213,32040
30884,20231,31905
30768,20251,31896
30756,20269,31997
30780,20291,32036
30924,20284,31988
31100,20268,31853
31194,20255,31885
31308,20244,31944
31384,20241,31843
31276,20247,31884
31141,20268,31924
31121,20292,31912
31128,20303,31861
31196,20302,31933
31352,20295,31892
31444,20293,31728
31470,20251,31767
31500,20231,31941
31492,20231,31878
31420,20261,31751
31330,20271,31857
31317,20294,31879
31300,20301,31740
31325,20297,31773
31380,20313,31866
31532,20298,31740
31608,20278,31848
31698,20259,31638
31656,20246,31929
31605,20265,31855
31540,20277,31724
31502,20295,31925
31481,20312,31751
31484,20333,31645
31596,20321,31921
31684,20315,31796
31764,20289,31636
31828,20279,31770
31830,20277,31840
31757,20292,31849
31709,20309,31655
31712,20323,31941
31685,20335,31854
31744,20340,31737
31864,20332,31941
31960,20313,31853
32028,20301,31710
32093,20281,31940
32096,20287,31844
32034,20298,31744
31960,20321,31953
31960,20332,31894
31977,20357,31833
31972,20366,31796
32100,20359,31852
32192,20346,31692
32280,20337,31958
32321,20314,31892
