ECG,EDA,RR
31392,22822,30654
31480,22820,30543
31548,22822,30528
31592,22810,30296
31684,22824,30357
31728,22840,30233
31796,22863,30264
31828,22852,30180
31900,22863,30013
32009,22862,30064
32089,22846,29824
32172,22844,29783
32220,22835,29773
32312,22846,29752
32392,22857,29713
32440,22848,29545
32464,22871,29585
32452,22878,29417
32474,22887,29289
32440,22884,29406
32424,22860,29197
32412,22853,29243
32404,22859,29024
32390,22853,29009
32386,22865,29014
32240,22877,28780
32100,22887,28869
32004,22902,28677
31974,22882,28708
31929,22881,28446
31833,22880,28541
31744,22873,28457
31512,22874,28207
31408,22871,28327
31400,22880,28117
31524,22885,28120
31664,22890,27909
31496,22901,27933
31476,22904,27857
31580,22901,27779
31636,22897,27732
31672,22879,27476
31820,22869,27580
31812,22864,27401
31624,22887,27429
31481,22895,27188
31494,22883,27287
31532,22906,27252
31606,22911,27111
31664,22909,27152
31628,22901,26988
31544,22894,26923
31492,22876,26949
31440,22884,27005
31394,22897,26844
31384,22910,26971
31377,22908,26900
31312,22915,26849
31356,22923,26729
31296,22919,26900
31313,22910,26893
31513,22908,26703
31644,22885,26887
31816,22889,26874
31993,22893,26852
31948,22901,26872
31854,22914,26711
31738,22927,26903
31764,22935,26885
31888,22924,26726
32013,22919,26828
32072,22902,26821
32160,22903,26939
32161,22911,26938
32240,22916,26834
32332,22928,27028
32420,22928,27000
32404,22949,27054
32268,22935,26928
32152,22941,27073
32144,22932,27064
32192,22926,27178
32292,22915,27084
32381,22919,27165
32360,22927,27263
32340,22937,27348
32364,22940,27288
32452,22944,27300
32533,22956,27440
32580,22951,27525
32572,22952,27428
32620,22949,27604
32660,22924,27581
32736,22924,27728
32720,22940,27599
32692,22959,27836
32669,22957,27788
32648,22961,27916
32800,22975,27888
32828,22927,27908
32848,22949,27916
32812,22948,28175
32764,22951,28117
32836,22953,28288
32820,22972,28196
32824,22964,28252
32816,22980,28494
32844,22986,28511
32852,22981,28594
32869,22980,28645
32834,22963,28722
32872,22962,28800
32852,22972,28740
32928,22949,28759
32924,22959,28996
32871,22975,29020
32869,22993,29120
32924,22983,29039
32964,22983,29183
32984,22976,29200
33012,22977,29363
33040,22973,29436
32976,22955,29324
32956,22969,29393
32948,22977,29508
32852,22989,29557
32705,22985,29721
32685,22993,29620
32708,22994,29796
32728,22999,29831
32836,23002,29964
32941,22989,29852
33037,22969,30108
33028,22989,30053
32928,22985,30173
32908,23012,30087
32972,23004,30288
33040,23013,30377
33048,23002,30392
33050,23010,30444
32984,22999,30359
32992,23004,30428
33077,22980,30580
32940,22989,30577
32908,23004,30725
32801,22991,30604
32780,23017,30664
32808,23004,30869
32768,23012,30848
32740,23015,30909
32800,23019,31013
32844,23011,30861
32928,22989,30932
32925,23004,30983
32961,22999,31100
32968,23012,31236
32912,23028,31201
32872,23016,31276
32824,23020,31153
32748,23018,31221
32733,23018,31452
32584,23004,31333
32716,23005,31477
32696,23008,31540
32700,23013,31438
32696,23033,31580
32744,23023,31432
32764,23031,31612
32804,23043,31584
32876,23020,31717
32844,23028,31580
32816,23020,31821
32860,23003,31812
32844,23013,31815
32816,23023,31873
32800,23009,31783
32797,23025,31996
32816,23045,31855
32784,23033,31991
32760,23040,32027
32648,23020,32038
32596,23021,31908
32568,23013,32130
32496,23021,32042
32580,23013,32119
32700,23031,32029
32644,23052,32009
32464,23042,32195
32492,23042,32134
32516,23047,32181
32452,23025,32028
32572,23021,32200
32704,23012,32109
32768,23029,32153
32832,23014,32197
32812,23036,32024
32748,23040,32037
32600,23047,32048
32500,23049,32148
32464,23055,32032
32516,23047,32135
32421,23020,31964
32328,23025,31948
32388,23030,32048
32528,23037,32065
32409,23028,32071
32336,23047,32037
32316,23063,31965
32360,23047,31959
