ECG,EDA,RR
32556,24816,42094
32533,24820,42132
32508,24821,42152
32510,24813,42036
32624,24807,42031
32448,24799,41745
32428,24787,41853
32396,24787,41884
32476,24785,41900
32448,24805,41927
32360,24815,41473
32352,24820,41663
32604,24820,41620
32580,24805,41655
32532,24801,41752
32364,24781,41652
32308,24790,41648
32416,24783,41223
32394,24780,41412
32332,24802,41436
32408,24813,41433
32492,24821,41463
32552,24809,41420
32472,24807,41444
32433,24804,41333
32433,24785,41274
32380,24785,41188
32334,24786,41265
32361,24787,41120
32396,24796,41120
32380,24799,41172
32300,24808,41032
32372,24815,41222
32489,24804,40996
32372,24800,40695
32324,24783,40988
32316,24781,41080
32404,24774,40959
32232,24793,40878
32288,24791,40979
32292,24793,40572
32420,24804,40769
32380,24800,40944
32304,24805,40632
32248,24789,40409
32296,24785,40609
32396,24775,40711
32332,24769,40679
32192,24788,40696
32080,24782,40617
32064,24791,40711
32157,24806,40225
32224,24807,40564
32273,24797,40196
32264,24792,40421
32168,24777,40564
32164,24771,40420
32224,24774,40317
32077,24776,40404
32098,24785,40005
32069,24800,40228
32080,24804,40358
32096,24802,40286
32268,24796,40300
32172,24784,40207
32208,24781,40246
32124,24769,40156
32092,24767,40005
32068,24777,39916
32056,24783,39953
31968,24786,39972
31897,24801,40007
31988,24804,40064
31990,24791,39968
32088,24791,39929
32168,24773,39823
32292,24773,39868
32216,24769,39956
32202,24774,39518
32132,24781,39676
32100,24790,39711
31976,24794,39637
32056,24793,39678
32074,24786,39719
32032,24785,39783
32144,24775,39652
32076,24767,39729
32004,24757,39524
31988,24774,39580
32004,24775,39628
31974,24794,39524
31960,24791,39425
31936,24791,39256
31928,24784,39383
31972,24778,39364
31908,24759,39309
31977,24753,39140
32024,24764,39350
31992,24762,39309
32104,24769,39319
31968,24786,39333
31952,24797,39300
31872,24793,39176
31868,24796,39197
31973,24775,39285
31836,24765,39369
31728,24759,39242
31796,24758,39224
31884,24770,38940
31961,24770,39059
31948,24783,39100
31928,24791,39132
32020,24790,39188
32052,24781,39156
32104,24775,39225
31960,24761,38809
31992,24756,39060
32024,24749,39128
31932,24762,39058
31944,24772,39090
31920,24783,39068
31956,24786,39144
31988,24780,39046
32023,24779,39132
31992,24772,39034
31992,24756,39054
31984,24754,39012
31988,24756,39073
32180,24752,39003
32110,24773,39037
31828,24780,38991
31908,24779,38964
32064,24788,38917
32069,24776,38958
32068,24767,39023
32096,24754,38756
32220,24752,38906
32228,24747,39022
32084,24750,38628
32104,24756,38935
32092,24767,38708
32096,24774,38818
32120,24777,38948
32096,24773,38610
32192,24761,38812
32082,24763,38845
32084,24745,38918
32068,24742,38957
32076,24749,38577
32128,24757,38774
32124,24772,38862
32196,24772,38893
32256,24775,38865
32236,24765,38780
32312,24764,38844
32208,24751,38966
32160,24739,38876
32194,24741,38759
32268,24742,38801
32244,24757,38869
32160,24766,38845
32152,24775,38884
32160,24775,38953
32192,24772,38855
32197,24756,38976
32200,24744,38878
32380,24740,38919
32341,24740,38890
32266,24742,38933
32264,24756,38895
32416,24763,38980
32388,24775,38630
32380,24775,38753
32336,24765,38791
32304,24755,38880
32352,24740,38935
32300,24732,38692
32352,24728,38829
32448,24737,38948
32472,24740,38620
32696,24761,38758
32504,24764,38832
32456,24765,38856
32448,24764,38888
32437,24745,38857
32492,24746,38959
32564,24735,38847
32620,24726,38948
32636,24740,38553
32524,24748,38945
32488,24753,38855
32527,24759,38949
32436,24759,38599
32380,24756,38814
32360,24749,38942
32290,24728,38748
32272,24728,38893
32332,24724,38948
32336,24740,38912
32284,24740,38895
32278,24756,38967
32269,24752,38741
32340,24762,38865
32332,24758,38884
32276,24748,38969
32172,24732,39030
32340,24721,38889
32256,24724,38994
32334,24724,39077
32231,24739,38996
32266,24745,38992
32341,24748,38791
32332,24758,39012
32312,24754,38957
32268,24736,39052
32224,24732,39143
32256,24724,39102
32348,24713,39164
32417,24722,39116
32400,24736,39223
32428,24738,38887
32473,24753,39073
32504,24744,39084
32496,24754,39136
32464,24743,39136
32484,24719,39196
32576,24723,39252
32704,24717,39054
32576,24731,39132
32580,24726,39228
32552,24753,39224
32524,24752,39332
32468,24741,39252
32342,24743,39356
32464,24721,39061
32456,24732,39217
32208,24713,39251
31992,24719,39286
31960,24721,39401
31984,24732,39144
32016,24739,39276
32388,24759,39397
33032,24751,38998
33840,24741,39196
34904,24748,39248
36200,24729,39333
37860,24716,39257
39928,24725,39268
41853,24711,39348
43808,24735,39380
46012,24732,39088
47808,24784,39302
49012,24762,39357
50016,24737,39364
50316,24783,39469
49088,24746,39356
46660,24710,39279
44104,24735,39302
41868,24732,39338
39672,24772,39416
37288,24751,39053
35204,24745,39231
33968,24749,39364
33340,24741,39383
33030,24743,39490
32673,24717,39079
32212,24715,39310
31956,24704,39363
31948,24706,39388
31784,24714,39464
31495,24724,39407
31448,24727,39420
31208,24730,39281
30974,24719,39356
30900,24718,39393
30716,24708,39431
30677,24696,39464
30616,24695,39330
30224,24708,39449
30148,24710,39309
30116,24721,39517
29988,24729,39136
29852,24729,39400
29824,24726,39500
29836,24718,39449
29889,24709,39445
29860,24701,39356
29912,24703,39356
29888,24704,39456
29948,24716,39357
29944,24724,39540
30004,24733,39205
30077,24735,39422
30140,24731,39567
30236,24719,39189
30308,24706,39431
30289,24709,39460
30252,24696,39174
30245,24711,39376
30372,24713,39572
30436,24722,39482
30424,24738,39431
30404,24734,39508
30432,24725,39511
30596,24722,39508
30684,24706,39431
30716,24703,39528
30732,24703,39558
30764,24705,39431
30732,24716,39525
30780,24727,39550
30800,24737,39396
30956,24727,39490
30952,24728,39350
30944,24719,39204
30877,24711,39396
30856,24701,39374
30920,24705,39412
30974,24707,39518
31056,24719,39112
31136,24730,39309
31076,24732,39327
31036,24733,39353
31157,24725,39431
31272,24719,39030
31249,24704,39268
31120,24698,39226
31168,24696,39226
31175,24709,39208
31185,24713,39235
31124,24721,39335
31284,24727,38924
31348,24739,39192
31232,24724,39175
31168,24719,39006
31264,24711,39136
31240,24703,39226
31333,24697,38910
31384,24711,39116
31144,24710,39210
31040,24725,38852
31096,24732,39076
31268,24727,39188
31352,24722,38934
31636,24722,39037
31354,24711,39116
31265,24703,39012
31188,24702,38900
31372,24704,38932
31560,24714,38936
31449,24724,38989
31216,24730,38902
31264,24743,38903
31336,24729,38712
31348,24725,38812
31272,24709,38862
31264,24701,38753
31168,24701,38741
31245,24706,38407
31248,24713,38544
31220,24735,38496
31244,24733,38540
31320,24739,38536
31296,24740,38127
31285,24721,38342
31244,24716,38420
31182,24704,38180
31148,24709,38169
31149,24707,38087
31160,24720,38095
31221,24741,38072
31348,24741,37973
31264,24745,37908
31160,24732,37929
31076,24737,37832
31148,24720,37717
31192,24711,37762
31148,24713,37799
31184,24719,37557
31316,24732,37609
31256,24743,37524
31304,24740,37487
31308,24753,37176
31316,24742,37394
31360,24733,37308
31492,24723,37168
31516,24716,37336
31460,24720,37119
31540,24724,36889
31676,24741,37031
31588,24744,37156
31576,24748,36998
31728,24751,36805
31926,24743,36925
32036,24741,36940
32080,24724,36764
32080,24724,36647
32093,24720,36724
32100,24728,36645
32224,24734,36703
32188,24743,36753
32276,24761,36528
32324,24752,36445
32260,24755,36582
32240,24732,36483
32264,24732,36400
32197,24719,36487
32212,24727,36408
32104,24724,36308
31952,24731,36392
31804,24738,36348
31768,24744,36227
31768,24756,36308
31512,24742,36204
31412,24735,36276
31416,24719,35980
31268,24719,36133
31145,24717,36073
31093,24724,35909
30970,24732,36034
30776,24735,36127
30728,24743,36060
30564,24741,36041
30524,24737,36045
30486,24729,35847
30401,24680,35996
