ECG,EDA,RR
33840,19071,31185
33848,19073,31126
33724,19108,31102
33536,19173,31125
33377,19209,30997
33221,19282,31276
33064,19314,31236
33007,19244,31358
32920,19215,31301
32852,19168,31412
32840,19158,31332
32840,19102,31416
32768,19150,31393
32632,19192,31512
32520,19239,31409
32384,19298,31304
32312,19305,31596
32285,19297,31540
32332,19256,31478
32320,19213,31593
32404,19139,31669
32396,19148,31608
32336,19171,31460
32296,19212,31802
32252,19281,31712
32153,19344,31805
32125,19333,31773
32152,19317,31705
32224,19293,31813
32264,19218,31707
32332,19174,31809
32357,19186,31825
32340,19217,31849
32336,19247,31844
32320,19305,31960
32300,19367,32029
32281,19386,32021
32264,19387,31903
32304,19305,32061
32338,19257,32113
32432,19227,32247
32520,19201,32167
32535,19232,32145
32532,19287,32212
32504,19362,32191
32461,19391,32257
32424,19406,32169
32508,19391,32270
32580,19383,32135
32622,19286,32324
32704,19239,32292
32756,19239,32208
32772,19256,32456
32796,19325,32436
32748,19391,32293
32720,19417,32640
32832,19449,32574
32900,19429,32487
32940,19360,32653
32928,19320,32644
32924,19263,32565
32960,19275,32809
33012,19334,32728
33000,19343,32653
32978,19429,32702
32964,19441,32821
33028,19476,32725
33116,19463,32826
33120,19388,32676
33188,19341,33033
33272,19290,32936
33312,19295,32806
33310,19319,33047
33260,19381,33016
33220,19450,32919
33176,19476,33129
33160,19500,33041
33152,19463,32951
33182,19420,33317
33304,19373,33183
33408,19318,33236
33504,19324,33237
33532,19372,33221
33476,19395,33152
33424,19463,33415
33440,19530,33172
33388,19514,33524
33380,19495,33469
33393,19451,33280
33436,19405,33585
33520,19371,33431
33556,19361,33602
33558,19424,33567
33552,19421,33596
33484,19493,33600
33388,19571,33624
33424,19536,33710
33472,19525,33570
33568,19496,33461
33644,19411,33806
33712,19380,33724
33708,19395,33647
33668,19433,33724
33610,19443,33692
33520,19521,33704
33477,19574,33622
33516,19591,33764
33540,19534,33743
33558,19492,33828
33616,19455,33804
33648,19434,33791
33712,19388,33671
33716,19428,33980
33736,19497,33860
33684,19529,33952
33636,19592,34065
33608,19602,33982
33674,19591,34052
33760,19516,34004
33804,19472,33941
33916,19439,33960
34028,19463,33857
34084,19450,34148
34128,19512,34040
34144,19557,34145
34080,19623,34149
33960,19621,33948
33964,19580,33970
34004,19548,34125
34072,19534,34356
34108,19460,34224
34180,19460,34025
34176,19474,34112
34080,19513,34215
33960,19594,34393
33866,19631,34414
33820,19660,34261
33816,19618,34369
33901,19559,34143
33992,19518,34320
34084,19454,34496
34148,19465,34472
34137,19528,34453
34112,19529,34301
34032,19610,34522
34001,19636,34473
33953,19654,34508
33948,19666,34444
33984,19576,34646
34052,19532,34567
34140,19479,34423
34144,19481,34693
34124,19536,34532
34056,19546,34412
33960,19620,34792
33932,19683,34702
33924,19661,34655
33928,19656,34645
33968,19620,34564
34028,19534,34786
34044,19508,34792
34020,19516,34717
33828,19521,34940
33577,19577,34818
33445,19653,34620
33452,19677,34945
33586,19686,34900
33732,19667,35036
34016,19650,34932
34596,19552,34860
35408,19528,35049
36588,19509,34948
38494,19561,34911
40808,19621,35072
43420,19652,34976
45996,19734,34818
48108,19694,35132
49512,19685,35017
50396,19648,35029
50136,19633,34977
48576,19531,35108
46044,19552,34956
43012,19638,35188
40332,19604,35140
38020,19679,35142
36084,19711,35144
34896,19727,35175
34233,19700,35292
33804,19669,35188
33476,19590,35005
33212,19564,35256
32992,19534,35181
32708,19576,34996
32452,19647,35376
32224,19676,35280
32060,19732,35350
31972,19750,35288
31924,19700,35256
31936,19669,35225
31984,19636,35320
31988,19556,35463
31896,19572,35383
31840,19605,35360
31852,19631,35330
31925,19699,35340
31928,19753,35372
31924,19768,35455
31982,19715,35470
32088,19679,35408
32130,19640,35274
32164,19573,35648
32204,19580,35583
32200,19616,35622
32204,19672,35590
32096,19713,35646
31976,19763,35524
32004,19775,35348
32072,19732,35625
32120,19687,35513
32181,19637,35360
32312,19624,35652
32432,19599,35503
32440,19644,35623
32420,19668,35621
32448,19750,35663
32412,19764,35518
32396,19781,35638
32420,19744,35564
32420,19704,35750
32524,19647,35668
32668,19616,35733
32708,19625,35680
32736,19626,35620
32721,19682,35756
32604,19752,35742
32524,19773,35671
32556,19785,35884
32632,19759,35789
32718,19735,35730
32744,19646,35908
32857,19622,35808
32848,19605,35601
32792,19641,35900
32780,19697,35845
32776,19788,35921
32772,19788,36047
32740,19809,35961
32832,19791,35900
32948,19717,35900
33008,19677,36015
33076,19652,36037
33120,19616,36029
33068,19664,36069
33004,19688,35945
32916,19755,36236
32936,19817,36076
32985,19845,35936
33092,19780,36229
33108,19751,36112
33228,19668,36204
33392,19631,36292
33500,19640,36141
33536,19652,36248
33478,19704,36185
33432,19808,36380
33416,19816,36192
33428,19836,36308
33504,19788,36041
33668,19754,36284
33840,19683,36232
33872,19637,36358
33964,19652,36252
34084,19687,36372
34156,19717,36311
34152,19785,36440
34156,19815,36404
34148,19838,36413
34208,19790,36209
34332,19756,36546
34412,19685,36576
34548,19652,36445
34684,19637,36479
34772,19682,36487
34816,19713,36252
34756,19789,36263
34712,19820,36332
34765,19847,36562
34776,19801,36700
34780,19768,36541
34816,19695,36612
34800,19656,36500
34740,19645,36678
34724,19689,36680
34670,19751,36615
34569,19790,36654
34452,19830,36397
34420,19840,36716
34280,19837,36680
34233,19755,36732
34164,19721,36647
34148,19662,36796
34032,19682,36641
33856,19684,36772
33664,19732,36695
33492,19825,36864
33294,19842,36836
33160,19868,36775
33000,19817,36563
32953,19776,36780
32913,19737,36834
32848,19667,36837
32668,19668,36766
32452,19709,36941
32252,19737,36806
32165,19812,36626
32004,19858,36958
31936,19847,36818
31905,19821,36615
31924,19784,36993
31920,19758,36871
31924,19677,36920
31852,19684,36835
31776,19689,36885
31684,19741,36656
31552,19813,37056
31448,19857,36901
31408,19847,36925
31368,19828,36861
31328,19807,37037
31406,19720,36891
31504,19692,36919
31570,19685,37042
31624,19700,37060
31636,19760,36853
31613,19809,36932
31572,19869,36654
31552,19858,36975
31544,19839,36877
31632,19810,36644
31740,19733,36861
31816,19697,36920
31888,19674,36912
31928,19723,36812
31932,19765,37045
31816,19814,36814
31668,19862,36905
31628,19877,36913
31664,19839,36817
31744,19809,36916
31824,19748,36964
31896,19719,36831
31876,19685,36936
31896,19725,36664
31956,19754,36977
31960,19823,37025
31932,19884,36924
31976,19867,36798
32033,19846,36996
32132,19797,36869
32232,19738,36940
32257,19716,36847
32278,19681,36935
32280,19729,36924
32276,19781,36951
32160,19814,37000
32052,19879,36942
32010,19892,36845
32048,19863,37052
32084,19812,36920
32124,19747,36805
32200,19703,37061
32228,19734,36836
32200,19729,36942
32200,19784,36870
32190,19822,36825
32144,19876,36941
32164,19898,36884
32167,19849,37072
32172,19823,36828
32240,19746,36948
32332,19711,36868
32364,19699,37023
32260,19729,36828
32232,19797,36936
32247,19833,36743
32152,19904,37041
32048,19892,36822
32016,19852,37031
32012,19823,36876
32057,19772,36932
32204,19703,36837
32268,19700,37037
32288,19744,36801
32268,19772,36913
32220,19837,36966
32177,19893,36906
32152,19897,36831
32084,19879,36805
32080,19811,36893
32126,19768,36869
32213,19709,37018
32308,19713,37016
32356,19727,36815
32340,19786,36605
32272,19852,36903
32206,19881,36829
32166,19893,36901
32152,19883,36824
32220,19812,37013
32228,19765,36877
32312,19740,36673
32360,19703,37016
32276,19749,36802
32284,19806,36604
32272,19844,36935
32224,19894,36764
32244,19897,36592
32288,19879,36920
32316,19836,36767
32340,19795,36604
32280,19719,36860
32248,19716,36804
32228,19765,36864
32172,19793,36673
32132,19870,36980
32074,19896,36789
32040,19925,36968
32048,19874,36856
32060,19841,36704
32054,19783,36959
32126,19748,36840
32164,19721,36767
32092,19759,36977
32004,19823,36809
31956,19872,36548
31884,19928,36879
31869,19919,36827
31935,19900,36836
32020,19837,36724
32136,19782,36949
32204,19751,36790
32216,19753,36796
32212,19756,36806
32140,19813,36809
32020,19874,36764
31817,19932,36740
31618,19917,36797
31440,19896,36692
31368,19862,36660
31401,19790,36772
31572,19761,36680
31704,19751,36708
32004,19784,36705
32516,19831,36660
33216,19903,36724
34460,19917,36652
36312,19936,36848
38532,19936,36700
40944,19852,36633
43668,19795,36764
45872,19766,36710
47044,19810,36552
47552,19788,36839
46932,19881,36739
45148,19891,36700
42336,19932,36700
39328,19964,36604
36820,19932,36412
34625,19871,36637
33136,19814,36576
32340,19778,36664
31816,19769,36808
31368,19796,36660
31072,19855,36588
30772,19898,36686
30480,19951,36392
30292,19969,36788
30128,19923,36672
30044,19890,36581
29968,19836,36702
29928,19782,36657
29900,19780,36510
29833,19828,36805
29748,19862,36591
29721,19932,36716
29706,19975,36708
29644,19994,36644
29600,19949,36865
29665,19904,36765
29744,19836,36685
29797,19806,36836
29840,19788,36677
29912,19834,36800
29910,19888,36725
29868,19933,36708
29812,19976,36648
29810,19993,36911
29788,19982,36757
29824,19908,36700
29868,19863,36892
29944,19808,36655
29996,19813,36744
30048,19851,36500
30016,19890,36628
30016,19950,36673
29968,20002,36668
29941,20001,36537
30036,19986,36743
30160,19943,36503
30224,19870,36609
30232,19836,36328
30276,19827,36511
30252,19862,36588
30208,19920,36463
30148,19972,36500
30088,20028,36423
30068,20018,36601
30152,20001,36388
30240,19945,36427
30284,19899,36460
30324,19850,36172
30312,19851,36517
30244,19886,36348
30196,19925,36144
30196,19996,36316
30140,20052,36484
30118,20037,36340
30212,20022,36244
30264,19977,36289
30332,19907,36301
30388,19866,36325
30376,19881,36224
30396,19902,36140
30400,19942,36328
30420,20017,36085
30432,20053,36150
30500,20079,36144
30540,20050,35992
30552,19992,36078
30544,19940,36048
30608,19887,36053
30708,19893,35980
30768,19935,35704
30776,19960,35946
30764,20033,35780
30760,20095,35596
30768,20081,35860
30800,20077,35692
30832,20031,35551
30972,19956,35864
31134,19918,35692
31205,19928,35566
31292,19938,35660
31340,19997,35692
31424,20070,35585
31392,20100,35591
31457,20114,35480
31556,20110,35237
31632,20046,35372
31680,19999,35552
31727,19968,35389
31808,19932,35272
31878,19973,35220
31864,20036,35312
31856,20074,35191
31836,20140,35276
31872,20132,35121
31900,20118,35181
31900,20063,35061
31924,20007,35240
31928,19972,35093
31972,19973,35077
31996,19986,34928
31988,20044,35013
31964,20116,34989
31886,20148,34932
31817,20175,34932
31748,20149,34784
31729,20092,34967
31696,20039,34812
31644,20010,34823
31504,19983,34700
31300,20027,34853
31061,20076,34624
30904,20116,34473
30737,20168,34784
30553,20197,34596
30456,20186,34377
30356,20129,34596
30192,20075,34524
30061,20016,34531
29896,20006,34612
29696,20050,34389
29524,20092,34428
29324,20153,34416
29096,20208,34292
28892,20228,34116
28768,20193,34272
28768,20148,34256
28744,20092,34022
28680,20060,34277
28596,20052,34150
28508,20069,33981
28388,20121,34054
28250,20182,33981
28121,20234,34206
28052,20237,33973
28068,20217,34045
28112,20187,33925
28156,20119,34042
28158,20077,33844
28164,20080,33687
28172,20092,33935
28167,20157,33768
28136,20199,33602
28100,20257,33829
28053,20272,33655
28056,20240,33732
28100,20198,33596
28176,20154,33716
28288,20095,33575
28336,20094,33582
28356,20118,33572
28286,20180,33431
28244,20244,33516
28210,20277,33379
28220,20306,33444
28316,20276,33325
28384,20236,33380
28480,20178,33460
28560,20123,33222
28597,20123,33287
28601,20152,33148
28584,20194,33334
28601,20260,33106
28572,20305,33172
28573,20324,32948
28540,20306,33097
28596,20245,33185
28637,20205,32968
28705,20149,33036
28744,20148,32868
28722,20191,32901
28692,20217,32858
28704,20292,32927
28710,20334,32780
28688,20355,32841
28704,20335,32661
28692,20282,32760
28726,20225,32703
28800,20193,32736
28808,20172,32613
28828,20210,32692
28844,20249,32652
28868,20315,32584
28804,20373,32597
28794,20373,32462
28776,20355,32484
28764,20304,32317
28822,20254,32583
28924,20218,32476
29000,20196,32324
28977,20231,32325
28940,20290,32192
28956,20342,32452
28924,20394,32348
28925,20396,32184
28964,20383,32324
29000,20333,32236
29040,20279,32105
29104,20253,32276
29085,20237,32135
29085,20268,31982
29092,20304,32113
29084,20376,32084
