ECG,EDA,RR
31652,21277,31127
31652,21229,31375
31692,21175,31186
31716,21169,31297
31648,21181,31109
31516,21228,31292
31388,21267,31314
31336,21326,31268
31338,21336,31095
31348,21324,31335
31388,21286,31252
31388,21245,31127
31376,21190,31312
31308,21179,31250
31246,21194,31248
31184,21240,31234
31124,21280,31269
31124,21337,31236
31148,21369,31290
31220,21356,31177
31268,21302,31208
31344,21262,31119
31456,21221,31136
31504,21195,31008
31486,21213,31248
31348,21263,31180
31332,21321,31231
31306,21357,31150
31252,21382,30965
31176,21377,31212
31212,21319,31121
31308,21284,30997
31348,21236,31127
31372,21223,30988
31340,21233,31012
31268,21277,30944
31280,21332,31040
31268,21390,30932
31260,21401,30990
31300,21396,30924
31384,21357,30980
31468,21300,30884
31572,21249,31069
31676,21236,31048
31660,21267,30990
31620,21295,30950
31592,21358,30855
31548,21408,30928
31528,21416,30840
31572,21413,31042
31588,21379,30869
31652,21334,31017
31764,21264,30849
31801,21256,31076
31776,21294,30980
31780,21323,30823
31777,21375,31021
31784,21415,30992
31812,21443,30852
31876,21424,30879
31965,21383,30804
32042,21342,30903
32128,21300,30874
32157,21277,30964
32144,21297,31026
32016,21350,30969
31984,21381,30884
31928,21438,30951
31944,21474,30960
31981,21436,30844
32052,21409,30878
32124,21369,30808
32268,21308,30878
32340,21293,30756
32416,21316,30994
32460,21349,30900
32460,21410,30754
32384,21476,30861
32350,21474,30921
32368,21468,30761
32352,21432,30884
32368,21376,30908
32448,21345,30836
32534,21327,30924
32520,21345,30744
32445,21389,30769
32360,21416,30937
32288,21478,30882
32312,21508,30722
32333,21500,30913
32360,21446,30855
32460,21400,30742
32572,21361,30780
32608,21327,30697
32684,21357,30860
32732,21396,30690
32745,21457,30871
32680,21490,30854
32588,21525,30913
32584,21506,30856
32680,21462,30717
32760,21414,30819
32832,21375,30744
32900,21362,30817
32908,21380,30696
32916,21409,30784
32820,21462,30815
32722,21516,30873
32660,21542,30807
32684,21542,30868
32783,21481,30806
32860,21438,30657
32908,21397,30697
32933,21394,30656
32966,21384,30697
32954,21433,30645
32902,21476,30761
32852,21550,30628
32816,21550,30756
32916,21541,30620
32864,21509,30686
32856,21447,30612
32869,21408,30717
32876,21394,30741
32916,21399,30620
32872,21448,30780
32832,21505,30753
32792,21572,30780
32729,21569,30740
32736,21563,30693
32776,21530,30713
32796,21465,30553
32804,21425,30786
32820,21412,30617
32840,21421,30708
32792,21468,30663
32680,21535,30599
32632,21565,30713
32596,21596,30561
32620,21570,30592
32744,21547,30522
32857,21492,30757
32988,21437,30681
33040,21420,30550
33056,21447,30568
33052,21475,30530
32996,21532,30583
32960,21590,30528
32996,21604,30644
33024,21600,30668
33024,21570,30521
33064,21502,30708
33104,21462,30654
33154,21430,30502
33132,21468,30672
33128,21508,30636
33128,21545,30500
33129,21598,30668
33144,21636,30630
33197,21600,30673
33284,21574,30629
