ECG,EDA,RR
32486,23943,30892
32572,23972,30853
32520,24033,30804
32472,24088,30884
32488,24108,30752
32540,24101,30813
32584,24066,30753
32652,24018,30833
32671,23972,30760
32633,23946,30828
32602,23965,30792
32544,24000,30845
32528,24058,30785
32528,24112,30980
32660,24138,30932
32716,24134,30847
32724,24095,30920
32736,24053,30837
32692,24002,30924
32680,23991,30828
32672,24001,31037
32600,24044,30993
32461,24089,30853
32268,24143,30944
32100,24176,31022
31968,24164,30916
31760,24130,30993
31600,24097,31038
31445,24037,30911
31389,24014,30980
31264,24045,31032
31092,24075,30881
31008,24139,30969
30956,24188,31060
30948,24215,31056
30896,24207,31070
30844,24172,31046
30872,24136,31044
30776,24077,31068
30672,24063,31028
30496,24078,30892
30400,24116,31029
30432,24178,31046
30524,24231,30965
30556,24252,30932
30592,24242,30885
30712,24215,31028
30812,24169,30884
30820,24124,31034
30760,24105,31005
30704,24117,31014
30624,24162,30980
30561,24215,30820
30536,24268,30876
30620,24292,30800
30692,24289,30922
30752,24256,30861
30796,24217,30892
30864,24165,30760
30960,24145,30796
30908,24172,30737
30836,24207,30884
30821,24260,30780
30904,24319,30853
30956,24340,30761
30988,24337,30800
31004,24300,30653
30976,24260,30829
31068,24212,30772
31156,24196,30633
31004,24216,30722
30776,24260,30596
30696,24308,30760
30784,24363,30719
30864,24388,30596
30964,24388,30676
31058,24353,30533
31072,24310,30592
31156,24260,30553
31256,24247,30660
31248,24252,30655
31220,24310,30596
31204,24353,30639
31108,24420,30608
31084,24447,30606
31144,24437,30568
31324,24412,30573
31413,24366,30405
31424,24313,30536
31392,24301,30404
31308,24319,30549
31148,24365,30508
31152,24414,30533
31201,24476,30469
31264,24497,30488
31337,24500,30421
31412,24464,30421
31456,24418,30372
31488,24370,30204
31584,24353,30288
31576,24367,30164
31528,24406,30241
31512,24463,30151
31512,24521,30257
31532,24551,30234
31597,24551,30158
31648,24527,30189
31648,24479,30118
31648,24429,30160
31616,24407,30176
31561,24427,30012
31640,24460,30151
31756,24512,30096
31792,24582,30123
31740,24610,29972
31736,24609,30060
31816,24577,30028
31888,24535,29871
31912,24491,29949
31952,24471,29852
32004,24484,29918
31980,24530,29860
31956,24566,29894
31944,24636,29820
31916,24673,29945
31956,24663,29916
32056,24636,29857
32116,24596,29849
32144,24543,29773
32128,24526,29772
32161,24545,29768
32268,24583,29703
32296,24630,29760
32200,24698,29788
32152,24732,29728
32056,24729,29737
32116,24696,29588
32208,24653,29632
32184,24606,29556
32176,24583,29671
32177,24604,29600
32136,24644,29650
32196,24696,29615
32252,24759,29633
32228,24785,29499
32272,24780,29604
32384,24759,29573
32480,24716,29606
32481,24665,29512
32480,24641,29493
32416,24669,29564
32428,24701,29457
32365,24756,29548
32292,24812,29404
32228,24850,29472
32216,24836,29396
32284,24816,29460
32537,24770,29423
32704,24724,29436
32797,24708,29484
32884,24716,29420
32844,24761,29513
32704,24810,29516
32612,24870,29400
32640,24906,29499
32720,24896,29477
32728,24864,29467
32752,24830,29337
32832,24780,29417
32942,24766,29398
32888,24780,29277
32760,24821,29417
32724,24879,29390
32644,24933,29370
32652,24967,29332
32792,24957,29197
32892,24928,29256
32960,24903,29200
33198,24839,29241
33220,24827,29190
33061,24840,29320
33020,24877,29271
33196,24934,29125
33344,24996,29191
33348,25020,29133
33364,25024,29208
33380,24989,29124
33477,24952,29236
33604,24900,29242
33660,24886,29169
33624,24903,29237
33468,24941,29127
33392,24990,29196
33340,25057,29079
33428,25080,29229
33512,25079,29075
33460,25049,29209
33420,25008,29061
33416,24962,29145
33388,24937,29100
