ECG,EDA,RR
31464,25358,30692
31570,25325,30820
31581,25280,30809
31652,25224,30707
31718,25204,30791
31776,25215,30734
31832,25249,30804
31844,25290,30821
31772,25349,30740
31696,25372,30928
31729,25351,30810
31732,25319,30922
31808,25271,30934
31900,25213,30831
31910,25201,31026
31920,25213,30997
31876,25245,30885
31872,25286,31033
31837,25337,30932
31744,25357,31161
31828,25340,31125
31920,25309,31168
31989,25264,31172
32068,25207,31210
32112,25185,31101
32112,25198,31313
32106,25236,31288
32064,25279,31184
31984,25335,31408
32044,25344,31396
32152,25336,31277
32260,25292,31446
32400,25253,31343
32496,25201,31413
32568,25183,31386
32552,25191,31524
32564,25229,31445
32572,25271,31628
32548,25323,31684
32536,25341,31554
32577,25335,31652
32654,25289,31652
32728,25245,31790
32872,25185,31778
32944,25171,31736
32908,25181,31844
32868,25221,31732
32860,25260,31890
32884,25315,31827
32968,25337,31900
33124,25320,31876
33252,25285,32070
33352,25243,31932
33432,25177,32119
33532,25164,32166
33516,25172,32225
33500,25215,32244
33588,25257,32218
33700,25301,32309
33720,25333,32268
33780,25309,32287
33892,25273,32413
33984,25227,32388
34052,25177,32409
34092,25157,32369
34132,25167,32586
34136,25207,32596
34158,25254,32495
34180,25292,32588
34184,25316,32692
34234,25298,32573
34344,25268,32807
34468,25209,32708
34516,25162,32664
34484,25149,32824
34428,25156,32844
34289,25193,32748
34268,25233,32988
34288,25282,32959
34284,25309,32857
34276,25290,32925
34258,25255,32901
34232,25210,33140
34148,25154,33062
34028,25126,33021
33852,25143,33068
33692,25185,33020
33468,25226,33265
33248,25279,33260
33100,25294,33284
33072,25284,33277
33068,25236,33189
33052,25193,33351
33016,25144,33314
32896,25125,33432
32724,25141,33329
32592,25169,33400
32570,25219,33372
32485,25256,33465
32448,25285,33416
32436,25265,33612
32444,25231,33601
32444,25188,33516
32408,25133,33671
32344,25111,33592
32328,25124,33625
32329,25161,33561
32360,25201,33741
32349,25255,33653
32368,25264,33780
32413,25253,33662
32404,25215,33836
32388,25174,33915
32504,25127,33884
32586,25086,33856
32612,25104,33785
32660,25138,33903
32646,25189,33972
32652,25234,34055
32644,25255,34037
32721,25237,34114
32848,25204,34139
32860,25156,34167
32900,25107,34224
32904,25092,34208
32918,25095,34245
32900,25128,34136
32902,25170,34311
32868,25231,34122
32873,25245,34384
32824,25233,34342
32896,25193,34278
32972,25152,34345
33068,25099,34261
33084,25077,34388
33060,25086,34311
33040,25127,34412
33025,25172,34346
32968,25223,34384
32924,25243,34343
32984,25223,34461
32950,25188,34437
32968,25140,34622
33144,25077,34439
33256,25079,34540
33212,25084,34404
33104,25112,34658
33064,25165,34652
33060,25214,34697
33040,25233,34688
33040,25220,34614
33108,25183,34708
33156,25140,34672
33204,25082,34719
33192,25061,34567
33072,25069,34732
33060,25112,34815
33140,25156,34870
33234,25208,34834
33300,25223,34732
33328,25212,34749
33400,25167,34661
33488,25134,34898
33604,25079,34805
33577,25056,34679
33528,25068,34837
33468,25101,34711
33456,25144,34988
33476,25192,34927
33428,25215,34750
33436,25192,34871
33460,25156,34767
33368,25116,34896
33312,25060,34781
33380,25044,35062
33400,25053,35013
33408,25095,34957
33396,25133,35025
33296,25188,34972
33172,25204,35045
33224,25191,35111
33328,25156,35053
33408,25104,35122
33448,25055,35068
33444,25033,35164
33392,25047,34895
33413,25083,35012
33444,25131,34954
33412,25176,35009
33408,25198,35040
33436,25174,35084
33461,25142,35038
33501,25092,35079
33500,25034,34981
33456,25028,35076
33452,25042,34896
33436,25072,35076
33508,25117,34909
33604,25166,35125
33608,25181,35116
33511,25165,35021
33479,25132,35141
33448,25078,34951
33396,25037,35183
33376,25020,35136
33440,25035,35124
33492,25049,35154
33445,25106,35132
33366,25156,35169
33348,25172,35200
33420,25161,34972
33476,25118,35079
33432,25076,35015
33516,25033,35113
33490,25011,35093
33368,25028,35105
33294,25054,35143
33285,25103,35220
33336,25156,35264
33369,25172,35020
33432,25157,35301
33548,25121,35244
33640,25055,35175
33680,25015,35220
33740,24997,35207
33652,25017,35237
33532,25044,35160
33396,25109,35285
33300,25153,35075
33242,25165,35308
33248,25152,35289
33312,25111,35364
33440,25068,35283
33528,25018,35170
33541,24996,35269
33528,25014,35210
33456,25051,35316
33432,25101,35372
33300,25151,35088
33268,25158,35236
33308,25152,35287
33300,25116,35335
33322,25063,35365
33393,25021,35333
33424,25001,35423
33336,25013,35124
33260,25046,35288
33216,25095,35191
33196,25151,35335
33172,25163,35148
33184,25147,35263
33164,25111,35173
33112,25060,35439
33118,25013,35360
33096,24998,35284
33108,25013,35423
33124,25057,35364
33140,25094,35256
33117,25143,35252
33100,25163,35158
33068,25144,35281
32964,25116,35244
32996,25063,35258
33040,25008,35236
33104,24994,35256
33088,25013,35167
33113,25051,35356
33132,25095,35356
33100,25154,35414
33012,25165,35374
33016,25145,35380
33068,25117,35364
33092,25074,35396
33116,25014,35365
33056,25006,35424
32976,25016,35353
32928,25055,35368
32828,25107,35318
32708,25158,35210
32604,25181,35229
32524,25159,35105
32536,25119,35389
32516,25082,35305
32636,25028,35288
32841,25020,35260
33172,25029,35189
33664,25060,35260
34328,25112,35308
35420,25157,35232
36940,25186,35249
38808,25164,35047
41024,25132,35170
43488,25089,35212
45628,25028,34906
46844,25037,35168
47376,25060,34876
47000,25068,34968
45336,25124,34920
42656,25182,34910
39744,25198,34782
37448,25188,34886
35644,25148,34804
34384,25116,34870
33600,25054,34823
33093,25041,34842
32680,25053,34896
32328,25087,34597
32008,25136,34686
31708,25188,34709
31564,25209,34700
31556,25197,34738
31500,25160,34439
31332,25112,34663
31157,25067,34420
31084,25052,34511
30948,25064,34337
30848,25109,34468
30785,25156,34406
30688,25207,34448
30616,25221,34493
30684,25213,34407
30756,25174,34368
30828,25134,34348
30796,25085,34288
30812,25062,34296
30809,25082,34332
30776,25124,34252
30756,25166,34216
30664,25220,34173
30628,25239,34174
30680,25226,34105
30756,25189,33961
30860,25149,34008
30944,25097,33885
31004,25082,33929
30932,25095,33903
30972,25144,33826
31006,25189,33840
31014,25239,33726
31072,25254,33656
31117,25243,33621
31186,25206,33612
31200,25167,33491
31248,25116,33456
31220,25095,33205
31212,25123,33365
31252,25156,33252
31260,25201,33221
31271,25255,32977
31276,25279,32983
31301,25261,32841
31368,25224,32871
31497,25188,32764
31644,25133,32808
31712,25121,32647
31705,25136,32689
31664,25179,32572
31642,25228,32630
31536,25286,32460
31529,25299,32519
31684,25281,32379
31748,25247,32432
31797,25209,32240
31845,25156,32319
31764,25136,32180
31806,25153,32208
31856,25196,32109
31856,25247,32165
31848,25295,32138
31860,25317,31948
31916,25301,31876
31949,25268,31955
32021,25223,31948
32080,25184,31694
32108,25161,31751
32100,25180,31601
32068,25220,31681
31992,25272,31532
31944,25321,31605
31908,25343,31506
31952,25330,31349
31976,25291,31368
31968,25248,31244
32088,25198,31359
32080,25188,31336
31990,25200,31115
32020,25245,31204
32004,25293,31172
32029,25345,30964
32048,25363,31051
32168,25349,31048
32285,25310,30831
32324,25276,30904
32441,25225,30821
32600,25201,30840
32672,25224,30825
32736,25266,30752
32784,25313,30735
32832,25369,30548
32920,25380,30604
32968,25368,30444
33064,25333,30469
33100,25295,30353
33045,25245,30468
33000,25229,30312
32984,25247,30364
32984,25281,30260
32980,25324,30305
32968,25384,30233
33024,25400,30317
33172,25398,30244
33228,25359,30272
33328,25320,30126
33416,25267,30203
33420,25252,30052
33396,25269,30149
33294,25312,30016
33152,25361,30053
32960,25415,29958
32860,25433,30070
32812,25418,29957
32808,25383,30041
32792,25336,29902
32732,25289,29993
32656,25268,29903
32529,25293,29989
32458,25325,29967
32280,25380,29969
31996,25437,29956
31760,25454,29934
31572,25441,29860
31448,25404,29896
31392,25367,29817
31348,25318,29876
31264,25303,29821
31200,25312,29836
31044,25349,29785
30800,25405,29819
30696,25456,29700
30586,25476,29820
30512,25454,29820
30601,25425,29677
30656,25379,29745
30684,25336,29629
30673,25320,29732
30532,25332,29656
30484,25375,29724
30476,25428,29580
30453,25479,29645
30380,25501,29584
30397,25479,29708
30492,25440,29679
30520,25411,29660
30564,25351,29645
30576,25340,29553
30508,25359,29631
30532,25396,29472
30504,25445,29520
30452,25493,29444
30436,25512,29496
30448,25500,29428
30428,25463,29536
30489,25412,29503
30568,25372,29500
30676,25357,29436
30628,25375,29348
30620,25412,29403
30572,25460,29262
30544,25511,29333
30604,25528,29212
30720,25519,29324
30804,25485,29163
30848,25437,29277
30896,25384,29167
30928,25373,29255
30972,25393,29092
30868,25432,29220
30880,25478,29196
30932,25538,29164
30952,25548,29148
30916,25536,29004
30872,25500,29092
30884,25457,28952
31056,25407,29055
31260,25385,28996
31281,25413,29049
31176,25449,28905
31192,25496,28935
31304,25544,28865
31422,25559,28919
31428,25548,28848
31520,25509,28863
31592,25468,28805
31620,25418,28837
31636,25404,28732
31552,25428,28822
31504,25468,28705
31480,25522,28813
31430,25565,28717
31436,25582,28850
31420,25572,28823
31388,25534,28644
31472,25489,28720
31616,25444,28665
31760,25425,28782
31836,25453,28777
31828,25486,28621
31820,25529,28741
31752,25577,28753
31692,25600,28653
31720,25588,28675
31748,25552,28570
31752,25508,28660
31824,25458,28568
31912,25440,28635
31880,25455,28608
31824,25500,28713
31732,25546,28622
31688,25597,28710
31591,25620,28679
31616,25607,28517
31724,25567,28661
31896,25524,28536
32040,25469,28655
31944,25455,28591
31824,25476,28596
31800,25512,28657
31832,25565,28510
31792,25614,28578
31756,25628,28520
31720,25613,28568
31784,25581,28497
31852,25533,28620
31960,25491,28556
31936,25471,28618
31880,25492,28492
31844,25528,28596
31884,25573,28624
31872,25630,28505
31840,25642,28576
31932,25631,28530
31996,25599,28473
32040,25550,28545
32080,25500,28433
32062,25492,28532
32052,25509,28473
32001,25542,28560
31972,25591,28500
31868,25640,28500
31745,25662,28508
31780,25640,28572
31852,25604,28580
31914,25568,28566
31973,25516,28485
31932,25505,28381
31972,25524,28501
31864,25563,28413
31916,25607,28543
31900,25657,28516
31808,25676,28343
31904,25660,28455
31893,25626,28308
32004,25573,28452
31972,25535,28478
32040,25509,28455
32056,25532,28434
32088,25575,28423
32020,25620,28419
32076,25670,28272
32120,25693,28328
32264,25672,28229
32286,25637,28332
32224,25585,28270
32280,25546,28288
32412,25525,28110
32488,25548,28184
32380,25588,28137
32080,25638,28220
31908,25684,28031
31840,25700,28104
31872,25691,27992
31868,25655,28109
31900,25605,27944
31948,25556,28009
31956,25551,27964
31940,25561,27967
31932,25602,27844
31940,25653,27937
31968,25701,27848
32068,25718,27951
32081,25702,27832
31993,25666,27829
31980,25620,27856
32036,25572,27786
32100,25552,27814
32112,25581,27785
32152,25615,27753
32188,25671,27734
32116,25712,27596
32128,25727,27616
32132,25724,27509
32128,25687,27628
32112,25641,27565
32100,25588,27565
32136,25569,27437
32184,25590,27508
32140,25629,27386
32020,25677,27412
31804,25729,27264
31612,25753,27333
31616,25734,27224
31668,25700,27293
31792,25652,27193
31946,25601,27276
32108,25601,27237
32508,25612,27193
33076,25653,27032
34028,25695,27142
35652,25741,27096
37628,25748,26980
40016,25740,26992
42524,25696,26855
44632,25656,26964
46205,25624,26916
47152,25617,26924
47120,25620,26896
45944,25673,26861
43676,25725,26826
40774,25772,26800
38024,25788,26693
35800,25766,26749
33996,25732,26732
32844,25684,26637
32268,25639,26621
31956,25624,26553
31628,25645,26604
31172,25676,26469
30872,25731,26549
30532,25776,26461
30256,25801,26496
30048,25776,26401
30040,25739,26463
29978,25701,26447
29959,25652,26344
29976,25641,26349
29912,25654,26293
29816,25697,26333
29824,25748,26276
29740,25798,26294
29726,25808,26183
29703,25796,26281
29760,25765,26258
29789,25713,26269
29776,25664,26157
29748,25648,26250
29765,25674,26245
29720,25717,26173
29788,25761,26189
29760,25815,26094
29748,25828,26152
29776,25814,26040
29836,25772,26141
29908,25732,26108
30032,25687,26086
30032,25672,26084
29989,25681,25988
29976,25729,26088
29960,25779,26073
29992,25827,26047
30112,25829,26022
30204,25828,25921
30273,25786,25953
30318,25738,25844
30352,25697,25957
30508,25688,25810
30504,25698,25891
30536,25741,25833
30428,25790,25900
30404,25840,25889
30476,25863,25864
30572,25849,25849
30616,25808,25730
30572,25765,25825
30648,25719,25841
30660,25700,25749
30728,25723,25806
30744,25764,25685
30820,25811,25785
30748,25854,25669
30652,25882,25764
30716,25863,25661
30748,25824,25751
30800,25775,25705
30902,25735,25769
30957,25716,25767
30965,25740,25632
30964,25780,25721
31008,25831,25616
31052,25880,25701
30984,25902,25654
30984,25883,25705
31064,25842,25661
31020,25800,25696
31040,25756,25694
31084,25737,25693
31077,25760,25574
31100,25797,25636
31116,25852,25570
31096,25901,25656
31025,25915,25639
31100,25894,25525
31261,25863,25623
31352,25816,25610
31424,25777,25495
31492,25762,25578
31556,25778,25480
31596,25816,25575
31636,25870,25500
31632,25918,25515
31596,25934,25526
31625,25916,25485
31773,25876,25525
31844,25828,25501
32028,25788,25473
32212,25770,25469
32284,25794,25343
32300,25834,25419
32380,25884,25342
32536,25937,25399
32568,25955,25282
32556,25934,25381
32632,25900,25385
32665,25857,25353
32696,25810,25236
32820,25796,25312
32840,25817,25269
32800,25854,25285
32848,25908,25280
32924,25956,25233
32944,25974,25270
32952,25954,25248
32976,25913,25223
33076,25880,25204
33052,25828,25239
33088,25812,25183
33078,25834,25184
33024,25868,25084
32924,25924,25160
32837,25976,25063
32784,25989,25130
32705,25972,25095
32588,25936,25108
32520,25894,25049
32464,25852,25090
32349,25833,24976
32228,25857,25076
32076,25901,25004
31756,25945,25046
31488,25993,25033
31400,26014,25006
31344,25996,24993
31184,25962,24949
30992,25916,24948
31000,25873,24844
31000,25856,24925
30948,25879,24845
30754,25914,24906
30700,25965,24828
30648,26016,24890
30592,26041,24809
30580,26020,24855
30576,25981,24788
30516,25935,24820
30508,25880,24715
30520,25876,24788
30496,25896,24800
30416,25943,24688
30368,25991,24779
30368,26036,24767
30380,26055,24713
30432,26036,24740
30448,25997,24641
30456,25954,24706
30492,25902,24628
30536,25895,24688
30484,25917,24612
30448,25955,24678
30400,26007,24628
30460,26052,24670
30512,26072,24599
30576,26050,24669
30676,26007,24618
30728,25968,24672
30796,25926,24590
30900,25908,24660
30905,25924,24629
30764,25977,24652
30704,26023,24656
30721,26073,24576
30804,26084,24654
30804,26078,24636
30840,26032,24556
30932,25988,24637
30992,25936,24645
31060,25923,24541
31040,25953,24616
30972,25988,24569
31084,26042,24633
31140,26088,24593
31087,26105,24637
31104,26092,24607
31164,26052,24637
31216,26005,24544
31325,25961,24637
31408,25949,24556
31425,25973,24642
31392,26004,24634
31368,26062,24658
31316,26108,24562
31340,26119,24656
31324,26109,24613
31340,26072,24671
31388,26023,24613
31460,25978,24664
31540,25966,24604
31621,25984,24664
31660,26032,24579
31692,26081,24665
31704,26129,24604
31728,26148,24700
31796,26119,24660
31902,26085,24688
32036,26036,24630
32126,25997,24698
32120,25986,24628
32136,26010,24703
32080,26044,24639
32072,26088,24750
32028,26140,24759
31996,26156,24681
31996,26143,24736
32030,26101,24684
32124,26060,24765
32268,26015,24683
32380,25998,24764
32368,26023,24688
32344,26062,24802
32286,26110,24762
32276,26159,24809
32252,26174,24808
32256,26154,24772
32324,26126,24816
32382,26077,24769
32357,26030,24812
32348,26020,24729
32396,26044,24810
32442,26077,24748
32400,26128,24835
32357,26177,24800
32396,26188,24868
32449,26180,24815
32469,26140,24841
32464,26093,24759
32556,26046,24861
32620,26037,24808
32620,26053,24847
32600,26096,24892
32540,26148,24900
32564,26193,24876
32556,26205,24816
32536,26188,24895
32553,26148,24826
32580,26102,24908
32597,26063,24820
32652,26053,24909
32712,26074,24869
32634,26109,24944
32570,26159,24913
32516,26213,24964
32460,26224,24914
32520,26209,24945
32624,26173,24879
32717,26119,24948
32824,26074,24873
32804,26066,24968
32769,26082,24988
32760,26119,24960
32788,26178,24998
32800,26226,24928
32808,26239,24988
32804,26223,24923
32824,26184,25031
32856,26135,25045
32904,26089,24956
32964,26076,25030
32944,26101,24981
32988,26140,25051
32956,26189,24972
32932,26243,25065
32920,26256,24990
32904,26237,25090
32948,26203,25072
32992,26157,25117
32916,26108,25081
32864,26101,25122
32848,26113,25084
32788,26159,25164
32768,26212,25121
32768,26256,25169
32732,26268,25102
32800,26257,25182
32896,26217,25110
32925,26170,25216
32980,26126,25240
33030,26108,25163
33064,26125,25239
32989,26171,25168
32940,26217,25285
32808,26267,25299
32797,26281,25232
32832,26262,25292
32868,26228,25243
32952,26181,25348
32961,26133,25365
32984,26124,25283
32876,26142,25376
32825,26178,25376
32820,26231,25372
32817,26280,25407
32744,26292,25339
32770,26274,25432
32754,26240,25407
32744,26197,25420
32780,26151,25472
32737,26137,25479
32548,26162,25420
32332,26192,25522
32196,26250,25436
32184,26292,25529
32280,26311,25477
32436,26287,25565
32592,26255,25556
32960,26206,25605
33552,26163,25604
34412,26149,25637
35932,26172,25556
38110,26212,25653
40476,26268,25598
42980,26297,25677
45172,26304,25606
47088,26284,25708
48424,26272,25618
49080,26213,25740
48520,26172,25662
46768,26156,25784
44016,26180,25687
40968,26221,25798
38464,26276,25728
36252,26322,25861
34500,26340,25774
33600,26322,25904
33108,26276,25897
32620,26233,25949
32180,26186,25945
31824,26173,25854
31540,26204,25989
31236,26239,25953
31013,26291,26022
30860,26332,25969
30760,26348,26023
30700,26330,26093
30545,26290,26048
30436,26254,26101
30420,26197,26028
30544,26196,26143
30592,26212,26073
30628,26250,26215
30684,26300,26213
30693,26345,26212
30693,26358,26308
30720,26340,26340
30820,26300,26364
30872,26257,26276
30824,26214,26444
30804,26204,26452
30784,26221,26462
30776,26262,26544
30730,26311,26535
30632,26356,26638
30636,26375,26608
30768,26350,26700
30912,26310,26685
30877,26270,26748
30912,26224,26677
30956,26208,26776
30988,26227,26741
30948,26272,26853
30876,26325,26896
30904,26369,26884
30940,26389,26936
30960,26359,26942
31048,26320,26988
31116,26270,26971
31224,26232,27034
31344,26216,27048
31352,26241,27076
31348,26280,27098
31324,26330,27072
31324,26373,27127
31340,26389,27185
31388,26374,27212
31392,26341,27187
31422,26288,27252
31464,26244,27312
31380,26229,27260
31348,26252,27361
31380,26292,27260
31412,26332,27436
31412,26380,27369
31456,26401,27464
31576,26383,27372
31610,26344,27508
31636,26296,27439
31680,26253,27599
31756,26240,27609
31788,26254,27662
31812,26296,27652
31837,26348,27548
31752,26391,27718
31640,26410,27638
31628,26397,27748
31696,26345,27639
31776,26306,27783
31876,26263,27702
31900,26246,27838
31905,26269,27825
31848,26314,27892
31808,26360,27892
31824,26404,27937
31900,26421,27844
31928,26397,27958
31968,26359,27908
32044,26315,28001
32168,26271,27904
32276,26268,28030
32376,26285,28009
32404,26316,28077
32372,26365,27999
32352,26420,28097
32452,26429,27964
32604,26414,28105
32764,26373,28137
32860,26327,28156
32936,26283,28039
33092,26263,28097
33128,26288,28008
33124,26324,28166
33060,26380,28156
33072,26428,28054
33244,26440,28133
33384,26427,28020
33492,26375,28177
33612,26336,28112
33700,26290,28192
33796,26276,28196
33776,26301,28208
33760,26341,28223
33772,26389,28228
33808,26442,28188
33733,26452,28068
33676,26432,28225
33672,26399,28234
33728,26342,28079
33674,26299,28218
33652,26280,28133
33526,26308,28252
33392,26348,28225
33268,26405,28253
33040,26459,28220
32888,26466,28268
32828,26440,28273
32837,26404,28197
32660,26358,28278
32512,26318,28270
32392,26304,28269
32248,26325,28198
32096,26364,28221
31980,26417,28161
31844,26457,28209
31752,26476,28173
31720,26453,28257
31689,26418,28256
31654,26369,28271
31620,26331,28278
31597,26309,28265
31564,26335,28248
