ECG,EDA,RR
37368,36549,43420
37772,36524,43517
38040,36520,43524
38016,36529,43485
37632,36573,43692
36628,36593,43701
35296,36642,43637
34105,36653,43667
32909,36639,43732
31888,36629,43728
31040,36607,43509
30376,36599,43732
30112,36587,43740
30280,36580,43751
30628,36622,43749
31064,36636,43745
31516,36666,43741
31810,36647,43744
31988,36663,43721
32092,36639,43729
32216,36614,43725
32344,36597,43748
32428,36612,43740
32480,36615,43729
32457,36636,43751
32477,36662,43716
32452,36654,43673
32432,36692,43591
32444,36678,43583
32464,36659,43556
32420,36637,43612
32368,36615,43825
32352,36615,43813
32381,36628,43816
32394,36663,43759
32413,36673,43781
32464,36701,43816
32504,36709,43828
32516,36704,43805
32528,36693,43805
32532,36659,43927
32520,36647,43840
32510,36647,43873
32504,36651,43892
32480,36684,43877
32444,36716,43889
32440,36743,43876
32468,36743,43905
32481,36727,43911
32436,36711,43972
32440,36689,44014
32484,36668,44016
32532,36671,44038
32572,36681,44061
32535,36692,44065
32497,36732,44049
32472,36739,44068
32481,36767,44079
32495,36750,44070
32560,36736,44080
32613,36727,44073
32668,36694,43881
32676,36701,43844
32644,36711,43916
32593,36730,44000
32544,36766,43975
32520,36797,43841
32536,36807,43860
32600,36791,43839
32672,36767,43804
32700,36742,43868
32740,36704,43783
32732,36735,43932
32745,36737,43971
32764,36765,43984
32733,36783,43969
32732,36822,43908
32736,36826,43895
32772,36807,43922
32868,36805,43885
32960,36780,43903
32980,36753,43937
33048,36756,43908
33104,36758,43934
33082,36788,43928
33032,36820,43911
33012,36839,43945
32964,36829,44007
33002,36837,43932
33056,36835,43828
33145,36806,44063
33176,36793,44062
33172,36788,44016
33216,36801,44017
33210,36829,44086
33226,36862,44135
33218,36893,44143
33188,36893,44144
33220,36859,44060
33284,36870,44066
33316,36847,44038
33372,36828,44039
33405,36821,44032
33489,36829,44052
33568,36871,44070
33550,36884,44295
33524,36924,44295
33460,36902,44304
33500,36920,44262
33552,36893,44246
33494,36884,44260
33404,36861,44295
33392,36868,44332
33444,36871,44333
33489,36903,44352
33524,36929,44357
33524,36962,44295
33500,36957,44340
33506,36951,44132
33556,36940,44205
33536,36919,44228
33524,36897,44135
33524,36903,44340
33508,36925,44325
33444,36945,44269
33384,36940,44271
33316,36999,44325
33272,36996,44317
33276,37004,44308
33260,36998,44302
33225,36964,44255
33208,36945,44196
33224,36940,44134
33236,36956,44038
33276,36981,44081
33240,36973,44250
33197,37036,44039
33200,37052,44030
33200,37047,44244
33228,37025,44231
33180,37009,44228
33060,36991,44148
33024,36983,44123
33042,36999,44132
33074,37021,44175
33049,37025,44198
33000,37079,44108
32986,37085,44167
32932,37078,44178
32952,37070,44188
33000,37046,44196
33001,37021,44109
33036,37039,43988
33021,37036,43976
33029,37061,43999
33030,37105,44228
32956,37127,44191
32925,37127,44157
32904,37124,44246
32895,37112,44247
32876,37092,44271
32840,37068,44254
32804,37064,44243
32724,37093,44224
32676,37105,44295
32628,37143,44295
32644,37177,44320
32684,37165,44308
32685,37163,44269
32709,37156,44201
32788,37119,44144
32862,37111,44380
32872,37113,44165
32864,37127,44189
32881,37164,44173
32880,37193,44213
32852,37212,44324
32824,37231,44234
32788,37228,44213
32740,37212,44316
32693,37184,44351
32700,37177,44385
32680,37172,44349
32679,37190,44285
32688,37207,44252
32724,37236,44244
32724,37276,44238
32752,37287,44389
32752,37268,44388
32745,37252,44391
32797,37241,44372
32785,37212,44367
32720,37190,44301
32716,37244,44257
32724,37255,44334
32704,37303,44237
32732,37318,44228
32716,37325,44228
32668,37324,44277
32620,37313,44417
32624,37295,44423
32628,37255,44351
32636,37268,44325
32634,37287,44370
32584,37317,44399
32584,37359,44358
32532,37380,44373
32538,37361,44353
32568,37383,44142
32636,37361,44332
32680,37343,44313
32656,37331,44289
32672,37322,44295
32704,37314,44284
32693,37373,44284
32680,37396,44223
32700,37424,44137
32708,37440,44093
32624,37431,44213
32576,37423,44198
32576,37393,44150
32580,37383,44093
32628,37383,44069
32686,37407,44124
32708,37431,44120
32692,37461,44112
32647,37493,44028
32624,37495,44089
32616,37492,44081
32596,37481,44054
32592,37471,44044
32629,37450,44010
32655,37408,44032
32644,37463,44020
32628,37481,44031
32648,37501,44025
32692,37546,43998
32704,37565,43949
32685,37556,43928
32680,37535,43813
32712,37525,43751
32652,37503,43748
32576,37488,43757
32548,37509,43727
32524,37548,43807
32464,37575,43929
32444,37605,43906
32448,37614,43876
32452,37604,43857
32436,37599,43855
32468,37590,43829
32464,37561,43718
32448,37565,43638
32432,37569,43662
32464,37599,43628
32464,37620,43833
32476,37647,43753
32488,37676,43777
32500,37679,43713
32572,37630,43721
32572,37639,43671
32540,37619,43527
32548,37601,43481
32501,37637,43445
32392,37677,43441
32333,37691,43412
32336,37725,43631
32356,37735,43567
32388,37728,43543
32400,37721,43388
32436,37673,43296
32516,37689,43302
32504,37695,43263
32476,37695,43239
32432,37729,43432
32392,37749,43440
32368,37783,43399
32345,37807,43364
32344,37798,43311
32356,37783,43285
32336,37777,43252
32328,37745,43248
32296,37740,43301
32321,37753,43279
32352,37790,43264
32376,37806,43241
32408,37852,43223
32408,37857,43209
32436,37865,43185
32429,37857,43167
32404,37832,43158
32465,37783,43051
32477,37817,43140
32472,37831,43116
32468,37861,43080
32440,37882,43001
32392,37895,42935
32340,37935,42824
32300,37935,43002
32252,37919,42958
32308,37904,42948
32353,37880,42969
32348,37874,42943
32373,37895,42773
32394,37911,42688
32404,37952,42679
32416,37990,42754
32397,38005,42727
32380,38000,42684
32364,37983,42619
32392,37964,42588
32420,37955,42791
32528,37948,42777
32536,37955,42725
32478,37997,42684
32468,38030,42705
32460,38057,42698
32448,38077,42565
32424,38072,42575
32396,38048,42549
32440,38039,42639
32520,38023,42629
32544,38023,42615
32532,38031,42418
32496,38065,42381
32468,38094,42333
32441,38132,42328
32440,38147,42437
32449,38129,42441
32464,38135,42399
32492,38117,42404
32545,38090,42439
32564,38098,42424
32536,38113,42407
32489,38133,42381
32492,38164,42300
32521,38204,42229
32464,38216,42281
32420,38213,42247
32423,38210,42305
32409,38188,42268
32388,38179,42209
32484,38137,42180
32476,38194,42126
32516,38221,42073
32564,38244,42156
32568,38277,42152
32536,38292,42133
32528,38287,42000
32501,38279,41975
32540,38263,41975
32568,38213,42028
32513,38249,41964
32536,38261,41885
32572,38277,41869
32549,38319,41861
32536,38350,41901
32512,38364,41801
32516,38373,41775
32568,38346,41767
32596,38343,41748
32564,38324,41822
32550,38317,41773
32526,38348,41703
32460,38356,41637
32392,38391,41507
32388,38417,41479
32352,38433,41468
32372,38437,41479
32413,38421,41621
32448,38407,41518
32498,38393,41552
32553,38383,41341
32588,38399,41492
32564,38428,41496
32544,38441,41411
32560,38484,41416
32580,38503,41368
32549,38471,41315
32540,38496,41313
32572,38471,41293
32580,38428,41264
32513,38460,41253
32504,38463,41218
32506,38497,41237
32536,38527,41177
32544,38553,41199
32536,38577,41159
32568,38577,41165
32648,38564,41141
32644,38540,41145
32624,38519,40951
32560,38516,40924
32508,38532,40916
32444,38559,40903
32428,38577,40965
32436,38628,41034
32440,38634,41055
32480,38628,40967
32594,38612,40980
32712,38608,40967
32852,38575,40764
32984,38581,40914
33172,38599,40864
33404,38617,40793
33776,38644,40869
34229,38684,40832
34756,38682,40645
35500,38692,40791
36316,38663,40711
37000,38639,40782
37548,38631,40580
37988,38636,40543
38152,38644,40684
37976,38663,40637
37389,38701,40665
36185,38736,40476
34749,38772,40608
33452,38763,40528
32169,38761,40558
31132,38737,40360
30316,38724,40501
29798,38711,40469
29748,38728,40400
30056,38745,40416
30548,38772,40427
31008,38807,40253
31340,38823,40190
31588,38813,40323
31784,38805,40215
31928,38776,40228
32072,38757,40254
32176,38757,40128
32224,38780,40018
32217,38789,40137
32264,38823,40144
32308,38852,39937
32333,38860,40079
32344,38862,40052
32316,38855,40014
32280,38845,39958
32268,38820,39953
32214,38816,39828
32188,38823,39929
32152,38853,39911
32136,38867,39868
32108,38919,39748
32122,38912,39873
32128,38909,39800
32164,38917,39852
32144,38892,39678
32104,38876,39653
32120,38860,39767
32164,38881,39708
32216,38900,39753
32288,38912,39620
32296,38959,39551
32312,38980,39628
32351,38967,39573
32380,38959,39479
32381,38919,39553
32360,38917,39588
32396,38887,39550
32400,38929,39471
32325,38962,39374
32292,38971,39487
32284,39015,39413
32296,39015,39358
32324,39017,39405
32332,39005,39295
32372,38991,39173
32400,38969,39155
32424,38956,39235
32444,38975,39159
32508,39013,39191
32560,39033,39012
32560,39060,39112
32584,39079,39058
32546,39068,38972
32536,39061,38989
32544,39047,38791
32612,39028,38901
32613,39015,38838
32638,39030,38778
32697,39055,38735
32664,39087,38743
32604,39119,38564
32573,39103,38673
32565,39135,38611
32552,39118,38567
32676,39101,38583
32796,39047,38437
32864,39068,38375
32900,39048,38489
32896,39110,38455
32788,39128,38407
32685,39167,38376
32692,39175,38343
32748,39175,38380
32788,39159,38310
32832,39143,38231
32904,39127,38216
32948,39121,38177
32960,39108,38172
32960,39156,38273
33004,39175,38249
33006,39218,38206
32992,39223,38180
33008,39230,38223
33025,39215,38201
33076,39189,38184
33132,39175,38104
33180,39175,38063
33210,39197,37999
33204,39212,37995
33164,39213,37995
33218,39263,37975
33288,39279,37941
33268,39279,37927
33296,39271,37923
33268,39215,38005
33236,39244,37966
33225,39191,37930
33260,39242,37924
33292,39267,37812
33328,39258,37759
33376,39310,37854
33341,39332,37807
33296,39337,37759
33304,39322,37725
33292,39276,37713
33270,39285,37696
33278,39271,37567
33310,39297,37540
33318,39319,37479
33340,39335,37452
33296,39378,37431
33292,39368,37503
33284,39385,37440
33260,39360,37397
33228,39361,37403
33164,39324,37258
33158,39327,37204
33128,39333,37296
33104,39356,37249
33084,39397,37206
33044,39431,37176
33004,39405,37175
32964,39431,37150
32964,39418,37101
32908,39404,37079
32902,39374,36938
32944,39378,36944
32996,39385,36972
32956,39412,36991
32888,39453,36909
32848,39489,36879
32796,39492,36861
32781,39500,36829
32832,39471,36749
32832,39458,36741
32880,39430,36703
32836,39397,36683
32816,39431,36668
32812,39447,36775
32816,39495,36749
32798,39527,36727
32796,39540,36692
32764,39542,36684
32732,39494,36688
32725,39514,36644
32754,39489,36580
32740,39462,36541
32749,39492,36524
32752,39519,36512
32724,39550,36525
32676,39572,36578
32640,39599,36548
32672,39601,36512
32722,39577,36489
32770,39518,36480
32780,39543,36463
32776,39535,36445
32752,39511,36449
32788,39574,36402
32784,39556,36311
32720,39623,36280
32648,39636,36301
32628,39647,36340
32632,39625,36309
32636,39608,36287
32648,39580,36287
32701,39566,36236
32721,39588,36160
32688,39583,36151
32641,39652,36143
32648,39670,36175
32628,39685,36157
32621,39684,36117
32640,39645,36088
32725,39661,36084
32741,39637,36063
32720,39607,36056
32720,39634,36015
32740,39663,36020
32724,39687,35956
32728,39724,35900
32725,39745,35868
32732,39740,35847
32700,39715,35812
32708,39708,35791
32720,39676,35812
32712,39674,35769
32688,39684,35797
32640,39705,35789
32584,39735,35750
32589,39759,35655
32612,39779,35669
32608,39780,35678
32592,39761,35663
32564,39759,35628
32546,39719,35525
32584,39711,35549
32600,39732,35549
32612,39744,35535
32636,39783,35525
32608,39807,35493
32632,39835,35449
32644,39820,35381
32670,39796,35335
32708,39793,35409
32716,39772,35364
32706,39769,35332
32720,39762,35335
32705,39796,35268
32684,39807,35228
32684,39828,35220
32668,39868,35163
32616,39858,35140
32596,39861,35117
32612,39839,35101
32652,39788,35163
32660,39796,35140
32652,39810,35096
32640,39837,35076
32644,39855,35076
32650,39895,35057
32697,39894,34981
32680,39907,34941
32717,39887,34953
32721,39871,34990
32676,39844,34975
32638,39844,34943
32621,39846,34927
32587,39831,34917
32576,39893,34900
32628,39927,34889
32600,39940,34876
32572,39940,34868
32546,39927,34836
32592,39906,34820
32640,39884,34799
32692,39869,34810
32728,39880,34796
32696,39917,34755
32608,39940,34757
32512,39965,34750
32460,39980,34724
32440,39983,34708
32420,39943,34695
32356,39940,34665
32286,39918,34655
32300,39917,34597
32372,39915,34607
32472,39943,34557
32509,39951,34564
32540,39996,34540
32616,40011,34521
32660,39981,34520
32681,39993,34532
32689,39973,34512
32593,39943,34493
32532,39943,34495
32500,39943,34469
32465,39956,34418
32388,40001,34405
32382,39991,34435
32456,40033,34415
32552,40037,34405
32616,40023,34397
32664,39975,34341
32670,39980,34367
32657,39980,34367
32668,39981,34343
32644,40007,34311
32620,40029,34335
32596,40061,34311
32568,40045,34309
32538,40065,34295
32538,40053,34255
32628,40036,34287
32720,40015,34275
32725,40007,34271
32696,40008,34247
32672,39997,34232
32588,40049,34240
32536,40095,34238
32448,40100,34233
32398,40095,34208
32420,40092,34188
32448,40062,34183
32460,40016,34183
32468,40036,34207
32528,40033,34204
32584,40065,34204
32616,40084,34189
32628,40119,34172
32660,40124,34204
32644,40132,34209
32592,40108,34204
32660,40103,34213
32661,40071,34223
32698,40070,34215
32728,40071,34183
32718,40079,34228
32686,40116,34228
32664,40149,34244
32580,40175,34252
32505,40126,34213
32504,40164,34236
32509,40124,34263
32526,40111,34260
32558,40077,34281
32608,40103,34289
32640,40116,34268
32632,40151,34272
32604,40165,34310
32596,40161,34311
32652,40191,34321
32704,40175,34342
32716,40165,34367
32744,40140,34352
32700,40108,34365
32669,40123,34343
32684,40148,34391
32640,40177,34394
32596,40196,34417
32540,40221,34413
32544,40229,34396
32516,40199,34404
32516,40151,34413
32524,40173,34468
32509,40151,34465
32556,40167,34482
32620,40185,34488
32621,40199,34468
32652,40228,34516
32696,40249,34524
32684,40255,34533
32692,40223,34548
32676,40220,34536
32677,40188,34524
32692,40159,34541
32660,40180,34567
32622,40165,34582
32596,40233,34599
32596,40260,34599
32572,40279,34564
32600,40278,34619
32576,40260,34610
32560,40238,34627
32592,40223,34613
32560,40188,34592
32504,40212,34615
32500,40221,34657
32494,40258,34644
32560,40285,34655
32608,40317,34614
32628,40276,34643
32612,40295,34680
32622,40263,34671
32605,40263,34672
32580,40230,34692
32617,40244,34649
32648,40256,34641
32648,40259,34647
32604,40317,34678
32484,40327,34689
32472,40327,34693
32476,40324,34649
32456,40250,34662
32457,40276,34695
32464,40217,34684
32489,40255,34669
32572,40287,34641
32612,40311,34695
32672,40343,34693
32776,40351,34695
32756,40359,34719
32696,40343,34716
32672,40324,34725
32628,40293,34724
32624,40288,34689
32616,40260,34692
32615,40316,34701
32576,40325,34756
32524,40372,34762
32592,40385,34766
32752,40387,34780
32946,40370,34788
33185,40359,34807
33444,40343,34807
33728,40287,34780
34156,40324,34796
34724,40324,34820
35344,40362,34875
36088,40384,34895
36778,40408,34916
37368,40400,34933
37821,40399,34895
38076,40379,34908
38052,40348,34951
37748,40356,34948
36812,40359,34961
35412,40390,34978
34108,40424,34999
32784,40415,35004
31620,40468,35060
30778,40439,35101
30045,40464,35108
29700,40421,35112
29860,40428,35129
30292,40401,35141
30828,40362,35156
31260,40436,35197
31540,40455,35169
31716,40485,35161
31820,40488,35192
31956,40487,35239
32080,40449,35243
32180,40471,35260
32220,40445,35258
32260,40438,35294
32296,40444,35309
32304,40439,35325
32300,40495,35328
32288,40517,35349
32261,40544,35345
32268,40549,35344
32244,40509,35385
32276,40521,35446
32264,40471,35445
32240,40484,35475
32192,40493,35461
32185,40525,35468
32188,40545,35468
32217,40580,35509
32236,40605,35556
32304,40599,35584
32348,40592,35585
32368,40569,35617
32360,40559,35596
32400,40543,35652
32384,40556,35652
32384,40566,35660
32382,40599,35685
32296,40624,35655
32265,40612,35658
32260,40654,35684
32279,40645,35745
32284,40634,35748
32328,40612,35752
32360,40615,35748
32432,40604,35756
32456,40628,35780
32454,40652,35748
32456,40694,35700
32460,40711,35708
32456,40709,35760
32420,40695,35740
32404,40663,35732
32400,40669,35719
32420,40655,35701
32424,40617,35696
32441,40682,35685
32424,40679,35622
32472,40742,35575
32552,40758,35559
32516,40781,35532
32544,40759,35526
32576,40749,35533
32653,40724,35507
32696,40711,35468
32704,40719,35444
32742,40747,35360
32748,40733,35393
32764,40796,35348
32805,40821,35319
32820,40833,35295
32848,40820,35273
32900,40796,35233
32945,40786,35180
32964,40774,35128
32940,40788,35143
32964,40788,35105
33032,40829,35097
33052,40877,35014
33056,40895,35023
33088,40903,34981
33116,40893,34957
33172,40877,34887
33188,40863,34853
33206,40860,34855
33248,40839,34805
33284,40884,34776
33313,40917,34745
33360,40944,34677
33344,40964,34629
33376,40967,34572
33424,40964,34562
33480,40954,34526
33513,40941,34487
33537,40927,34425
33474,40903,34357
33432,40963,34292
33384,40983,34252
33408,41028,34212
33436,41049,34146
33460,41056,34087
33453,41045,34025
33504,41032,33967
33516,41017,33891
33552,40967,33798
33554,41012,33740
33589,41016,33677
33573,41057,33602
33525,41095,33537
33500,41133,33479
33504,41119,33381
33484,41119,33308
33464,41113,33229
33444,41095,33173
33430,41095,33076
33414,41091,32992
33408,41125,32925
33396,41157,32853
33356,41188,32797
33256,41190,32681
33204,41212,32617
33172,41168,32562
33162,41191,32505
33164,41141,32359
33144,41172,32295
33158,41183,32220
33160,41196,32156
33148,41239,32116
33085,41275,32004
33037,41271,31901
33016,41292,31833
32964,41265,31751
32952,41282,31729
32921,41263,31568
32880,41252,31532
32920,41265,31447
32908,41278,31345
32824,41319,31277
32842,41351,31228
32833,41373,31217
32797,41385,31036
32676,41389,30983
32694,41365,30932
32676,41342,30828
32644,41341,30794
32660,41351,30788
32652,41372,30680
32617,41407,30533
32600,41431,30461
32628,41479,30404
32632,41479,30314
32566,41470,30276
32517,41444,30215
32492,41415,30151
32520,41425,30103
32560,41439,30108
32604,41455,30053
32588,41479,29905
32584,41512,29790
32568,41556,29725
32556,41556,29692
32548,41547,29632
32564,41508,29569
32572,41524,29518
32544,41511,29431
32552,41516,29502
32492,41543,29351
32466,41567,29233
32440,41602,29208
32424,41637,29146
32412,41629,29079
32400,41637,29133
32396,41607,28973
32408,41599,28861
32428,41553,28856
32437,41598,28750
32414,41599,28758
32392,41655,28768
32352,41689,28572
32348,41726,28556
32314,41695,28519
32301,41710,28446
32280,41684,28384
32288,41681,28334
32320,41665,28377
32304,41684,28361
32340,41703,28356
32292,41730,28240
32268,41766,28063
32302,41800,28052
32300,41798,28013
32288,41787,27994
32252,41777,27954
32244,41762,27900
32192,41716,27894
32188,41767,27880
32157,41767,27801
32160,41820,27854
32157,41852,27836
32164,41870,27828
32132,41879,27780
32148,41853,27795
32172,41863,27620
32148,41845,27677
32148,41793,27521
32121,41832,27439
32044,41836,27425
32056,41886,27388
32124,41919,27332
32176,41952,27311
32208,41952,27312
32184,41949,27271
32148,41943,27274
32088,41935,27308
32133,41908,27339
32128,41921,27120
32192,41933,27060
32285,41965,27108
32320,41991,27033
32380,41991,27164
32352,42037,26903
32352,41991,26969
32260,42012,26904
32192,41972,27039
32204,41980,26781
32264,41990,26855
32304,42029,26829
32317,42044,26745
32344,42076,26664
32372,42100,26740
32400,42116,26666
32368,42100,26743
32365,42085,26702
32394,42045,26540
32348,42075,26618
32364,42052,26580
32348,42089,26713
32349,42119,26503
32388,42141,26434
32408,42188,26531
32428,42186,26617
32412,42138,26388
32436,42160,26440
32420,42153,26514
32416,42137,26463
32400,42148,26380
32412,42164,26421
32404,42164,26401
32388,42228,26501
32392,42247,26327
32416,42263,26248
32456,42268,26330
32444,42247,26292
32416,42235,26278
32413,42231,26309
32417,42228,26167
32412,42247,26189
32381,42281,26318
32330,42311,26125
32341,42341,26049
32324,42327,26068
32364,42340,26126
32392,42328,26053
32420,42308,26124
32397,42302,26027
32408,42286,25941
32380,42327,25972
32358,42359,25986
32344,42384,26087
32376,42405,25851
32348,42433,25801
32321,42407,25863
32324,42372,25868
32368,42393,25972
32421,42335,25689
32416,42372,25787
32416,42407,25795
32436,42439,25637
32392,42471,25743
32388,42501,25748
32325,42503,25733
32288,42495,25636
32276,42499,25664
32256,42471,25678
32220,42460,25568
32216,42457,25607
32240,42485,25700
32300,42525,25511
32330,42532,25575
32314,42568,25607
32308,42580,25655
32320,42535,25499
32348,42550,25565
32372,42551,25613
32348,42533,25580
32317,42540,25685
32324,42565,25536
32317,42584,25487
32318,42612,25611
32309,42647,25604
32316,42665,25749
32312,42645,25473
32336,42645,25557
32326,42629,25579
32321,42607,25649
32344,42565,25693
32324,42628,25464
32328,42653,25517
32320,42704,25593
32356,42719,25568
32388,42732,25732
32449,42727,25513
32476,42716,25507
32493,42708,25591
32509,42655,25587
32512,42695,25581
32516,42687,25560
32542,42736,25637
32560,42777,25703
