ECG,EDA,RR
32784,62695,27868
32760,62648,27960
32732,62690,27944
32776,62708,27919
32788,62716,27711
32900,62727,27884
32917,62727,28004
32750,62709,27943
32709,62715,27945
32688,62717,27996
32640,62680,27936
32628,62613,27948
32624,62652,27950
32628,62708,27819
32672,62704,27655
32704,62727,28039
32708,62727,28000
32704,62727,27976
32708,62723,27911
32677,62707,27790
32652,62695,28082
32644,62663,28012
32600,62663,28001
32636,62636,27861
32644,62692,28024
32646,62708,28120
32572,62717,28078
32588,62629,28112
32576,62708,28097
32590,62612,28084
32520,62682,28108
32474,62668,28050
32476,62663,27869
32500,62680,28115
32524,62680,28226
32492,62708,28230
32544,62725,28196
32634,62710,28236
32712,62616,28238
32740,62688,28191
32862,62591,27993
32912,62652,28297
32893,62663,28390
32760,62633,28420
32676,62660,28376
32620,62656,28383
32600,62692,28350
32600,62640,28116
32528,62674,28220
32493,62677,28423
32512,62672,28527
32574,62635,28561
32576,62636,28529
32588,62650,28540
32636,62647,28365
32664,62679,28524
32684,62684,28564
32568,62695,28674
32569,62612,28660
32592,62645,28657
32585,62631,28679
32588,62559,28645
32604,62628,28672
32572,62628,28676
32404,62631,28679
32344,62663,28700
32404,62663,28700
32380,62663,28708
32400,62574,28720
32434,62641,28620
32416,62602,28579
32399,62532,28410
32423,62599,28430
32440,62599,28702
32364,62624,28788
32340,62629,28831
32320,62581,28764
32277,62643,28785
32292,62631,28716
32287,62617,28528
32328,62585,28780
32424,62500,28847
32480,62595,28833
32484,62564,28817
32436,62565,28927
32461,62599,28869
32500,62561,28908
32484,62599,28856
32464,62612,28619
32428,62589,28711
32388,62535,28900
32389,62564,28965
32352,62545,29025
32380,62471,29014
32412,62583,29056
32406,62595,29029
32400,62519,29029
32396,62591,29005
32368,62572,28977
32376,62471,28911
32352,62559,28783
32357,62520,29183
32324,62532,29165
32352,62534,29181
32424,62471,29158
32404,62575,29173
32381,62573,29136
32400,62535,28921
32384,62564,29287
32385,62543,29317
32408,62517,29258
32385,62428,29285
32336,62510,29232
32276,62510,29060
32292,62468,29013
32352,62544,29053
32364,62548,29317
32396,62470,29453
32392,62540,29407
32492,62519,29433
32544,62449,29428
32488,62453,29398
32404,62471,29264
32320,62508,29447
32300,62508,29507
32320,62496,29537
32340,62508,29517
32268,62540,29420
32232,62520,29343
32248,62501,29492
32348,62463,29598
32412,62471,29600
32449,62471,29663
32512,62471,29647
32616,62509,29652
32678,62511,29659
32656,62504,29646
32609,62503,29498
32552,62519,29460
32512,62444,29423
32502,62471,29673
32505,62392,29768
32533,62471,29765
32535,62470,29772
32548,62471,29802
32532,62501,29831
32496,62516,29812
32464,62508,29831
32460,62501,29852
32436,62471,29876
32388,62468,29872
32397,62468,29844
32444,62455,29813
32508,62429,29736
32504,62456,29844
32524,62497,30000
32516,62515,29972
32464,62511,29996
32453,62471,29997
32392,62471,29969
32384,62380,29751
32388,62445,30010
32460,62452,30175
32488,62412,30156
32536,62468,30170
32520,62471,30212
32492,62437,30277
32485,62493,30334
32484,62431,30308
32548,62461,30343
32588,62463,30237
32645,62414,30398
32640,62356,30468
32676,62471,30535
32728,62471,30557
32724,62503,30581
32733,62496,30577
32783,62493,30588
32820,62471,30590
32788,62406,30557
32690,62455,30764
32608,62401,30920
32564,62454,30913
32577,62468,30997
32604,62471,31009
32625,62471,31013
32580,62508,30937
32508,62421,30822
32480,62471,31215
32528,62445,31215
32573,62460,31309
32572,62388,31324
32644,62444,31285
32672,62461,31239
32704,62471,31268
32736,62471,31233
32696,62471,31450
32621,62471,31604
32696,62471,31654
32748,62471,31660
32772,62471,31486
32886,62390,31743
32868,62439,31781
