ECG,EDA,RR
32728,11747,34372
32685,11771,34439
32608,11750,34460
32548,11764,34460
32516,11746,34457
32538,11754,34212
32596,11762,34276
32684,11776,34182
32679,11748,34229
32672,11760,34380
32684,11766,34196
32676,11775,34221
32612,11782,34169
32536,11808,34038
32560,11756,34213
32649,11760,34031
32762,11751,34112
32852,11758,34118
32924,11770,34023
32964,11784,34148
32925,11798,33958
32836,11804,34055
32768,11833,34030
32688,11773,33761
32676,11778,33933
32708,11796,34084
32760,11788,34050
32840,11769,33904
32877,11767,33820
32924,11785,33924
32966,11804,33681
32984,11785,33919
32988,11789,33833
32976,11790,33855
32988,11800,33734
33100,11812,33832
33156,11778,33916
33176,11778,33636
33164,11789,33755
33164,11817,33487
33140,11804,33629
33112,11828,33756
33161,11796,33701
33260,11812,33638
33296,11801,33340
33356,11804,33636
33402,11810,33572
33456,11813,33564
33496,11817,33372
33520,11821,33604
33476,11825,33532
33500,11830,33426
33528,11823,33439
33577,11840,33322
33644,11841,33452
33729,11838,33223
33812,11838,33348
33940,11840,33228
33952,11808,33302
33920,11812,33214
33864,11820,33255
33828,11828,32924
33824,11848,33095
33786,11816,33092
33761,11844,33225
33748,11850,33036
33692,11820,33014
33720,11845,33024
33788,11820,33022
33828,11845,32977
33908,11826,32694
33924,11839,32866
33828,11837,32954
33684,11850,33016
33628,11846,32757
33576,11833,32853
33540,11846,32812
33488,11852,32709
33436,11828,32807
33312,11850,32844
33232,11841,32820
33168,11855,32548
33028,11882,32661
32904,11867,32637
32844,11853,32540
32820,11839,32590
32736,11844,32612
32596,11839,32594
32486,11852,32628
32416,11857,32572
32344,11881,32462
32220,11909,32372
32096,11853,32414
32021,11851,32284
32032,11847,32350
32054,11850,32445
32124,11860,32440
32180,11881,32404
32132,11850,32382
32120,11858,32220
32064,11876,32152
31932,11901,32135
31828,11868,32158
31724,11862,32165
31580,11886,32116
31500,11891,31872
31520,11863,31818
31584,11876,31972
31628,11871,31972
31648,11894,32037
31680,11911,32005
31676,11883,31914
31692,11877,31847
31744,11886,31833
31852,11869,31795
31936,11887,31774
31944,11869,31764
31872,11881,31964
31856,11888,31768
31776,11928,31758
31746,11901,31789
31760,11919,31776
31804,11885,31527
31844,11917,31613
31892,11898,31463
31892,11908,31589
31856,11879,31700
31824,11885,31692
31837,11917,31588
31845,11890,31628
31836,11893,31384
31885,11893,31536
31914,11892,31652
31948,11919,31719
32026,11903,31616
32036,11917,31524
32024,11939,31620
31988,11892,31360
32002,11895,31530
32080,11903,31741
32160,11904,31568
32224,11925,31618
32236,11917,31424
32192,11953,31512
32160,11905,31678
32202,11914,31711
