ECG,EDA,RR
32632,19013,29649
32632,19021,29725
32600,19008,29543
32593,19007,29604
32576,19025,29796
32618,19014,29638
32600,19009,29737
32616,19005,29565
32637,19020,29684
32712,19014,29679
32725,19014,29765
32685,19028,29567
32648,19023,29712
32644,19013,29683
32672,19024,29760
32656,19021,29581
32620,19023,29832
32581,19021,29653
32532,19017,29741
32448,19036,29753
32392,19031,29620
32376,19022,29804
32352,19044,29717
32376,19028,29752
32420,19023,29600
32496,19025,29557
32528,19024,29605
32516,19036,29758
32548,19033,29756
32564,19037,29604
32624,19045,29650
32628,19049,29542
32572,19042,29810
32560,19050,29697
32640,19033,29738
32662,19033,29703
32640,19029,29646
32628,19047,29760
32652,19037,29567
32704,19039,29761
32633,19045,29639
32500,19044,29764
32452,19052,29769
32473,19052,29744
32436,19054,29684
32424,19063,29774
32436,19044,29660
32456,19052,29807
32480,19049,29605
32520,19048,29860
32568,19063,29795
32628,19060,29642
32732,19057,29727
32789,19055,29689
32796,19058,29736
32796,19050,29702
32770,19048,29782
32680,19056,29712
32644,19064,29782
32652,19060,29708
32660,19061,29917
32680,19074,29876
32708,19077,29925
32705,19073,29900
32680,19068,29933
32697,19074,29909
32668,19073,29980
32652,19079,29941
32630,19082,29936
32608,19077,29959
32568,19087,29885
32528,19082,29964
32476,19076,29876
32460,19078,29981
32508,19073,29884
32620,19078,30071
32732,19084,30078
32824,19070,30024
32836,19089,30052
32780,19087,30154
32732,19087,30079
32620,19088,30156
32517,19084,30244
32420,19086,30192
32436,19084,30200
32464,19084,30201
32536,19084,30245
32629,19080,30204
32712,19094,30486
32764,19097,30438
32764,19088,30565
32792,19093,30522
32740,19099,30569
32644,19088,30551
32604,19101,30489
32592,19086,30633
32660,19104,30573
32736,19095,30614
32832,19088,30565
32824,19107,30744
32804,19108,30636
32777,19100,30956
32768,19105,30933
32732,19109,30991
32658,19100,30900
32680,19105,30872
32676,19102,31020
32708,19102,30961
32692,19102,31292
32628,19108,31254
32608,19108,31295
32600,19108,31343
32568,19109,31269
32480,19115,31484
32492,19105,31528
32564,19111,31645
32604,19116,31436
32660,19113,31612
32684,19111,31656
32792,19123,31737
32893,19121,31894
32944,19116,31905
33016,19121,32017
33000,19124,31996
32936,19119,32132
32840,19113,32090
32764,19119,32145
32668,19112,32227
32648,19125,32265
32708,19132,32236
32776,19127,32380
32788,19135,32415
32842,19125,32687
32908,19133,32685
32816,19129,32720
32736,19132,32663
32668,19118,32617
32632,19136,32982
32676,19131,32962
32804,19131,33100
32960,19142,33060
33028,19143,33105
33124,19137,33109
33120,19132,33054
33044,19136,33252
32957,19134,33049
32864,19129,33428
32760,19144,33374
32736,19140,33415
32812,19144,33376
32908,19140,33286
32916,19151,33524
32905,19142,33628
32948,19143,33646
32964,19150,33662
32936,19142,33649
32880,19134,33760
32888,19142,33880
33004,19136,33893
33024,19157,34037
33028,19148,33991
33064,19147,34136
32956,19153,33925
32852,19148,33996
32792,19142,34097
32848,19157,34076
32938,19148,34164
32924,19152,34167
32976,19152,34281
33052,19160,34373
33057,19156,34515
33036,19161,34457
32980,19173,34541
32896,19157,34287
32840,19156,34596
32828,19152,34461
32756,19161,34609
32880,19152,34729
33036,19148,34741
33109,19166,34887
33153,19165,34608
33120,19162,34760
33078,19170,34924
33045,19164,34917
33008,19169,35008
33000,19164,34964
32996,19171,35119
32968,19170,34768
32916,19163,35053
32872,19169,34808
32852,19173,35045
32896,19172,34868
32920,19167,35022
