ECG,EDA,RR
32904,18353,32944
32848,18356,32964
32772,18352,32964
32709,18361,32748
32796,18341,32864
32828,18342,32997
32796,18344,33060
32780,18340,32903
32812,18342,32957
32804,18348,32986
32764,18348,32745
32708,18362,32965
32660,18351,33065
32648,18355,33084
32671,18348,32940
32632,18354,32880
32660,18348,32980
32708,18341,33026
32692,18361,33012
32648,18359,32859
32584,18352,32925
32552,18354,33060
32620,18363,33044
32708,18350,32929
32748,18344,32967
32860,18365,33057
32956,18353,32804
32920,18349,32903
32852,18345,32958
32804,18352,33048
32784,18352,33153
32740,18360,33150
32652,18356,33167
32648,18354,33069
32696,18344,32992
32740,18361,33040
32790,18340,33084
32765,18355,32866
32864,18350,32840
33008,18346,32929
33220,18349,32863
33520,18360,32916
33908,18353,32992
34369,18359,33064
34788,18346,33193
35364,18345,33048
36064,18345,33044
36624,18340,33108
37156,18356,33133
37552,18351,33140
37888,18348,33156
38172,18348,33152
38344,18350,32924
38444,18365,33057
38398,18358,33120
38240,18351,33273
37864,18345,33254
37024,18349,33145
35493,18365,33106
34036,18365,33152
33004,18364,33369
32322,18356,33158
31688,18373,33292
31097,18356,33072
30488,18359,33349
30208,18351,33232
30260,18352,33373
30428,18367,33132
30632,18352,33329
30912,18352,33460
31120,18353,33284
31232,18362,33401
31348,18364,33430
31396,18344,33261
31532,18357,33396
31668,18348,33548
31748,18339,33436
31840,18365,33380
31900,18344,33493
31992,18367,33486
31992,18348,33348
31980,18343,33415
32040,18358,33496
32016,18350,33520
31976,18343,33527
31998,18340,33556
32120,18351,33573
32236,18343,33399
32304,18345,33629
32260,18361,33596
32184,18351,33575
32184,18349,33636
32173,18348,33629
32128,18356,33562
32084,18348,33713
32088,18341,33719
32104,18357,33584
32137,18351,33685
32196,18357,33693
32208,18343,33621
32229,18356,33773
32284,18364,33716
32316,18349,33744
32376,18348,33705
32392,18343,33733
32420,18355,33828
32440,18342,33736
32452,18343,33936
32476,18356,33799
32480,18360,33868
32468,18344,33862
32416,18353,33856
32384,18348,33933
32416,18358,33868
32420,18344,33661
32412,18337,33972
32480,18345,33788
32500,18356,33909
32516,18340,33705
32540,18345,33994
32524,18348,33893
32444,18340,33843
32409,18356,33866
32372,18344,33916
32312,18343,33648
32376,18355,33796
32484,18341,33996
32544,18338,33828
32620,18348,33888
32680,18347,33634
32680,18356,33837
32632,18348,33980
32576,18340,33759
32584,18355,33884
32596,18349,33768
32532,18338,33880
32464,18345,33880
32472,18337,33836
32528,18351,33844
32559,18346,33761
32552,18348,33908
32588,18342,33914
32584,18353,33754
32552,18340,33792
32528,18336,33858
32540,18353,33580
32560,18349,33606
32572,18343,33594
32576,18344,33808
32608,18335,33920
32600,18366,33724
32624,18351,33729
32688,18345,33708
32729,18337,33756
32776,18349,33773
32760,18340,33598
32876,18332,33741
32908,18342,33797
32888,18343,33624
32904,18335,33733
32893,18341,33489
32948,18333,33497
32960,18341,33541
32928,18341,33598
33036,18332,33738
33116,18334,33748
33216,18336,33721
33336,18335,33549
33340,18336,33511
33344,18342,33576
33316,18340,33592
33280,18339,33324
33260,18341,33353
33296,18335,33314
33285,18335,33282
33324,18335,33413
33452,18335,33415
33488,18351,33380
33548,18341,33486
33576,18336,33592
33624,18341,33447
33604,18336,33349
33576,18334,33400
33568,18337,33440
33568,18326,33239
33604,18333,33327
33628,18329,33448
33688,18334,33355
33760,18347,33385
33784,18343,33218
33720,18359,33376
33741,18348,33348
33684,18352,33440
33528,18351,33449
33593,18348,33388
33620,18340,33355
33648,18340,33256
33624,18339,33206
33552,18338,33313
33452,18351,33324
33344,18336,33384
33260,18338,33293
33188,18341,33136
33092,18337,33228
33033,18340,33244
32944,18337,33232
32928,18332,33091
32865,18330,33125
32808,18333,33239
32694,18336,33252
32548,18336,33104
32492,18339,32982
32436,18340,33068
32340,18333,33053
32308,18335,33031
32264,18341,32740
32316,18341,32841
32372,18341,32840
32320,18348,32856
32268,18345,32774
32208,18333,32697
32128,18336,32686
32016,18349,32756
31960,18348,32757
31944,18328,32687
31950,18330,32584
31941,18333,32632
