ECG,EDA,RR
32264,17568,42445
32376,17572,42373
32580,17567,42580
32604,17566,42455
32640,17572,42264
32616,17565,41896
32524,17565,42173
32624,17568,42092
32776,17582,41965
32760,17569,41792
32564,17570,41813
32680,17563,41735
32892,17564,41676
32896,17573,41565
32968,17569,41351
33112,17555,41400
33036,17580,41438
33041,17564,41382
32936,17569,41236
32776,17573,41148
32556,17577,41105
32356,17567,40932
32413,17567,40792
32592,17569,40623
32688,17561,40605
32672,17564,40468
32676,17572,40311
32669,17572,40444
32688,17565,40288
32616,17567,40111
32760,17557,39694
32812,17575,39724
32776,17567,39589
32752,17565,39847
32944,17561,39796
32996,17560,39687
33028,17566,39484
33046,17566,39669
33048,17562,39413
32884,17565,39010
32764,17560,39314
32749,17566,39175
32756,17573,39175
32828,17553,39184
32844,17549,39132
32864,17559,38896
32836,17567,38616
32876,17577,38791
32896,17562,38719
32904,17556,38644
32876,17564,38468
32864,17574,38560
32836,17555,38532
32820,17554,38391
32832,17561,38421
32876,17568,38316
32871,17564,38116
32828,17561,38013
32868,17559,37712
32896,17562,37969
32872,17564,37937
32808,17566,37841
32780,17572,37675
32832,17551,37753
32884,17548,37818
32944,17575,37661
33000,17561,37504
33008,17565,37469
33052,17572,37372
33084,17557,37141
33132,17558,37052
33152,17554,37336
33096,17560,36964
33080,17564,37255
32948,17566,37216
32756,17554,37176
32716,17553,37092
32796,17560,37021
32809,17565,37127
32760,17569,37092
32737,17558,37020
32752,17553,36845
32768,17565,36584
32788,17569,36860
32808,17546,36796
32932,17552,36685
33008,17565,36816
33048,17560,36652
33072,17556,36676
33120,17565,36653
33040,17561,36543
32934,17567,36601
32744,17549,36584
32606,17552,36358
32556,17557,36516
32608,17567,36469
32716,17554,36309
32736,17561,36532
32768,17562,36444
32812,17566,36296
32805,17567,36053
32840,17544,36324
32846,17546,36237
32892,17562,36354
32948,17543,36281
32904,17546,36154
32948,17561,35881
32928,17561,36156
32912,17564,36080
32912,17548,36103
32908,17551,36132
32888,17549,35742
32936,17557,36007
32953,17544,36076
32924,17557,35904
32936,17549,35940
32992,17561,35864
32989,17551,35975
32888,17548,35927
33084,17549,35740
33108,17551,35800
33028,17559,35716
32960,17546,35704
32972,17542,35837
32932,17540,35764
32973,17559,35719
32848,17558,35612
32821,17556,35530
32772,17548,35297
32672,17556,35551
32648,17549,35380
32644,17549,35591
32664,17545,35393
32608,17558,35351
32624,17543,35312
32660,17544,35272
32728,17543,35129
32740,17565,35037
32624,17561,35288
32686,17564,35268
32544,17552,35203
32200,17549,35072
32004,17548,35244
32048,17546,35288
32172,17545,35216
32160,17546,35137
32200,17547,35111
32280,17569,35004
32376,17562,34785
32340,17557,34942
32284,17559,34929
32245,17540,34896
32276,17543,34668
32160,17549,34671
32048,17549,34882
32109,17549,34880
32176,17548,34736
32192,17560,34833
32117,17564,34817
32108,17565,34593
32128,17556,34716
32116,17564,34690
32196,17543,34605
32072,17542,34557
32272,17536,34718
32346,17544,34554
32188,17543,34293
32224,17543,34346
32125,17548,34224
32084,17556,34469
32072,17549,34436
32116,17554,34294
32156,17540,34262
32153,17538,34373
32140,17550,34430
32177,17540,34414
32160,17553,34215
32196,17543,34036
32120,17549,34213
32216,17545,34176
32292,17554,34076
32260,17540,34236
32160,17540,34055
32268,17540,34054
32320,17555,33892
32296,17534,34109
32312,17543,33844
32352,17556,33965
32353,17542,33846
32296,17549,33830
32248,17555,33845
32277,17533,33756
32254,17554,33892
32256,17542,33671
32240,17533,33750
32296,17543,33661
32312,17545,33778
32306,17534,33576
32289,17547,33375
32280,17544,33604
32260,17546,33556
32288,17548,33514
32384,17533,33562
32348,17537,33576
32356,17537,33550
32404,17549,33511
32448,17541,33398
32420,17541,33446
32256,17549,33357
32038,17553,33380
32116,17549,33332
32208,17551,33266
32216,17532,33188
32152,17537,33268
32312,17539,33265
32428,17548,33116
32408,17532,33341
32384,17543,33144
32320,17543,33104
32212,17548,32944
32212,17549,33175
32196,17537,33133
32252,17534,33141
32233,17535,33204
32248,17539,33017
32284,17535,32828
32364,17538,33060
32372,17540,33161
32384,17556,32807
32360,17537,33009
32384,17541,33080
32340,17538,32927
32372,17535,32982
32380,17539,32948
32440,17540,33031
32524,17543,32840
32584,17543,32941
32613,17541,32852
32632,17543,32942
32556,17541,32791
32424,17533,32884
32224,17540,32800
32156,17537,32947
32144,17535,32796
32141,17531,32624
32172,17537,32560
32253,17536,32752
32292,17541,32839
32349,17542,32496
32304,17543,32741
32312,17542,32673
32352,17543,32694
32296,17536,32549
32050,17533,32660
32044,17535,32620
32149,17538,32696
32224,17541,32385
32268,17543,32607
32237,17543,32549
32300,17540,32578
32260,17539,32556
32288,17533,32445
32312,17544,32554
32276,17528,32436
32342,17551,32501
32356,17528,32555
32380,17533,32391
32392,17539,32496
32412,17542,32438
32396,17541,32596
32384,17541,32436
32456,17535,32263
32544,17538,32468
32484,17536,32348
32416,17532,32324
32472,17526,32564
32480,17537,32363
32552,17536,32204
32533,17535,32429
32676,17535,32453
32608,17533,32311
32480,17535,32506
32464,17535,32352
32472,17532,32284
32460,17529,32445
32448,17534,32441
