ECG,EDA,RR
32724,19206,43334
32712,19198,43340
32676,19197,42975
32688,19201,43350
32688,19190,43140
32756,19204,43295
32832,19193,42876
32804,19204,43265
32754,19210,43064
32748,19202,42796
32789,19208,43204
32848,19189,43048
32912,19206,42852
32984,19202,43136
33020,19212,43097
33004,19201,42696
32988,19205,43081
32920,19220,42884
32844,19204,43015
32776,19204,42624
32732,19209,43015
32736,19201,42916
32776,19204,42533
32784,19212,42938
32812,19197,42740
32884,19199,42879
32920,19200,42503
32908,19212,42897
32920,19206,42820
32872,19218,42406
32880,19212,42685
32886,19204,42820
32916,19212,42583
32932,19202,42700
32944,19212,42524
32984,19208,42716
33021,19209,42740
33016,19221,42500
33000,19208,42661
33005,19212,42221
33028,19217,42532
33056,19205,42680
33128,19220,42564
33161,19201,42540
33180,19217,42599
33176,19219,42453
33172,19229,42540
33188,19214,42356
33200,19214,42532
33276,19219,42371
33312,19209,42468
33336,19205,42388
33364,19205,42537
33360,19213,42375
33320,19204,42308
33304,19207,42260
33244,19223,42375
33216,19224,42236
33200,19215,42425
33212,19222,42246
33196,19212,42300
33168,19214,42092
33216,19208,42380
33289,19227,42094
33296,19216,42205
33304,19212,42156
33320,19228,42322
33304,19215,42119
33264,19221,41816
33252,19215,42231
33228,19223,42080
33253,19216,41872
33208,19223,42247
33196,19231,42046
33148,19204,42080
33124,19220,41876
33064,19217,42169
33000,19216,42071
32842,19218,42004
32752,19219,41913
32700,19225,41958
32656,19210,41975
32576,19224,41519
32524,19228,41879
32480,19222,42053
32440,19214,41887
32400,19218,41649
32320,19236,42016
32240,19230,41735
32184,19231,41833
32152,19220,41682
32128,19212,41888
32076,19226,41708
32108,19218,41704
32092,19217,41772
32116,19228,41701
32096,19227,41686
32016,19221,41863
31980,19230,41572
31948,19223,41652
31940,19232,41708
31940,19223,41772
31965,19221,41543
31988,19217,41589
32013,19228,41156
32008,19221,41500
31996,19223,41668
31948,19226,41402
31948,19234,41508
31912,19228,41512
31884,19222,41532
31924,19230,41463
31968,19218,41412
32016,19221,41321
32024,19220,41380
32036,19220,41064
32024,19234,41396
32008,19230,41191
32021,19228,41279
32020,19224,41255
32009,19218,41189
32064,19228,41348
32136,19228,41181
32192,19214,41069
32202,19230,41261
