ECG,EDA,RR
32772,14412,36396
32800,14404,36452
32848,14434,36428
32876,14409,36103
32941,14400,36387
32972,14423,36324
33040,14422,36249
33208,14398,36352
33408,14426,35962
33468,14415,36201
33384,14402,36263
33310,14441,36249
33245,14415,36135
33180,14405,36161
33176,14429,36141
33300,14411,36196
33468,14401,36164
33568,14400,35888
33656,14426,36020
33668,14412,36148
33608,14409,36018
33476,14406,35689
33396,14425,35940
33384,14408,35980
33445,14399,35988
33568,14419,35790
33652,14413,35904
33772,14401,35817
33804,14412,35968
33836,14404,35788
33904,14441,35557
33876,14415,35768
33680,14413,35778
33508,14404,35685
33456,14415,35744
33436,14407,35685
33437,14412,35727
33497,14401,35388
33532,14406,35684
33588,14426,35560
33597,14422,35749
33560,14431,35545
33552,14417,35613
33492,14424,35617
33397,14405,35452
33296,14424,35674
33248,14398,35486
33244,14420,35573
33188,14413,35406
33044,14425,35650
32913,14405,35536
32768,14428,35348
32621,14404,35508
32472,14417,35513
32416,14409,35396
32324,14421,35580
32176,14405,35392
32111,14402,35452
32128,14439,35448
32214,14415,35349
32148,14406,35327
32081,14410,35548
32040,14424,35348
31980,14415,35428
31861,14403,35397
31700,14423,35349
31580,14405,35360
31505,14402,35516
31444,14419,35433
31470,14409,35293
31564,14410,35356
31572,14429,35334
31504,14407,35279
31452,14404,35430
31389,14414,35348
31312,14401,35116
31268,14400,35316
31221,14417,35289
31252,14410,35404
31276,14425,35087
31220,14400,35256
31144,14427,35223
31168,14414,35244
31300,14405,35143
31380,14441,35212
31284,14408,35160
31204,14400,35193
31226,14404,35148
31260,14417,34874
31192,14405,35127
31184,14407,35175
31200,14428,35196
31224,14416,34863
31276,14431,35156
31292,14409,35008
31312,14403,35134
31428,14422,35128
31520,14405,35134
31496,14417,35004
31424,14411,35207
31380,14427,35045
31412,14414,35133
31404,14405,35009
31372,14427,35133
31468,14423,34797
31517,14435,34951
31548,14412,35156
31604,14422,34976
31772,14409,34729
31860,14404,34973
31884,14422,35116
31812,14431,34902
31685,14409,34972
31612,14421,34842
31552,14408,34988
31544,14439,34969
31588,14414,34774
31666,14411,34917
31680,14404,34756
31676,14405,34959
31692,14425,34798
31600,14424,34872
31593,14444,34898
31596,14414,34888
31572,14418,34757
31572,14401,34544
31649,14413,34823
31680,14406,34665
31781,14404,34849
31844,14417,34632
31840,14404,34823
31844,14435,34748
31872,14411,34648
31932,14412,34660
31936,14441,34743
31916,14405,34900
31880,14397,34892
31877,14414,34716
31912,14402,34695
31916,14428,34687
31940,14418,34757
31952,14407,34710
32052,14418,34696
32128,14404,34868
32132,14426,34853
32136,14402,34823
32132,14422,34741
32104,14425,34620
32104,14407,34452
32104,14409,34752
32132,14405,34632
32144,14424,34841
32104,14414,34708
32112,14430,34535
32160,14410,34727
32174,14423,34719
32168,14410,34617
32196,14404,34798
32160,14415,34724
32108,14400,34581
32076,14431,34649
32024,14414,34608
32009,14404,34502
