ECG,EDA,RR
33098,13880,26732
33164,13903,26511
33228,13892,26613
33272,13888,26623
33284,13902,26436
33300,13913,26576
33233,13885,26676
33204,13901,26424
33228,13889,26468
33248,13897,26480
33228,13900,26532
33272,13883,26568
33292,13893,26375
33292,13896,26508
33248,13888,26500
33189,13910,26307
33152,13897,26365
33108,13897,26314
33116,13901,26456
33092,13885,26479
33040,13899,26418
33064,13880,26402
33076,13895,26279
33028,13921,26406
33004,13890,26278
32972,13896,26404
32860,13910,26252
32712,13881,26384
32584,13904,26284
32504,13880,26457
32512,13877,26231
32504,13896,26364
32492,13881,26375
32452,13908,26333
32416,13887,26386
32286,13882,26220
32168,13902,26364
32048,13900,26345
31972,13906,26309
31954,13880,26365
31912,13876,26228
31968,13893,26177
32002,13900,26334
32005,13880,26388
31936,13908,26180
31865,13890,26348
31752,13882,26240
31700,13902,26410
31648,13892,26264
31636,13905,26173
31656,13885,26328
31748,13900,26322
31806,13888,26314
31828,13881,26199
31808,13903,26144
31744,13892,26308
31700,13880,26389
31645,13880,26131
31644,13900,26184
31644,13892,26156
31648,13895,26288
31692,13870,26309
31773,13896,26153
31860,13908,26281
31896,13923,26340
31908,13906,26084
31885,13905,26199
31844,13889,26126
31812,13876,26101
31848,13875,26140
31901,13890,26136
31986,13899,26240
32044,13876,26232
32060,13902,26316
32061,13893,26124
32040,13880,26277
31948,13904,26180
31908,13881,26281
31876,13871,26119
31864,13890,26258
31892,13884,26137
31985,13874,26196
32088,13900,26074
32124,13900,26204
32132,13878,26281
32100,13894,26076
32032,13884,26215
32000,13912,26117
32000,13880,26213
32012,13896,26030
32056,13896,26172
32156,13896,26162
32280,13877,26207
32320,13895,26013
32344,13885,26145
32324,13876,26220
32292,13899,25982
32218,13886,25957
32212,13892,26140
32216,13895,26008
32256,13871,26116
32340,13895,25956
32416,13883,26044
32456,13878,26143
32428,13905,25962
32365,13901,26016
32300,13873,26073
32269,13894,25949
32241,13888,26133
32256,13870,26113
32256,13894,25988
32312,13871,25967
32316,13893,26148
32328,13880,26097
32328,13905,26097
32326,13890,26189
32324,13878,26078
32300,13904,26247
32236,13883,26054
32240,13895,26247
32260,13880,26261
32285,13916,26129
32284,13901,26284
32264,13900,26185
32236,13889,26154
32164,13900,26318
32080,13875,26353
32048,13884,26192
32048,13870,26364
32036,13882,26272
32080,13872,26280
32160,13893,26399
32248,13876,26468
32292,13894,26224
32288,13889,26308
32260,13892,26276
32184,13878,26444
32108,13899,26520
32096,13897,26436
32096,13876,26333
32132,13877,26385
32196,13874,26471
32228,13879,26541
32244,13900,26304
32216,13881,26413
32192,13884,26393
32136,13900,26468
32065,13894,26519
32054,13897,26332
32096,13888,26476
32124,13893,26558
32156,13874,26340
32224,13891,26478
32260,13884,26484
32256,13905,26474
32196,13901,26532
32156,13879,26288
32136,13883,26352
32120,13872,26446
32088,13893,26312
32080,13876,26405
32136,13884,26292
32184,13876,26364
32240,13895,26346
32228,13893,26476
32193,13876,26297
32168,13892,26465
32086,13872,26552
32044,13892,26353
32058,13876,26505
32080,13876,26398
32148,13872,26398
32214,13884,26512
32236,13915,26461
32205,13902,26394
32172,13903,26532
32132,13893,26452
32132,13898,26494
32116,13879,26536
32132,13898,26438
32197,13892,26580
32216,13892,26396
32288,13877,26548
32337,13897,26620
32328,13880,26425
32308,13889,26412
32262,13878,26554
32232,13887,26631
32192,13875,26438
32144,13884,26549
32172,13871,26624
32200,13892,26432
32252,13873,26572
32276,13887,26511
32256,13917,26668
