ECG,EDA,RR
32058,45116,31677
31948,45141,31430
31856,45188,31567
31796,45189,31517
31856,45187,31350
31932,45141,31413
31965,45084,31357
32044,45037,31495
32093,45055,31303
32028,45045,31349
31868,45104,31383
31720,45155,31380
31680,45185,31490
31692,45112,31333
31776,45159,31416
31880,45121,31433
32040,45084,31469
32204,44989,31545
32260,45039,31612
32264,45063,31532
32177,45086,31648
32085,45141,31657
32032,45085,31767
32054,45160,31687
32113,45149,31812
32228,45096,31845
32296,45063,31905
32416,45037,32069
32516,45030,32012
32608,45000,31975
32648,45076,32063
32592,45101,32127
32540,45151,32194
32584,45092,32220
32716,45125,32311
32916,45092,32428
33144,45063,32310
33368,45017,32420
33528,45007,32425
33600,44988,32552
33612,45058,32646
33592,45087,32581
33564,45114,32597
33532,45140,32645
33652,45048,32668
33850,45017,32705
34084,45024,32739
34296,44993,32834
34496,44973,32925
34533,45013,32861
34510,44981,32844
34524,45063,32909
34456,45103,32964
34496,45103,32960
34636,45048,33060
34748,45052,33100
34836,45011,33140
34924,44943,33050
34896,44972,33112
34808,44985,33156
34644,45004,33193
34408,45044,33220
34144,45095,33231
33984,45092,33241
33953,45008,33252
33972,45033,33287
33956,44980,33349
33973,44935,33450
33948,44943,33468
33786,44968,33490
33533,44965,33412
33357,44997,33415
33197,45063,33460
33100,45063,33509
33074,45052,33548
33045,44950,33556
33088,44961,33592
33120,44925,33636
33096,44916,33637
33053,44948,33671
32952,44959,33710
32852,45021,33752
32760,45051,33788
32724,45040,33828
32752,45016,33872
32800,44984,33916
32916,44952,33956
32988,44860,34012
32996,44900,34020
32926,44924,34064
32796,44945,34087
32638,44993,34146
32500,45017,34242
32488,45021,34157
32612,45004,34236
32716,44965,34240
32844,44916,34279
32960,44807,34287
33000,44872,34294
32924,44903,34382
32828,44935,34311
32748,44902,34348
32660,44991,34372
32620,45009,34381
32644,44968,34420
32692,44899,34460
32732,44892,34404
32832,44865,34434
32888,44860,34436
32825,44881,34420
32756,44901,34461
32704,44956,34537
32612,44909,34436
32576,44988,34461
32602,44965,34486
32654,44929,34488
32752,44884,34485
32812,44783,34464
32876,44833,34503
32888,44844,34551
32844,44873,34436
32788,44927,34460
32716,44964,34435
32704,44956,34497
32780,44927,34424
32844,44900,34429
32952,44857,34423
33060,44828,34439
33148,44757,34417
33116,44832,34406
33032,44866,34364
32900,44903,34394
32776,44928,34409
32764,44935,34408
32832,44926,34396
33024,44889,34340
33177,44847,34276
33320,44807,34299
33372,44797,34284
