ECG,EDA,RR
33108,53895,31634
33000,53974,31719
32876,54020,31521
32797,54023,31680
32824,53927,31508
32888,53991,31688
32912,53939,31732
32781,53878,31660
32302,53767,31678
31380,53895,31474
30164,53880,31652
28880,53949,31628
27760,54007,31657
26878,53909,31665
26676,53932,31655
27254,53956,31708
28178,53895,31416
29676,53860,31610
31201,53752,31638
32552,53868,31560
34484,53848,31628
36800,53924,31532
38936,53973,31556
41192,53981,31368
42838,53895,31533
43632,53860,31380
43564,53831,31523
43812,53832,31304
43400,53831,31484
41660,53813,31450
39097,53840,31355
37437,53846,31397
37256,53929,31224
38168,53924,31351
38592,53909,31424
38524,53876,31303
37856,53829,31322
36792,53783,31081
35608,53799,31204
34312,53756,31012
33184,53813,31144
32290,53839,31080
31518,53892,31114
30980,53895,31142
30792,53784,30973
30768,53794,31082
30812,53812,30983
30898,53767,31042
30937,53692,30965
30912,53744,31044
30829,53767,30895
30720,53801,30844
30582,53760,30895
30461,53791,30779
30464,53848,30898
30532,53828,30653
30668,53767,30855
30796,53720,30793
30884,53703,30860
30908,53718,30772
30804,53676,30855
30700,53780,30865
30628,53820,30836
30584,53764,30887
30640,53831,30644
30760,53783,30800
30844,53740,30785
30936,53685,30831
31056,53660,30665
31084,53672,30711
31034,53615,30661
30949,53746,30626
30852,53761,30478
30789,53789,30552
30832,53767,30328
30965,53741,30457
31109,53696,30296
31200,53639,30372
31240,53532,30145
31210,53593,30290
31133,53668,30175
31084,53696,30258
30976,53736,30192
30860,53746,30206
30896,53733,30150
31012,53700,30160
31094,53566,30038
31216,53535,30141
31292,53505,29932
31284,53511,30124
31232,53511,30073
31108,53585,30198
31016,53708,30117
30936,53674,30156
30914,53684,30090
30953,53655,30173
31064,53615,30136
31184,53565,30218
31260,53477,30146
31228,53452,30202
31132,53585,30104
31000,53606,30168
30872,53564,30132
30820,53677,30215
30839,53639,30250
30908,53615,30215
30993,53577,30325
31108,53434,30240
31200,53455,30388
31196,53492,30237
31104,53533,30380
31024,53587,30273
30964,53535,30414
30912,53629,30398
30924,53631,30540
31013,53564,30532
31136,53543,30627
31296,53495,30464
31460,53465,30598
31492,53484,30554
31493,53484,30756
31444,53532,30751
31372,53565,30684
31390,53580,30825
31544,53567,30644
31736,53549,30901
31964,53485,30930
32164,53437,30960
32336,53357,31052
32385,53436,31100
32388,53428,31122
32348,53495,31254
32340,53524,31173
32360,53472,31239
32516,53543,31161
32729,53487,31348
32961,53437,31385
33184,53404,31471
33344,53277,31504
33352,53351,31564
33320,53405,31673
33292,53438,31623
33244,53415,31701
33228,53500,31664
33306,53476,31840
33360,53449,31980
33416,53397,31925
33496,53372,31996
33540,53333,31881
33505,53335,32134
33422,53364,32124
33356,53383,32231
33236,53401,32327
33160,53450,32268
33192,53447,32340
33236,53404,32481
33268,53365,32343
33280,53237,32604
33248,53303,32676
33140,53255,32664
32988,53327,32798
32820,53287,32681
32684,53404,32919
32602,53405,32982
32616,53319,33043
32648,53357,33167
32742,53330,33097
32832,53255,33322
32848,53252,33218
32796,53273,33329
32648,53281,33229
32582,53319,33445
32516,53280,33354
32436,53338,33580
32416,53365,33457
32492,53324,33684
32612,53269,33581
32734,53236,33826
32816,53199,34000
32812,53213,33954
32760,53156,34132
32696,53277,33926
32610,53316,34136
32588,53320,34072
32564,53241,34267
32604,53303,34277
32670,53224,34421
32761,53176,34308
32860,53167,34494
32868,53164,34478
32793,53124,34644
32724,53238,34639
32588,53277,34756
32460,53292,34706
32442,53284,34834
32468,53232,34736
32480,53208,34964
32513,53069,35109
32508,53149,35033
32460,53148,35172
32408,53156,35052
32332,53203,35169
32253,53144,35273
32156,53252,35164
32148,53247,35316
32236,53192,35236
32501,53156,35482
32656,53116,35397
32668,53094,35639
32608,53015,35553
32468,53056,35729
32328,53167,35575
32244,53195,35708
32186,53227,35621
32284,53135,35741
32372,53174,35786
32516,53127,35809
32660,53080,35868
32760,53063,35877
32768,53055,35828
32697,52999,35959
32576,53132,35865
32396,53109,36000
32232,53180,36041
32292,53172,36100
32313,53055,36227
32392,53100,36176
32517,53012,36241
32638,53029,36238
32665,53024,36366
32584,52964,36273
32524,53028,36247
32477,53141,36351
32442,53116,36285
32456,53127,36423
32585,53096,36413
32661,53069,36610
32732,53019,36564
32745,52981,36580
32696,52999,36606
32688,52980,36561
32692,53069,36688
32660,53102,36613
32688,53071,36756
32716,53116,36796
32740,53068,36824
32848,53031,36793
32964,52985,36916
33044,52951,36908
33116,52973,37027
33121,52993,36912
33053,52959,37046
33016,53080,37088
33008,53087,37175
32960,52982,37124
32966,53056,37241
32972,52996,37140
33064,52956,37237
33248,52840,37220
33340,52920,37246
33300,52916,37306
33196,52989,37280
33028,53044,37221
32968,53044,37319
33024,53024,37484
33108,53024,37374
33200,52932,37509
33380,52920,37356
33324,52807,37486
33244,52911,37357
33148,52930,37457
33000,52972,37303
32876,52999,37365
32788,53020,37436
32817,53023,37397
32905,52968,37531
33084,52942,37404
33336,52893,37428
33492,52871,37350
33480,52871,37224
33312,52892,37342
33121,52935,37247
32996,52887,37344
32920,52997,37269
32906,52980,37284
32960,52964,37359
33073,52903,37285
33136,52774,37428
33252,52832,37280
33220,52829,37388
33133,52852,37241
33024,52893,37225
32929,52853,37209
32852,52972,37127
32892,52942,37210
32984,52927,37072
33152,52884,37145
33316,52820,37062
33412,52800,37110
33416,52813,37005
33320,52839,37118
33152,52828,37181
33008,52895,36984
32836,52926,37089
32744,52839,37028
32824,52895,37032
32928,52847,37109
33068,52716,37052
33201,52773,37135
33160,52769,37016
33088,52780,37050
32968,52837,36951
32832,52864,37013
32724,52888,37000
32745,52861,36977
32840,52860,36900
32944,52815,37020
33108,52733,36936
33236,52743,37072
33142,52728,36969
33009,52765,37021
32892,52812,36893
32764,52836,36972
32736,52797,36932
32740,52857,36947
32817,52817,37005
32936,52780,36976
33000,52740,37076
32928,52692,36938
32816,52711,36975
32676,52738,36844
32585,52743,36913
32644,52716,37031
32628,52839,36957
32680,52806,37015
32800,52692,36921
32924,52729,36964
32980,52693,36821
