ECG,EDA,RR
33376,57351,33265
33500,57280,33326
33541,57316,33149
33496,57351,33303
33392,57351,33372
33288,57455,33202
33224,57453,33298
33208,57471,33250
33264,57436,33222
33360,57388,33221
33436,57255,33049
33524,57332,33164
33520,57343,32940
33460,57369,33151
33345,57391,33085
33248,57439,33173
33176,57465,33100
33168,57452,33100
33192,57439,33050
33264,57407,32828
33352,57253,32996
33412,57272,32969
33368,57337,32820
33300,57381,32903
33184,57412,32745
33053,57433,32900
32952,57479,32780
32932,57366,32801
32980,57468,32638
33052,57383,32804
33132,57351,32680
33232,57336,32761
33286,57349,32532
33220,57300,32727
33116,57351,32657
33012,57465,32775
32992,57423,32700
33012,57465,32431
33040,57447,32656
33125,57404,32609
33273,57351,32732
33376,57343,32671
33432,57292,32725
33380,57386,32655
33332,57429,32396
33232,57464,32628
33197,57501,32628
33216,57474,32560
33340,57458,32639
33476,57428,32384
33624,57270,32620
33724,57336,32565
33696,57348,32716
33640,57383,32649
33576,57431,32380
33436,57405,32645
33244,57479,32528
33172,57495,32696
33196,57463,32632
33292,57389,32736
33400,57276,32692
33532,57293,32748
33568,57351,32636
33508,57380,32666
33400,57421,32609
33292,57460,32708
33152,57493,32764
33132,57501,32633
33164,57460,32713
33244,57432,32527
33356,57396,32724
33404,57351,32745
33392,57351,32743
33337,57375,32809
33240,57321,32757
33116,57455,32741
32998,57511,32765
32964,57500,32527
33012,57471,32766
33084,57436,32552
33208,57397,32764
33308,57285,32753
33340,57391,32828
33250,57407,32801
33136,57433,32702
32940,57474,32815
32716,57412,32831
32456,57516,32822
32052,57469,32742
31285,57436,32837
30232,57340,32776
29136,57367,32840
28188,57368,32847
27349,57395,32862
27088,57443,32816
27480,57375,32871
28096,57479,32847
29496,57412,32869
30948,57476,32768
32376,57456,32859
34480,57423,32861
36736,57396,32897
38749,57390,32886
40584,57372,32791
41804,57447,32888
42016,57511,32944
41740,57543,32700
42056,57511,32876
41792,57479,32852
40216,57413,32869
38196,57411,32927
37200,57375,32809
37624,57351,32846
38593,57327,32645
38964,57455,32749
38644,57479,32761
37624,57474,32615
36380,57512,32676
35148,57444,32677
33976,57456,32644
33096,57428,32663
32388,57380,32397
31790,57287,32557
31357,57420,32582
31064,57436,32470
30900,57500,32514
30784,57520,32437
30768,57415,32444
30796,57493,32308
30892,57453,32432
30952,57415,32477
31005,57270,32252
31008,57399,32344
30920,57399,32292
30793,57448,32327
30736,57492,32282
30664,57461,32293
30672,57532,32377
30752,57479,32273
30880,57455,32308
30974,57422,32292
31076,57351,32332
31140,57391,32248
31132,57416,32327
31052,57447,32271
30972,57407,32158
30884,57532,32263
30880,57517,32237
30940,57511,32249
31053,57453,32284
31168,57351,32004
31312,57407,32190
31352,57396,31897
31272,57351,32124
31184,57428,32085
31076,57487,32071
30948,57461,32025
30912,57543,31752
30988,57504,32003
31092,57420,31663
31172,57415,31920
31244,57383,31973
31260,57384,31844
31284,57408,31856
31216,57348,31664
31142,57492,31837
31052,57529,31821
31033,57509,31908
31028,57486,31844
