ECG,EDA,RR
33656,45759,33601
33516,45788,33719
33344,45853,33637
33192,45881,33685
32964,45921,33637
32952,45902,33668
33040,45889,33807
33140,45847,33748
33248,45801,33749
33332,45772,33815
33264,45796,33792
33108,45804,33919
32952,45876,33809
32676,45853,33836
32428,45948,33973
32208,45869,33919
32184,45921,34007
32548,45885,33940
33128,45845,34032
33480,45823,33937
33544,45855,33980
33464,45879,34036
33224,45917,34013
32879,45959,34114
32702,45992,34048
32572,45984,34175
32320,45953,34096
32532,45924,34180
33108,45877,34096
33592,45862,34167
33564,45892,34132
33396,45904,34169
33188,45927,34165
32913,45999,34200
32772,46032,34231
32754,46016,34317
32856,45949,34246
32968,45951,34349
33077,45861,34269
33132,45904,34234
33132,45911,34279
32988,45952,34270
32852,45988,34311
32660,46038,34292
32512,46071,34380
32456,46040,34305
32740,45972,34341
32837,45988,34356
32872,45911,34361
32968,45929,34420
32996,45957,34348
32880,45982,34353
32712,46036,34452
32532,46076,34396
32373,46055,34487
32360,46084,34393
32486,46068,34405
32624,46026,34381
32840,45994,34404
32956,45981,34444
32916,45929,34429
32872,46005,34524
32736,46061,34449
32688,46132,34524
32552,46140,34420
32496,46060,34469
32516,46076,34413
32692,45996,34418
32953,46030,34417
33142,45999,34412
33192,46024,34396
33124,46064,34444
32916,46096,34422
32740,46150,34462
32660,46175,34420
32685,46157,34482
32812,46101,34402
32972,46087,34420
33052,46065,34401
32796,46050,34368
32412,46066,34392
32476,46087,34350
32961,46146,34334
33248,46185,34405
33204,46212,34345
33380,46193,34423
33440,46174,34346
33408,46124,34376
33512,46108,34269
33612,46084,34331
33584,46086,34316
33180,46054,34275
32636,46171,34308
32688,46215,34340
32996,46247,34303
33240,46237,34285
33388,46212,34286
33472,46164,34316
33612,46117,34321
33704,46101,34420
33614,46087,34311
33480,46164,34372
33360,46190,34301
33196,46253,34360
33028,46265,34281
33060,46275,34289
33137,46231,34247
33260,46167,34250
33420,46143,34230
33509,46151,34237
33500,46165,34279
33412,46180,34242
33264,46172,34308
33104,46284,34217
32984,46303,34269
33020,46278,34147
33152,46276,34212
33200,46215,34145
33360,46127,34228
33548,46180,34135
33572,46189,34076
33428,46158,34076
33359,46276,34031
33272,46312,34036
33088,46333,34128
33100,46325,34013
33028,46269,34084
32848,46253,33953
32960,46164,33964
33432,46199,33853
33676,46156,33872
33668,46241,33895
33492,46303,33840
33116,46335,33922
32800,46343,33767
32704,46343,33836
32796,46263,33722
33166,46295,33800
33500,46245,33636
33732,46229,33652
33720,46244,33589
33584,46256,33589
33352,46326,33535
33140,46389,33550
33028,46391,33491
33016,46397,33508
33088,46357,33453
33164,46320,33501
33152,46268,33455
33324,46189,33528
33404,46285,33380
33260,46308,33353
33120,46281,33395
33016,46383,33338
32968,46422,33409
32972,46420,33335
33029,46372,33412
33132,46291,33265
33256,46309,33216
33436,46281,33351
33400,46301,33249
33216,46343,33264
32892,46365,33237
32552,46429,33185
32501,46369,33300
32632,46437,33165
32904,46409,33113
33044,46364,33207
33214,46269,33129
33329,46317,33253
33252,46324,33150
33128,46365,33172
33036,46332,33095
32756,46460,33072
32557,46469,33196
32592,46460,33077
32858,46359,33031
32885,46407,33182
32988,46359,33037
33288,46292,33073
33556,46357,32993
33576,46392,33044
33444,46439,33027
33324,46471,33121
33188,46466,32997
33108,46477,33055
33136,46466,32919
33437,46426,32937
33566,46365,32964
33572,46356,32976
33500,46333,33025
33316,46394,32895
