ECG,EDA,RR
32628,20079,38935
32572,20040,38885
32536,20023,38892
32549,20034,38959
32636,20055,39093
32768,20087,38673
32901,20132,38968
32876,20148,39017
32768,20133,38789
32672,20113,38981
32624,20093,39126
32540,20059,38726
32480,20050,39047
32516,20053,38948
32662,20080,39173
32832,20095,39020
32952,20133,38953
33012,20179,39037
33012,20162,39037
32960,20139,39084
32884,20113,38722
32740,20077,39068
32640,20056,39015
32532,20060,38988
32524,20086,39172
32584,20110,39001
32638,20139,38756
32685,20151,39037
32652,20145,38989
32536,20127,39188
32480,20123,39129
32444,20071,38813
32400,20050,39069
32376,20061,38953
32468,20077,39156
32540,20109,38844
32580,20146,39109
32632,20161,39073
32640,20157,39210
32600,20133,39047
32556,20106,39127
32484,20079,39069
32413,20060,39164
32384,20069,39182
32456,20095,39141
32572,20122,39028
32668,20163,39235
32668,20175,39108
32590,20170,39155
32558,20153,39317
32500,20123,39135
32512,20081,39231
32508,20069,39122
32527,20073,39279
32602,20097,39273
32668,20144,39389
32720,20170,39223
32764,20185,39319
32768,20191,39237
32616,20167,39364
32524,20141,39010
32484,20113,39367
32592,20110,39494
32832,20085,39365
33196,20108,39092
33504,20133,39397
33796,20175,39542
33932,20206,39423
34016,20186,39156
34140,20172,39492
34308,20148,39573
34388,20119,39582
34420,20116,39567
34453,20095,39493
34564,20113,39565
34749,20167,39649
34836,20194,39793
34712,20218,39367
34585,20219,39628
34653,20221,39681
34724,20158,39766
34788,20125,39673
34245,20108,39861
33056,20127,39521
32556,20157,39758
32273,20168,39855
31368,20212,39943
30808,20223,39956
30856,20213,39993
31116,20190,40056
31280,20169,40212
31436,20132,39854
31704,20121,40118
32032,20128,40316
32296,20156,39857
32487,20165,40123
32624,20198,40236
32716,20207,40326
32700,20203,40341
32588,20211,40444
32513,20181,40135
32436,20143,40405
32368,20126,40500
32337,20114,40492
32444,20140,40389
32552,20171,40484
32652,20208,40512
32752,20231,40516
32822,20231,40503
32812,20199,40741
32748,20177,40404
32636,20147,40618
32572,20127,40820
32577,20137,40535
