ECG,EDA,RR
32436,22128,28511
32301,22102,28474
32173,22076,28622
32212,22084,28554
32340,22094,28627
32468,22117,28524
32501,22148,28679
32484,22174,28652
32408,22169,28701
32357,22151,28676
32384,22124,28713
32340,22096,28711
32308,22079,28740
32384,22078,28739
32484,22107,28733
32540,22133,28764
32420,22167,28764
32312,22181,28796
32260,22178,28824
32233,22153,28807
32196,22132,28860
32096,22101,28710
32072,22084,28791
32124,22088,28749
32324,22117,28900
32464,22134,28909
32520,22165,28977
32473,22181,28894
32480,22180,28847
32416,22164,29047
32348,22143,29071
32364,22113,28956
32432,22097,29078
32560,22097,28980
32673,22117,29149
32748,22156,29185
32704,22181,29047
32712,22189,29220
32784,22195,29248
32753,22175,29288
32721,22136,29332
32656,22126,29179
32544,22107,29359
32628,22088,29344
32684,22109,29297
32789,22132,29420
32737,22169,29300
32712,22188,29429
32681,22181,29460
32628,22169,29551
32616,22143,29489
32640,22110,29455
32616,22095,29633
32596,22103,29514
32573,22118,29701
32652,22151,29720
32724,22180,29776
32864,22199,29620
32824,22199,29753
32744,22173,29831
32684,22142,29789
32621,22118,29783
32548,22098,29807
32512,22109,29924
32532,22125,29989
32581,22145,29884
32621,22178,30005
32712,22187,29945
32724,22185,30083
32688,22169,30023
32680,22148,30275
32653,22124,30233
32664,22121,30124
32648,22099,30255
32708,22117,30196
32820,22141,30321
32920,22175,30279
33020,22196,30356
33048,22190,30337
32956,22171,30509
32796,22146,30403
32600,22113,30495
32430,22109,30468
32440,22111,30599
32620,22126,30509
32772,22151,30636
32897,22191,30588
32856,22210,30683
32744,22206,30661
32744,22169,30788
32800,22144,30727
32820,22120,30923
32857,22097,30772
32748,22105,30871
32660,22133,30844
32608,22164,30948
32584,22177,30893
32696,22194,31102
32749,22192,30949
32789,22191,31096
32729,22153,31017
32608,22127,31119
32512,22108,31119
32576,22111,31116
32632,22125,31314
32784,22155,31401
32760,22195,31386
32676,22205,31382
32520,22207,31445
32432,22175,31509
32436,22149,31353
32444,22141,31537
32433,22100,31601
32440,22108,31406
32432,22128,31607
32420,22153,31661
32444,22179,31681
32464,22208,31751
32456,22201,31743
32440,22187,31836
32452,22162,31609
32516,22124,31729
32521,22105,31766
32468,22115,31892
32413,22147,31872
32432,22150,31956
32500,22185,32044
32632,22206,32012
32620,22208,32117
32544,22177,32071
32448,22154,32165
32280,22127,31936
32202,22109,32070
32278,22125,32004
32348,22132,32140
32423,22161,32132
32472,22188,32212
32488,22212,32205
32486,22208,32340
32468,22191,32351
32492,22166,32431
32500,22122,32495
32496,22105,32327
32528,22117,32412
32600,22131,32448
32628,22164,32599
32736,22200,32680
32868,22212,32480
32892,22208,32711
32720,22185,32620
32524,22156,32711
32386,22136,32775
32320,22116,32804
32388,22119,32760
32601,22138,32813
32784,22162,32749
32916,22198,32940
32989,22211,32916
32964,22210,32974
32908,22177,32987
32824,22149,33108
32700,22125,33174
32517,22113,33260
32538,22117,33324
32645,22145,33349
32692,22165,33433
32672,22189,33437
32610,22214,33485
32520,22208,33447
32424,22188,33605
32364,22162,33655
32324,22137,33476
32288,22116,33716
32332,22116,33625
32314,22131,33782
32257,22155,33744
32296,22192,33964
32388,22207,34103
32401,22205,34116
32406,22188,34213
32372,22152,34246
32381,22121,34300
32404,22111,34375
32480,22116,34514
32548,22133,34396
32530,22151,34327
32440,22185,34557
32408,22207,34593
32449,22205,34757
32436,22185,34896
32412,22161,34900
32332,22128,35060
32296,22104,35036
32401,22109,35149
32536,22135,35162
32652,22159,35300
32684,22192,35305
32812,22204,35416
32836,22201,35424
32713,22188,35556
32526,22150,35549
32344,22127,35580
32313,22111,35463
32448,22113,35625
32789,22136,35719
33146,22164,35832
33520,22203,35941
33888,22196,35943
34052,22195,35805
34076,22177,36103
34124,22157,36172
34264,22133,36280
34404,22099,36212
34560,22103,36221
34696,22129,36308
34862,22148,36504
35072,22183,36532
35188,22205,36519
35208,22203,36537
34988,22191,36615
34793,22169,36660
34556,22131,36562
34472,22116,36860
34204,22132,37015
32992,22149,37012
31959,22179,37049
31872,22214,37247
31360,22223,37165
30476,22214,36991
30136,22199,37424
30408,22162,37379
30808,22133,37378
31057,22114,37474
31298,22121,37351
31566,22137,37761
31873,22165,37692
32132,22175,37721
32292,22204,37814
32256,22204,37655
32200,22177,38047
32188,22156,37967
32212,22123,38009
32285,22113,38103
32288,22108,38172
32304,22124,38252
32293,22153,38368
32384,22185,38548
32532,22208,38501
32580,22189,38545
32573,22181,38620
32519,22146,38788
32444,22116,38657
32308,22110,38791
32240,22109,38932
32292,22116,38620
32472,22151,38978
32604,22183,39059
32636,22192,39199
32560,22193,39167
32512,22173,39204
32444,22148,39321
32312,22104,39172
32332,22089,39431
32341,22092,39655
32444,22118,39599
32644,22150,39780
32752,22183,39733
32828,22207,39911
32766,22183,39855
32704,22166,39854
32688,22141,39855
32640,22103,40033
32588,22091,40030
32660,22111,40032
32752,22117,40101
32888,22143,40125
32982,22169,39904
33036,22192,40398
33038,22180,40308
32956,22164,40268
32877,22133,40108
32777,22107,40378
32672,22094,40369
32633,22097,40420
32656,22123,40433
32776,22140,40501
32894,22174,40176
32996,22181,40660
33028,22175,40381
32976,22157,40497
32820,22138,40532
32673,22087,40612
32590,22083,40357
32612,22092,40592
32804,22119,40628
32990,22133,40788
33144,22173,40743
33184,22181,40908
33214,22181,40749
33172,22151,40703
33065,22133,40896
32972,22103,40828
32952,22092,40928
32976,22097,40879
33068,22101,41013
33220,22134,40910
33336,22161,41047
33380,22173,40869
33260,22164,40949
33100,22139,41091
33004,22121,40604
32976,22100,41095
32949,22081,40753
32961,22087,40948
33040,22117,40892
33097,22131,41063
33176,22165,40967
33266,22175,41231
33272,22171,40741
33208,22151,41004
33112,22131,41036
32952,22096,41111
32840,22084,41237
32800,22079,41151
32808,22107,41260
32832,22133,41148
32748,22162,41212
32652,22177,41025
32516,22172,41044
32396,22148,41206
32256,22124,41190
32213,22098,41219
32220,22076,41213
32278,22084,40839
32352,22103,41174
32464,22135,41351
32592,22153,41141
32604,22181,41104
32544,22172,40861
32520,22143,41206
32397,22116,40948
32324,22086,41220
32305,22065,41143
32388,22079,41153
32480,22103,41165
32548,22124,41214
