ECG,EDA,RR
32336,26862,44092
32264,26853,44254
32316,26875,44127
32368,26903,44294
32420,26922,44280
32484,26963,44261
32500,26956,44253
32472,26951,44385
32416,26921,44285
32421,26909,44295
32392,26872,44486
32456,26871,44507
32620,26887,44453
32840,26913,44404
33116,26941,44524
33407,26969,44565
33612,26968,44585
33736,26956,44544
33752,26935,44550
33688,26913,44629
33700,26881,44487
33896,26876,44724
34204,26898,44620
34528,26922,44679
34793,26948,44532
34968,26981,44486
35132,26989,44802
35196,26975,44669
35192,26961,44806
34944,26940,44567
34820,26923,44850
34604,26921,44836
34460,26945,44635
34105,26952,44925
33068,27005,44908
32144,27028,44748
31952,27036,44949
31205,27021,44967
30056,27012,44764
29628,26978,44985
29864,26947,45063
30312,26942,44980
30832,26949,44876
31364,26969,45154
31872,26998,45191
32258,27027,45293
32494,27022,45301
32592,27014,45140
32596,26993,45393
32569,26973,45409
32526,26942,45508
32496,26937,45477
32557,26959,45485
32652,26981,45628
32752,27005,45575
32832,27036,45549
32820,27036,45437
32740,27022,45756
32596,26998,45693
32540,26977,45784
32560,26953,45831
32572,26951,45933
32672,26966,45902
32748,26989,45919
32850,27015,45756
32956,27045,46087
32976,27046,46087
32956,27038,46132
32880,27005,45988
32796,26987,46324
32713,26959,46367
32636,26950,46343
32645,26975,46456
32784,26996,46479
32878,27029,46316
32976,27051,46649
33024,27057,46697
32988,27039,46621
32892,27015,46823
32812,26997,46794
32686,26974,46740
32624,26973,46944
32680,26989,46949
32799,27004,46895
32916,27037,47039
33024,27063,47057
33028,27063,46896
32997,27055,47020
32928,27031,47013
32880,27003,47104
32897,26983,47072
32972,26983,47093
33052,26996,47056
33108,27020,46804
33164,27052,47092
33236,27076,47100
33276,27081,46951
33304,27071,47100
33240,27042,47106
33142,27020,47023
33092,26984,47106
33112,26993,46904
33200,27013,47092
33280,27036,47103
33345,27065,47000
33456,27085,46793
33484,27090,47039
33444,27076,47095
33412,27060,46902
33372,27037,47125
33313,27005,47028
33340,27005,47111
33420,27017,47075
33508,27044,47100
33672,27071,47117
33776,27092,46824
33816,27097,47057
33812,27087,47108
33760,27065,46809
33708,27033,47072
33684,27015,47096
33716,27015,47124
33784,27031,47092
33868,27053,47045
33940,27080,46964
34012,27110,47079
33948,27108,47000
