ECG,EDA,RR
34884,25792,43215
35122,25818,43317
35252,25851,43334
35168,25884,43380
34852,25870,43340
34724,25861,43201
34564,25845,42997
34460,25823,42861
34080,25800,42869
32940,25807,43099
31852,25828,43079
31652,25849,43025
31088,25885,42980
30232,25892,42952
29948,25892,42887
30224,25868,42759
30565,25844,42685
31024,25815,42640
31448,25787,42615
31804,25791,42676
32124,25809,42674
32332,25829,42613
32456,25861,42233
32540,25875,42372
32572,25868,42373
32500,25853,42309
32444,25821,42290
32416,25788,42287
32408,25775,42412
32432,25776,42431
32536,25797,42362
32660,25816,42156
32752,25853,42272
32736,25860,42015
32660,25860,42197
32596,25836,42148
32532,25815,42140
32436,25785,41868
32300,25764,41735
32348,25772,41860
32444,25789,41680
32604,25808,41919
32800,25842,41873
32884,25849,41860
32896,25847,41756
32860,25831,41701
32704,25809,41621
32612,25779,41920
32456,25759,41628
32429,25763,41965
32564,25780,41948
32716,25803,41931
32824,25836,41908
32894,25848,41924
32852,25837,41941
32840,25820,41919
32864,25802,41928
32780,25766,41912
32676,25748,41908
32592,25758,41852
32584,25774,41799
32696,25797,41935
32749,25829,41911
32804,25845,41780
32816,25836,41677
32852,25815,41584
32876,25792,41607
32828,25758,41561
32840,25747,41548
32880,25755,41559
32976,25764,41471
33117,25796,41479
33180,25828,41376
33200,25839,41079
33188,25834,41376
33128,25808,40999
33088,25791,40952
33088,25761,41247
33052,25748,41220
33140,25747,41205
33240,25763,41158
33304,25791,41121
33408,25831,41039
33380,25838,41104
33216,25833,41071
33053,25804,40799
32996,25780,40941
33089,25757,41017
33236,25741,40773
33306,25741,40820
33328,25759,40793
33364,25784,40676
33472,25815,40838
33616,25829,40687
33740,25823,40663
33736,25797,40430
33688,25783,40644
33672,25748,40565
33632,25735,40554
33656,25744,40461
33708,25749,40544
33728,25780,40664
33764,25807,40530
33729,25828,40182
33628,25819,40450
33548,25799,40440
33488,25769,40293
33464,25741,40476
33376,25723,40327
33304,25730,40263
33284,25753,39985
33216,25777,40265
33216,25813,40364
33248,25821,40324
33192,25809,40198
33052,25793,40139
33020,25774,40077
33024,25743,40044
32928,25723,39991
32884,25727,39943
32984,25749,39982
33064,25775,40092
33069,25798,40054
33036,25818,39904
32989,25806,39812
32872,25791,39806
32844,25772,39698
32717,25735,39711
32612,25723,39799
32700,25730,39893
32820,25757,39903
32870,25773,39913
32940,25804,39883
32916,25814,39865
32752,25812,39748
32584,25794,39755
32484,25763,39716
32480,25740,39626
32470,25724,39640
32524,25733,39476
32660,25751,39534
32679,25767,39233
32804,25807,39190
32877,25817,39365
32933,25812,39419
32920,25788,39367
32912,25765,39301
32812,25735,39236
32664,25729,39268
32628,25725,39285
32740,25749,39208
32876,25771,39152
32980,25807,39129
33068,25815,39112
32999,25811,39036
32860,25791,38908
32744,25762,38861
32692,25733,38608
32688,25717,38871
32764,25728,38833
32868,25745,38788
32964,25775,38759
32972,25801,38697
32972,25820,38690
32932,25809,38719
32872,25794,38685
32793,25767,38608
32752,25735,38493
32744,25725,38449
32736,25732,38468
32725,25754,38453
32824,25776,38428
32906,25804,38389
32948,25816,38351
32922,25801,38289
32896,25788,38151
32816,25767,38164
32728,25743,38133
32684,25725,38068
32704,25733,38012
32864,25756,37884
32992,25774,37840
32996,25811,37657
32868,25826,37589
32738,25805,37652
32696,25789,37493
32718,25767,37601
32840,25735,37588
32873,25718,37652
32932,25732,37580
33000,25752,37509
33092,25780,37429
32968,25806,37408
32934,25820,37354
32856,25806,37296
32842,25789,37319
32840,25766,37269
32844,25736,37133
32836,25724,36956
32868,25731,36908
32901,25756,36845
32908,25764,36797
32924,25807,36788
32956,25823,36692
32912,25810,36675
32784,25799,36553
32668,25773,36521
32612,25742,36440
32620,25731,36378
32636,25735,36329
32652,25760,36321
32724,25780,36313
32712,25810,36325
32744,25827,36124
32777,25809,36025
32710,25799,35967
32628,25774,36009
32516,25752,35980
32444,25735,35949
32524,25737,35868
32590,25767,35794
32584,25788,35746
32584,25823,35664
32540,25829,35576
32468,25820,35421
32468,25799,35445
32476,25781,35403
32572,25755,35310
32636,25734,35193
32632,25751,35087
32552,25771,34970
32464,25790,34876
32560,25825,34773
32615,25836,34655
32536,25828,34796
32444,25800,34685
32388,25787,34537
32356,25751,34580
32348,25743,34452
32372,25748,34288
32464,25773,34364
32544,25792,34266
32652,25832,34127
32776,25843,34052
32809,25829,34085
32828,25812,34064
32740,25791,33988
32704,25764,33746
32688,25749,33652
32680,25763,33740
32701,25783,33500
32824,25801,33475
32892,25847,33394
32936,25855,33341
32876,25841,33422
32800,25825,33353
32744,25796,33249
32664,25774,33121
32680,25758,33169
32808,25774,32973
32880,25798,32881
32912,25822,32791
32948,25855,32724
32925,25853,32840
32944,25855,32708
