ECG,EDA,RR
33080,19537,37404
33060,19546,37797
33072,19559,37660
33096,19572,37557
33168,19609,37681
33240,19626,37669
33284,19630,37668
33261,19633,37656
33185,19616,37583
33112,19588,37560
33020,19559,37649
33020,19555,37745
33056,19579,37536
33136,19593,37525
33168,19623,37478
33144,19649,37333
33024,19642,37729
32871,19636,37596
32756,19596,37415
32661,19561,37652
32609,19543,37604
32568,19540,37560
32660,19558,37512
32770,19605,37511
32864,19639,37494
32928,19667,37605
32876,19653,37725
32768,19634,37560
32654,19613,37605
32588,19583,37391
32538,19566,37680
32544,19548,37477
32612,19588,37315
32652,19609,37708
32712,19633,37590
32744,19660,37590
32740,19649,37574
32700,19653,37456
32628,19620,37639
32580,19585,37535
32504,19549,37500
32482,19566,37407
32544,19580,37629
32656,19606,37417
32733,19631,37508
32864,19675,37564
32824,19663,37532
32773,19632,37612
32744,19607,37573
32728,19593,37637
32733,19569,37631
32800,19551,37686
32900,19599,37605
33040,19608,37669
33189,19642,37288
33352,19654,37615
33416,19686,37537
33337,19648,37524
33244,19626,37288
33252,19590,37721
33332,19556,37588
33392,19557,37604
33448,19599,37481
33508,19621,37290
33536,19647,37637
33616,19668,37268
33494,19663,37621
33188,19649,37457
33100,19645,37276
33400,19617,37568
33796,19591,37541
34260,19593,37543
34124,19617,37472
33324,19634,37636
32804,19677,37564
32500,19685,37587
31628,19676,37469
31168,19665,37572
31202,19632,37296
31484,19598,37589
31752,19589,37444
32000,19582,37736
32205,19600,37612
32376,19622,37569
32540,19672,37591
32648,19688,37582
32672,19679,37524
32560,19653,37404
32436,19653,37775
32352,19612,37677
32325,19585,37684
32428,19574,37649
32497,19618,37639
32538,19629,37661
32580,19652,37657
32676,19700,37697
32676,19683,37756
32632,19654,37759
32600,19644,37788
32541,19609,37743
32484,19575,37728
32476,19596,37837
32488,19618,37820
32580,19633,37836
32664,19666,37789
32756,19682,37799
32756,19680,37820
32736,19676,37868
32720,19647,37996
32624,19613,37833
32632,19583,37647
32621,19602,37983
32665,19614,37928
32741,19630,38089
32820,19661,37972
32870,19692,38087
32893,19684,37956
32848,19681,37863
32781,19642,37930
32724,19607,37935
32668,19601,37993
32704,19595,37965
32744,19615,38016
32833,19626,38004
32920,19660,37924
32984,19711,37977
32984,19700,37917
32936,19676,37828
32832,19646,37639
32800,19615,38023
32768,19587,37904
32792,19596,37895
32833,19612,37685
32918,19641,37984
32984,19680,37841
33029,19697,37931
33044,19687,37783
32992,19693,37885
32941,19657,37714
32892,19622,37609
32856,19604,37780
32872,19604,37663
32901,19617,37727
32968,19655,37572
32992,19673,37461
33056,19691,37562
33052,19705,37236
33004,19684,37578
32940,19650,37505
32877,19610,37572
32840,19590,37364
32814,19599,37448
32858,19613,37452
32944,19640,37560
33004,19672,37373
32996,19728,37294
32896,19708,37423
32812,19687,37388
32681,19652,37399
32588,19635,37316
32557,19596,37252
32540,19598,37414
32532,19630,37332
