ECG,EDA,RR
32688,29848,19487
32708,29861,19489
32752,29875,19650
32774,29871,19569
32764,29871,19591
32808,29861,19760
32929,29855,19665
32908,29840,19755
32804,29851,19833
32702,29848,19822
32653,29859,19985
32580,29876,19965
32484,29871,20028
32544,29876,20034
32652,29873,20165
32756,29871,20163
32828,29857,20183
32888,29849,20353
32884,29844,20298
32888,29857,20376
32788,29855,20393
32592,29885,20520
32464,29885,20596
32544,29882,20558
32608,29881,20630
32664,29870,20669
32672,29855,20840
32760,29860,20752
32783,29855,20861
32664,29857,20883
32556,29857,20967
32468,29879,21004
32416,29879,21089
32420,29881,21129
32472,29877,21185
32532,29877,21338
32652,29860,21319
32730,29857,21423
32704,29860,21468
32704,29853,21622
32752,29863,21597
32736,29878,21692
32796,29881,21850
32789,29871,21855
32737,29879,21936
32856,29868,21985
32960,29861,22137
32789,29847,22135
32500,29852,22242
32276,29859,22319
32224,29865,22437
32160,29873,22461
32104,29881,22516
32124,29887,22663
32173,29879,22652
32376,29869,22743
32496,29849,22861
32412,29849,22854
32248,29840,22934
32232,29852,23031
32224,29869,23036
32097,29873,23108
32184,29881,23142
32340,29879,23225
32512,29875,23245
32476,29865,23293
32556,29855,23342
32540,29845,23362
32496,29847,23441
32492,29849,23469
32520,29859,23527
32495,29864,23536
32604,29878,23579
32656,29879,23602
32648,29869,23679
32608,29853,23671
32608,29855,23705
32540,29841,23744
32512,29844,23777
32551,29849,23815
32545,29849,23846
32436,29863,23893
32432,29869,23916
32452,29868,23943
32405,29860,23994
32324,29850,24005
32456,29850,24031
32640,29845,24092
32628,29836,24089
32672,29836,24108
32724,29844,24164
32644,29860,24193
32516,29861,24204
32492,29857,24231
32432,29860,24268
32544,29849,24281
32576,29837,24316
32604,29831,24363
32636,29828,24385
32644,29831,24415
32600,29838,24455
32493,29855,24484
32384,29863,24518
32352,29862,24570
32372,29857,24604
32412,29840,24648
32644,29831,24689
32776,29821,24735
32800,29820,24785
32797,29817,24830
32692,29827,24875
32408,29844,24924
32156,29855,24969
32196,29852,25022
32285,29847,25068
32396,29831,25106
32428,29811,25169
32400,29815,25213
32392,29815,25246
32381,29820,25289
32476,29826,25338
32424,29831,25391
32408,29833,25412
32281,29839,25486
32164,29844,25519
32144,29828,25556
32009,29822,25600
31893,29812,25629
31740,29813,25656
31538,29821,25740
31228,29831,25769
31008,29844,25812
30600,29847,25830
30560,29858,25910
30944,29855,25961
31508,29823,25992
32072,29820,26032
33032,29799,26071
33976,29798,26098
35288,29799,26127
36916,29799,26198
38384,29800,26263
40060,29804,26308
41508,29804,26344
41808,29797,26399
41372,29782,26404
40576,29775,26469
39500,29767,26545
38212,29772,26591
36868,29778,26630
36088,29797,26685
35668,29807,26720
35348,29809,26724
35088,29812,26840
35072,29805,26882
34952,29792,26924
34880,29776,26976
34692,29778,26972
34429,29775,27013
33896,29772,27060
33437,29780,27199
32916,29798,27220
32488,29797,27300
32036,29804,27284
31572,29802,27332
31184,29789,27413
30873,29777,27502
30596,29780,27548
30334,29775,27606
30232,29780,27621
30221,29792,27631
30260,29805,27737
