ECG,EDA,RR
33000,36680,26098
32936,36671,26116
32880,36670,26073
32797,36701,26113
32712,36711,26157
32720,36708,26234
32820,36711,26332
32852,36711,26325
32924,36708,26276
33060,36701,26337
33060,36689,26402
33020,36685,26413
32964,36688,26441
32892,36708,26528
32829,36710,26631
32856,36727,26696
32928,36720,26725
32980,36725,26712
33084,36719,26742
33172,36703,26777
33148,36708,26849
33076,36700,26911
33025,36705,26960
32969,36713,26978
32924,36733,27054
32972,36738,27170
33032,36743,27244
33052,36740,27263
33060,36719,27321
33132,36719,27304
33137,36711,27369
33104,36717,27415
33060,36709,27484
32996,36735,27559
32944,36743,27608
32964,36766,27650
33056,36756,27708
33104,36740,27749
33148,36743,27893
33204,36739,27918
33182,36724,27942
33088,36708,27987
33040,36701,28048
32978,36719,28089
32908,36756,28133
32968,36772,28167
33020,36774,28244
33072,36764,28324
33120,36759,28318
33180,36743,28363
33172,36733,28431
33120,36739,28440
33045,36735,28524
32984,36733,28591
32869,36764,28593
32864,36788,28645
32884,36783,28699
32924,36782,28717
32945,36780,28757
32996,36759,28848
32961,36751,28896
32924,36753,28950
32896,36757,28987
32896,36764,29015
32816,36785,29055
32806,36800,29112
32868,36797,29153
32900,36806,29194
32937,36786,29246
32944,36780,29332
32904,36779,29348
32800,36773,29400
32756,36783,29452
32672,36807,29471
32617,36783,29561
32652,36812,29609
32756,36816,29653
32872,36821,29694
32992,36812,29758
33100,36806,29812
33132,36802,29860
33152,36796,29910
33104,36800,29959
33062,36818,30018
33030,36822,30084
33052,36837,30137
33110,36837,30196
33192,36836,30248
33244,36832,30305
33252,36815,30367
33209,36819,30432
33124,36810,30485
33044,36820,30550
32925,36829,30576
32840,36836,30660
32929,36843,30720
33008,36855,30790
33068,36855,30880
33088,36836,30938
33128,36828,30998
33120,36820,31068
33092,36812,31135
33080,36821,31164
32988,36815,31253
32940,36823,31310
32932,36868,31382
32932,36864,31471
32968,36838,31580
33032,36852,31655
33076,36846,31682
33012,36844,31807
32920,36832,31891
32860,36829,31933
32846,36847,31991
32780,36866,32088
32752,36871,32176
32792,36880,32292
32848,36884,32368
32920,36871,32436
33008,36856,32516
33000,36845,32588
32980,36850,32683
32940,36852,32759
32928,36868,32832
32886,36884,32935
32928,36896,33012
33064,36903,33095
33116,36893,33107
33156,36885,33181
33165,36892,33287
33140,36865,33415
33052,36871,33469
32972,36871,33561
32856,36903,33637
32700,36911,33671
32648,36924,33748
32577,36929,33884
32412,36927,33951
32100,36916,34024
31800,36919,34106
31318,36916,34183
31048,36918,34268
31180,36931,34358
31644,36932,34449
32353,36946,34409
33528,36956,34502
34832,36945,34669
36184,36938,34757
37916,36924,34817
39784,36901,34900
41624,36876,34901
43488,36861,34997
44576,36869,35183
44864,36885,35213
44356,36911,35305
43360,36921,35428
42124,36933,35416
40736,36932,35466
39696,36928,35672
39000,36929,35759
38384,36922,35828
37768,36922,35908
37196,36933,36028
36512,36924,36113
35828,36956,36196
35316,36973,36231
34917,36983,36349
34456,36983,36453
33980,36964,36434
33560,36964,36492
33028,36956,36608
32444,36964,36805
31884,36970,36823
31332,36996,36944
30856,36999,37057
30608,37011,36983
30440,37012,37193
30356,37017,37308
30376,37007,37383
30420,36994,37412
30396,36995,37532
30336,36993,37615
30304,36998,37691
30286,37013,37653
30232,36999,37697
30257,37015,37755
30296,37040,37884
30352,37043,38012
30424,37025,38116
30504,37020,38080
30520,37015,38206
30480,37023,38128
30413,37031,38212
30392,37047,38438
30380,37061,38428
30448,37053,38542
30508,37046,38645
30596,37066,38575
30636,37063,38805
30704,37045,38773
30704,37047,38942
30648,37041,39023
30648,37055,38919
30613,37062,39023
30568,37072,39101
30573,37091,39220
30676,37092,39385
30748,37095,39404
30848,37092,39505
30967,37072,39400
31000,37061,39566
31006,37062,39720
30964,37077,39729
30900,37084,39746
30868,37100,39857
30904,37110,39878
30968,37124,39977
31048,37085,40076
31148,37074,40166
31272,37084,40037
31280,37097,40263
31229,37093,40352
31200,37092,40417
31192,37109,40489
31148,37127,40500
31208,37128,40468
31280,37143,40580
31344,37148,40660
31388,37141,40735
31468,37127,40583
31492,37119,40664
31492,37127,40740
31508,37122,40953
31512,37147,40991
31484,37156,41035
31556,37164,40952
31669,37173,40996
