ECG,EDA,RR
32832,27260,39808
32736,27271,39804
32692,27279,39527
32740,27279,39860
32773,27279,39863
32756,27277,39793
32816,27262,39823
32933,27248,39733
33000,27237,39893
32974,27241,39741
32948,27247,39801
32904,27249,39684
32808,27258,39858
32844,27261,39636
32916,27265,39753
32966,27250,39513
33012,27251,39741
33040,27236,39805
32972,27230,39567
32924,27231,39388
32864,27231,39657
32808,27234,39526
32704,27244,39607
32661,27247,39327
32740,27252,39607
32832,27244,39444
32908,27227,39555
32965,27220,39453
32944,27215,39527
32860,27216,39365
32801,27222,39350
32756,27228,39423
32664,27241,39148
32617,27243,39343
32681,27232,39289
32732,27233,39284
32812,27222,39276
32936,27211,39265
32956,27204,39229
32908,27204,39142
32928,27203,39236
33028,27205,39165
33028,27218,39017
33040,27222,38983
33102,27220,39052
33152,27210,38845
33234,27207,38929
33332,27199,38962
33252,27198,38868
33208,27191,38591
33144,27195,38877
33069,27196,38816
32924,27206,38721
32884,27210,38438
32934,27206,38652
32972,27204,38685
33082,27197,38524
33204,27177,38376
33232,27175,38535
33152,27175,38548
33100,27178,38428
32992,27182,38251
32928,27192,38407
32929,27197,38253
32969,27195,38263
33032,27188,38197
33124,27180,38168
33232,27167,38116
33248,27164,38086
33232,27161,38015
33224,27172,37982
33120,27174,37908
33024,27175,37900
32988,27180,37751
33057,27178,37844
33100,27172,37751
33160,27167,37460
33250,27157,37703
33212,27149,37511
33148,27148,37573
33120,27155,37300
33009,27156,37509
32932,27173,37444
32900,27169,37161
33016,27166,37364
33148,27159,37246
33262,27158,37036
33340,27141,37197
33328,27132,37103
33256,27141,37165
33212,27143,37017
33084,27143,37156
33012,27152,37014
32948,27159,37021
32976,27151,36774
33070,27156,36817
33112,27140,36960
33028,27127,36836
32889,27125,36605
32640,27120,36705
32316,27129,36631
31920,27143,36716
31500,27151,36609
31209,27165,36529
31202,27167,36623
31564,27153,36465
32182,27143,36554
33216,27133,36495
34368,27123,36233
35492,27113,36396
36760,27111,36365
38176,27125,36370
39674,27113,36164
41540,27109,36329
43364,27108,36269
44548,27098,36045
45196,27087,36220
44984,27075,36144
44056,27074,36003
42817,27081,36157
41492,27081,36068
40508,27087,35855
39752,27094,36082
39196,27104,35984
38516,27099,35842
37564,27100,35967
36597,27093,35881
35860,27077,35708
35256,27079,35885
34624,27076,35708
34012,27087,35764
33453,27090,35685
32856,27103,35569
32328,27108,35644
31872,27115,35621
31416,27109,35425
31108,27099,35559
30836,27099,35457
30540,27089,35484
30312,27092,35230
30174,27094,35406
30120,27099,35233
30096,27109,35294
30188,27108,35124
30261,27105,35253
30260,27104,35144
30348,27092,34964
30409,27083,35065
30440,27077,34997
30392,27077,34839
30384,27077,34837
30352,27097,34839
30328,27095,34621
30344,27097,34782
30405,27101,34660
30449,27101,34434
30526,27085,34530
30620,27077,34557
30628,27073,34436
30524,27069,34464
30480,27076,34341
30368,27082,34271
30364,27089,34156
30496,27089,34222
30640,27091,34240
30701,27085,34055
30824,27077,34204
30956,27063,34140
31009,27055,33943
31020,27055,34051
30980,27066,34020
30869,27067,33817
30748,27081,33961
30736,27079,33876
30836,27079,33865
30920,27065,33636
31016,27068,33629
31100,27060,33708
31166,27046,33665
31188,27055,33615
31136,27049,33445
31084,27059,33578
31032,27075,33484
31074,27069,33335
31230,27073,33503
31320,27063,33424
31428,27052,33249
31576,27047,33388
31576,27042,33219
31486,27036,33302
31448,27042,33082
31424,27051,33116
31356,27059,33100
31492,27057,33149
31660,27061,32996
31662,27057,33030
31661,27052,32994
31733,27035,32879
31749,27031,32772
31748,27032,32912
31684,27033,32775
31592,27044,32804
31596,27049,32582
31704,27049,32588
31852,27055,32542
31952,27045,32574
32153,27033,32417
32292,27028,32350
32340,27015,32448
32340,27020,32316
32368,27023,32328
32352,27031,32300
32305,27041,32262
32340,27044,32049
32424,27043,32159
32530,27039,32078
32664,27031,31900
32820,27015,31908
32884,27015,31991
32940,27012,31828
32956,27013,31852
32904,27023,31698
32828,27036,31799
32884,27039,31679
32984,27036,31693
33060,27029,31544
33148,27023,31604
33252,27015,31500
33248,27006,31535
33204,27009,31367
33176,27015,31293
33132,27015,31302
33004,27029,31332
32973,27028,31325
33025,27026,31149
33076,27020,31230
33116,27015,31168
33214,27004,31183
33140,27003,31158
32956,27005,30977
32788,27007,30921
32633,27012,30924
32541,27015,30999
32464,27020,30972
32420,27023,30854
32460,27021,30889
32508,27012,30877
32576,27005,30685
32492,26999,30808
32388,26991,30693
32304,26996,30599
32176,27007,30556
32076,27009,30675
32108,27015,30525
32116,27015,30598
32152,27015,30452
